country,year,foradl_lop_kem
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,
eu_three,2009,
eu_three,2010,
eu_three,2011,
eu_three,2012,
eu_three,2013,
eu_three,2014,
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,6868.9
bel,2009,6616.9
bel,2010,7162.5
bel,2011,7657.9
bel,2012,7567.4
bel,2013,7896.9
bel,2014,8530
bel,2015,8971.4
bel,2016,8380.7
bel,2017,9160.3
bel,2018,9505.1
bel,2019,8801.2
bel,2020,8381.9
bel,2021,7741.4
bel,2022,10137.2
bel,2023,7913.5
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,200.9
bgr,2009,184.6
bgr,2010,170.2
bgr,2011,250.6
bgr,2012,256.2
bgr,2013,227.3
bgr,2014,330.9
bgr,2015,403.3
bgr,2016,399.3
bgr,2017,435.1
bgr,2018,362.8
bgr,2019,442.2
bgr,2020,482.4
bgr,2021,215.4
bgr,2022,711.8
bgr,2023,608.3
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1220.8
cze,2009,914.8
cze,2010,948.9
cze,2011,1053
cze,2012,1154.7
cze,2013,1039.1
cze,2014,1237.2
cze,2015,1484.3
cze,2016,1441.3
cze,2017,1814.1
cze,2018,1761.6
cze,2019,1870.5
cze,2020,1497.7
cze,2021,1474.6
cze,2022,2744
cze,2023,2637.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1383.4
dnk,2009,1490.1
dnk,2010,1623.1
dnk,2011,1574.6
dnk,2012,1946.9
dnk,2013,1887.4
dnk,2014,2109.1
dnk,2015,2416.3
dnk,2016,2547.5
dnk,2017,2652.7
dnk,2018,2600.1
dnk,2019,2845.3
dnk,2020,2992.3
dnk,2021,3111.2
dnk,2022,3304.2
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,37825
deu,2009,34564
deu,2010,40771
deu,2011,41132
deu,2012,40394
deu,2013,39710
deu,2014,42716
deu,2015,46959
deu,2016,47645
deu,2017,50731
deu,2018,46558
deu,2019,47158
deu,2020,49845
deu,2021,50304
deu,2022,47956
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,126.5
est,2009,67.1
est,2010,93.8
est,2011,117
est,2012,77.3
est,2013,88.2
est,2014,95.6
est,2015,106.1
est,2016,116.4
est,2017,109.5
est,2018,124.1
est,2019,115.1
est,2020,131.5
est,2021,142.2
est,2022,123.4
est,2023,108.1
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,
irl,2009,
irl,2010,
irl,2011,
irl,2012,
irl,2013,
irl,2014,
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,962.6
grc,2009,897.7
grc,2010,766.7
grc,2011,728.6
grc,2012,614.3
grc,2013,679.9
grc,2014,718.8
grc,2015,852.7
grc,2016,828.6
grc,2017,896.8
grc,2018,876.2
grc,2019,895.2
grc,2020,1001.9
grc,2021,1083.9
grc,2022,1118.8
grc,2023,1149.9
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,8561
esp,2009,7748
esp,2010,8527
esp,2011,8939
esp,2012,7999
esp,2013,7532
esp,2014,7867
esp,2015,8276
esp,2016,8895
esp,2017,9448
esp,2018,9092
esp,2019,9755
esp,2020,9541
esp,2021,11344
esp,2022,10665
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,12741.4
fra,2009,12329.4
fra,2010,12175.8
fra,2011,13213
fra,2012,13308.3
fra,2013,14827.1
fra,2014,15408.9
fra,2015,16599.5
fra,2016,15958
fra,2017,17278.1
fra,2018,16785
fra,2019,17671.9
fra,2020,15813.2
fra,2021,15653.5
fra,2022,19598.2
fra,2023,17821.2
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,205.3
hrv,2009,185.2
hrv,2010,210.3
hrv,2011,206.6
hrv,2012,206.5
hrv,2013,170.1
hrv,2014,163.6
hrv,2015,180.6
hrv,2016,168.1
hrv,2017,162.9
hrv,2018,137.9
hrv,2019,217.1
hrv,2020,242.6
hrv,2021,201.8
hrv,2022,151.3
hrv,2023,167
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,9388.5
ita,2009,8463.3
ita,2010,9828.6
ita,2011,9684.8
ita,2012,9585
ita,2013,9802
ita,2014,9875.6
ita,2015,10920
ita,2016,12053.5
ita,2017,12170.5
ita,2018,12313.3
ita,2019,11898.6
ita,2020,12196
ita,2021,13393.4
ita,2022,11530.4
ita,2023,13642.5
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,23.7
cyp,2009,23.8
cyp,2010,28.9
cyp,2011,24.4
cyp,2012,20.9
cyp,2013,18.6
cyp,2014,17.3
cyp,2015,19.3
cyp,2016,21.6
cyp,2017,23.3
cyp,2018,27.2
cyp,2019,27.8
cyp,2020,29.4
cyp,2021,28.7
cyp,2022,29.6
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,73.8
lva,2009,58.2
lva,2010,94.5
lva,2011,75.4
lva,2012,79
lva,2013,70.3
lva,2014,61.3
lva,2015,62.7
lva,2016,60.7
lva,2017,66.5
lva,2018,96.9
lva,2019,86.9
lva,2020,97.5
lva,2021,133.2
lva,2022,121.9
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,593.3
ltu,2009,380.9
ltu,2010,471
ltu,2011,632
ltu,2012,648.3
ltu,2013,495.7
ltu,2014,505.3
ltu,2015,521.5
ltu,2016,478.6
ltu,2017,490.1
ltu,2018,621.3
ltu,2019,674.7
ltu,2020,911
ltu,2021,1259.4
ltu,2022,1387.3
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,98.9
lux,2009,76.4
lux,2010,80.4
lux,2011,88.4
lux,2012,73.1
lux,2013,86.6
lux,2014,101.2
lux,2015,104.4
lux,2016,103.5
lux,2017,109.9
lux,2018,103.7
lux,2019,99.5
lux,2020,137.6
lux,2021,164.1
lux,2022,122.3
lux,2023,77.2
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,736.5
hun,2009,432.8
hun,2010,499
hun,2011,556.1
hun,2012,635.2
hun,2013,718.3
hun,2014,936.3
hun,2015,1264.6
hun,2016,1275.2
hun,2017,1581
hun,2018,1496.8
hun,2019,1256.7
hun,2020,1382.7
hun,2021,1901.3
hun,2022,1294.1
hun,2023,1281.6
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,12.2
mlt,2010,
mlt,2011,7.9
mlt,2012,8.2
mlt,2013,7.7
mlt,2014,9.9
mlt,2015,10.9
mlt,2016,8.7
mlt,2017,10.3
mlt,2018,
mlt,2019,11.4
mlt,2020,12.4
mlt,2021,14
mlt,2022,14.8
mlt,2023,16
mlt,2024,15.6
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,9573
nld,2009,7147
nld,2010,7821
nld,2011,8500
nld,2012,8217
nld,2013,7504
nld,2014,7339
nld,2015,8628
nld,2016,9350
nld,2017,10328
nld,2018,10972
nld,2019,9463
nld,2020,8251
nld,2021,10660
nld,2022,7890
nld,2023,6993
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2092.3
aut,2009,2045.4
aut,2010,2084.8
aut,2011,2299.8
aut,2012,2017.4
aut,2013,2293.2
aut,2014,2536.7
aut,2015,2947.9
aut,2016,3699.7
aut,2017,3372.4
aut,2018,3162.1
aut,2019,3098.6
aut,2020,3191.1
aut,2021,4068.8
aut,2022,3257
aut,2023,2209.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
