country,year,foradl_lop_klader
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,68906.3
eu_three,2009,58768.2
eu_three,2010,62042.8
eu_three,2011,66526.4
eu_three,2012,62861.8
eu_three,2013,62669.5
eu_three,2014,64269.6
eu_three,2015,65455.2
eu_three,2016,66688.8
eu_three,2017,68294.4
eu_three,2018,69163.4
eu_three,2019,69316.4
eu_three,2020,60034.6
eu_three,2021,67324.2
eu_three,2022,71497.2
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1879.5
bel,2009,1460.3
bel,2010,1524.1
bel,2011,1403.8
bel,2012,1376
bel,2013,1292.5
bel,2014,1366.3
bel,2015,1382.7
bel,2016,1340.8
bel,2017,1281
bel,2018,1289.6
bel,2019,1241.6
bel,2020,1123.1
bel,2021,1112.9
bel,2022,1261
bel,2023,1291.4
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,583.6
bgr,2009,707
bgr,2010,554.2
bgr,2011,834.3
bgr,2012,830.1
bgr,2013,683.9
bgr,2014,700.9
bgr,2015,662.3
bgr,2016,716
bgr,2017,714.7
bgr,2018,731.5
bgr,2019,799.1
bgr,2020,716.8
bgr,2021,578.7
bgr,2022,756.8
bgr,2023,818.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1097.9
cze,2009,959.1
cze,2010,929.6
cze,2011,956.6
cze,2012,857.8
cze,2013,866
cze,2014,897
cze,2015,927.5
cze,2016,976.7
cze,2017,1047.4
cze,2018,1042.7
cze,2019,1064.8
cze,2020,1010.7
cze,2021,1009.6
cze,2022,1125.5
cze,2023,1254.7
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,426.8
dnk,2009,355.9
dnk,2010,326.8
dnk,2011,336.6
dnk,2012,304.7
dnk,2013,361.1
dnk,2014,374.2
dnk,2015,399.5
dnk,2016,387.6
dnk,2017,416.8
dnk,2018,482.2
dnk,2019,471
dnk,2020,450.3
dnk,2021,472.9
dnk,2022,472.3
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,7406
deu,2009,6188
deu,2010,6918
deu,2011,7507
deu,2012,7259
deu,2013,7234
deu,2014,7795
deu,2015,7347
deu,2016,7548
deu,2017,7756
deu,2018,7593
deu,2019,7540
deu,2020,6820
deu,2021,7346
deu,2022,7740
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,169.6
est,2009,130.2
est,2010,134.5
est,2011,145.3
est,2012,157.2
est,2013,154.5
est,2014,169.9
est,2015,172.8
est,2016,180
est,2017,191.7
est,2018,188.5
est,2019,183.7
est,2020,181.8
est,2021,169.3
est,2022,170.4
est,2023,175.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,213.7
irl,2009,186.4
irl,2010,152.3
irl,2011,135.5
irl,2012,131.4
irl,2013,140.5
irl,2014,151.8
irl,2015,163.9
irl,2016,159.3
irl,2017,155.2
irl,2018,157.5
irl,2019,160.7
irl,2020,151
irl,2021,179.2
irl,2022,194.7
irl,2023,207.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1200.4
grc,2009,1008.7
grc,2010,912.3
grc,2011,775.2
grc,2012,694.2
grc,2013,602.3
grc,2014,556.7
grc,2015,590
grc,2016,552.4
grc,2017,543
grc,2018,521.4
grc,2019,506.6
grc,2020,416.1
grc,2021,470.4
grc,2022,511.6
grc,2023,521.4
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,8744
esp,2009,7742
esp,2010,7921
esp,2011,8833
esp,2012,7987
esp,2013,8170
esp,2014,8263
esp,2015,8715
esp,2016,9027
esp,2017,9356
esp,2018,9105
esp,2019,8794
esp,2020,7630
esp,2021,8267
esp,2022,8235
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,6456.8
fra,2009,5402.4
fra,2010,5235.8
fra,2011,5601.8
fra,2012,5794.9
fra,2013,5604
fra,2014,5362.3
fra,2015,5583
fra,2016,5550.2
fra,2017,5694.9
fra,2018,5909.8
fra,2019,6168.6
fra,2020,5913.4
fra,2021,6583.9
fra,2022,6359.6
fra,2023,7868.8
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,403.1
hrv,2009,354.3
hrv,2010,345.7
hrv,2011,354.6
hrv,2012,325.2
hrv,2013,318.3
hrv,2014,328.7
hrv,2015,295.5
hrv,2016,315.1
hrv,2017,338.9
hrv,2018,350.2
hrv,2019,386.1
hrv,2020,319.2
hrv,2021,342.7
hrv,2022,386.8
hrv,2023,380.8
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,25877.5
ita,2009,22115.6
ita,2010,23249.8
ita,2011,24534.3
ita,2012,23210.1
ita,2013,23569.4
ita,2014,24071.7
ita,2015,24428.6
ita,2016,24734.2
ita,2017,25532.6
ita,2018,26342.4
ita,2019,26560.8
ita,2020,20874.4
ita,2021,25368.3
ita,2022,28078.5
ita,2023,27554.6
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,29.3
cyp,2009,25.1
cyp,2010,21.1
cyp,2011,19.9
cyp,2012,15.3
cyp,2013,11.4
cyp,2014,11.6
cyp,2015,12.5
cyp,2016,13.5
cyp,2017,15.1
cyp,2018,17.7
cyp,2019,18.7
cyp,2020,15.3
cyp,2021,16.8
cyp,2022,19.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,152.7
lva,2009,107.8
lva,2010,126.5
lva,2011,141.7
lva,2012,130.9
lva,2013,134.8
lva,2014,128
lva,2015,115.2
lva,2016,121.5
lva,2017,136.5
lva,2018,148.5
lva,2019,139.2
lva,2020,139.3
lva,2021,139.4
lva,2022,145.6
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,396.4
ltu,2009,309.9
ltu,2010,369.9
ltu,2011,446
ltu,2012,469.4
ltu,2013,489.8
ltu,2014,522.2
ltu,2015,510.4
ltu,2016,533.6
ltu,2017,547.3
ltu,2018,526.2
ltu,2019,513
ltu,2020,467.1
ltu,2021,489
ltu,2022,541.3
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,129.9
lux,2009,112.2
lux,2010,173.6
lux,2011,168.9
lux,2012,141.3
lux,2013,145.2
lux,2014,138.5
lux,2015,185
lux,2016,224.1
lux,2017,235.8
lux,2018,234.2
lux,2019,263.8
lux,2020,290.2
lux,2021,289.1
lux,2022,299.3
lux,2023,313
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,509.5
hun,2009,419.7
hun,2010,420.5
hun,2011,462.4
hun,2012,444.1
hun,2013,450.2
hun,2014,455.3
hun,2015,454.2
hun,2016,474.7
hun,2017,502.4
hun,2018,518.7
hun,2019,528.8
hun,2020,440
hun,2021,457
hun,2022,459.2
hun,2023,573.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,27.5
mlt,2009,24.8
mlt,2010,28.3
mlt,2011,31.2
mlt,2012,30.3
mlt,2013,21.3
mlt,2014,17.6
mlt,2015,17.5
mlt,2016,16.4
mlt,2017,18.4
mlt,2018,19.7
mlt,2019,17.6
mlt,2020,16.8
mlt,2021,21.1
mlt,2022,21.1
mlt,2023,19
mlt,2024,18.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1097
nld,2009,997
nld,2010,1003
nld,2011,1077
nld,2012,1055
nld,2013,1080
nld,2014,1084
nld,2015,1094
nld,2016,1132
nld,2017,1144
nld,2018,1152
nld,2019,1162
nld,2020,1160
nld,2021,1367
nld,2022,1272
nld,2023,1392
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1131.4
aut,2009,1034.8
aut,2010,1111.4
aut,2011,1115.1
aut,2012,1038.4
aut,2013,1012.2
aut,2014,1043.7
aut,2015,1091.8
aut,2016,1038.5
aut,2017,925.6
aut,2018,992.4
