country,year,foradl_lop_koks
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,
eu_three,2009,
eu_three,2010,
eu_three,2011,
eu_three,2012,
eu_three,2013,
eu_three,2014,
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1825.6
bel,2009,562.4
bel,2010,1204.1
bel,2011,820.5
bel,2012,1263.8
bel,2013,1039.4
bel,2014,1005.4
bel,2015,2259.8
bel,2016,1873.8
bel,2017,1885.3
bel,2018,1330.4
bel,2019,1795.5
bel,2020,811.6
bel,2021,847.7
bel,2022,2129.1
bel,2023,1684.1
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,66.9
bgr,2009,81.8
bgr,2010,82.5
bgr,2011,160
bgr,2012,133.8
bgr,2013,121.7
bgr,2014,-78.8
bgr,2015,134.7
bgr,2016,305.9
bgr,2017,308
bgr,2018,113.6
bgr,2019,190
bgr,2020,-63.8
bgr,2021,291.6
bgr,2022,591.7
bgr,2023,801.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,265.4
cze,2009,219.6
cze,2010,211.9
cze,2011,188.9
cze,2012,180.2
cze,2013,183.6
cze,2014,169.2
cze,2015,177.7
cze,2016,186.7
cze,2017,139.4
cze,2018,40.2
cze,2019,41.5
cze,2020,45.7
cze,2021,50.6
cze,2022,31.5
cze,2023,53.7
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,333.1
dnk,2009,183.9
dnk,2010,-181.7
dnk,2011,-394.1
dnk,2012,-612.6
dnk,2013,41.5
dnk,2014,-111.8
dnk,2015,592.3
dnk,2016,347
dnk,2017,338.1
dnk,2018,74.1
dnk,2019,162
dnk,2020,92.6
dnk,2021,65.1
dnk,2022,984.9
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,3368
deu,2009,3047
deu,2010,6848
deu,2011,8860
deu,2012,10312
deu,2013,9078
deu,2014,8106
deu,2015,7635
deu,2016,6027
deu,2017,7445
deu,2018,9487
deu,2019,7594
deu,2020,5154
deu,2021,3750
deu,2022,11505
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,80
est,2009,45
est,2010,74.9
est,2011,135.2
est,2012,172.3
est,2013,124.6
est,2014,127.3
est,2015,90.7
est,2016,68.1
est,2017,65.1
est,2018,83.6
est,2019,113.3
est,2020,59.5
est,2021,100.6
est,2022,66.2
est,2023,90.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,
irl,2009,
irl,2010,
irl,2011,
irl,2012,
irl,2013,
irl,2014,
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1858.8
grc,2009,1124.8
grc,2010,815.8
grc,2011,1038
grc,2012,1044.3
grc,2013,475.9
grc,2014,663.7
grc,2015,1146.4
grc,2016,997.5
grc,2017,1062.1
grc,2018,972
grc,2019,521.2
grc,2020,116.1
grc,2021,640.3
grc,2022,2281.8
grc,2023,1933.8
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,1712
esp,2009,1113
esp,2010,1722
esp,2011,2371
esp,2012,2012
esp,2013,1184
esp,2014,772
esp,2015,2806
esp,2016,3276
esp,2017,3679
esp,2018,3230
esp,2019,2706
esp,2020,-458
esp,2021,2764
esp,2022,8153
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,1966.2
fra,2009,1466.9
fra,2010,1711.8
fra,2011,2072.3
fra,2012,2401.1
fra,2013,2269.6
fra,2014,2109.2
fra,2015,2467
fra,2016,2505.7
fra,2017,2550.5
fra,2018,1828.9
fra,2019,1662.5
fra,2020,1244.8
fra,2021,623.2
fra,2022,4910.8
fra,2023,2238.3
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,438.2
hrv,2009,535.7
hrv,2010,676.9
hrv,2011,902.9
hrv,2012,929.1
hrv,2013,748
hrv,2014,590.3
hrv,2015,572.2
hrv,2016,519.9
hrv,2017,557.4
hrv,2018,532.5
hrv,2019,518.4
hrv,2020,184
hrv,2021,379.9
hrv,2022,827.9
hrv,2023,727
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,4816.2
ita,2009,1781.3
ita,2010,2112.7
ita,2011,2427.5
ita,2012,1864.1
ita,2013,1223.5
ita,2014,-395.5
ita,2015,2228.4
ita,2016,2341.5
ita,2017,2771.9
ita,2018,1752.8
ita,2019,1883.1
ita,2020,-201.7
ita,2021,2940.3
ita,2022,9276.9
ita,2023,7893.6
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,0.4
cyp,2009,0.6
cyp,2010,0.3
cyp,2011,0.3
cyp,2012,0.4
cyp,2013,0.4
cyp,2014,0.6
cyp,2015,1.2
cyp,2016,1.3
cyp,2017,1.2
cyp,2018,2.4
cyp,2019,2.3
cyp,2020,1.8
cyp,2021,2.1
cyp,2022,4.9
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,0.1
lva,2009,0.2
lva,2010,0.2
lva,2011,0.4
lva,2012,0
lva,2013,1.5
lva,2014,1.5
lva,2015,1.5
lva,2016,0.2
lva,2017,1
lva,2018,0.9
lva,2019,1.1
lva,2020,-0.1
lva,2021,0.3
lva,2022,0.8
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,
ltu,2009,
ltu,2010,
ltu,2011,
ltu,2012,
ltu,2013,
ltu,2014,
ltu,2015,
ltu,2016,
ltu,2017,
ltu,2018,
ltu,2019,
ltu,2020,
ltu,2021,
ltu,2022,
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,0
lux,2009,0
lux,2010,0
lux,2011,0
lux,2012,0
lux,2013,0
lux,2014,0
lux,2015,0
lux,2016,0
lux,2017,0
lux,2018,0
lux,2019,0
lux,2020,0
lux,2021,0
lux,2022,0
lux,2023,0
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1497.7
hun,2009,1037.5
hun,2010,1147
hun,2011,1055.3
hun,2012,1120.7
hun,2013,826.2
hun,2014,906.2
hun,2015,801
hun,2016,761.6
hun,2017,860.4
hun,2018,886.8
hun,2019,836.4
hun,2020,517.4
hun,2021,864.6
hun,2022,1853.4
hun,2023,1618.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,0
mlt,2021,
mlt,2022,
mlt,2023,
mlt,2024,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2170
nld,2009,1288
nld,2010,483
nld,2011,703
nld,2012,791
nld,2013,403
nld,2014,-501
nld,2015,1334
nld,2016,1302
nld,2017,1392
nld,2018,1047
nld,2019,1502
nld,2020,159
nld,2021,1239
nld,2022,3582
nld,2023,2127
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,448.3
aut,2009,440.5
aut,2010,347
aut,2011,199.7
aut,2012,423.1
aut,2013,253.1
aut,2014,240.7
aut,2015,394.8
aut,2016,712.3
aut,2017,629.4
aut,2018,738.8
aut,2019,908.3
aut,2020,370.9
aut,2021,797
aut,2022,878.8
aut,2023,895.4
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,2397.1
pol,2009,1794.5
pol,2010,2069.7
pol,2011,2534.6
pol,2012,2607.1
pol,2013,2236.6
pol,2014,1281.2
pol,2015,2036
pol,2016,2400.8
pol,2017,2346
pol,2018,2460.2
pol,2019,2667.3
