country,year,foradl_lop_kreativ
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,73735.6
eu_three,2009,74479.7
eu_three,2010,77132.3
eu_three,2011,79070.4
eu_three,2012,78080.4
eu_three,2013,78530.5
eu_three,2014,79882
eu_three,2015,84044.2
eu_three,2016,85041.1
eu_three,2017,89707.9
eu_three,2018,92824.8
eu_three,2019,95991.6
eu_three,2020,78006.5
eu_three,2021,81683.3
eu_three,2022,98534.5
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1298.3
bel,2009,969.2
bel,2010,912.6
bel,2011,1019.3
bel,2012,1153.3
bel,2013,1228.1
bel,2014,1291.6
bel,2015,1472.8
bel,2016,1514.3
bel,2017,1612.1
bel,2018,1681.3
bel,2019,1898.9
bel,2020,1407.1
bel,2021,1733.3
bel,2022,1962
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,374.7
bgr,2009,304.8
bgr,2010,274.7
bgr,2011,331.5
bgr,2012,389.4
bgr,2013,431
bgr,2014,394.1
bgr,2015,441
bgr,2016,436.6
bgr,2017,456.6
bgr,2018,416.9
bgr,2019,586
bgr,2020,427.5
bgr,2021,338.9
bgr,2022,435.9
bgr,2023,608.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1165.1
cze,2009,1116.3
cze,2010,1140.3
cze,2011,1218.3
cze,2012,1057
cze,2013,1026.9
cze,2014,1027.1
cze,2015,1110.3
cze,2016,1162
cze,2017,1231.6
cze,2018,1315.1
cze,2019,1489.6
cze,2020,1310.2
cze,2021,1518.3
cze,2022,1975.5
cze,2023,2222.2
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2255.4
dnk,2009,2226
dnk,2010,2317
dnk,2011,2363.6
dnk,2012,2383.4
dnk,2013,2485
dnk,2014,2544.8
dnk,2015,2550.3
dnk,2016,2589
dnk,2017,2731.8
dnk,2018,2673.9
dnk,2019,2674.8
dnk,2020,2699
dnk,2021,2724.1
dnk,2022,3098.2
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,16325
deu,2009,16353
deu,2010,16182
deu,2011,16245
deu,2012,16810
deu,2013,17049
deu,2014,17436
deu,2015,18376
deu,2016,18902
deu,2017,19498
deu,2018,19737
deu,2019,20345
deu,2020,15989
deu,2021,15730
deu,2022,20467
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,153.3
est,2009,118.6
est,2010,116.8
est,2011,127.3
est,2012,140.2
est,2013,152.8
est,2014,159.6
est,2015,165.2
est,2016,173
est,2017,194
est,2018,217.3
est,2019,237.7
est,2020,240.7
est,2021,311.7
est,2022,363.2
est,2023,414.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1740.4
irl,2009,1545.2
irl,2010,1560.5
irl,2011,1245.9
irl,2012,1194.3
irl,2013,1263
irl,2014,1280.8
irl,2015,1234
irl,2016,1193.1
irl,2017,1465.8
irl,2018,1584.9
irl,2019,1675.5
irl,2020,1466.4
irl,2021,1738.7
irl,2022,2214.2
irl,2023,2298.8
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,2702.6
grc,2009,3114.3
grc,2010,2039.2
grc,2011,1994.3
grc,2012,1788.2
grc,2013,1762
grc,2014,1819.4
grc,2015,1846.3
grc,2016,1784.5
grc,2017,2017.2
grc,2018,2235.5
grc,2019,2219.4
grc,2020,1504.4
grc,2021,1746.2
grc,2022,2203.8
grc,2023,2506.1
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,10625
esp,2009,10801
esp,2010,11012
esp,2011,10958
esp,2012,10523
esp,2013,10246
esp,2014,9668
esp,2015,10732
esp,2016,10385
esp,2017,11261
esp,2018,11598
esp,2019,10732
esp,2020,7758
esp,2021,7487
esp,2022,9352
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,12266.3
fra,2009,12562.2
fra,2010,13024.5
fra,2011,13161.4
fra,2012,13372.7
fra,2013,13621
fra,2014,13845
fra,2015,13967.5
fra,2016,13978.3
fra,2017,14747.3
fra,2018,15575.4
fra,2019,16352.4
fra,2020,14136.4
fra,2021,15001.8
fra,2022,16938.1
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,385.5
hrv,2009,362.6
hrv,2010,399.4
hrv,2011,430.7
hrv,2012,417.4
hrv,2013,440.5
hrv,2014,434.5
hrv,2015,407
hrv,2016,445.2
hrv,2017,497.9
hrv,2018,549
hrv,2019,639.4
hrv,2020,505.8
hrv,2021,475.3
hrv,2022,564.4
hrv,2023,595.7
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,8481
ita,2009,8823.1
ita,2010,10118.3
ita,2011,10527.7
ita,2012,9860.5
ita,2013,9511.6
ita,2014,9854.4
ita,2015,10009.4
ita,2016,10381.2
ita,2017,10739.5
ita,2018,10507.1
ita,2019,10945
ita,2020,8769.9
ita,2021,9417.2
ita,2022,11978.8
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,114.6
cyp,2009,104.4
cyp,2010,165.6
cyp,2011,235.1
cyp,2012,225.9
cyp,2013,172.7
cyp,2014,159.2
cyp,2015,168.8
cyp,2016,175.8
cyp,2017,174.6
cyp,2018,203.8
cyp,2019,231.8
cyp,2020,178.4
cyp,2021,213.9
cyp,2022,230.5
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,337
lva,2009,211.1
lva,2010,204.8
lva,2011,225.8
lva,2012,265.4
lva,2013,284.5
lva,2014,289.1
lva,2015,325.4
lva,2016,343.4
lva,2017,374.3
lva,2018,412.6
lva,2019,437.2
lva,2020,298.8
lva,2021,328
lva,2022,494.7
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,206.3
ltu,2009,213
ltu,2010,190.7
ltu,2011,193.2
ltu,2012,205.9
ltu,2013,235.3
ltu,2014,283.7
ltu,2015,309.2
ltu,2016,355.7
ltu,2017,375.9
ltu,2018,385.7
ltu,2019,408.2
ltu,2020,384.1
ltu,2021,419.5
ltu,2022,545.3
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,135.8
lux,2009,152.3
lux,2010,155.4
lux,2011,160.6
lux,2012,162.8
lux,2013,178.9
lux,2014,181
lux,2015,187.4
lux,2016,187.8
lux,2017,195.5
lux,2018,203.6
lux,2019,220.7
lux,2020,220.8
lux,2021,238.7
lux,2022,269
lux,2023,297.5
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,773.8
hun,2009,622.3
hun,2010,749.2
hun,2011,742.2
hun,2012,695.1
hun,2013,751.5
hun,2014,765.2
hun,2015,841.7
hun,2016,893.3
hun,2017,1029.7
hun,2018,1037.6
hun,2019,1179.9
hun,2020,976.5
hun,2021,1161.8
hun,2022,1283.7
hun,2023,1517.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,432.8
mlt,2009,380.4
mlt,2010,446.2
mlt,2011,422.8
mlt,2012,464.7
mlt,2013,564.2
mlt,2014,848.7
mlt,2015,1045.4
mlt,2016,905
mlt,2017,1284.2
mlt,2018,1483.2
mlt,2019,1126.4
mlt,2020,1744.1
mlt,2021,1685.8
mlt,2022,1369.9
mlt,2023,1464.6
mlt,2024,1484.6
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4450
nld,2009,4460
nld,2010,4613
nld,2011,4837
nld,2012,4800
nld,2013,4779
nld,2014,4966
nld,2015,5315
nld,2016,5566
nld,2017,5731
nld,2018,5932
nld,2019,6323
nld,2020,4803
nld,2021,4792
nld,2022,6566
nld,2023,7782
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1917.9
aut,2009,2027
aut,2010,2068.8
aut,2011,2151.5
aut,2012,2180.8
aut,2013,2174.8
aut,2014,2244.3
