country,year,foradl_lop_livs
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,197346.7
eu_three,2009,195793.1
eu_three,2010,198663.2
eu_three,2011,201969.3
eu_three,2012,204129.8
eu_three,2013,206491.5
eu_three,2014,213504
eu_three,2015,225392.5
eu_three,2016,230551.8
eu_three,2017,233520.5
eu_three,2018,239615.5
eu_three,2019,245647.8
eu_three,2020,246153.7
eu_three,2021,250237.1
eu_three,2022,263564.1
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,6658.6
bel,2009,7220
bel,2010,6950
bel,2011,6971.8
bel,2012,7133.5
bel,2013,7580.4
bel,2014,7804.3
bel,2015,7948.3
bel,2016,8054
bel,2017,8285.6
bel,2018,8485.2
bel,2019,8871.2
bel,2020,8523
bel,2021,8697.8
bel,2022,9779.6
bel,2023,10621.4
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,936.7
bgr,2009,1089.7
bgr,2010,927.1
bgr,2011,1065.6
bgr,2012,1404.7
bgr,2013,1214.4
bgr,2014,1116.6
bgr,2015,1091.3
bgr,2016,1080.5
bgr,2017,862
bgr,2018,1090.3
bgr,2019,1208.1
bgr,2020,1514.8
bgr,2021,1195.1
bgr,2022,2137
bgr,2023,2004
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,3319.7
cze,2009,3290.6
cze,2010,3245.6
cze,2011,3343.4
cze,2012,3279.7
cze,2013,3100.5
cze,2014,3090.5
cze,2015,3246.6
cze,2016,3429.2
cze,2017,3654.2
cze,2018,3892.9
cze,2019,4152.7
cze,2020,4093.9
cze,2021,4201.6
cze,2022,4620
cze,2023,5430.5
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,4147.5
dnk,2009,4177.4
dnk,2010,3980.7
dnk,2011,3748.5
dnk,2012,3592.1
dnk,2013,3746.4
dnk,2014,3789.7
dnk,2015,4031.3
dnk,2016,4262.2
dnk,2017,3930.3
dnk,2018,4009
dnk,2019,4267.7
dnk,2020,4182.6
dnk,2021,4197.2
dnk,2022,4228.3
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,36128
deu,2009,36182
deu,2010,37688
deu,2011,37968
deu,2012,39005
deu,2013,40259
deu,2014,41443
deu,2015,44002
deu,2016,45760
deu,2017,45992
deu,2018,46732
deu,2019,47874
deu,2020,52782
deu,2021,51244
deu,2022,49103
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,300.2
est,2009,307.4
est,2010,269.2
est,2011,287.1
est,2012,309.4
est,2013,335.1
est,2014,397.5
est,2015,380.2
est,2016,386
est,2017,397.4
est,2018,429.5
est,2019,455.2
est,2020,459.6
est,2021,451.8
est,2022,524.7
est,2023,619
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,6143
irl,2009,5934.9
irl,2010,6499.1
irl,2011,6433.8
irl,2012,6669.9
irl,2013,7592.5
irl,2014,8493.1
irl,2015,8901.5
irl,2016,8993.2
irl,2017,8643.4
irl,2018,9053.3
irl,2019,7739.3
irl,2020,7762.7
irl,2021,8312.2
irl,2022,9912.4
irl,2023,11227.1
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,5576.3
grc,2009,5589.7
grc,2010,5534.4
grc,2011,5450.1
grc,2012,5570.5
grc,2013,5026
grc,2014,5121.8
grc,2015,4938.1
grc,2016,4995.2
grc,2017,4749.3
grc,2018,4848.9
grc,2019,4852.6
grc,2020,4890.8
grc,2021,5185.4
grc,2022,5646.9
grc,2023,6118.4
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,23743
esp,2009,23520
esp,2010,23975
esp,2011,24832
esp,2012,24208
esp,2013,23723
esp,2014,23693
esp,2015,24035
esp,2016,24351
esp,2017,25002
esp,2018,23761
esp,2019,25333
esp,2020,23924
esp,2021,25025
esp,2022,29286
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,33636.5
fra,2009,33128.4
fra,2010,32338.9
fra,2011,34198.9
fra,2012,34815
fra,2013,36206.6
fra,2014,37313.7
fra,2015,38179.3
fra,2016,38758.4
fra,2017,39233.7
fra,2018,39018.2
fra,2019,40365.3
fra,2020,39686.4
fra,2021,40666
fra,2022,43400.7
fra,2023,51980.8
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1564.1
hrv,2009,1531.6
hrv,2010,1543.3
hrv,2011,1615.8
hrv,2012,1570.6
hrv,2013,1530.6
hrv,2014,1474.8
hrv,2015,1447.8
hrv,2016,1462.8
hrv,2017,1499.3
hrv,2018,1565.1
hrv,2019,1598.1
hrv,2020,1368.1
hrv,2021,1387.7
hrv,2022,1536.3
hrv,2023,1787.2
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,24280.1
ita,2009,24134.3
ita,2010,24650.6
ita,2011,24119.4
ita,2012,23290.4
ita,2013,23516.8
ita,2014,24125.9
ita,2015,25832.4
ita,2016,26887.1
ita,2017,27232.2
ita,2018,28502.1
ita,2019,29242.6
ita,2020,28398.8
ita,2021,30610.2
ita,2022,30454.9
ita,2023,36715.2
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,317.4
cyp,2009,356
cyp,2010,327.8
cyp,2011,304.5
cyp,2012,283.9
cyp,2013,257
cyp,2014,253.2
cyp,2015,255
cyp,2016,302.7
cyp,2017,321.2
cyp,2018,363.1
cyp,2019,385.7
cyp,2020,369.9
cyp,2021,377.6
cyp,2022,356.8
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,558.3
lva,2009,505.8
lva,2010,502.5
lva,2011,471
lva,2012,533.3
lva,2013,558
lva,2014,540.4
lva,2015,535.3
lva,2016,523.7
lva,2017,544.9
lva,2018,600.3
lva,2019,613.3
lva,2020,631.9
lva,2021,615.5
lva,2022,667.2
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1000
ltu,2009,1083.6
ltu,2010,1131.4
ltu,2011,1286.2
ltu,2012,1374
ltu,2013,1466
ltu,2014,1476.1
ltu,2015,1441.7
ltu,2016,1418.6
ltu,2017,1495.7
ltu,2018,1581.7
ltu,2019,1616.8
ltu,2020,1630.8
ltu,2021,1658.3
ltu,2022,1822.1
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1947.2
hun,2009,2086.4
hun,2010,1987.2
hun,2011,1871.2
hun,2012,1807.4
hun,2013,1974.3
hun,2014,2034.3
hun,2015,2107
hun,2016,2181.9
hun,2017,2285.3
hun,2018,2466.6
hun,2019,2496.1
hun,2020,2456.8
hun,2021,2543.5
hun,2022,2844.8
hun,2023,3722.9
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,106.6
mlt,2009,100.7
mlt,2010,96.5
mlt,2011,100.3
mlt,2012,103.7
mlt,2013,117.7
mlt,2014,133.9
mlt,2015,145.1
mlt,2016,140.9
mlt,2017,146.5
mlt,2018,144.5
mlt,2019,145.8
mlt,2020,131
mlt,2021,128.7
mlt,2022,147.7
mlt,2023,161.5
mlt,2024,177.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,10869
nld,2009,11485
nld,2010,11120
nld,2011,11422
nld,2012,12465
nld,2013,12747
nld,2014,13315
nld,2015,13457
nld,2016,13968
nld,2017,14414
nld,2018,14945
nld,2019,15185
nld,2020,15523
nld,2021,15832
nld,2022,16561
nld,2023,22649
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4837.7
aut,2009,5141.8
aut,2010,5254.6
aut,2011,5098.5
aut,2012,5515.7
aut,2013,5365.5
