country,year,foradl_lop_lufttransp
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,25224.2
eu_three,2009,25284.9
eu_three,2010,27835.3
eu_three,2011,26429
eu_three,2012,26094.3
eu_three,2013,27190.8
eu_three,2014,25521.7
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,547.2
bel,2009,522.9
bel,2010,498.4
bel,2011,454.9
bel,2012,437.4
bel,2013,465.6
bel,2014,479
bel,2015,554.9
bel,2016,524.1
bel,2017,533.1
bel,2018,541
bel,2019,538.7
bel,2020,104.2
bel,2021,319.1
bel,2022,401.2
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,40.4
bgr,2009,55.4
bgr,2010,68.4
bgr,2011,59.7
bgr,2012,85.3
bgr,2013,74.3
bgr,2014,104.6
bgr,2015,126.2
bgr,2016,81.1
bgr,2017,94.8
bgr,2018,84.3
bgr,2019,98.3
bgr,2020,15.6
bgr,2021,57.9
bgr,2022,107.8
bgr,2023,159.3
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,406.5
cze,2009,303.9
cze,2010,255.1
cze,2011,203.2
cze,2012,164.7
cze,2013,146.3
cze,2014,131.6
cze,2015,117.2
cze,2016,139
cze,2017,156.7
cze,2018,132.9
cze,2019,125.4
cze,2020,73.9
cze,2021,88.2
cze,2022,145.6
cze,2023,178.7
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,220.2
dnk,2009,456.5
dnk,2010,256.6
dnk,2011,684.5
dnk,2012,715.9
dnk,2013,648.7
dnk,2014,496.3
dnk,2015,606
dnk,2016,700.9
dnk,2017,772.1
dnk,2018,710.2
dnk,2019,660.5
dnk,2020,258.7
dnk,2021,141.6
dnk,2022,320.6
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,6275
deu,2009,7735
deu,2010,8886
deu,2011,7982
deu,2012,7592
deu,2013,8527
deu,2014,7066
deu,2015,11789
deu,2016,8997
deu,2017,10811
deu,2018,10735
deu,2019,6361
deu,2020,1673
deu,2021,5835
deu,2022,9169
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,10.5
est,2009,10.7
est,2010,11.9
est,2011,6.9
est,2012,-2.5
est,2013,13.3
est,2014,13.4
est,2015,20.1
est,2016,-2.6
est,2017,27
est,2018,16.4
est,2019,16.4
est,2020,8.6
est,2021,20.2
est,2022,24.9
est,2023,40.7
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,847.8
irl,2009,1386.2
irl,2010,1443.3
irl,2011,1353.2
irl,2012,1403.5
irl,2013,1448.1
irl,2014,1799.5
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,704.2
grc,2009,738.6
grc,2010,513.9
grc,2011,584.5
grc,2012,610.6
grc,2013,619.5
grc,2014,527.2
grc,2015,564.1
grc,2016,581.9
grc,2017,788.4
grc,2018,709.1
grc,2019,685.3
grc,2020,375.7
grc,2021,551.2
grc,2022,999.7
grc,2023,1283
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,2079
esp,2009,2055
esp,2010,2192
esp,2011,2033
esp,2012,1962
esp,2013,2119
esp,2014,2177
esp,2015,2329
esp,2016,2463
esp,2017,2718
esp,2018,3472
esp,2019,3558
esp,2020,-229
esp,2021,669
esp,2022,3192
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,4457.7
fra,2009,3990.7
fra,2010,4926.8
fra,2011,4763.4
fra,2012,4957.3
fra,2013,5086.2
fra,2014,5160.7
fra,2015,6183.5
fra,2016,6136.4
fra,2017,6315.4
fra,2018,5561.6
fra,2019,6488
fra,2020,2299.1
fra,2021,4906.4
fra,2022,8215.7
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,91.4
hrv,2009,60.5
hrv,2010,51.6
hrv,2011,50.2
hrv,2012,49.6
hrv,2013,65.2
hrv,2014,50.1
hrv,2015,42.8
hrv,2016,40.2
hrv,2017,42.5
hrv,2018,43.5
hrv,2019,21.3
hrv,2020,4.6
hrv,2021,31
hrv,2022,56
hrv,2023,58.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,1696.4
ita,2009,1533
ita,2010,1454.8
ita,2011,1804
ita,2012,835.2
ita,2013,582
ita,2014,585.8
ita,2015,722.1
ita,2016,1717
ita,2017,2082.7
ita,2018,2360.6
ita,2019,2961.3
ita,2020,965
ita,2021,363.9
ita,2022,695.8
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,58.5
cyp,2009,38.7
cyp,2010,18.2
cyp,2011,17.2
cyp,2012,4.6
cyp,2013,3.1
cyp,2014,6
cyp,2015,2.6
cyp,2016,-19.5
cyp,2017,-27.6
cyp,2018,-28.7
cyp,2019,-10.3
cyp,2020,-6.7
cyp,2021,-9.5
cyp,2022,-12.4
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,93.2
lva,2009,87.2
lva,2010,0.7
lva,2011,-21.4
lva,2012,33.8
lva,2013,64.2
lva,2014,58
lva,2015,42
lva,2016,71.6
lva,2017,91.5
lva,2018,154
lva,2019,148.9
lva,2020,-112.3
lva,2021,-21.4
lva,2022,47.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,18.7
ltu,2009,26.1
ltu,2010,23.7
ltu,2011,21.2
ltu,2012,23.8
ltu,2013,25.9
ltu,2014,33.1
ltu,2015,38.4
ltu,2016,27.9
ltu,2017,60.2
ltu,2018,74.3
ltu,2019,113
ltu,2020,16
ltu,2021,28.7
ltu,2022,77.5
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,73.1
hun,2009,125
hun,2010,113.9
hun,2011,149.7
hun,2012,185.1
hun,2013,293.5
hun,2014,350.5
hun,2015,539.2
hun,2016,617.1
hun,2017,693.4
hun,2018,651.6
hun,2019,801.1
hun,2020,175.3
hun,2021,-96.7
hun,2022,28.5
hun,2023,89.7
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,118
mlt,2018,117.4
mlt,2019,134.6
mlt,2020,-212.9
mlt,2021,95.9
mlt,2022,191.3
mlt,2023,244.8
mlt,2024,353.4
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,3394
nld,2009,2335
nld,2010,2887
nld,2011,2312
nld,2012,2369
nld,2013,2577
nld,2014,2612
nld,2015,3651
nld,2016,4078
nld,2017,4077
nld,2018,3980
nld,2019,3785
nld,2020,1678
nld,2021,1548
nld,2022,3642
nld,2023,4519
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,776.6
aut,2009,740.3
aut,2010,680.3
aut,2011,577.6
aut,2012,596
aut,2013,460.3
aut,2014,599.4
aut,2015,756.9
aut,2016,767
aut,2017,884.4
aut,2018,931.2
aut,2019,933.4
aut,2020,55.1
aut,2021,335.6
aut,2022,962.6
aut,2023,1380.9
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,
pol,2009,
pol,2010,
pol,2011,
pol,2012,
pol,2013,
pol,2014,
pol,2015,
