country,year,foradl_lop_magasin
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,167939.8
eu_three,2009,160913.9
eu_three,2010,171873.7
eu_three,2011,181906
eu_three,2012,186067.5
eu_three,2013,188407.6
eu_three,2014,196049.3
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,9274.5
bel,2009,9483
bel,2010,9406.4
bel,2011,9942.7
bel,2012,10182.8
bel,2013,9802.2
bel,2014,9908.8
bel,2015,10495.6
bel,2016,10467.4
bel,2017,10929.9
bel,2018,11211.5
bel,2019,11492.4
bel,2020,11318.1
bel,2021,12653.4
bel,2022,14106.3
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,509.1
bgr,2009,517.9
bgr,2010,454.8
bgr,2011,511.1
bgr,2012,519.1
bgr,2013,586.5
bgr,2014,609
bgr,2015,621.7
bgr,2016,654
bgr,2017,686.8
bgr,2018,768.5
bgr,2019,867.9
bgr,2020,713.9
bgr,2021,803.9
bgr,2022,941.9
bgr,2023,1115.1
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2901.7
cze,2009,2959.4
cze,2010,3189.8
cze,2011,3294.1
cze,2012,3303
cze,2013,3228.6
cze,2014,3155.8
cze,2015,3325.7
cze,2016,3506.6
cze,2017,3973.4
cze,2018,4329.2
cze,2019,4613.6
cze,2020,4278.9
cze,2021,4846.4
cze,2022,5858.3
cze,2023,6190.9
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,3013.3
dnk,2009,2999.8
dnk,2010,3079.7
dnk,2011,3080.5
dnk,2012,3027.4
dnk,2013,3498.3
dnk,2014,3406
dnk,2015,3279.6
dnk,2016,3327.6
dnk,2017,3506.5
dnk,2018,3377.2
dnk,2019,3833
dnk,2020,3367.6
dnk,2021,4063
dnk,2022,5022.2
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,41058
deu,2009,36122
deu,2010,38320
deu,2011,40242
deu,2012,41803
deu,2013,43885
deu,2014,45958
deu,2015,46156
deu,2016,47977
deu,2017,48275
deu,2018,51992
deu,2019,55247
deu,2020,52937
deu,2021,60165
deu,2022,58669
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,441.9
est,2009,460.3
est,2010,565.9
est,2011,663.4
est,2012,726.9
est,2013,754.5
est,2014,835.9
est,2015,775.1
est,2016,731.1
est,2017,733.2
est,2018,742.9
est,2019,767.9
est,2020,678.1
est,2021,771.7
est,2022,859.2
est,2023,718.5
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1405.3
irl,2009,1354.3
irl,2010,1136.2
irl,2011,1357
irl,2012,1359.7
irl,2013,1526.1
irl,2014,1423.2
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1227
grc,2009,1624.2
grc,2010,2028.8
grc,2011,1738.7
grc,2012,1540.8
grc,2013,1436.9
grc,2014,1513.6
grc,2015,2099.9
grc,2016,2175.6
grc,2017,2626.8
grc,2018,2643.3
grc,2019,2744.6
grc,2020,2381.9
grc,2021,2964.6
grc,2022,3384.9
grc,2023,3496
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,13931
esp,2009,13962
esp,2010,15221
esp,2011,16663
esp,2012,16047
esp,2013,15466
esp,2014,16390
esp,2015,17693
esp,2016,17701
esp,2017,18882
esp,2018,20017
esp,2019,20503
esp,2020,15684
esp,2021,17393
esp,2022,21002
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,29911.8
fra,2009,29633.5
fra,2010,31215.1
fra,2011,32672.7
fra,2012,32716.9
fra,2013,32392.3
fra,2014,33385.9
fra,2015,33825.7
fra,2016,35187.8
fra,2017,37127
fra,2018,37919.1
fra,2019,40705.5
fra,2020,37114.7
fra,2021,43638.7
fra,2022,49437
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,765.9
hrv,2009,671.3
hrv,2010,722
hrv,2011,717.1
hrv,2012,717.5
hrv,2013,612.5
hrv,2014,547.2
hrv,2015,625.3
hrv,2016,630.3
hrv,2017,739.5
hrv,2018,791.5
hrv,2019,857.4
hrv,2020,785.6
hrv,2021,889.8
hrv,2022,1166.4
hrv,2023,1230.7
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,25412.7
ita,2009,26096.4
ita,2010,27789.3
ita,2011,28661.9
ita,2012,29149.4
ita,2013,29670.5
ita,2014,30633.3
ita,2015,30102.9
ita,2016,31168.3
ita,2017,32465
ita,2018,33784
ita,2019,34018.3
ita,2020,29596.2
ita,2021,34755.5
ita,2022,40001.3
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,352.3
cyp,2009,394.8
cyp,2010,458.6
cyp,2011,480.8
cyp,2012,412
cyp,2013,370.7
cyp,2014,418.4
cyp,2015,436.9
cyp,2016,499.8
cyp,2017,562.3
cyp,2018,617.5
cyp,2019,684.3
cyp,2020,462.8
cyp,2021,564.1
cyp,2022,706.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,808.9
lva,2009,717.2
lva,2010,724.9
lva,2011,822.1
lva,2012,930.5
lva,2013,938.2
lva,2014,897.1
lva,2015,945
lva,2016,872.5
lva,2017,884.6
lva,2018,989.5
lva,2019,719.5
lva,2020,812.1
lva,2021,821
lva,2022,940.7
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,827.2
ltu,2009,765.1
ltu,2010,752
ltu,2011,872
ltu,2012,1074.5
ltu,2013,1165
ltu,2014,1162.2
ltu,2015,1101.2
ltu,2016,1113.7
ltu,2017,1192.9
ltu,2018,1324.5
ltu,2019,1440.4
ltu,2020,1507.6
ltu,2021,1631.1
ltu,2022,1769.9
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1781.8
hun,2009,1640.6
hun,2010,1979.3
hun,2011,2174.5
hun,2012,2181.7
hun,2013,2053.5
hun,2014,2139.1
hun,2015,2038.9
hun,2016,2068.5
hun,2017,2067
hun,2018,2238.7
hun,2019,2387.6
hun,2020,2245.3
hun,2021,2414
hun,2022,2889.2
hun,2023,3104.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,371.9
mlt,2018,377.4
mlt,2019,397.5
mlt,2020,292.4
mlt,2021,352.8
mlt,2022,402.9
mlt,2023,431.6
mlt,2024,473.5
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,8245
nld,2009,7770
nld,2010,8386
nld,2011,9072
nld,2012,9543
nld,2013,9817
nld,2014,10600
nld,2015,11237
nld,2016,11086
nld,2017,11787
nld,2018,12249
nld,2019,12932
nld,2020,12478
nld,2021,13950
nld,2022,17429
nld,2023,15296
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,5474.8
aut,2009,5263
aut,2010,5562.3
aut,2011,5847.7
aut,2012,6118.4
aut,2013,6186.3
aut,2014,6503.5
aut,2015,6737.4
aut,2016,7055.2
aut,2017,7288.5
aut,2018,7510.5
aut,2019,7913.9
aut,2020,7455.8
aut,2021,7659.1
aut,2022,8523.3
aut,2023,8273.7
aut,2024,
pol,2000,
pol,2001,
