country,year,foradl_lop_med_verk
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,62996.4
eu_three,2009,64077
eu_three,2010,66934.7
eu_three,2011,69678.5
eu_three,2012,71834.7
eu_three,2013,72729.2
eu_three,2014,74654.8
eu_three,2015,76644.6
eu_three,2016,79106.9
eu_three,2017,81456.5
eu_three,2018,83400.8
eu_three,2019,86323.7
eu_three,2020,86457.1
eu_three,2021,88339.8
eu_three,2022,92706
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2094.7
bel,2009,1942
bel,2010,2093.6
bel,2011,2196.2
bel,2012,2226.1
bel,2013,2287.3
bel,2014,2395.4
bel,2015,2333.2
bel,2016,2455.3
bel,2017,2474
bel,2018,2643.6
bel,2019,2676.8
bel,2020,2683.1
bel,2021,2967.4
bel,2022,3169.5
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,107.4
bgr,2009,123.2
bgr,2010,119.4
bgr,2011,113.6
bgr,2012,127.5
bgr,2013,165.3
bgr,2014,157.2
bgr,2015,147.6
bgr,2016,131.3
bgr,2017,147.4
bgr,2018,164.6
bgr,2019,169.3
bgr,2020,163.2
bgr,2021,173.5
bgr,2022,176.1
bgr,2023,350.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,408.5
cze,2009,399.6
cze,2010,412
cze,2011,411.6
cze,2012,406.9
cze,2013,412.2
cze,2014,392.8
cze,2015,393.3
cze,2016,408.2
cze,2017,471
cze,2018,520.2
cze,2019,511.6
cze,2020,495.4
cze,2021,539.3
cze,2022,635.3
cze,2023,715
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1930
dnk,2009,1961.8
dnk,2010,2045.6
dnk,2011,2126.1
dnk,2012,2129.8
dnk,2013,2118.1
dnk,2014,2095.1
dnk,2015,2100.5
dnk,2016,2170.4
dnk,2017,2263.8
dnk,2018,2287.4
dnk,2019,2373.7
dnk,2020,2420.5
dnk,2021,2545.3
dnk,2022,2719.9
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,23852
deu,2009,24441
deu,2010,25336
deu,2011,26316
deu,2012,27215
deu,2013,27471
deu,2014,28065
deu,2015,28615
deu,2016,29558
deu,2017,30501
deu,2018,31316
deu,2019,32379
deu,2020,32782
deu,2021,32913
deu,2022,33854
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,58.2
est,2009,60.1
est,2010,60.5
est,2011,66.9
est,2012,71
est,2013,76.8
est,2014,80.6
est,2015,85.1
est,2016,87.9
est,2017,95.8
est,2018,101.6
est,2019,102.7
est,2020,102.9
est,2021,109.7
est,2022,121.9
est,2023,137.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,300.5
irl,2009,324.6
irl,2010,512.9
irl,2011,594.2
irl,2012,615.2
irl,2013,648
irl,2014,627.8
irl,2015,649.8
irl,2016,653.7
irl,2017,709.4
irl,2018,742.6
irl,2019,746.3
irl,2020,692.8
irl,2021,726.4
irl,2022,987.4
irl,2023,891.1
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,790.8
grc,2009,849.1
grc,2010,806.5
grc,2011,601.7
grc,2012,830.8
grc,2013,887.9
grc,2014,907.4
grc,2015,858.4
grc,2016,857.5
grc,2017,848.9
grc,2018,853.5
grc,2019,895.5
grc,2020,957.6
grc,2021,1064.8
grc,2022,910
grc,2023,938.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,5291
esp,2009,5650
esp,2010,6016
esp,2011,6390
esp,2012,6633
esp,2013,7059
esp,2014,7493
esp,2015,8203
esp,2016,9088
esp,2017,9348
esp,2018,9342
esp,2019,10203
esp,2020,9768
esp,2021,8570
esp,2022,9487
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,11295.8
fra,2009,11773.3
fra,2010,12271.9
fra,2011,12717.8
fra,2012,13005.9
fra,2013,13332
fra,2014,13651.3
fra,2015,13867.2
fra,2016,14115.5
fra,2017,14479
fra,2018,14619.8
fra,2019,15011.4
fra,2020,14615.5
fra,2021,15848
fra,2022,16817.2
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,128.8
hrv,2009,163.9
hrv,2010,177.7
hrv,2011,186
hrv,2012,204.4
hrv,2013,200.9
hrv,2014,226.1
hrv,2015,218.5
hrv,2016,247.2
hrv,2017,244.6
hrv,2018,261.7
hrv,2019,255.3
hrv,2020,244.2
hrv,2021,262.9
hrv,2022,282.5
hrv,2023,335.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,4028.6
ita,2009,4158.4
ita,2010,4173.2
ita,2011,4362.1
ita,2012,4202.5
ita,2013,4271.2
ita,2014,4416.6
ita,2015,4484.6
ita,2016,4590.3
ita,2017,4665.2
ita,2018,4783.8
ita,2019,4727.2
ita,2020,4992.4
ita,2021,5100.1
ita,2022,5496.6
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,76.8
cyp,2009,81.4
cyp,2010,82.3
cyp,2011,69.9
cyp,2012,67.8
cyp,2013,66.2
cyp,2014,70.6
cyp,2015,74.9
cyp,2016,77.8
cyp,2017,81.2
cyp,2018,83.7
cyp,2019,92.3
cyp,2020,96.1
cyp,2021,97.5
cyp,2022,97.7
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,51.3
lva,2009,49.3
lva,2010,33.5
lva,2011,45.3
lva,2012,53.9
lva,2013,56.8
lva,2014,64.9
lva,2015,65
lva,2016,68.9
lva,2017,79.4
lva,2018,85.6
lva,2019,83.2
lva,2020,81.6
lva,2021,84.9
lva,2022,93.6
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,37.7
ltu,2009,34.3
ltu,2010,34.6
ltu,2011,40.9
ltu,2012,43.8
ltu,2013,48.4
ltu,2014,55.3
ltu,2015,52.2
ltu,2016,53.9
ltu,2017,57
ltu,2018,63
ltu,2019,69.3
ltu,2020,75
ltu,2021,67.8
ltu,2022,71
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,127.7
lux,2009,152.6
lux,2010,161.1
lux,2011,171.7
lux,2012,177.6
lux,2013,176.7
lux,2014,181.9
lux,2015,183.6
lux,2016,184.8
lux,2017,194.3
lux,2018,199.8
lux,2019,213.1
lux,2020,223.4
lux,2021,232.2
lux,2022,246.8
lux,2023,274.5
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,559.6
hun,2009,506.3
hun,2010,477.4
hun,2011,485.9
hun,2012,465.2
hun,2013,458.5
hun,2014,458.2
hun,2015,495.5
hun,2016,500.9
hun,2017,556.6
hun,2018,596.6
hun,2019,697.6
hun,2020,667.3
hun,2021,721
hun,2022,790.9
hun,2023,986.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,22.1
mlt,2010,
mlt,2011,23.5
mlt,2012,24.3
mlt,2013,24.8
mlt,2014,25.7
mlt,2015,26.2
mlt,2016,
mlt,2017,27
mlt,2018,28.4
mlt,2019,31.8
mlt,2020,36.1
mlt,2021,38.9
mlt,2022,39.1
mlt,2023,41
mlt,2024,43
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,3169
nld,2009,3337
nld,2010,3436
nld,2011,3604
nld,2012,3465
nld,2013,3481
nld,2014,3548
nld,2015,3462
nld,2016,3567
nld,2017,3624
nld,2018,3720
nld,2019,3955
nld,2020,4014
nld,2021,4354
nld,2022,4306
nld,2023,4439
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1885.4
aut,2009,1898
aut,2010,1957.9
aut,2011,2007.1
aut,2012,2090.8
aut,2013,2179.1
aut,2014,2174.3
aut,2015,2255.2
aut,2016,2346.6
aut,2017,2540
aut,2018,2668.1
aut,2019,2767.5
aut,2020,2766.1
