country,year,foradl_lop_mobel_smyck
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,138154.2
eu_three,2009,130201.1
eu_three,2010,134535.4
eu_three,2011,141884.1
eu_three,2012,144006.7
eu_three,2013,142413.2
eu_three,2014,147850.6
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1878
bel,2009,2562.2
bel,2010,2585.3
bel,2011,2799.3
bel,2012,2733.3
bel,2013,2809.2
bel,2014,2881.4
bel,2015,3037.5
bel,2016,3079.8
bel,2017,3228.2
bel,2018,3220
bel,2019,3614.6
bel,2020,3065.6
bel,2021,3088.2
bel,2022,3789.9
bel,2023,4045
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,390.1
bgr,2009,382.8
bgr,2010,364
bgr,2011,431.1
bgr,2012,491
bgr,2013,515
bgr,2014,612.4
bgr,2015,625.1
bgr,2016,702.4
bgr,2017,758.3
bgr,2018,757.6
bgr,2019,833.5
bgr,2020,724.6
bgr,2021,846.9
bgr,2022,1020.3
bgr,2023,1133.9
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2850
cze,2009,2519.3
cze,2010,2575.3
cze,2011,2874.4
cze,2012,2744.9
cze,2013,2744.3
cze,2014,2686.7
cze,2015,2736.7
cze,2016,3043.8
cze,2017,3221.9
cze,2018,3489.4
cze,2019,3842.9
cze,2020,3659.4
cze,2021,3922.7
cze,2022,4500.1
cze,2023,4821.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2588.6
dnk,2009,2464.1
dnk,2010,2559.3
dnk,2011,2826.5
dnk,2012,3071.4
dnk,2013,3097.6
dnk,2014,3051.3
dnk,2015,3343.7
dnk,2016,3661
dnk,2017,3422
dnk,2018,3420.1
dnk,2019,3458.3
dnk,2020,3571.8
dnk,2021,4345.6
dnk,2022,4455.2
dnk,2023,5390.1
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,32506
deu,2009,30574
deu,2010,33469
deu,2011,36494
deu,2012,36964
deu,2013,36645
deu,2014,38424
deu,2015,40071
deu,2016,40414
deu,2017,41548
deu,2018,40029
deu,2019,44135
deu,2020,44043
deu,2021,45307
deu,2022,49265
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,255.5
est,2009,202.8
est,2010,224.5
est,2011,251.6
est,2012,279.9
est,2013,296.7
est,2014,321.8
est,2015,341.2
est,2016,350.4
est,2017,386.1
est,2018,454.9
est,2019,513.5
est,2020,443.1
est,2021,484
est,2022,497.3
est,2023,571.6
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,3891.6
irl,2009,4055.4
irl,2010,3178.5
irl,2011,4475.8
irl,2012,3836.4
irl,2013,4341.7
irl,2014,5254.9
irl,2015,7416
irl,2016,4983
irl,2017,7582
irl,2018,6192.4
irl,2019,9954.8
irl,2020,9170.4
irl,2021,11352
irl,2022,13049.7
irl,2023,12146.4
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1123.5
grc,2009,1154
grc,2010,1125.4
grc,2011,946.8
grc,2012,900.5
grc,2013,883.7
grc,2014,829.6
grc,2015,976.8
grc,2016,902.2
grc,2017,785.1
grc,2018,750
grc,2019,809
grc,2020,642.9
grc,2021,723.7
grc,2022,640.3
grc,2023,881.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,11637
esp,2009,10909
esp,2010,10269
esp,2011,9731
esp,2012,9466
esp,2013,8982
esp,2014,9160
esp,2015,9779
esp,2016,9859
esp,2017,10225
esp,2018,10489
esp,2019,11187
esp,2020,10069
esp,2021,10983
esp,2022,11866
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,28337.3
fra,2009,28947.6
fra,2010,29197.8
fra,2011,30298.7
fra,2012,31488.6
fra,2013,31378.4
fra,2014,32036.9
fra,2015,32810.7
fra,2016,32764.1
fra,2017,32764.5
fra,2018,33549.6
fra,2019,35509.3
fra,2020,33882.9
fra,2021,36611.4
fra,2022,35976.5
fra,2023,40363.5
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,415.2
hrv,2009,364.5
hrv,2010,362.8
hrv,2011,350.3
hrv,2012,334.9
hrv,2013,339.8
hrv,2014,354.8
hrv,2015,389.8
hrv,2016,427.4
hrv,2017,509.4
hrv,2018,534.6
hrv,2019,473.3
hrv,2020,558.2
hrv,2021,622.8
hrv,2022,851.8
hrv,2023,1088.5
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,22965.6
ita,2009,20293.9
ita,2010,20396.2
ita,2011,20810.7
ita,2012,20222.6
ita,2013,20128.4
ita,2014,20403.9
ita,2015,21266.8
ita,2016,22382.8
ita,2017,22734.6
ita,2018,23265.1
ita,2019,23982.3
ita,2020,21282.9
ita,2021,24201.3
ita,2022,26184.6
ita,2023,28190.4
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,60
cyp,2009,59.2
cyp,2010,62.9
cyp,2011,59
cyp,2012,60.9
cyp,2013,60.1
cyp,2014,66.4
cyp,2015,78.3
cyp,2016,94.7
cyp,2017,126.1
cyp,2018,146.1
cyp,2019,163.4
cyp,2020,131.2
cyp,2021,151.7
cyp,2022,176.6
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,264.8
lva,2009,242.3
lva,2010,228.5
lva,2011,225.8
lva,2012,286.9
lva,2013,261.3
lva,2014,245.8
lva,2015,258
lva,2016,255.7
lva,2017,272.5
lva,2018,266.2
lva,2019,275
lva,2020,302.7
lva,2021,369.4
lva,2022,391.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,669.7
ltu,2009,566.8
ltu,2010,610.1
ltu,2011,764.6
ltu,2012,911.9
ltu,2013,1001.1
ltu,2014,1090
ltu,2015,1130.4
ltu,2016,1152.7
ltu,2017,1255.7
ltu,2018,1399.4
ltu,2019,1492.1
ltu,2020,1482.8
ltu,2021,1702.1
ltu,2022,2003.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,880.9
hun,2009,888
hun,2010,965.8
hun,2011,973.8
hun,2012,997.1
hun,2013,1055.3
hun,2014,1084.6
hun,2015,1165.3
hun,2016,1297.3
hun,2017,1412.1
hun,2018,1527.5
hun,2019,1760.8
hun,2020,1703
hun,2021,1831.9
hun,2022,2009
hun,2023,2404.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,212
mlt,2009,157.6
mlt,2010,134.7
mlt,2011,155.6
mlt,2012,162.3
mlt,2013,172.4
mlt,2014,187.5
mlt,2015,188.8
mlt,2016,194.2
mlt,2017,209.1
mlt,2018,222
mlt,2019,225.7
mlt,2020,222.8
mlt,2021,227.5
mlt,2022,245.8
mlt,2023,238.3
mlt,2024,308.7
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,5563
nld,2009,5077
nld,2010,5019
nld,2011,5285
nld,2012,5480
nld,2013,5142
nld,2014,5276
nld,2015,5438
nld,2016,5510
nld,2017,6087
nld,2018,6554
nld,2019,6593
nld,2020,6531
nld,2021,6993
nld,2022,7647
nld,2023,9019
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4067.4
aut,2009,3649.8
aut,2010,4174.5
aut,2011,4231.7
aut,2012,4470.5
aut,2013,4471.7
aut,2014,4572.8
aut,2015,4508.1
aut,2016,4795.4
aut,2017,4893
aut,2018,4979.5
aut,2019,5077.8
aut,2020,4809.2
