country,year,foradl_lop_motor_transp
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,190401.6
eu_three,2009,156181.5
eu_three,2010,194412.7
eu_three,2011,210434.6
eu_three,2012,207355.2
eu_three,2013,214931.7
eu_three,2014,235549
eu_three,2015,253286.9
eu_three,2016,274400.2
eu_three,2017,287128.5
eu_three,2018,293017
eu_three,2019,296003.4
eu_three,2020,249701.1
eu_three,2021,286298.3
eu_three,2022,315005.6
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3567.1
bel,2009,2900.1
bel,2010,3251.4
bel,2011,3457.5
bel,2012,3502.3
bel,2013,3653.5
bel,2014,3648.3
bel,2015,3186.8
bel,2016,3050.2
bel,2017,3277.8
bel,2018,3256.2
bel,2019,3313
bel,2020,2663.5
bel,2021,2564.6
bel,2022,2971.3
bel,2023,3404.4
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,119.2
bgr,2009,115.5
bgr,2010,178.5
bgr,2011,172.8
bgr,2012,184.8
bgr,2013,190.7
bgr,2014,247.6
bgr,2015,287.7
bgr,2016,305.9
bgr,2017,347.3
bgr,2018,341.1
bgr,2019,369.3
bgr,2020,455.7
bgr,2021,544.8
bgr,2022,525.5
bgr,2023,819.9
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,6164.3
cze,2009,5404.1
cze,2010,6549.5
cze,2011,7330.5
cze,2012,6985.7
cze,2013,6865.5
cze,2014,7879.8
cze,2015,8674.5
cze,2016,9734.8
cze,2017,10419.4
cze,2018,10767.9
cze,2019,11786.4
cze,2020,9237.5
cze,2021,10061.9
cze,2022,11482.4
cze,2023,14005
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,693.7
dnk,2009,460.4
dnk,2010,562.2
dnk,2011,634.6
dnk,2012,517
dnk,2013,454.4
dnk,2014,456.1
dnk,2015,547.7
dnk,2016,610.8
dnk,2017,622
dnk,2018,567
dnk,2019,589.7
dnk,2020,525.4
dnk,2021,597.6
dnk,2022,590.7
dnk,2023,863.8
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,83015
deu,2009,65519
deu,2010,93443
deu,2011,105950
deu,2012,109061
deu,2013,110721
deu,2014,124790
deu,2015,132055
deu,2016,144753
deu,2017,151451
deu,2018,150713
deu,2019,148279
deu,2020,125970
deu,2021,148940
deu,2022,167762
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,91.6
est,2009,60
est,2010,102.8
est,2011,108.8
est,2012,108.5
est,2013,111.8
est,2014,112
est,2015,122.2
est,2016,123.5
est,2017,116.4
est,2018,134
est,2019,129.2
est,2020,132.7
est,2021,127.8
est,2022,165.8
est,2023,187.7
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,428.9
irl,2009,242.3
irl,2010,209.2
irl,2011,222.8
irl,2012,223.6
irl,2013,251.2
irl,2014,280.9
irl,2015,336.8
irl,2016,354.6
irl,2017,364.6
irl,2018,406.1
irl,2019,384.9
irl,2020,328.5
irl,2021,393.4
irl,2022,483.2
irl,2023,520.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,535.1
grc,2009,590.1
grc,2010,318.8
grc,2011,397.3
grc,2012,160.1
grc,2013,321.1
grc,2014,229.5
grc,2015,400.8
grc,2016,350.7
grc,2017,407.4
grc,2018,468.7
grc,2019,476.2
grc,2020,392.8
grc,2021,411.6
grc,2022,481.2
grc,2023,491.1
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,14776
esp,2009,13091
esp,2010,12330
esp,2011,12974
esp,2012,11751
esp,2013,13343
esp,2014,14392
esp,2015,14742
esp,2016,14876
esp,2017,15858
esp,2018,17113
esp,2019,17245
esp,2020,15316
esp,2021,16057
esp,2022,17847
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,26858.2
fra,2009,24041.6
fra,2010,26391.3
fra,2011,24786
fra,2012,25555
fra,2013,26554
fra,2014,27392.9
fra,2015,30402.6
fra,2016,30976.8
fra,2017,30919.3
fra,2018,34241.6
fra,2019,36030.1
fra,2020,26700.8
fra,2021,29740
fra,2022,32707.5
fra,2023,36011.9
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,301.5
hrv,2009,286.6
hrv,2010,276.6
hrv,2011,260.3
hrv,2012,229.2
hrv,2013,98.5
hrv,2014,125.3
hrv,2015,122.8
hrv,2016,149.8
hrv,2017,144.6
hrv,2018,129.3
hrv,2019,254.8
hrv,2020,149.2
hrv,2021,173.2
hrv,2022,261.7
hrv,2023,345.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,20150.8
ita,2009,16068.3
ita,2010,17201.8
ita,2011,16882.9
ita,2012,15403.7
ita,2013,15452.9
ita,2014,17025.4
ita,2015,18287.3
ita,2016,21289.5
ita,2017,23059
ita,2018,23265.5
ita,2019,22715.8
ita,2020,19205.3
ita,2021,23638.5
ita,2022,26165.4
ita,2023,28667.6
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,7
cyp,2009,7.4
cyp,2010,6.3
cyp,2011,5.3
cyp,2012,3.1
cyp,2013,2.9
cyp,2014,3.1
cyp,2015,4.4
cyp,2016,5.4
cyp,2017,5.7
cyp,2018,6.4
cyp,2019,6.6
cyp,2020,6.6
cyp,2021,7.9
cyp,2022,10.2
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,72.2
lva,2009,38.8
lva,2010,49.1
lva,2011,65.5
lva,2012,74
lva,2013,76.1
lva,2014,88.4
lva,2015,81.5
lva,2016,91.1
lva,2017,97.5
lva,2018,104.6
lva,2019,94.3
lva,2020,96.5
lva,2021,112.5
lva,2022,140.4
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,207.2
ltu,2009,127.4
ltu,2010,145.1
ltu,2011,128.8
ltu,2012,162.4
ltu,2013,186
ltu,2014,182.1
ltu,2015,195.6
ltu,2016,217.1
ltu,2017,256
ltu,2018,279.9
ltu,2019,309.3
ltu,2020,311.6
ltu,2021,376.7
ltu,2022,442.5
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,3553.9
hun,2009,2485.7
hun,2010,3189.7
hun,2011,3061.8
hun,2012,2722.9
hun,2013,3459.8
hun,2014,3969.4
hun,2015,4690.1
hun,2016,5088.7
hun,2017,5060.5
hun,2018,5229.6
hun,2019,5135.7
hun,2020,4540.2
hun,2021,4228.7
hun,2022,4672.3
hun,2023,5773.1
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,29.7
mlt,2009,30.6
mlt,2010,30.2
mlt,2011,33.2
mlt,2012,41.7
mlt,2013,49.2
mlt,2014,55.3
mlt,2015,59.7
mlt,2016,65.6
mlt,2017,71.4
mlt,2018,62.2
mlt,2019,64.4
mlt,2020,60.1
mlt,2021,69.7
mlt,2022,70
mlt,2023,68.5
mlt,2024,83.6
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4513
nld,2009,3084
nld,2010,3585
nld,2011,3599
nld,2012,3203
nld,2013,3284
nld,2014,3186
nld,2015,3449
nld,2016,3542
nld,2017,4110
nld,2018,4292
nld,2019,4466
nld,2020,4235
nld,2021,4333
nld,2022,4877
nld,2023,5836
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4874.1
aut,2009,3980.3
aut,2010,3904.7
aut,2011,4278.2
aut,2012,4463.3
aut,2013,4629
aut,2014,4750.2
aut,2015,4744.5
aut,2016,5280.5
aut,2017,5196.8
aut,2018,6027
aut,2019,6107.7
aut,2020,5754
