country,year,foradl_lop_offent_forsvar
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,654171.1
eu_three,2009,672298.4
eu_three,2010,687650.9
eu_three,2011,696936.3
eu_three,2012,700560.4
eu_three,2013,709707.7
eu_three,2014,712680.3
eu_three,2015,717803.7
eu_three,2016,731439.3
eu_three,2017,752241.2
eu_three,2018,774785
eu_three,2019,802007.1
eu_three,2020,821296.5
eu_three,2021,854111.3
eu_three,2022,904607.2
eu_three,2023,960344.4
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,23750.1
bel,2009,24662
bel,2010,25356.1
bel,2011,26236.8
bel,2012,27247.9
bel,2013,28206
bel,2014,28656.2
bel,2015,28401
bel,2016,29218.2
bel,2017,29788.2
bel,2018,30621.5
bel,2019,31669.9
bel,2020,32659.4
bel,2021,34043.8
bel,2022,37338.1
bel,2023,40626.1
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,1985.2
bgr,2009,2161.4
bgr,2010,2125.7
bgr,2011,2173.4
bgr,2012,2256
bgr,2013,2452.9
bgr,2014,2723.6
bgr,2015,2655.2
bgr,2016,2556.4
bgr,2017,2932.8
bgr,2018,3166.1
bgr,2019,3474.3
bgr,2020,3802.8
bgr,2021,4294.3
bgr,2022,4745.9
bgr,2023,5424.5
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,9474.6
cze,2009,9123.4
cze,2010,9498.9
cze,2011,9273.2
cze,2012,9051.1
cze,2013,8850
cze,2014,8575.5
cze,2015,9113.9
cze,2016,9569.8
cze,2017,10413.8
cze,2018,11607.2
cze,2019,12342.6
cze,2020,12593.5
cze,2021,13443.1
cze,2022,14905.4
cze,2023,16421.2
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,11691.1
dnk,2009,12187.4
dnk,2010,12608.9
dnk,2011,12366.8
dnk,2012,12574.9
dnk,2013,12349.2
dnk,2014,12283.8
dnk,2015,12436.2
dnk,2016,12413.4
dnk,2017,12511
dnk,2018,12755.7
dnk,2019,13199.2
dnk,2020,13560.2
dnk,2021,14353
dnk,2022,14727.3
dnk,2023,15266.8
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,137853
deu,2009,143018
deu,2010,146428
deu,2011,148532
deu,2012,151265
deu,2013,155128
deu,2014,158884
deu,2015,162309
deu,2016,167709
deu,2017,174969
deu,2018,182318
deu,2019,191787
deu,2020,198614
deu,2021,208316
deu,2022,221246
deu,2023,235976
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,936.9
est,2009,893.6
est,2010,875
est,2011,945
est,2012,982.6
est,2013,1058.8
est,2014,1126.5
est,2015,1202.6
est,2016,1242.4
est,2017,1330
est,2018,1393.2
est,2019,1516.8
est,2020,1594
est,2021,1696.2
est,2022,1897.7
est,2023,2159.6
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,7280.6
irl,2009,6879
irl,2010,6802.7
irl,2011,7997
irl,2012,7861.4
irl,2013,7741.5
irl,2014,7865.9
irl,2015,8008.7
irl,2016,8261.8
irl,2017,8614
irl,2018,9025.9
irl,2019,9614.2
irl,2020,10145.4
irl,2021,10771.8
irl,2022,11646.5
irl,2023,12482
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,19156.3
grc,2009,21821.3
grc,2010,20097.3
grc,2011,18570.8
grc,2012,17840.3
grc,2013,16159.1
grc,2014,16388.2
grc,2015,16348.8
grc,2016,16085.1
grc,2017,16081.8
grc,2018,16061.3
grc,2019,15941.9
grc,2020,15905.9
grc,2021,16116
grc,2022,16363.2
grc,2023,16875.4
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,60572
esp,2009,63743
esp,2010,65358
esp,2011,65114
esp,2012,61920
esp,2013,62771
esp,2014,62536
esp,2015,63221
esp,2016,63515
esp,2017,63716
esp,2018,65339
esp,2019,68136
esp,2020,69624
esp,2021,72870
esp,2022,77306
esp,2023,81557
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,136856.6
fra,2009,142578.9
fra,2010,144807.7
fra,2011,149571.2
fra,2012,152925
fra,2013,155912.5
fra,2014,157541.3
fra,2015,156637.6
fra,2016,157858.6
fra,2017,161554.8
fra,2018,163832.8
fra,2019,166343.1
fra,2020,168670
fra,2021,172717.1
fra,2022,182437.3
fra,2023,188598.3
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,2895.4
hrv,2009,3097.3
hrv,2010,3113.9
hrv,2011,3020.8
hrv,2012,2920.7
hrv,2013,2793.9
hrv,2014,2733
hrv,2015,2765.1
hrv,2016,2768.2
hrv,2017,2862.2
hrv,2018,3033.1
hrv,2019,3173.1
hrv,2020,3277.2
hrv,2021,3383.4
hrv,2022,3484.5
hrv,2023,4289.7
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,101940
ita,2009,103603
ita,2010,105901
ita,2011,107458
ita,2012,105776
ita,2013,104461
ita,2014,102746
ita,2015,102263
ita,2016,102906
ita,2017,103301
ita,2018,104767
ita,2019,105133
ita,2020,104455
ita,2021,106850
ita,2022,109176
ita,2023,111591
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1741.8
cyp,2009,1858.5
cyp,2010,1865.1
cyp,2011,1999.8
cyp,2012,2027.2
cyp,2013,1794.2
cyp,2014,1547.5
cyp,2015,1511.1
cyp,2016,1478.4
cyp,2017,1558.6
cyp,2018,1586.8
cyp,2019,1774.5
cyp,2020,1865.4
cyp,2021,1912.7
cyp,2022,2113.7
cyp,2023,2322.7
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1826.6
lva,2009,1435.5
lva,2010,1257.1
lva,2011,1314.9
lva,2012,1407.3
lva,2013,1493
lva,2014,1573
lva,2015,1619
lva,2016,1692.8
lva,2017,1810
lva,2018,1926.8
lva,2019,2063.7
lva,2020,2147.6
lva,2021,2316.8
lva,2022,2499.2
lva,2023,2751.1
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1939.2
ltu,2009,1801
ltu,2010,1717.7
ltu,2011,1792.2
ltu,2012,1848.8
ltu,2013,1926.9
ltu,2014,2023.9
ltu,2015,2080
ltu,2016,2125.5
ltu,2017,2183.1
ltu,2018,2325
ltu,2019,2561.6
ltu,2020,2773.9
ltu,2021,2920.8
ltu,2022,3385.1
ltu,2023,3862.7
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1871.3
lux,2009,2000.7
lux,2010,2091.6
lux,2011,2249.5
lux,2012,2367.2
lux,2013,2486.2
lux,2014,2623.9
lux,2015,2767.1
lux,2016,2843.1
lux,2017,3041.6
lux,2018,3264.5
lux,2019,3485
lux,2020,3795.4
lux,2021,4078.2
lux,2022,4540.3
lux,2023,5130.7
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,8041.6
hun,2009,7164.8
hun,2010,7380.2
hun,2011,7189.3
hun,2012,6813
hun,2013,7243.2
hun,2014,7230.3
hun,2015,7613.3
hun,2016,8217.6
hun,2017,8816.5
hun,2018,9080
hun,2019,9733.2
hun,2020,9409.1
hun,2021,10005.7
hun,2022,11289.9
hun,2023,12276.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,354.8
mlt,2009,374.3
mlt,2010,393.7
mlt,2011,411.7
mlt,2012,433.1
mlt,2013,445.5
mlt,2014,476.1
mlt,2015,511.1
mlt,2016,548.3
mlt,2017,594.7
mlt,2018,641.6
mlt,2019,703.9
mlt,2020,747.7
mlt,2021,838.2
mlt,2022,921.7
mlt,2023,981.5
mlt,2024,1064.1
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,42717
nld,2009,44796
nld,2010,46166
nld,2011,46333
nld,2012,47045
nld,2013,47582
nld,2014,47578
nld,2015,47534
nld,2016,48156
nld,2017,49393
nld,2018,51373
nld,2019,53899
nld,2020,56182
nld,2021,58244
nld,2022,63093
nld,2023,67890
nld,2024,
aut,2000,
aut,2001,
aut,2002,
