country,year,foradl_lop_offent_halso
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,1808723.3
eu_three,2009,1863513.9
eu_three,2010,1918110.7
eu_three,2011,1953378.3
eu_three,2012,1976563.8
eu_three,2013,2012788.5
eu_three,2014,2049841.7
eu_three,2015,2085558.9
eu_three,2016,2141139
eu_three,2017,2213958.6
eu_three,2018,2281939.5
eu_three,2019,2368448.7
eu_three,2020,2410652.3
eu_three,2021,2550300.2
eu_three,2022,2682709.2
eu_three,2023,2852221.2
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,65377
bel,2009,68109.4
bel,2010,70249.9
bel,2011,73304.7
bel,2012,76529.9
bel,2013,78702.7
bel,2014,80356.2
bel,2015,80961.4
bel,2016,83221
bel,2017,85759.1
bel,2018,89005.4
bel,2019,91944.3
bel,2020,92453.2
bel,2021,99260.6
bel,2022,108353.2
bel,2023,117544.5
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,3915.9
bgr,2009,4266.4
bgr,2010,4560.6
bgr,2011,4647.4
bgr,2012,4933.8
bgr,2013,5078
bgr,2014,5672.9
bgr,2015,5720.1
bgr,2016,5618.7
bgr,2017,6284.8
bgr,2018,7023.7
bgr,2019,7668.2
bgr,2020,8872.4
bgr,2021,10020.8
bgr,2022,11608.5
bgr,2023,13387.3
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,20953.6
cze,2009,20678.2
cze,2010,21600.9
cze,2011,21972.5
cze,2012,21884.7
cze,2013,21552.9
cze,2014,21161.5
cze,2015,22179.1
cze,2016,23415
cze,2017,25756.7
cze,2018,29012.5
cze,2019,31884.2
cze,2020,33622.6
cze,2021,37624.1
cze,2022,41244.4
cze,2023,45410.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,45615.8
dnk,2009,48617.5
dnk,2010,50377.3
dnk,2011,49933.4
dnk,2012,50972.9
dnk,2013,51232.5
dnk,2014,52167
dnk,2015,53024.1
dnk,2016,53618.2
dnk,2017,54432.7
dnk,2018,55623.1
dnk,2019,56884.5
dnk,2020,58023.9
dnk,2021,61401
dnk,2022,62915.2
dnk,2023,64652.7
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,401568
deu,2009,418527
deu,2010,432219
deu,2011,444789
deu,2012,459399
deu,2013,474859
deu,2014,494705
deu,2015,511570
deu,2016,532411
deu,2017,557145
deu,2018,578131
deu,2019,610299
deu,2020,629748
deu,2021,654697
deu,2022,697844
deu,2023,739606
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,2153.3
est,2009,2062.8
est,2010,2002.4
est,2011,2118.6
est,2012,2213.4
est,2013,2401.4
est,2014,2563.8
est,2015,2762.1
est,2016,2912.1
est,2017,3151.1
est,2018,3439
est,2019,3757.1
est,2020,4031.1
est,2021,4386.2
est,2022,4844.7
est,2023,5596.9
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,29536.7
irl,2009,29486.8
irl,2010,27923.3
irl,2011,28077
irl,2012,28202.5
irl,2013,27853.1
irl,2014,28386.6
irl,2015,29210.4
irl,2016,30142.1
irl,2017,32006.3
irl,2018,33683.7
irl,2019,35961.1
irl,2020,36849.8
irl,2021,40025.5
irl,2022,43524.7
irl,2023,47901.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,40253.8
grc,2009,43811.3
grc,2010,42086.4
grc,2011,38155.8
grc,2012,35532.2
grc,2013,32475.8
grc,2014,31765
grc,2015,31587.3
grc,2016,31104.3
grc,2017,31014.5
grc,2018,31187
grc,2019,31453.3
grc,2020,31207.3
grc,2021,32161.6
grc,2022,33339.9
grc,2023,34618.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,171956
esp,2009,181662
esp,2010,183087
esp,2011,183072
esp,2012,175163
esp,2013,175537
esp,2014,174734
esp,2015,179838
esp,2016,184134
esp,2017,188676
esp,2018,194134
esp,2019,202872
esp,2020,204632
esp,2021,210316
esp,2022,221500
esp,2023,237806
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,372404.8
fra,2009,386530.3
fra,2010,395479.5
fra,2011,408022
fra,2012,416840.4
fra,2013,426695.1
fra,2014,434009.4
fra,2015,437895
fra,2016,443863.3
fra,2017,454297.7
fra,2018,459589.5
fra,2019,467691.3
fra,2020,471588.3
fra,2021,501978.3
fra,2022,518853.5
fra,2023,536795.2
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,6388.2
hrv,2009,6694.3
hrv,2010,6862.9
hrv,2011,6785.1
hrv,2012,6645.4
hrv,2013,6483.3
hrv,2014,6379.9
hrv,2015,6448.2
hrv,2016,6718.5
hrv,2017,7004.3
hrv,2018,7419
hrv,2019,7858.3
hrv,2020,8063.6
hrv,2021,8680
hrv,2022,9245.7
hrv,2023,11057.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,251931.1
ita,2009,257244.8
ita,2010,260216.9
ita,2011,261111.2
ita,2012,258329
ita,2013,257133.5
ita,2014,257870.2
ita,2015,257408.4
ita,2016,260119.5
ita,2017,263715.9
ita,2018,266829.3
ita,2019,267841.2
ita,2020,265914.2
ita,2021,281129.6
ita,2022,288017.5
ita,2023,293768.3
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,3298.8
cyp,2009,3529.9
cyp,2010,3659.1
cyp,2011,3756.4
cyp,2012,3759.1
cyp,2013,3493.7
cyp,2014,3207.4
cyp,2015,3134.9
cyp,2016,3162.1
cyp,2017,3330.2
cyp,2018,3525.2
cyp,2019,3843.8
cyp,2020,4121.7
cyp,2021,4369.9
cyp,2022,4739.9
cyp,2023,5031.1
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,3569.7
lva,2009,2934.2
lva,2010,2545
lva,2011,2670.7
lva,2012,2868.4
lva,2013,3033.4
lva,2014,3210.2
lva,2015,3371
lva,2016,3501.6
lva,2017,3763.5
lva,2018,4095.6
lva,2019,4448.5
lva,2020,4663.5
lva,2021,5337.1
lva,2022,5731.5
lva,2023,6412.7
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,4281.7
ltu,2009,4259.5
ltu,2010,3985.6
ltu,2011,4149.9
ltu,2012,4288.7
ltu,2013,4466.8
ltu,2014,4651.2
ltu,2015,4851
ltu,2016,5091.9
ltu,2017,5369.2
ltu,2018,5881.9
ltu,2019,6572.7
ltu,2020,7236.8
ltu,2021,8049
ltu,2022,9091.7
ltu,2023,10309.9
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,4948.9
lux,2009,5357.1
lux,2010,5692.6
lux,2011,6054.4
lux,2012,6449
lux,2013,6862.4
lux,2014,7186.1
lux,2015,7483.3
lux,2016,7698.2
lux,2017,8256.9
lux,2018,8919.5
lux,2019,9582.1
lux,2020,10377.8
lux,2021,11281
lux,2022,12262.5
lux,2023,13647.9
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,16345
hun,2009,14386.2
hun,2010,14684.9
hun,2011,14437
hun,2012,14262.4
hun,2013,14653.9
hun,2014,15107.5
hun,2015,15972.8
hun,2016,17264.1
hun,2017,18605.2
hun,2018,19450.6
hun,2019,20737
hun,2020,20323.3
hun,2021,22056.6
hun,2022,23873.7
hun,2023,27031.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,989.1
mlt,2009,1053.2
mlt,2010,1124
mlt,2011,1185.7
mlt,2012,1254.6
mlt,2013,1336.4
mlt,2014,1432.8
mlt,2015,1550.4
mlt,2016,1652.8
mlt,2017,1781.8
mlt,2018,1936
mlt,2019,2145.5
mlt,2020,2185.2
mlt,2021,2490.8
mlt,2022,2638.1
mlt,2023,2830.6
mlt,2024,3232
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,114815
nld,2009,122211
nld,2010,126482
nld,2011,128349
nld,2012,131202
nld,2013,133077
nld,2014,134807
nld,2015,135300
nld,2016,138906
nld,2017,142308
nld,2018,148427
