country,year,foradl_lop_ovr_maskin
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,193183.8
eu_three,2009,155163.4
eu_three,2010,174192.1
eu_three,2011,193062.3
eu_three,2012,195083.1
eu_three,2013,194546.3
eu_three,2014,203959.2
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3626.7
bel,2009,2805
bel,2010,3072.1
bel,2011,3565.2
bel,2012,3558.9
bel,2013,3358.9
bel,2014,3599.4
bel,2015,3489
bel,2016,3425.1
bel,2017,3623.7
bel,2018,3513.7
bel,2019,3513.9
bel,2020,3419.3
bel,2021,3609.2
bel,2022,4179.7
bel,2023,4630
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,325.8
bgr,2009,289.6
bgr,2010,282.7
bgr,2011,341
bgr,2012,401.4
bgr,2013,396.1
bgr,2014,401.4
bgr,2015,425.1
bgr,2016,450.4
bgr,2017,514.1
bgr,2018,577.8
bgr,2019,637
bgr,2020,555.4
bgr,2021,595.9
bgr,2022,658.2
bgr,2023,850.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,3508.8
cze,2009,2849.9
cze,2010,3182.7
cze,2011,3645.7
cze,2012,3561.8
cze,2013,3624.8
cze,2014,3656.6
cze,2015,3842.8
cze,2016,3784.3
cze,2017,4053.9
cze,2018,4089.3
cze,2019,4632.1
cze,2020,4096.3
cze,2021,4319.9
cze,2022,4779.5
cze,2023,5664
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,5396.4
dnk,2009,4593.5
dnk,2010,4489
dnk,2011,5069.5
dnk,2012,5007.3
dnk,2013,5654.8
dnk,2014,5479.1
dnk,2015,4925.3
dnk,2016,5818.8
dnk,2017,6493.5
dnk,2018,6425.6
dnk,2019,7257
dnk,2020,5779.3
dnk,2021,6973.5
dnk,2022,6318.4
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,84989
deu,2009,66156
deu,2010,77058
deu,2011,86272
deu,2012,88079
deu,2013,88822
deu,2014,93674
deu,2015,95453
deu,2016,100538
deu,2017,107056
deu,2018,109984
deu,2019,109653
deu,2020,97382
deu,2021,106747
deu,2022,107139
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,97.4
est,2009,57.1
est,2010,64.3
est,2011,95.2
est,2012,98.2
est,2013,104.4
est,2014,117.1
est,2015,122
est,2016,124.4
est,2017,139.4
est,2018,150.6
est,2019,169
est,2020,146.7
est,2021,168.1
est,2022,217.2
est,2023,205.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1401
irl,2009,962.5
irl,2010,672.3
irl,2011,821
irl,2012,907.1
irl,2013,963.1
irl,2014,1031.3
irl,2015,1151
irl,2016,1252.2
irl,2017,1242.2
irl,2018,1274.7
irl,2019,1351.6
irl,2020,1841.4
irl,2021,1478.6
irl,2022,1834
irl,2023,1824.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,651.1
grc,2009,565.2
grc,2010,496.9
grc,2011,414.5
grc,2012,370.3
grc,2013,336.3
grc,2014,341.1
grc,2015,332.5
grc,2016,334.7
grc,2017,362.6
grc,2018,370.4
grc,2019,388.1
grc,2020,362.5
grc,2021,401.1
grc,2022,473.6
grc,2023,501.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,7376
esp,2009,6513
esp,2010,6186
esp,2011,6337
esp,2012,6511
esp,2013,6506
esp,2014,6854
esp,2015,6520
esp,2016,6401
esp,2017,6940
esp,2018,7277
esp,2019,7647
esp,2020,7175
esp,2021,7744
esp,2022,7941
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,15308.3
fra,2009,12676.5
fra,2010,12595.8
fra,2011,13818.9
fra,2012,13989
fra,2013,13533.2
fra,2014,13972.9
fra,2015,13623.8
fra,2016,13208.2
fra,2017,12917.9
fra,2018,13005
fra,2019,13662
fra,2020,12361.6
fra,2021,12930.9
fra,2022,13354.6
fra,2023,16156.9
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,266.2
hrv,2009,225.9
hrv,2010,214.1
hrv,2011,232
hrv,2012,217.8
hrv,2013,220.2
hrv,2014,236.1
hrv,2015,259.8
hrv,2016,276.5
hrv,2017,287.9
hrv,2018,290.5
hrv,2019,296.9
hrv,2020,308.6
hrv,2021,379.9
hrv,2022,411.4
hrv,2023,475.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,34266.7
ita,2009,27618.7
ita,2010,30088.9
ita,2011,32170.7
ita,2012,32295.8
ita,2013,33023.7
ita,2014,34434.2
ita,2015,34925.4
ita,2016,36310.2
ita,2017,38007.2
ita,2018,38978.3
ita,2019,39403.3
ita,2020,35201.1
ita,2021,40084.5
ita,2022,41758.9
ita,2023,48372.9
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,26.1
cyp,2009,17.3
cyp,2010,22.7
cyp,2011,25.7
cyp,2012,24.3
cyp,2013,18.1
cyp,2014,16.8
cyp,2015,18.7
cyp,2016,19.7
cyp,2017,23.8
cyp,2018,24.6
cyp,2019,27.4
cyp,2020,25.3
cyp,2021,27.6
cyp,2022,26.2
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,71.9
lva,2009,48
lva,2010,42.9
lva,2011,58.9
lva,2012,65.7
lva,2013,74.3
lva,2014,70.1
lva,2015,70.9
lva,2016,72.8
lva,2017,83.4
lva,2018,104.1
lva,2019,96.5
lva,2020,89.5
lva,2021,105.8
lva,2022,132.7
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,147.8
ltu,2009,104.5
ltu,2010,120.2
ltu,2011,157.2
ltu,2012,176.5
ltu,2013,200.8
ltu,2014,191.7
ltu,2015,188.9
ltu,2016,196.9
ltu,2017,233.1
ltu,2018,242.2
ltu,2019,244.9
ltu,2020,244.2
ltu,2021,271.2
ltu,2022,298.4
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1147
hun,2009,2094.3
hun,2010,2305.1
hun,2011,2514.9
hun,2012,2750.5
hun,2013,2533.6
hun,2014,2656.5
hun,2015,3061.2
hun,2016,2055.6
hun,2017,1979.8
hun,2018,1822.8
hun,2019,1708.3
hun,2020,1571.3
hun,2021,1582.4
hun,2022,1895.4
hun,2023,2385.6
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,21.3
mlt,2019,19.7
mlt,2020,24.2
mlt,2021,24.4
mlt,2022,28.4
mlt,2023,33.6
mlt,2024,39.9
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,7300
nld,2009,6275
nld,2010,8117
nld,2011,9204
nld,2012,8396
nld,2013,8777
nld,2014,9555
nld,2015,9598
nld,2016,9730
nld,2017,11327
nld,2018,12382
nld,2019,14033
nld,2020,15371
nld,2021,18585
nld,2022,19308
nld,2023,24030
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,6893.8
aut,2009,5948.2
aut,2010,6364.3
aut,2011,7549.1
aut,2012,7723.6
aut,2013,7920.6
aut,2014,8005.9
aut,2015,8318.4
aut,2016,8384.3
aut,2017,8907.5
aut,2018,9278.3
aut,2019,9480.1
aut,2020,8809
aut,2021,9819.3
aut,2022,10075
aut,2023,11286.6
