country,year,foradl_lop_ovr_mobel
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,74259.6
eu_three,2009,68331.1
eu_three,2010,69717.5
eu_three,2011,73868.2
eu_three,2012,72156
eu_three,2013,71249.5
eu_three,2014,75506.8
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1335.4
bel,2009,1273.6
bel,2010,1261.9
bel,2011,1336
bel,2012,1301.3
bel,2013,1277.9
bel,2014,1334.9
bel,2015,1400.9
bel,2016,1361.1
bel,2017,1328
bel,2018,1329.6
bel,2019,1552.1
bel,2020,1425.3
bel,2021,1380.7
bel,2022,1579.6
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,179.5
bgr,2009,175.1
bgr,2010,200.2
bgr,2011,252.6
bgr,2012,322.9
bgr,2013,348.2
bgr,2014,413.7
bgr,2015,429.1
bgr,2016,482.2
bgr,2017,512.3
bgr,2018,465.5
bgr,2019,513.6
bgr,2020,403.2
bgr,2021,488.4
bgr,2022,572.3
bgr,2023,638
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1326
cze,2009,1168.4
cze,2010,1193.8
cze,2011,1312.5
cze,2012,1249.6
cze,2013,1244.8
cze,2014,1226.5
cze,2015,1299.9
cze,2016,1499.1
cze,2017,1624.9
cze,2018,1729.3
cze,2019,1831.7
cze,2020,1753.3
cze,2021,1842.7
cze,2022,2048.1
cze,2023,2232.8
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1855.7
dnk,2009,1838.1
dnk,2010,1982.1
dnk,2011,2164.7
dnk,2012,2232.3
dnk,2013,2326.3
dnk,2014,2473.4
dnk,2015,2488
dnk,2016,2788.4
dnk,2017,2558.8
dnk,2018,2557.4
dnk,2019,2601.8
dnk,2020,2730.4
dnk,2021,3366.4
dnk,2022,3393.9
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,19597
deu,2009,18031
deu,2010,20708
deu,2011,22992
deu,2012,22798
deu,2013,22099
deu,2014,23225
deu,2015,23989
deu,2016,24258
deu,2017,26681
deu,2018,25572
deu,2019,26981
deu,2020,27409
deu,2021,28307
deu,2022,29490
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,161.3
est,2009,126.2
est,2010,142.5
est,2011,152.4
est,2012,168.2
est,2013,174.7
est,2014,187.6
est,2015,197.6
est,2016,216.6
est,2017,233.5
est,2018,240
est,2019,256.2
est,2020,256.4
est,2021,281.8
est,2022,273.2
est,2023,264.9
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,3681.6
irl,2009,3863.8
irl,2010,2947.7
irl,2011,4186.2
irl,2012,3541.4
irl,2013,4014.9
irl,2014,4888.5
irl,2015,7043.3
irl,2016,4605.2
irl,2017,7158.5
irl,2018,5759
irl,2019,9449.8
irl,2020,8698.5
irl,2021,10818.9
irl,2022,12381.3
irl,2023,11369
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,774.2
grc,2009,791.3
grc,2010,642
grc,2011,512.7
grc,2012,403.3
grc,2013,283.7
grc,2014,272.2
grc,2015,296.9
grc,2016,295.2
grc,2017,301
grc,2018,330.6
grc,2019,344.6
grc,2020,352
grc,2021,392.5
grc,2022,401.5
grc,2023,451.9
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,6847
esp,2009,5877
esp,2010,5204
esp,2011,4894
esp,2012,4826
esp,2013,4377
esp,2014,4395
esp,2015,4349
esp,2016,4404
esp,2017,4669
esp,2018,4797
esp,2019,5199
esp,2020,4508
esp,2021,5390
esp,2022,5896
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,7938
fra,2009,7789.9
fra,2010,7555.5
fra,2011,7681
fra,2012,7544
fra,2013,7693.9
fra,2014,7920.5
fra,2015,7695.9
fra,2016,7558
fra,2017,7363.2
fra,2018,7414.8
fra,2019,7777.9
fra,2020,7196.2
fra,2021,8054.5
fra,2022,8055.5
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,232.8
hrv,2009,202.2
hrv,2010,189.2
hrv,2011,190.4
hrv,2012,171.5
hrv,2013,172
hrv,2014,180.9
hrv,2015,192.5
hrv,2016,210.5
hrv,2017,256.2
hrv,2018,268.6
hrv,2019,303.1
hrv,2020,268.6
hrv,2021,303.2
hrv,2022,362
hrv,2023,412.7
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,14026.9
ita,2009,12356.3
ita,2010,12400.2
ita,2011,12469.3
ita,2012,11682.5
ita,2013,11719.2
ita,2014,12182.7
ita,2015,12769.4
ita,2016,13595.4
ita,2017,13827.7
ita,2018,14348.5
ita,2019,14450.1
ita,2020,12962.1
ita,2021,15122.7
ita,2022,16241.5
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,48
cyp,2009,44.1
cyp,2010,45.8
cyp,2011,40.4
cyp,2012,33.9
cyp,2013,31.7
cyp,2014,30.4
cyp,2015,29.1
cyp,2016,33.2
cyp,2017,36.5
cyp,2018,39.7
cyp,2019,40.5
cyp,2020,33.9
cyp,2021,42.4
cyp,2022,42.6
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,122.1
lva,2009,114.4
lva,2010,99.6
lva,2011,97.2
lva,2012,110.8
lva,2013,119.6
lva,2014,121.2
lva,2015,129
lva,2016,133.7
lva,2017,140.4
lva,2018,152.3
lva,2019,160.7
lva,2020,174
lva,2021,238.7
lva,2022,234.8
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,512.2
ltu,2009,418.6
ltu,2010,457.1
ltu,2011,607.3
ltu,2012,713.9
ltu,2013,778.3
ltu,2014,850
ltu,2015,889.4
ltu,2016,902.1
ltu,2017,977
ltu,2018,1060.2
ltu,2019,1091.4
ltu,2020,1136.3
ltu,2021,1324.8
ltu,2022,1552.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,510.1
hun,2009,474.3
hun,2010,526.1
hun,2011,547
hun,2012,573.7
hun,2013,618.9
hun,2014,634.2
hun,2015,727.6
hun,2016,827.4
hun,2017,843.8
hun,2018,798.5
hun,2019,920.9
hun,2020,903.3
hun,2021,941.2
hun,2022,1065.2
hun,2023,1242
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,111
mlt,2009,99
mlt,2010,101.8
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,123.7
mlt,2016,129.5
mlt,2017,138.4
mlt,2018,
mlt,2019,150.2
mlt,2020,142.8
mlt,2021,144.3
mlt,2022,152.5
mlt,2023,148.4
mlt,2024,173.6
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2881
nld,2009,2510
nld,2010,2320
nld,2011,2279
nld,2012,2279
nld,2013,2127
nld,2014,2177
nld,2015,2266
nld,2016,2332
nld,2017,2663
nld,2018,2784
nld,2019,2888
nld,2020,2953
nld,2021,3192
nld,2022,3248
nld,2023,3613
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2658
aut,2009,2349.6
aut,2010,2492.9
aut,2011,2533.1
aut,2012,2558.1
aut,2013,2600.2
aut,2014,2703.2
aut,2015,2633.9
aut,2016,2731.2
aut,2017,2834.6
aut,2018,2846
aut,2019,2794.8
aut,2020,2578
aut,2021,2873.2
aut,2022,3086.2
aut,2023,3295
aut,2024,
pol,2000,
pol,2001,
