country,year,foradl_lop_papper
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,40260.1
eu_three,2009,37129.5
eu_three,2010,38942.9
eu_three,2011,40154.8
eu_three,2012,40281.7
eu_three,2013,39376.6
eu_three,2014,41240.3
eu_three,2015,43057.4
eu_three,2016,43951.5
eu_three,2017,44799.6
eu_three,2018,47825
eu_three,2019,48428.6
eu_three,2020,45676.5
eu_three,2021,45956.2
eu_three,2022,53868.7
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1074.1
bel,2009,979.2
bel,2010,896.4
bel,2011,984.1
bel,2012,1028.1
bel,2013,995.2
bel,2014,1080.8
bel,2015,1099.7
bel,2016,1053.8
bel,2017,1043.3
bel,2018,1045.9
bel,2019,1066.6
bel,2020,1014.5
bel,2021,949.8
bel,2022,1167.9
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,88.9
bgr,2009,115.1
bgr,2010,115.7
bgr,2011,142.8
bgr,2012,142.1
bgr,2013,140.9
bgr,2014,127.5
bgr,2015,149.6
bgr,2016,155.3
bgr,2017,162.3
bgr,2018,175.4
bgr,2019,169.1
bgr,2020,162
bgr,2021,174
bgr,2022,167.6
bgr,2023,182.2
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,585.9
cze,2009,532.4
cze,2010,591
cze,2011,574.1
cze,2012,545.5
cze,2013,527.1
cze,2014,591.8
cze,2015,692.6
cze,2016,742.3
cze,2017,829
cze,2018,852.6
cze,2019,953.4
cze,2020,960
cze,2021,986.5
cze,2022,1118.9
cze,2023,1240.6
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,430
dnk,2009,412.1
dnk,2010,388.6
dnk,2011,409.4
dnk,2012,382.8
dnk,2013,366.8
dnk,2014,397.9
dnk,2015,409.6
dnk,2016,361.6
dnk,2017,407.2
dnk,2018,380.2
dnk,2019,430.4
dnk,2020,490.6
dnk,2021,450
dnk,2022,467.8
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,9880
deu,2009,9478
deu,2010,9477
deu,2011,9615
deu,2012,10217
deu,2013,10176
deu,2014,10645
deu,2015,10983
deu,2016,11159
deu,2017,11096
deu,2018,11793
deu,2019,11958
deu,2020,11389
deu,2021,10025
deu,2022,11462
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,46
est,2009,32.9
est,2010,58.6
est,2011,56.3
est,2012,52
est,2013,50.2
est,2014,52.9
est,2015,56.5
est,2016,57.5
est,2017,69.5
est,2018,76.2
est,2019,61.3
est,2020,44.8
est,2021,70.8
est,2022,74.6
est,2023,63.6
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,203.1
irl,2009,169
irl,2010,186.5
irl,2011,158.1
irl,2012,165.7
irl,2013,177.8
irl,2014,203.4
irl,2015,197.5
irl,2016,190.2
irl,2017,218.2
irl,2018,230.3
irl,2019,226.9
irl,2020,245.5
irl,2021,253
irl,2022,263.5
irl,2023,284.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,459.9
grc,2009,372.2
grc,2010,331.2
grc,2011,306.3
grc,2012,284.4
grc,2013,281
grc,2014,355.6
grc,2015,360.2
grc,2016,350.9
grc,2017,350.6
grc,2018,373.3
grc,2019,371.7
grc,2020,402.6
grc,2021,480.3
grc,2022,509.1
grc,2023,550.8
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,3507
esp,2009,3206
esp,2010,3545
esp,2011,3647
esp,2012,3476
esp,2013,3398
esp,2014,3003
esp,2015,3362
esp,2016,3423
esp,2017,3681
esp,2018,3830
esp,2019,3957
esp,2020,3697
esp,2021,3801
esp,2022,4135
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,5188.7
fra,2009,4871.3
fra,2010,4628.8
fra,2011,4949.4
fra,2012,5040
fra,2013,4799.8
fra,2014,4973.2
fra,2015,5162.9
fra,2016,5226.8
fra,2017,5112.6
fra,2018,5303.8
fra,2019,5239.7
fra,2020,4719.8
fra,2021,4498.7
fra,2022,5822.5
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,132.1
hrv,2009,98.2
hrv,2010,92
hrv,2011,91.7
hrv,2012,88.7
hrv,2013,86.1
hrv,2014,93.2
hrv,2015,100.5
hrv,2016,107
hrv,2017,98.1
hrv,2018,115.4
hrv,2019,136.9
hrv,2020,158
hrv,2021,248.2
hrv,2022,195.9
hrv,2023,177.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,4513.5
ita,2009,4494.1
ita,2010,4639.1
ita,2011,4852.8
ita,2012,4768.2
ita,2013,4673.2
ita,2014,5057.8
ita,2015,5008.8
ita,2016,5348.8
ita,2017,5662.1
ita,2018,5717.3
ita,2019,6006.5
ita,2020,5820.4
ita,2021,5770.8
ita,2022,6883.5
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,21.6
cyp,2009,18.3
cyp,2010,18.9
cyp,2011,17
cyp,2012,16.6
cyp,2013,15.4
cyp,2014,15.2
cyp,2015,14.8
cyp,2016,17.3
cyp,2017,16.6
cyp,2018,16.1
cyp,2019,17.8
cyp,2020,18.3
cyp,2021,17.5
cyp,2022,15.4
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,36.5
lva,2009,29.1
lva,2010,35
lva,2011,36.5
lva,2012,41.6
lva,2013,41.3
lva,2014,40.5
lva,2015,36.3
lva,2016,36.3
lva,2017,36.3
lva,2018,38.4
lva,2019,39.4
lva,2020,41.8
lva,2021,45.2
lva,2022,46.6
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,80.9
ltu,2009,72.4
ltu,2010,107.5
ltu,2011,125.2
ltu,2012,134
ltu,2013,162.4
ltu,2014,177.7
ltu,2015,177.7
ltu,2016,189.5
ltu,2017,212.6
ltu,2018,234.4
ltu,2019,237.1
ltu,2020,233.1
ltu,2021,258
ltu,2022,317.4
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,274.4
hun,2009,255.3
hun,2010,292.5
hun,2011,294.5
hun,2012,298.6
hun,2013,317
hun,2014,349.1
hun,2015,365.9
hun,2016,417.4
hun,2017,431.4
hun,2018,465.1
hun,2019,522.2
hun,2020,508.5
hun,2021,500.6
hun,2022,689.1
hun,2023,757
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,6
mlt,2010,6.1
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,7.3
mlt,2019,7.9
mlt,2020,
mlt,2021,6.6
mlt,2022,8.7
mlt,2023,8.4
mlt,2024,8.6
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1717
nld,2009,1584
nld,2010,1554
nld,2011,1567
nld,2012,1408
nld,2013,1494
nld,2014,1641
nld,2015,1593
nld,2016,1705
nld,2017,1808
nld,2018,2040
nld,2019,2306
nld,2020,2345
nld,2021,1939
nld,2022,2245
nld,2023,2150
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1640.6
aut,2009,1639.4
aut,2010,1710.5
aut,2011,1755.1
aut,2012,1792.2
aut,2013,1767.6
aut,2014,1875.6
aut,2015,1878
aut,2016,2042.5
aut,2017,1970.6
aut,2018,2186.8
aut,2019,2228.6
aut,2020,2077.7
aut,2021,1996.7
aut,2022,2323.3
aut,2023,1880.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
