country,year,foradl_lop_parti_ej_motor
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,557628.9
eu_three,2009,518054.2
eu_three,2010,520110.8
eu_three,2011,551156.1
eu_three,2012,558188.8
eu_three,2013,561969.8
eu_three,2014,572941.8
eu_three,2015,594347.2
eu_three,2016,608235.1
eu_three,2017,641978.9
eu_three,2018,665669.9
eu_three,2019,687823.2
eu_three,2020,683415.8
eu_three,2021,764661.4
eu_three,2022,879068.1
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,22247.6
bel,2009,20148.2
bel,2010,20853.2
bel,2011,21946.4
bel,2012,21739.1
bel,2013,21649.6
bel,2014,22106.1
bel,2015,22452.6
bel,2016,24376.2
bel,2017,23399.9
bel,2018,23764.4
bel,2019,24546.1
bel,2020,24376
bel,2021,29923.9
bel,2022,34925.1
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,1801.7
bgr,2009,1727.3
bgr,2010,1640.5
bgr,2011,2072.5
bgr,2012,2193.9
bgr,2013,2706.8
bgr,2014,2625.3
bgr,2015,2922.6
bgr,2016,3065.2
bgr,2017,3383.4
bgr,2018,3880.8
bgr,2019,4368.3
bgr,2020,4400.5
bgr,2021,6029.6
bgr,2022,6428.7
bgr,2023,6620.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,8204
cze,2009,6575.6
cze,2010,7310.4
cze,2011,7629.3
cze,2012,7663.7
cze,2013,7458.2
cze,2014,7443.6
cze,2015,8449.3
cze,2016,8448.7
cze,2017,9577.3
cze,2018,10527.4
cze,2019,10881.3
cze,2020,10507.2
cze,2021,13232.4
cze,2022,15069
cze,2023,17476.8
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,16344.5
dnk,2009,15241.2
dnk,2010,16128.3
dnk,2011,17446.1
dnk,2012,18074.7
dnk,2013,18779.9
dnk,2014,19564.6
dnk,2015,20749
dnk,2016,20479
dnk,2017,21786.8
dnk,2018,22425.7
dnk,2019,21505.8
dnk,2020,24551.2
dnk,2021,26434.9
dnk,2022,26978.2
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,118784
deu,2009,112429
deu,2010,110831
deu,2011,120158
deu,2012,121137
deu,2013,118980
deu,2014,130788
deu,2015,132669
deu,2016,138939
deu,2017,150692
deu,2018,156159
deu,2019,159375
deu,2020,161567
deu,2021,168523
deu,2022,211134
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,932
est,2009,720.4
est,2010,756.6
est,2011,887.7
est,2012,994
est,2013,995.1
est,2014,1126.1
est,2015,1063.5
est,2016,1195.1
est,2017,1334.6
est,2018,1590.8
est,2019,1671.2
est,2020,1531
est,2021,1655.4
est,2022,1863.9
est,2023,1946.9
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,7262.1
irl,2009,5374.1
irl,2010,7137.2
irl,2011,8867.7
irl,2012,9227.8
irl,2013,10361
irl,2014,10200
irl,2015,10476.9
irl,2016,11240.9
irl,2017,12176.3
irl,2018,12702.1
irl,2019,13308.4
irl,2020,14848.4
irl,2021,16382.2
irl,2022,19600.3
irl,2023,18344
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,13617.4
grc,2009,13088.2
grc,2010,12186.5
grc,2011,11187.5
grc,2012,10025.1
grc,2013,9631
grc,2014,9746.1
grc,2015,9408
grc,2016,9387.6
grc,2017,9741.5
grc,2018,10512.8
grc,2019,9790.9
grc,2020,9732.5
grc,2021,11451.8
grc,2022,13868.6
grc,2023,13656.9
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,52317
esp,2009,50639
esp,2010,50794
esp,2011,52775
esp,2012,53484
esp,2013,55439
esp,2014,55801
esp,2015,58487
esp,2016,60909
esp,2017,64445
esp,2018,65932
esp,2019,68506
esp,2020,65570
esp,2021,74640
esp,2022,82768
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,85693.9
fra,2009,81234.1
fra,2010,77781.4
fra,2011,80134.5
fra,2012,80931.2
fra,2013,82359.4
fra,2014,82017.1
fra,2015,85345.7
fra,2016,82367.2
fra,2017,86164.8
fra,2018,89316.1
fra,2019,91850.8
fra,2020,88483.8
fra,2021,94077.2
fra,2022,118107.7
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,2702
hrv,2009,2281.8
hrv,2010,2479.2
hrv,2011,2476.6
hrv,2012,2404.5
hrv,2013,2169.2
hrv,2014,2083.2
hrv,2015,2203.2
hrv,2016,2056.2
hrv,2017,2213.8
hrv,2018,2316.5
hrv,2019,2215.4
hrv,2020,2186.9
hrv,2021,2174.3
hrv,2022,2813.7
hrv,2023,3484.8
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,79050
ita,2009,73397.8
ita,2010,73994.6
ita,2011,78809.9
ita,2012,76396.4
ita,2013,75019.5
ita,2014,75728.1
ita,2015,78233
ita,2016,82871.1
ita,2017,85669.8
ita,2018,88320.8
ita,2019,93420.4
ita,2020,85384
ita,2021,99250.3
ita,2022,111023.8
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,785.6
cyp,2009,773.4
cyp,2010,804
cyp,2011,797.1
cyp,2012,820.8
cyp,2013,681.8
cyp,2014,676.4
cyp,2015,683.9
cyp,2016,749.6
cyp,2017,829.2
cyp,2018,902.4
cyp,2019,944.6
cyp,2020,943.6
cyp,2021,1515.8
cyp,2022,1933.9
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1509.8
lva,2009,1208.4
lva,2010,1134.8
lva,2011,1200.3
lva,2012,1404.9
lva,2013,1399.5
lva,2014,1502.9
lva,2015,1524.8
lva,2016,1514.9
lva,2017,1619.2
lva,2018,1716.7
lva,2019,1849.2
lva,2020,1813
lva,2021,2010.5
lva,2022,1889.8
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,2221.6
ltu,2009,1790.9
ltu,2010,1901
ltu,2011,2174
ltu,2012,2562.4
ltu,2013,2713.9
ltu,2014,2887.8
ltu,2015,2889.1
ltu,2016,2884
ltu,2017,3158.5
ltu,2018,3499.5
ltu,2019,3474.8
ltu,2020,3648.1
ltu,2021,3980
ltu,2022,4616.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,5344.8
hun,2009,4157.2
hun,2010,4537.1
hun,2011,4553.3
hun,2012,4332.8
hun,2013,4626.6
hun,2014,4650.7
hun,2015,4875.7
hun,2016,4864.6
hun,2017,5158.3
hun,2018,5616
hun,2019,5591.4
hun,2020,6109.9
hun,2021,7396.1
hun,2022,7298.6
hun,2023,8316.9
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,304.5
mlt,2009,266.8
mlt,2010,301.2
mlt,2011,312
mlt,2012,333
mlt,2013,354.5
mlt,2014,408.9
mlt,2015,451.2
mlt,2016,417.1
mlt,2017,484.5
mlt,2018,479.6
mlt,2019,527.8
mlt,2020,474.5
mlt,2021,585.1
mlt,2022,798.6
mlt,2023,754.9
mlt,2024,680.5
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,44380
nld,2009,41798
nld,2010,43647
nld,2011,45401
nld,2012,46603
nld,2013,49500
nld,2014,50538
nld,2015,52955
nld,2016,54555
nld,2017,56497
nld,2018,59397
nld,2019,64017
nld,2020,63450
nld,2021,74656
nld,2022,77603
nld,2023,79654
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,17479.6
aut,2009,16932.2
aut,2010,17173.1
aut,2011,18305.1
