country,year,foradl_lop_post
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,47074
eu_three,2009,46090.5
eu_three,2010,44109.9
eu_three,2011,42902.3
eu_three,2012,41136.4
eu_three,2013,42388.1
eu_three,2014,42833.1
eu_three,2015,43536.5
eu_three,2016,44019.4
eu_three,2017,44793
eu_three,2018,43845.7
eu_three,2019,46031.2
eu_three,2020,47450.8
eu_three,2021,49455
eu_three,2022,53659.7
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2176.8
bel,2009,2064
bel,2010,2086.2
bel,2011,2125.7
bel,2012,2085.9
bel,2013,2133.3
bel,2014,2121.7
bel,2015,2061.7
bel,2016,2021.9
bel,2017,2030.8
bel,2018,2063.4
bel,2019,2143.3
bel,2020,2090.8
bel,2021,2344.4
bel,2022,2209.6
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,289
bgr,2009,181.4
bgr,2010,111.9
bgr,2011,122
bgr,2012,136.6
bgr,2013,137.1
bgr,2014,126.2
bgr,2015,138.8
bgr,2016,147.7
bgr,2017,163.7
bgr,2018,167.9
bgr,2019,181.8
bgr,2020,174.8
bgr,2021,216.1
bgr,2022,286.4
bgr,2023,305.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,682.6
cze,2009,630.6
cze,2010,675.9
cze,2011,683.3
cze,2012,634.3
cze,2013,601.2
cze,2014,558.4
cze,2015,600
cze,2016,615.8
cze,2017,653.6
cze,2018,668.3
cze,2019,682.7
cze,2020,698.7
cze,2021,736.2
cze,2022,697.2
cze,2023,755.9
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1344.2
dnk,2009,1272.4
dnk,2010,1300.3
dnk,2011,1232
dnk,2012,1082
dnk,2013,1037.7
dnk,2014,1007.6
dnk,2015,933.8
dnk,2016,873.7
dnk,2017,755.3
dnk,2018,793.6
dnk,2019,865.2
dnk,2020,903.4
dnk,2021,906.5
dnk,2022,895.5
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,13556
deu,2009,14666
deu,2010,13004
deu,2011,12778
deu,2012,12552
deu,2013,13747
deu,2014,14226
deu,2015,15145
deu,2016,16162
deu,2017,16655
deu,2018,16460
deu,2019,17807
deu,2020,20072
deu,2021,20195
deu,2022,24513
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,53.7
est,2009,42.5
est,2010,38.7
est,2011,40.4
est,2012,41.4
est,2013,46.3
est,2014,52.1
est,2015,53.3
est,2016,57.6
est,2017,62.6
est,2018,71.9
est,2019,83.4
est,2020,84.9
est,2021,115.1
est,2022,99.4
est,2023,113.6
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,895
irl,2009,852.2
irl,2010,855.1
irl,2011,784.4
irl,2012,731.9
irl,2013,759.3
irl,2014,792.9
irl,2015,768.4
irl,2016,791.1
irl,2017,815.3
irl,2018,871
irl,2019,933.7
irl,2020,982.9
irl,2021,1075.6
irl,2022,1065.6
irl,2023,1139.8
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,783.9
grc,2009,743
grc,2010,607.1
grc,2011,539.3
grc,2012,471.6
grc,2013,413.4
grc,2014,412.7
grc,2015,467.1
grc,2016,458.7
grc,2017,475.4
grc,2018,528.5
grc,2019,502.9
grc,2020,572.2
grc,2021,492.9
grc,2022,461
grc,2023,466.1
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,2629
esp,2009,2478
esp,2010,2402
esp,2011,2273
esp,2012,2008
esp,2013,2031
esp,2014,2207
esp,2015,2247
esp,2016,2162
esp,2017,2290
esp,2018,2377
esp,2019,2614
esp,2020,2331
esp,2021,2790
esp,2022,2733
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,9027.1
fra,2009,8658.4
fra,2010,8251.8
fra,2011,8105.1
fra,2012,7928.1
fra,2013,7616.2
fra,2014,7770.3
fra,2015,7785.5
fra,2016,7550.3
fra,2017,7595
fra,2018,7001.8
fra,2019,7198.3
fra,2020,6388.1
fra,2021,6346.5
fra,2022,6426.8
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,169.9
hrv,2009,187.3
hrv,2010,188.3
hrv,2011,199.5
hrv,2012,186.5
hrv,2013,183.8
hrv,2014,195.4
hrv,2015,201
hrv,2016,207.7
hrv,2017,224.7
hrv,2018,228.6
hrv,2019,212.7
hrv,2020,260.2
hrv,2021,251.5
hrv,2022,206.7
hrv,2023,216.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,4729.6
ita,2009,4416
ita,2010,4546.5
ita,2011,4235.1
ita,2012,3687.2
ita,2013,4100.8
ita,2014,3660
ita,2015,3624.7
ita,2016,3517.4
ita,2017,3548.3
ita,2018,3114.5
ita,2019,3020.8
ita,2020,2850.9
ita,2021,3225.1
ita,2022,3120.8
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,19.4
cyp,2009,14.6
cyp,2010,35.6
cyp,2011,33.6
cyp,2012,31.1
cyp,2013,30.4
cyp,2014,32.4
cyp,2015,31.9
cyp,2016,35
cyp,2017,37.8
cyp,2018,44.9
cyp,2019,43.7
cyp,2020,48.3
cyp,2021,58.4
cyp,2022,59
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,63.4
lva,2009,66.9
lva,2010,65.5
lva,2011,67.5
lva,2012,73.4
lva,2013,75.2
lva,2014,76.1
lva,2015,74.7
lva,2016,70.8
lva,2017,74
lva,2018,83.2
lva,2019,80.5
lva,2020,83.1
lva,2021,91.9
lva,2022,91.4
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,77
ltu,2009,70.8
ltu,2010,70.2
ltu,2011,75.6
ltu,2012,72.1
ltu,2013,79.5
ltu,2014,83.7
ltu,2015,83.5
ltu,2016,90.7
ltu,2017,98.7
ltu,2018,105
ltu,2019,106
ltu,2020,116.7
ltu,2021,120.5
ltu,2022,136.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,589.3
hun,2009,503.4
hun,2010,518.6
hun,2011,512.9
hun,2012,496.2
hun,2013,501.9
hun,2014,506.4
hun,2015,513.9
hun,2016,524.2
hun,2017,517.3
hun,2018,534.5
hun,2019,584.2
hun,2020,592.6
hun,2021,804.9
hun,2022,919.9
hun,2023,1035.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,30.4
mlt,2021,36.4
mlt,2022,32.4
mlt,2023,32.8
mlt,2024,32.2
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,3077
nld,2009,2853
nld,2010,2687
nld,2011,2538
nld,2012,2353
nld,2013,2272
nld,2014,2328
nld,2015,2144
nld,2016,2132
nld,2017,2097
nld,2018,2046
nld,2019,2159
nld,2020,2330
nld,2021,2464
nld,2022,2463
nld,2023,2226
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1410.2
aut,2009,1366.7
aut,2010,1345.5
aut,2011,1368
aut,2012,1403.6
aut,2013,1406.9
aut,2014,1413.1
aut,2015,1412
aut,2016,1423
aut,2017,1447.5
aut,2018,1441.6
aut,2019,1472.6
aut,2020,1478.4
aut,2021,1551.2
aut,2022,1570.5
aut,2023,1623
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
