country,year,foradl_lop_prod_film
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,47332.7
eu_three,2009,47268.7
eu_three,2010,47971.5
eu_three,2011,49271.6
eu_three,2012,49454.7
eu_three,2013,50704.8
eu_three,2014,50966.5
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1301.3
bel,2009,1361.8
bel,2010,1498.5
bel,2011,1659.9
bel,2012,1724.1
bel,2013,1765.3
bel,2014,1767.6
bel,2015,1782.6
bel,2016,1806.7
bel,2017,1856.3
bel,2018,1813.5
bel,2019,1863.1
bel,2020,1496.4
bel,2021,1756.4
bel,2022,2009
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,129
bgr,2009,111.1
bgr,2010,121.7
bgr,2011,163.7
bgr,2012,147.2
bgr,2013,159.6
bgr,2014,186.1
bgr,2015,228.7
bgr,2016,317.9
bgr,2017,326
bgr,2018,370
bgr,2019,274.1
bgr,2020,217.4
bgr,2021,296.8
bgr,2022,359.1
bgr,2023,361.2
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,791.6
cze,2009,698.1
cze,2010,767.2
cze,2011,807.1
cze,2012,774.9
cze,2013,761
cze,2014,720.2
cze,2015,829
cze,2016,915.2
cze,2017,1005.6
cze,2018,1098.1
cze,2019,1160.9
cze,2020,1036.5
cze,2021,1241.2
cze,2022,1348.8
cze,2023,1374
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1049.8
dnk,2009,1003.3
dnk,2010,1136.8
dnk,2011,1209.5
dnk,2012,1413.5
dnk,2013,1462.5
dnk,2014,1532.2
dnk,2015,1587.9
dnk,2016,1666.8
dnk,2017,1640.7
dnk,2018,1695.5
dnk,2019,1599.2
dnk,2020,1488.7
dnk,2021,1741.8
dnk,2022,1921.3
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,12299
deu,2009,12896
deu,2010,12696
deu,2011,12953
deu,2012,13635
deu,2013,15138
deu,2014,15115
deu,2015,14933
deu,2016,16040
deu,2017,16055
deu,2018,15950
deu,2019,16595
deu,2020,14813
deu,2021,16410
deu,2022,16378
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,57.3
est,2009,54
est,2010,54.9
est,2011,61.1
est,2012,57.9
est,2013,62.6
est,2014,67.1
est,2015,76.2
est,2016,83
est,2017,86.4
est,2018,90.7
est,2019,100.4
est,2020,87.3
est,2021,173.7
est,2022,212.1
est,2023,216.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,317.4
irl,2009,253.8
irl,2010,230.7
irl,2011,410.7
irl,2012,455.3
irl,2013,491.3
irl,2014,523.5
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,736
grc,2009,761.7
grc,2010,676.4
grc,2011,706.6
grc,2012,490.2
grc,2013,425.3
grc,2014,449.3
grc,2015,419.6
grc,2016,472.9
grc,2017,452.5
grc,2018,484.5
grc,2019,564.9
grc,2020,578.1
grc,2021,751.7
grc,2022,836.7
grc,2023,794.5
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,4845
esp,2009,4824
esp,2010,5157
esp,2011,4855
esp,2012,4528
esp,2013,4345
esp,2014,4472
esp,2015,4684
esp,2016,4884
esp,2017,5234
esp,2018,5267
esp,2019,5406
esp,2020,4549
esp,2021,5164
esp,2022,5991
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,9000.9
fra,2009,9160
fra,2010,9518.8
fra,2011,10208.2
fra,2012,10291.2
fra,2013,10344.3
fra,2014,10474.3
fra,2015,10734
fra,2016,10917.7
fra,2017,11213.5
fra,2018,11294.1
fra,2019,11299.5
fra,2020,10054.6
fra,2021,11779.1
fra,2022,11374.5
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,188.7
hrv,2009,168.4
hrv,2010,189.5
hrv,2011,196.5
hrv,2012,196.3
hrv,2013,188.7
hrv,2014,176.1
hrv,2015,187.7
hrv,2016,219
hrv,2017,242.9
hrv,2018,250.6
hrv,2019,297.3
hrv,2020,272.3
hrv,2021,284.8
hrv,2022,355.9
hrv,2023,373.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,6815.3
ita,2009,7043.8
ita,2010,6889.5
ita,2011,6871.2
ita,2012,6174.4
ita,2013,5825.4
ita,2014,5384.5
ita,2015,5729.9
ita,2016,6323
ita,2017,6262.8
ita,2018,6287.6
ita,2019,5909.2
ita,2020,5679.6
ita,2021,6431.2
ita,2022,6358
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,88.6
cyp,2009,81.9
cyp,2010,65.9
cyp,2011,64.2
cyp,2012,49.2
cyp,2013,53.6
cyp,2014,52.5
cyp,2015,55.9
cyp,2016,63.2
cyp,2017,69.8
cyp,2018,72.9
cyp,2019,64.4
cyp,2020,60.3
cyp,2021,92.5
cyp,2022,106.7
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,76.6
lva,2009,58
lva,2010,57.8
lva,2011,50.2
lva,2012,56.1
lva,2013,57.9
lva,2014,72.3
lva,2015,68.8
lva,2016,72.2
lva,2017,79.2
lva,2018,88.6
lva,2019,88
lva,2020,77.5
lva,2021,89.9
lva,2022,108.2
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,73.9
ltu,2009,64.2
ltu,2010,54.4
ltu,2011,60
ltu,2012,63.5
ltu,2013,67.7
ltu,2014,74.1
ltu,2015,80.2
ltu,2016,85.7
ltu,2017,97.6
ltu,2018,106.3
ltu,2019,120.2
ltu,2020,112.2
ltu,2021,137.1
ltu,2022,156.7
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,668
hun,2009,706.4
hun,2010,877.4
hun,2011,822.9
hun,2012,807.6
hun,2013,719.3
hun,2014,680.8
hun,2015,541.4
hun,2016,444.6
hun,2017,568.7
hun,2018,567
hun,2019,599.2
hun,2020,523.6
hun,2021,622.4
hun,2022,582
hun,2023,692.6
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,14.4
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,19.3
mlt,2017,26.6
mlt,2018,26.7
mlt,2019,33
mlt,2020,26.6
mlt,2021,39.7
mlt,2022,37.6
mlt,2023,45.7
mlt,2024,39.2
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1873
nld,2009,1796
nld,2010,1737
nld,2011,1737
nld,2012,1755
nld,2013,1781
nld,2014,1952
nld,2015,2048
nld,2016,2181
nld,2017,2362
nld,2018,2396
nld,2019,2651
nld,2020,2446
nld,2021,2940
nld,2022,3880
nld,2023,3897
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,916.4
aut,2009,952.9
aut,2010,911.4
aut,2011,969.5
aut,2012,1099.3
aut,2013,1130.4
aut,2014,1152.4
aut,2015,1194.4
aut,2016,1222.3
aut,2017,1232.1
aut,2018,1250.2
aut,2019,1280.8
aut,2020,1179.4
aut,2021,1155.1
aut,2022,1248.3
aut,2023,1213.3
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,2264.5
