country,year,foradl_lop_reklam_veterinar
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,97790.2
eu_three,2009,85912.9
eu_three,2010,87475.6
eu_three,2011,91177
eu_three,2012,92992.8
eu_three,2013,93833.9
eu_three,2014,95282.8
eu_three,2015,101431.8
eu_three,2016,109277.5
eu_three,2017,111321.3
eu_three,2018,116571.5
eu_three,2019,118280
eu_three,2020,114144.4
eu_three,2021,130037.4
eu_three,2022,140830.6
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2571.9
bel,2009,2141.6
bel,2010,2181.3
bel,2011,2234.9
bel,2012,2242.7
bel,2013,2278.7
bel,2014,2371.1
bel,2015,2465.6
bel,2016,2615.5
bel,2017,2674.2
bel,2018,2745.8
bel,2019,2839.2
bel,2020,2840.1
bel,2021,3291
bel,2022,3595
bel,2023,3536.3
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,243.1
bgr,2009,242.5
bgr,2010,286.1
bgr,2011,310.2
bgr,2012,328
bgr,2013,358.8
bgr,2014,355
bgr,2015,481.5
bgr,2016,528.2
bgr,2017,572.9
bgr,2018,627.6
bgr,2019,714.6
bgr,2020,775.4
bgr,2021,939.9
bgr,2022,1002.2
bgr,2023,1138.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1745.6
cze,2009,1505.2
cze,2010,1742.5
cze,2011,1752.5
cze,2012,1818
cze,2013,1853.9
cze,2014,1774.2
cze,2015,1821.2
cze,2016,2048.1
cze,2017,2355.6
cze,2018,2645.1
cze,2019,2963.2
cze,2020,2719.8
cze,2021,3072.2
cze,2022,3509.4
cze,2023,3630.9
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2026.8
dnk,2009,1838.2
dnk,2010,1741.9
dnk,2011,1779.3
dnk,2012,1694.8
dnk,2013,1741.2
dnk,2014,1799.6
dnk,2015,1955.6
dnk,2016,2077.2
dnk,2017,2363.8
dnk,2018,2431.2
dnk,2019,2653.4
dnk,2020,2543.6
dnk,2021,3116
dnk,2022,2906
dnk,2023,2872.4
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,20387
deu,2009,15916
deu,2010,17437
deu,2011,18836
deu,2012,20249
deu,2013,22012
deu,2014,22362
deu,2015,23775
deu,2016,28956
deu,2017,25215
deu,2018,27167
deu,2019,24377
deu,2020,27377
deu,2021,32506
deu,2022,33408
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,138.9
est,2009,98.6
est,2010,107.8
est,2011,132.8
est,2012,135.1
est,2013,139.5
est,2014,166.8
est,2015,181.1
est,2016,189.8
est,2017,232.7
est,2018,279.1
est,2019,277
est,2020,320.2
est,2021,444.5
est,2022,390.3
est,2023,445.7
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,2137.2
irl,2009,1968.6
irl,2010,1353.5
irl,2011,1244
irl,2012,1105.2
irl,2013,1294.7
irl,2014,1436.3
irl,2015,1575.4
irl,2016,1758
irl,2017,1983
irl,2018,2206.5
irl,2019,2410.9
irl,2020,2550.3
irl,2021,2843.1
irl,2022,2920.7
irl,2023,3073.6
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1580
grc,2009,1463.6
grc,2010,1253.4
grc,2011,890.6
grc,2012,597.5
grc,2013,494.9
grc,2014,479.2
grc,2015,534.1
grc,2016,535.9
grc,2017,576.2
grc,2018,595.5
grc,2019,601.4
grc,2020,720.3
grc,2021,807.8
grc,2022,829.4
grc,2023,943.6
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,8449
esp,2009,8425
esp,2010,8551
esp,2011,8774
esp,2012,8249
esp,2013,7818
esp,2014,8171
esp,2015,9526
esp,2016,9874
esp,2017,10990
esp,2018,11584
esp,2019,12020
esp,2020,10047
esp,2021,11052
esp,2022,13118
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,14119.1
fra,2009,13235.6
fra,2010,13369.4
fra,2011,14309.8
fra,2012,14598.2
fra,2013,13856.2
fra,2014,14008.5
fra,2015,14538.9
fra,2016,14830.8
fra,2017,15448.9
fra,2018,15829.4
fra,2019,16534.5
fra,2020,14639.5
fra,2021,16551.3
fra,2022,17037.3
fra,2023,16922.3
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,326.3
hrv,2009,270.6
hrv,2010,305
hrv,2011,301.6
hrv,2012,308.7
hrv,2013,312.7
hrv,2014,304.7
hrv,2015,325.8
hrv,2016,338.1
hrv,2017,370.9
hrv,2018,403.9
hrv,2019,479.6
hrv,2020,444.6
hrv,2021,465.2
hrv,2022,587.3
hrv,2023,487.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,20033.3
ita,2009,17646
ita,2010,17789.5
ita,2011,17485.8
ita,2012,17855.4
ita,2013,16950.8
ita,2014,17595.7
ita,2015,17578.9
ita,2016,17374.5
ita,2017,18051.3
ita,2018,18981.7
ita,2019,19629
ita,2020,17995.7
ita,2021,19648
ita,2022,22392.7
ita,2023,20062.4
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,110.5
cyp,2009,107.6
cyp,2010,113.5
cyp,2011,115.5
cyp,2012,103.6
cyp,2013,90.1
cyp,2014,96.3
cyp,2015,101.1
cyp,2016,113.3
cyp,2017,120.5
cyp,2018,143.2
cyp,2019,213.6
cyp,2020,224.8
cyp,2021,294.2
cyp,2022,352.7
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,290.3
lva,2009,216.4
lva,2010,193
lva,2011,184.6
lva,2012,224.3
lva,2013,219.4
lva,2014,244.8
lva,2015,254.5
lva,2016,288.6
lva,2017,289.5
lva,2018,286.2
lva,2019,306.7
lva,2020,346.7
lva,2021,386.7
lva,2022,465.9
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,262.9
ltu,2009,228
ltu,2010,237.5
ltu,2011,270
ltu,2012,282.6
ltu,2013,316
ltu,2014,322.6
ltu,2015,355.6
ltu,2016,378.2
ltu,2017,406
ltu,2018,419.8
ltu,2019,434.9
ltu,2020,446.1
ltu,2021,552.1
ltu,2022,647.7
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1094
hun,2009,921.4
hun,2010,945.9
hun,2011,946.4
hun,2012,875
hun,2013,891.5
hun,2014,930.1
hun,2015,985.2
hun,2016,1005.6
hun,2017,1100
hun,2018,1286.1
hun,2019,1417.1
hun,2020,1298.8
hun,2021,1569.9
hun,2022,1572
hun,2023,1798
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,38.2
mlt,2009,47.3
mlt,2010,54.5
mlt,2011,53.4
mlt,2012,71.9
mlt,2013,
mlt,2014,
mlt,2015,152.2
mlt,2016,248.8
mlt,2017,328.5
mlt,2018,392.5
mlt,2019,426.1
mlt,2020,498.4
mlt,2021,574.3
mlt,2022,661.1
mlt,2023,799
mlt,2024,913.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,5990
nld,2009,5705
nld,2010,6002
nld,2011,6206
nld,2012,6244
nld,2013,6171
nld,2014,6139
nld,2015,6234
nld,2016,6941
nld,2017,7222
nld,2018,7487
nld,2019,7955
nld,2020,7835
nld,2021,8902
nld,2022,9790
nld,2023,10609
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1852.4
aut,2009,1742.5
aut,2010,1740.2
aut,2011,1914.8
aut,2012,2048.2
aut,2013,2071
aut,2014,2071.2
aut,2015,2270.1
aut,2016,2341.7
aut,2017,2469.4
aut,2018,2645.8
aut,2019,2814.5
