country,year,foradl_lop_rep_dator_pers
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,15516.9
eu_three,2009,14180.4
eu_three,2010,13430.9
eu_three,2011,13836
eu_three,2012,14197.2
eu_three,2013,14365.1
eu_three,2014,13824.7
eu_three,2015,14194.3
eu_three,2016,13810.6
eu_three,2017,14545.3
eu_three,2018,14667.9
eu_three,2019,14813.2
eu_three,2020,14136.2
eu_three,2021,14186.3
eu_three,2022,15261.4
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,334.9
bel,2009,254.8
bel,2010,251.5
bel,2011,215.6
bel,2012,247
bel,2013,249.8
bel,2014,235.4
bel,2015,238.5
bel,2016,238.6
bel,2017,235.4
bel,2018,250.2
bel,2019,261.3
bel,2020,240.5
bel,2021,280.2
bel,2022,290.7
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,96.9
bgr,2009,269.7
bgr,2010,135.9
bgr,2011,167.7
bgr,2012,95.2
bgr,2013,64.3
bgr,2014,74.5
bgr,2015,64.5
bgr,2016,57.4
bgr,2017,62.8
bgr,2018,64.9
bgr,2019,42.7
bgr,2020,41.5
bgr,2021,48
bgr,2022,50.5
bgr,2023,68.2
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,296.6
cze,2009,337.2
cze,2010,449.3
cze,2011,434.6
cze,2012,345.9
cze,2013,327.3
cze,2014,319.6
cze,2015,375.5
cze,2016,390.4
cze,2017,379.5
cze,2018,370.2
cze,2019,377.2
cze,2020,382.8
cze,2021,357.5
cze,2022,464.3
cze,2023,483
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,244.4
dnk,2009,382.3
dnk,2010,382.4
dnk,2011,369.6
dnk,2012,354.1
dnk,2013,316.2
dnk,2014,329.7
dnk,2015,292.6
dnk,2016,311.4
dnk,2017,322
dnk,2018,295.4
dnk,2019,320.8
dnk,2020,314.9
dnk,2021,329.7
dnk,2022,316.9
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,1967
deu,2009,1638
deu,2010,1656
deu,2011,1664
deu,2012,1806
deu,2013,1711
deu,2014,1625
deu,2015,1817
deu,2016,1947
deu,2017,1788
deu,2018,1824
deu,2019,1872
deu,2020,1842
deu,2021,1866
deu,2022,1891
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,15
est,2009,10.6
est,2010,10.8
est,2011,11.9
est,2012,11.4
est,2013,13
est,2014,14.1
est,2015,14.1
est,2016,14.9
est,2017,15.8
est,2018,17.1
est,2019,16.1
est,2020,13.8
est,2021,14.4
est,2022,15
est,2023,18.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,16.3
irl,2009,-13.5
irl,2010,43.8
irl,2011,55.9
irl,2012,51.1
irl,2013,54.1
irl,2014,61.7
irl,2015,66.2
irl,2016,71.2
irl,2017,85.2
irl,2018,90.4
irl,2019,95.4
irl,2020,77.4
irl,2021,87.9
irl,2022,94.5
irl,2023,130.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,364.8
grc,2009,341.4
grc,2010,355.2
grc,2011,338.5
grc,2012,358.9
grc,2013,427.5
grc,2014,371.2
grc,2015,348.3
grc,2016,342.2
grc,2017,273.6
grc,2018,317.2
grc,2019,347.7
grc,2020,244.6
grc,2021,301.3
grc,2022,270.7
grc,2023,342.4
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,1280
esp,2009,1319
esp,2010,1174
esp,2011,1223
esp,2012,1315
esp,2013,1463
esp,2014,1463
esp,2015,1493
esp,2016,1483
esp,2017,1482
esp,2018,1458
esp,2019,1545
esp,2020,1436
esp,2021,1445
esp,2022,1509
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,5834.1
fra,2009,5161.2
fra,2010,4754.4
fra,2011,4890.5
fra,2012,4905
fra,2013,4805.1
fra,2014,4691.1
fra,2015,4336.5
fra,2016,4373.9
fra,2017,4661.9
fra,2018,4601.8
fra,2019,4673.3
fra,2020,4763.8
fra,2021,5019.3
fra,2022,5211.8
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,72.9
hrv,2009,70.5
hrv,2010,60.1
hrv,2011,59.3
hrv,2012,60.4
hrv,2013,64.8
hrv,2014,66.1
hrv,2015,69
hrv,2016,74.3
hrv,2017,86.4
hrv,2018,89.1
hrv,2019,72.7
hrv,2020,66.1
hrv,2021,83.9
hrv,2022,87.3
hrv,2023,95.1
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,2111
ita,2009,1855.7
ita,2010,1819.2
ita,2011,1886.1
ita,2012,1820.9
ita,2013,1835.2
ita,2014,1741.1
ita,2015,1657.4
ita,2016,1672.8
ita,2017,1709.5
ita,2018,1751
ita,2019,1753
ita,2020,1398.9
ita,2021,1546.8
ita,2022,1828.9
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,15
cyp,2009,14.9
cyp,2010,12.2
cyp,2011,7.6
cyp,2012,6.6
cyp,2013,6.3
cyp,2014,6.2
cyp,2015,7.8
cyp,2016,8.1
cyp,2017,8.8
cyp,2018,9.9
cyp,2019,10.1
cyp,2020,7.6
cyp,2021,9.1
cyp,2022,10.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,30.6
lva,2009,28.8
lva,2010,20.5
lva,2011,19.2
lva,2012,23.5
lva,2013,21.6
lva,2014,21.8
lva,2015,25.2
lva,2016,24.1
lva,2017,24.5
lva,2018,24.6
lva,2019,20.4
lva,2020,18.8
lva,2021,15.1
lva,2022,18.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,20.9
ltu,2009,22.1
ltu,2010,23.5
ltu,2011,25.4
ltu,2012,26
ltu,2013,29.3
ltu,2014,31.6
ltu,2015,36.9
ltu,2016,38.6
ltu,2017,42.6
ltu,2018,46.8
ltu,2019,43.1
ltu,2020,47.2
ltu,2021,49.8
ltu,2022,51.3
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,8.1
lux,2009,8.3
lux,2010,7.9
lux,2011,8.5
lux,2012,9.1
lux,2013,10.5
lux,2014,9.6
lux,2015,8.7
lux,2016,12.5
lux,2017,10.5
lux,2018,9.8
lux,2019,11.1
lux,2020,9.3
lux,2021,9.8
lux,2022,10.1
lux,2023,12.3
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,171.7
hun,2009,151.3
hun,2010,133.3
hun,2011,137.8
hun,2012,140.3
hun,2013,137.7
hun,2014,153.5
hun,2015,155.5
hun,2016,161
hun,2017,171.6
hun,2018,183.2
hun,2019,188.6
hun,2020,158.9
hun,2021,186.9
hun,2022,188.2
hun,2023,219.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,3.7
mlt,2010,
mlt,2011,4
mlt,2012,4.3
mlt,2013,7.2
mlt,2014,9.1
mlt,2015,10.4
mlt,2016,
mlt,2017,11.1
mlt,2018,10.2
mlt,2019,15.5
mlt,2020,14
mlt,2021,14.1
mlt,2022,15.6
mlt,2023,16.9
mlt,2024,18
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,382
nld,2009,365
nld,2010,381
nld,2011,400
nld,2012,417
nld,2013,440
nld,2014,427
nld,2015,435
nld,2016,440
nld,2017,450
nld,2018,477
nld,2019,490
nld,2020,469
nld,2021,478
nld,2022,514
nld,2023,569
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,184.7
aut,2009,195
aut,2010,170.3
aut,2011,168.1
aut,2012,160.9
aut,2013,163.8
aut,2014,170.5
aut,2015,180.1
aut,2016,182.9
aut,2017,164.3
aut,2018,182.8
aut,2019,161.2
aut,2020,148.4
aut,2021,151.2
aut,2022,167.3
aut,2023,183.6
aut,2024,
pol,2000,
