country,year,foradl_lop_rese
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,20837.2
eu_three,2009,19391.8
eu_three,2010,20653.8
eu_three,2011,21466.8
eu_three,2012,21571.7
eu_three,2013,22325.9
eu_three,2014,23588.8
eu_three,2015,24632.2
eu_three,2016,24931.3
eu_three,2017,27249.9
eu_three,2018,29492.9
eu_three,2019,28310.6
eu_three,2020,8566.1
eu_three,2021,11341
eu_three,2022,24324
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,528.3
bel,2009,461.2
bel,2010,505.1
bel,2011,502.4
bel,2012,475.5
bel,2013,506.5
bel,2014,510
bel,2015,506.3
bel,2016,496.2
bel,2017,494
bel,2018,488.2
bel,2019,475.1
bel,2020,125.2
bel,2021,227.2
bel,2022,371.5
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,90.6
bgr,2009,107.9
bgr,2010,131.7
bgr,2011,111.7
bgr,2012,125.5
bgr,2013,111.7
bgr,2014,89.8
bgr,2015,119.4
bgr,2016,105.1
bgr,2017,82.4
bgr,2018,89.5
bgr,2019,76.8
bgr,2020,-26.9
bgr,2021,32.6
bgr,2022,81.1
bgr,2023,154.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,436.1
cze,2009,289.8
cze,2010,303.1
cze,2011,254.7
cze,2012,266.6
cze,2013,272.6
cze,2014,276
cze,2015,262.2
cze,2016,278.2
cze,2017,361
cze,2018,379.3
cze,2019,394.5
cze,2020,80.6
cze,2021,199.9
cze,2022,382.2
cze,2023,494.5
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,358.8
dnk,2009,296.6
dnk,2010,335.2
dnk,2011,365.9
dnk,2012,366.8
dnk,2013,374.9
dnk,2014,342.3
dnk,2015,396.8
dnk,2016,393.2
dnk,2017,413.6
dnk,2018,391
dnk,2019,385.5
dnk,2020,68.5
dnk,2021,122.2
dnk,2022,315.7
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,5326
deu,2009,5213
deu,2010,6340
deu,2011,6343
deu,2012,6389
deu,2013,6772
deu,2014,7117
deu,2015,7314
deu,2016,6453
deu,2017,7036
deu,2018,7960
deu,2019,6246
deu,2020,1756
deu,2021,1518
deu,2022,4879
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,30.8
est,2009,23.7
est,2010,25.8
est,2011,28.7
est,2012,33
est,2013,34.5
est,2014,34.7
est,2015,36.2
est,2016,42.9
est,2017,55.2
est,2018,78.4
est,2019,79.7
est,2020,19.5
est,2021,36.5
est,2022,56.1
est,2023,53.5
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,304.1
irl,2009,255.7
irl,2010,220.1
irl,2011,240.5
irl,2012,248.1
irl,2013,280.5
irl,2014,313.7
irl,2015,337.8
irl,2016,337.8
irl,2017,394.3
irl,2018,395.2
irl,2019,346.7
irl,2020,199
irl,2021,165.6
irl,2022,344.4
irl,2023,407.1
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,622.5
grc,2009,693.2
grc,2010,644.4
grc,2011,683.8
grc,2012,658.2
grc,2013,655.1
grc,2014,745
grc,2015,607.8
grc,2016,588.2
grc,2017,655
grc,2018,696.8
grc,2019,615.5
grc,2020,219.6
grc,2021,398.8
grc,2022,793.9
grc,2023,1050.6
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,3461
esp,2009,3080
esp,2010,3004
esp,2011,3449
esp,2012,3308
esp,2013,3082
esp,2014,3333
esp,2015,3542
esp,2016,3915
esp,2017,3848
esp,2018,3863
esp,2019,3935
esp,2020,749
esp,2021,1016
esp,2022,2339
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,2448.7
fra,2009,2273.2
fra,2010,2171.1
fra,2011,2154.9
fra,2012,1912.6
fra,2013,2037.9
fra,2014,2170.2
fra,2015,2210
fra,2016,2250.4
fra,2017,2366.9
fra,2018,2522.2
fra,2019,2651
fra,2020,860.9
fra,2021,1095.5
fra,2022,2321.9
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,106.7
hrv,2009,109.2
hrv,2010,118.5
hrv,2011,118.8
hrv,2012,113.8
hrv,2013,123.6
hrv,2014,127.7
hrv,2015,137.1
hrv,2016,151.5
hrv,2017,162.6
hrv,2018,187.3
hrv,2019,197.1
hrv,2020,48.1
hrv,2021,104
hrv,2022,129.2
hrv,2023,161.2
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,2565.3
ita,2009,2147.4
ita,2010,2338.3
ita,2011,2227.5
ita,2012,2094.4
ita,2013,2052
ita,2014,2244.7
ita,2015,2231.4
ita,2016,2397.8
ita,2017,2470.9
ita,2018,2723.5
ita,2019,2817
ita,2020,1105.9
ita,2021,1261.5
ita,2022,2150.2
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,71.2
cyp,2009,64.2
cyp,2010,65.2
cyp,2011,57.4
cyp,2012,52.5
cyp,2013,42
cyp,2014,45.3
cyp,2015,51.2
cyp,2016,55.8
cyp,2017,62.9
cyp,2018,71.3
cyp,2019,75.6
cyp,2020,31.3
cyp,2021,47.7
cyp,2022,72.9
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,49
lva,2009,30.9
lva,2010,33.8
lva,2011,35.8
lva,2012,42.3
lva,2013,49.7
lva,2014,46.6
lva,2015,44.4
lva,2016,49.5
lva,2017,54.4
lva,2018,62.2
lva,2019,59.1
lva,2020,34.9
lva,2021,44.8
lva,2022,75.9
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,121.4
ltu,2009,89
ltu,2010,65.1
ltu,2011,70.8
ltu,2012,73.7
ltu,2013,72.9
ltu,2014,86.9
ltu,2015,89.5
ltu,2016,103.3
ltu,2017,116.5
ltu,2018,124
ltu,2019,123.3
ltu,2020,24.1
ltu,2021,36.9
ltu,2022,67.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,115.6
hun,2009,83.4
hun,2010,91.4
hun,2011,110.6
hun,2012,91.9
hun,2013,107.5
hun,2014,113.7
hun,2015,107.9
hun,2016,104.9
hun,2017,128.3
hun,2018,132.3
hun,2019,132.6
hun,2020,48.2
hun,2021,76.2
hun,2022,118.8
hun,2023,228.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,50
mlt,2009,
mlt,2010,44.2
mlt,2011,40.2
mlt,2012,50.6
mlt,2013,51
mlt,2014,39
mlt,2015,44.7
mlt,2016,
mlt,2017,47.7
mlt,2018,
mlt,2019,
mlt,2020,12.9
mlt,2021,18
mlt,2022,50.6
mlt,2023,87.7
mlt,2024,94.5
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,997
nld,2009,1211
nld,2010,1420
nld,2011,1631
nld,2012,2267
nld,2013,2558
nld,2014,3097
nld,2015,3647
nld,2016,4348
nld,2017,5030
nld,2018,5791
nld,2019,6195
nld,2020,1885
nld,2021,3488
nld,2022,7006
nld,2023,9095
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,449.5
aut,2009,501.8
aut,2010,506.6
aut,2011,642.7
aut,2012,653
aut,2013,630.4
aut,2014,599
aut,2015,611.4
aut,2016,570.1
aut,2017,577.5
aut,2018,589.7
aut,2019,620.1
aut,2020,233.9
aut,2021,247.3
aut,2022,530.7
aut,2023,746.7
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
