country,year,foradl_lop_skog
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,19601.1
eu_three,2009,16425.2
eu_three,2010,19336.4
eu_three,2011,22130.7
eu_three,2012,21517
eu_three,2013,22376.2
eu_three,2014,24164.3
eu_three,2015,24436.5
eu_three,2016,24435.9
eu_three,2017,24223.4
eu_three,2018,25283.2
eu_three,2019,23859.1
eu_three,2020,22321.6
eu_three,2021,24488.6
eu_three,2022,29525.5
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,96.9
bel,2009,75
bel,2010,81.7
bel,2011,98.8
bel,2012,92.6
bel,2013,88.6
bel,2014,89.3
bel,2015,90.7
bel,2016,89.9
bel,2017,82
bel,2018,79.2
bel,2019,86.1
bel,2020,95.3
bel,2021,99.6
bel,2022,108.6
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,156.8
bgr,2009,167.4
bgr,2010,194.1
bgr,2011,179.8
bgr,2012,175.9
bgr,2013,185.4
bgr,2014,194
bgr,2015,212.2
bgr,2016,188.8
bgr,2017,192.2
bgr,2018,255.5
bgr,2019,238.1
bgr,2020,229.6
bgr,2021,269.3
bgr,2022,378
bgr,2023,369.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,755
cze,2009,689.1
cze,2010,773.4
cze,2011,1032.7
cze,2012,1044.3
cze,2013,1041
cze,2014,974.4
cze,2015,1004.7
cze,2016,943.6
cze,2017,991.5
cze,2018,739.1
cze,2019,663.3
cze,2020,707.2
cze,2021,698.9
cze,2022,1276.6
cze,2023,1143.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,116.6
dnk,2009,81.9
dnk,2010,138.4
dnk,2011,87.6
dnk,2012,117.1
dnk,2013,170.8
dnk,2014,193.4
dnk,2015,117.7
dnk,2016,126.5
dnk,2017,114.4
dnk,2018,190.8
dnk,2019,198.2
dnk,2020,218.4
dnk,2021,182.5
dnk,2022,144.7
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,2477
deu,2009,2000
deu,2010,1657
deu,2011,2721
deu,2012,3178
deu,2013,3126
deu,2014,3519
deu,2015,3568
deu,2016,3807
deu,2017,3604
deu,2018,3919
deu,2019,2492
deu,2020,1161
deu,2021,1888
deu,2022,3698
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,313.5
est,2009,150.2
est,2010,209.7
est,2011,269.8
est,2012,202.5
est,2013,220.7
est,2014,258
est,2015,271
est,2016,265.7
est,2017,249.2
est,2018,292.4
est,2019,319.1
est,2020,253.8
est,2021,304.6
est,2022,380.7
est,2023,387.9
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,63.6
irl,2009,80.4
irl,2010,104.4
irl,2011,1
irl,2012,9.7
irl,2013,13.6
irl,2014,18.9
irl,2015,16.2
irl,2016,21.4
irl,2017,37.9
irl,2018,24.5
irl,2019,43.1
irl,2020,38.4
irl,2021,37.8
irl,2022,73.5
irl,2023,108.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,60.4
grc,2009,55.3
grc,2010,49.2
grc,2011,59.5
grc,2012,63.8
grc,2013,73.5
grc,2014,62.4
grc,2015,72.4
grc,2016,65.6
grc,2017,60.5
grc,2018,59.8
grc,2019,60.7
grc,2020,46.9
grc,2021,45.7
grc,2022,53.7
grc,2023,53.8
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,1478
esp,2009,977
esp,2010,979
esp,2011,1083
esp,2012,956
esp,2013,1049
esp,2014,959
esp,2015,972
esp,2016,969
esp,2017,1001
esp,2018,1003
esp,2019,1080
esp,2020,917
esp,2021,897
esp,2022,1054
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,2655.3
fra,2009,1933.1
fra,2010,2363
fra,2011,2747
fra,2012,2347.2
fra,2013,2520.5
fra,2014,3359.3
fra,2015,3589.6
fra,2016,3198.2
fra,2017,3025.8
fra,2018,3136.8
fra,2019,2821.5
fra,2020,2597.2
fra,2021,2999.4
fra,2022,3861.6
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,221.8
hrv,2009,199.6
hrv,2010,222.9
hrv,2011,235.1
hrv,2012,227.8
hrv,2013,233.2
hrv,2014,232.5
hrv,2015,224.4
hrv,2016,222.6
hrv,2017,218
hrv,2018,228.7
hrv,2019,219.6
hrv,2020,212.3
hrv,2021,226.7
hrv,2022,280.9
hrv,2023,285.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,1689.7
ita,2009,1633.7
ita,2010,1625.9
ita,2011,1724.2
ita,2012,1758.5
ita,2013,1957.4
ita,2014,1941.5
ita,2015,1915.1
ita,2016,2000.4
ita,2017,2041.1
ita,2018,2103.9
ita,2019,2159
ita,2020,2446.7
ita,2021,2539.5
ita,2022,2618.5
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1.5
cyp,2009,0.5
cyp,2010,17.3
cyp,2011,16.7
cyp,2012,15.2
cyp,2013,14
cyp,2014,12.5
cyp,2015,14.8
cyp,2016,17
cyp,2017,16.5
cyp,2018,19.5
cyp,2019,21.6
cyp,2020,23.1
cyp,2021,26.9
cyp,2022,30.5
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,318.2
lva,2009,269.3
lva,2010,353
lva,2011,333.4
lva,2012,329.8
lva,2013,370.5
lva,2014,412.6
lva,2015,386.1
lva,2016,392.1
lva,2017,420
lva,2018,554
lva,2019,545.7
lva,2020,489.4
lva,2021,575
lva,2022,862.9
lva,2023,862
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,144.2
ltu,2009,100.4
ltu,2010,139.7
ltu,2011,162.8
ltu,2012,138.9
ltu,2013,170.5
ltu,2014,201.6
ltu,2015,156.8
ltu,2016,186.7
ltu,2017,206.6
ltu,2018,267.5
ltu,2019,244.7
ltu,2020,210.5
ltu,2021,306.4
ltu,2022,539.1
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,9
lux,2009,4.2
lux,2010,11
lux,2011,14.9
lux,2012,15
lux,2013,13.9
lux,2014,13.3
lux,2015,12.2
lux,2016,11.8
lux,2017,11.9
lux,2018,12.3
lux,2019,6.8
lux,2020,-0.4
lux,2021,0.1
lux,2022,4.7
lux,2023,3.7
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,194.1
hun,2009,164.4
hun,2010,181.6
hun,2011,209.6
hun,2012,224
hun,2013,211.7
hun,2014,205.3
hun,2015,224
hun,2016,235.9
hun,2017,248.7
hun,2018,265.4
hun,2019,279.5
hun,2020,239.5
hun,2021,280.5
hun,2022,327.2
hun,2023,353.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,0
mlt,2009,0
mlt,2010,0
mlt,2011,0
mlt,2012,0
mlt,2013,0
mlt,2014,0
mlt,2015,0
mlt,2016,0
mlt,2017,0
mlt,2018,0
mlt,2019,0
mlt,2020,0
mlt,2021,0
mlt,2022,0
mlt,2023,0
mlt,2024,0
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,95
nld,2009,101
nld,2010,108
nld,2011,116
nld,2012,123
nld,2013,124
nld,2014,120
nld,2015,128
nld,2016,131
nld,2017,140
nld,2018,158
nld,2019,171
nld,2020,169
nld,2021,180
nld,2022,216
nld,2023,204
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1155.8
aut,2009,1010.5
aut,2010,1138.2
aut,2011,1375.8
aut,2012,1393.7
aut,2013,1234.3
aut,2014,1365.6
aut,2015,1134.9
aut,2016,1164.6
aut,2017,1124.1
aut,2018,1067.1
aut,2019,1016.2
aut,2020,866
aut,2021,1221.1
aut,2022,1618.6
aut,2023,1699.2
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
