country,year,foradl_lop_sport
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,47427.5
eu_three,2009,47770.7
eu_three,2010,48538.2
eu_three,2011,51122.6
eu_three,2012,51534.7
eu_three,2013,52784.9
eu_three,2014,54687.7
eu_three,2015,57476.7
eu_three,2016,60136.7
eu_three,2017,63643
eu_three,2018,66417.2
eu_three,2019,69732.6
eu_three,2020,53455.9
eu_three,2021,55934.5
eu_three,2022,70907.8
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,846.5
bel,2009,793.8
bel,2010,798.5
bel,2011,823.8
bel,2012,859.9
bel,2013,849.6
bel,2014,902.7
bel,2015,878.9
bel,2016,923.2
bel,2017,887.9
bel,2018,1029.5
bel,2019,1049.2
bel,2020,546.5
bel,2021,640
bel,2022,1089
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,90.7
bgr,2009,50.4
bgr,2010,83.3
bgr,2011,85.4
bgr,2012,103.3
bgr,2013,88.4
bgr,2014,105.5
bgr,2015,109.8
bgr,2016,142.7
bgr,2017,148.9
bgr,2018,176.3
bgr,2019,167.9
bgr,2020,108.9
bgr,2021,140.4
bgr,2022,185.7
bgr,2023,193.2
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,454.3
cze,2009,393.1
cze,2010,380.7
cze,2011,443.4
cze,2012,440.2
cze,2013,427.1
cze,2014,396.2
cze,2015,444.8
cze,2016,500.6
cze,2017,565.9
cze,2018,611.2
cze,2019,699.9
cze,2020,540.6
cze,2021,516
cze,2022,774.3
cze,2023,851.6
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,918.9
dnk,2009,932.5
dnk,2010,872.3
dnk,2011,953.9
dnk,2012,979.6
dnk,2013,967.3
dnk,2014,992.8
dnk,2015,1004.9
dnk,2016,1082.6
dnk,2017,1123.1
dnk,2018,1147.3
dnk,2019,1234.3
dnk,2020,1107.1
dnk,2021,1229.1
dnk,2022,1466.9
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,10734
deu,2009,10865
deu,2010,11097
deu,2011,12106
deu,2012,12222
deu,2013,12640
deu,2014,13161
deu,2015,13788
deu,2016,13875
deu,2017,14551
deu,2018,15112
deu,2019,15970
deu,2020,13204
deu,2021,13314
deu,2022,17340
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,69.7
est,2009,65.1
est,2010,59.2
est,2011,62.5
est,2012,75.7
est,2013,83
est,2014,99
est,2015,107
est,2016,120.3
est,2017,140
est,2018,157.3
est,2019,178.5
est,2020,167
est,2021,172.9
est,2022,217.8
est,2023,239.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,879.4
irl,2009,817.1
irl,2010,767.4
irl,2011,811
irl,2012,728.9
irl,2013,776.6
irl,2014,798.9
irl,2015,822.9
irl,2016,896.1
irl,2017,941.7
irl,2018,973.8
irl,2019,1010.8
irl,2020,677.3
irl,2021,841.4
irl,2022,1132.7
irl,2023,1276.1
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,312.5
grc,2009,411.4
grc,2010,375.3
grc,2011,403.7
grc,2012,440.9
grc,2013,464.4
grc,2014,377.5
grc,2015,390
grc,2016,385.2
grc,2017,390.3
grc,2018,406.8
grc,2019,434.7
grc,2020,275.9
grc,2021,271.2
grc,2022,343.3
grc,2023,336.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,7410
esp,2009,7717
esp,2010,8088
esp,2011,8380
esp,2012,8269
esp,2013,8105
esp,2014,8646
esp,2015,9627
esp,2016,10297
esp,2017,11420
esp,2018,12045
esp,2019,12488
esp,2020,8312
esp,2021,9371
esp,2022,11748
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,9925.9
fra,2009,10018.6
fra,2010,10580.6
fra,2011,11101.9
fra,2012,11353.4
fra,2013,12156.5
fra,2014,12572.6
fra,2015,12943.2
fra,2016,13214
fra,2017,13794.2
fra,2018,14090.5
fra,2019,14949.6
fra,2020,12439.8
fra,2021,12357.6
fra,2022,14402.4
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,156.6
hrv,2009,181.1
hrv,2010,208.3
hrv,2011,203.2
hrv,2012,206.5
hrv,2013,214.1
hrv,2014,219
hrv,2015,222.6
hrv,2016,278.6
hrv,2017,302.5
hrv,2018,331.4
hrv,2019,325
hrv,2020,270.2
hrv,2021,328.6
hrv,2022,408.7
hrv,2023,382
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,6958.4
ita,2009,6612.3
ita,2010,6435.9
ita,2011,6713.8
ita,2012,6353
ita,2013,6232.7
ita,2014,6480.8
ita,2015,6679.9
ita,2016,7511.8
ita,2017,7548.2
ita,2018,7854.4
ita,2019,8347.8
ita,2020,5670.7
ita,2021,5665.3
ita,2022,7469.9
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,118.3
cyp,2009,141.7
cyp,2010,128.3
cyp,2011,111.6
cyp,2012,119.8
cyp,2013,96.9
cyp,2014,101.7
cyp,2015,94.1
cyp,2016,97.5
cyp,2017,115.3
cyp,2018,108.3
cyp,2019,111.2
cyp,2020,70.4
cyp,2021,97.4
cyp,2022,152.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,88.9
lva,2009,70.1
lva,2010,85.3
lva,2011,76.7
lva,2012,98.3
lva,2013,110.8
lva,2014,87.4
lva,2015,93.7
lva,2016,104.6
lva,2017,112.5
lva,2018,121.6
lva,2019,126.4
lva,2020,103.1
lva,2021,108.9
lva,2022,131.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,27.4
ltu,2009,31
ltu,2010,24
ltu,2011,27.8
ltu,2012,31
ltu,2013,32.4
ltu,2014,41.9
ltu,2015,53.8
ltu,2016,65.5
ltu,2017,75.7
ltu,2018,99.2
ltu,2019,110.2
ltu,2020,86.1
ltu,2021,98
ltu,2022,145.3
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,88.1
lux,2009,97.7
lux,2010,106.4
lux,2011,107.4
lux,2012,126.1
lux,2013,131.3
lux,2014,129.5
lux,2015,142.1
lux,2016,133.3
lux,2017,149
lux,2018,142.5
lux,2019,168
lux,2020,160.7
lux,2021,183.7
lux,2022,210.7
lux,2023,227.8
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,353.5
hun,2009,260.3
hun,2010,259
hun,2011,255.4
hun,2012,257.9
hun,2013,275.4
hun,2014,312.8
hun,2015,349.5
hun,2016,388
hun,2017,532.3
hun,2018,631.6
hun,2019,643.6
hun,2020,582.7
hun,2021,743.4
hun,2022,855.6
hun,2023,1034.6
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,14.4
mlt,2009,13.5
mlt,2010,15.3
mlt,2011,17.8
mlt,2012,21.5
mlt,2013,23
mlt,2014,25
mlt,2015,27
mlt,2016,31.8
mlt,2017,36.4
mlt,2018,40.1
mlt,2019,41.4
mlt,2020,33.8
mlt,2021,43.6
mlt,2022,59.9
mlt,2023,68.9
mlt,2024,76.5
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2013
nld,2009,2120
nld,2010,2225
nld,2011,2310
nld,2012,2409
nld,2013,2440
nld,2014,2536
nld,2015,2610
nld,2016,2631
nld,2017,2679
nld,2018,2744
nld,2019,2779
nld,2020,1701
nld,2021,1636
nld,2022,2805
nld,2023,3193
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1071.4
aut,2009,1034.5
aut,2010,1061.7
aut,2011,1086.5
aut,2012,1108.7
aut,2013,1134
aut,2014,1151.2
aut,2015,1164.1
aut,2016,1133.7
aut,2017,1177.8
aut,2018,1226.4
aut,2019,1272.8
aut,2020,898.7
aut,2021,945.1
