country,year,foradl_lop_tillv
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,1688420.6
eu_three,2009,1465702.5
eu_three,2010,1589018
eu_three,2011,1677938.1
eu_three,2012,1663401.1
eu_three,2013,1664254.5
eu_three,2014,1732817.3
eu_three,2015,1870221.2
eu_three,2016,1930088.5
eu_three,2017,2004405.1
eu_three,2018,2057244.7
eu_three,2019,2102373.8
eu_three,2020,1980278.3
eu_three,2021,2188227.5
eu_three,2022,2402171.9
eu_three,2023,2526727.2
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,49218.5
bel,2009,44656.4
bel,2010,47688.8
bel,2011,49047.3
bel,2012,48963.5
bel,2013,49975.7
bel,2014,50959.1
bel,2015,52223.7
bel,2016,52480.4
bel,2017,55185.7
bel,2018,56719.3
bel,2019,59514.7
bel,2020,55705.8
bel,2021,54373.8
bel,2022,68536.9
bel,2023,67112.6
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,4595.2
bgr,2009,4819.3
bgr,2010,4456.3
bgr,2011,5469.6
bgr,2012,5937.5
bgr,2013,5369.1
bgr,2014,5605.1
bgr,2015,6242
bgr,2016,7021.3
bgr,2017,7360.5
bgr,2018,7477.5
bgr,2019,8157.7
bgr,2020,7969.7
bgr,2021,8003.7
bgr,2022,11345.1
bgr,2023,12714.2
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,35485.8
cze,2009,30363.8
cze,2010,33015
cze,2011,36414
cze,2012,35558.1
cze,2013,34921.1
cze,2014,37314
cze,2015,40472.9
cze,2016,42567
cze,2017,45608.9
cze,2018,47624.6
cze,2019,50760.1
cze,2020,45817.6
cze,2021,48319.2
cze,2022,55659.3
cze,2023,63529
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,28662.3
dnk,2009,25923.3
dnk,2010,26477.3
dnk,2011,27219.2
dnk,2012,28503.5
dnk,2013,30624.3
dnk,2014,31423.1
dnk,2015,33982
dnk,2016,36525.6
dnk,2017,38309
dnk,2018,39145.3
dnk,2019,41352.7
dnk,2020,40067
dnk,2021,43982.3
dnk,2022,49068.4
dnk,2023,60074.5
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,511556
deu,2009,432931
deu,2010,508373
deu,2011,553250
deu,2012,561676
deu,2013,566798
deu,2014,600530
deu,2015,621786
deu,2016,653112
deu,2017,672930
deu,2018,681620
deu,2019,684665
deu,2020,642917
deu,2021,687379
deu,2022,722622
deu,2023,768448
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,2284.1
est,2009,1736.8
est,2010,2026.8
est,2011,2436.4
est,2012,2509.9
est,2013,2597.4
est,2014,2843.3
est,2015,2869
est,2016,3020
est,2017,3244
est,2018,3493.5
est,2019,3667.3
est,2020,3508
est,2021,4103.9
est,2022,4429.7
est,2023,4549.7
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,32885.1
irl,2009,34562.8
irl,2010,32629.4
irl,2011,35658.6
irl,2012,34627.5
irl,2013,34891.9
irl,2014,39289.2
irl,2015,95003.1
irl,2016,90028.1
irl,2017,99168.5
irl,2018,109857.4
irl,2019,116147.3
irl,2020,129247.8
irl,2021,155321.7
irl,2022,193511
irl,2023,150119.7
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,21218.2
grc,2009,19148.2
grc,2010,17941.2
grc,2011,16580.6
grc,2012,15125.5
grc,2013,13858.1
grc,2014,13721.7
grc,2015,14544.6
grc,2016,14143.8
grc,2017,14221.7
grc,2018,14777.6
grc,2019,14517.4
grc,2020,14119
grc,2021,15994.5
grc,2022,19028.1
grc,2023,19661
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,137888
esp,2009,121547
esp,2010,119716
esp,2011,119709
esp,2012,112007
esp,2013,111450
esp,2014,114259
esp,2015,119732
esp,2016,122996
esp,2017,130043
esp,2018,130788
esp,2019,134106
esp,2020,122556
esp,2021,139066
esp,2022,150826
esp,2023,163192
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,220252.7
fra,2009,203682.8
fra,2010,205147.3
fra,2011,212674.5
fra,2012,213988.4
fra,2013,217407.1
fra,2014,219282.3
fra,2015,227182.7
fra,2016,226869.6
fra,2017,229398.4
fra,2018,232856
fra,2019,241054.8
fra,2020,214340.1
fra,2021,228132.6
fra,2022,253431.6
fra,2023,274674.4
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,6533.7
hrv,2009,6075.7
hrv,2010,5957.5
hrv,2011,6252
hrv,2012,6064.2
hrv,2013,5649.1
hrv,2014,5637.9
hrv,2015,5794.1
hrv,2016,6125.5
hrv,2017,6406.1
hrv,2018,6522.7
hrv,2019,6688.9
hrv,2020,6165.4
hrv,2021,6807.1
hrv,2022,8299.1
hrv,2023,9457.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,254456.4
ita,2009,216351
ita,2010,229150.8
ita,2011,234216.9
ita,2012,224658
ita,2013,223074.9
ita,2014,226342.7
ita,2015,237222.4
ita,2016,249997.8
ita,2017,258477.6
ita,2018,265738.5
ita,2019,267061.1
ita,2020,241771.9
ita,2021,283106.8
ita,2022,306024.5
ita,2023,327043.2
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1040.9
cyp,2009,1004.4
cyp,2010,983.4
cyp,2011,913.6
cyp,2012,816.9
cyp,2013,700.8
cyp,2014,712.9
cyp,2015,764.4
cyp,2016,869
cyp,2017,993.7
cyp,2018,1155.3
cyp,2019,1265.1
cyp,2020,1260
cyp,2021,1280.9
cyp,2022,1263.6
cyp,2023,1362.5
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,2356.9
lva,2009,1841.4
lva,2010,2133.6
lva,2011,2314.8
lva,2012,2512.7
lva,2013,2531.3
lva,2014,2484.1
lva,2015,2575.3
lva,2016,2581.9
lva,2017,2829.3
lva,2018,3080.3
lva,2019,3259
lva,2020,3355.7
lva,2021,4147.9
lva,2022,4264.7
lva,2023,4402.8
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,5133.1
ltu,2009,4065.3
ltu,2010,4677.3
ltu,2011,5683.9
ltu,2012,6205.8
ltu,2013,6160.1
ltu,2014,6336.2
ltu,2015,6454.8
ltu,2016,6524.7
ltu,2017,7064.9
ltu,2018,7588.4
ltu,2019,7879.6
ltu,2020,7771.2
ltu,2021,9022.2
ltu,2022,11035
ltu,2023,10756.8
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,2674.3
lux,2009,1816.8
lux,2010,2105.8
lux,2011,2158.3
lux,2012,2120
lux,2013,2236
lux,2014,2448.8
lux,2015,2966.8
lux,2016,3257.2
lux,2017,2778.1
lux,2018,2985.1
lux,2019,3147.5
lux,2020,3177.3
lux,2021,3392.8
lux,2022,3002
lux,2023,3139.1
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,19786.5
hun,2009,16204.1
hun,2010,18056.1
hun,2011,18826.2
hun,2012,18490
hun,2013,19120.9
hun,2014,20654
hun,2015,22805.2
hun,2016,22802.8
hun,2017,24303.8
hun,2018,25134.6
hun,2019,25534.1
hun,2020,24003
hun,2021,25611.6
hun,2022,28460.1
hun,2023,34179.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,840.1
mlt,2009,706.2
mlt,2010,759.2
mlt,2011,776
mlt,2012,809.2
mlt,2013,766.4
mlt,2014,747.8
mlt,2015,732
mlt,2016,760.2
mlt,2017,830.8
mlt,2018,894.1
mlt,2019,938.5
mlt,2020,962.7
mlt,2021,1056.8
mlt,2022,1155.9
mlt,2023,1268.6
mlt,2024,1359.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,70346
nld,2009,61992
nld,2010,62837
nld,2011,66266
nld,2012,66223
nld,2013,64215
nld,2014,65571
nld,2015,70958
nld,2016,73940
nld,2017,79216
nld,2018,83919
nld,2019,86468
nld,2020,85598
nld,2021,95886
nld,2022,102836
