country,year,foradl_lop_tot_dollar
aus,2000,
aus,2001,
aus,2002,
aus,2003,
aus,2004,
aus,2005,
aus,2006,
aus,2007,
aus,2008,987930.217
aus,2009,946318.507
aus,2010,1215014.882
aus,2011,1451132.955
aus,2012,1490614.479
aus,2013,1442068.789
aus,2014,1364669.275
aus,2015,1156515.109
aus,2016,1216094.264
aus,2017,1315036.887
aus,2018,1358931.929
aus,2019,1290096.321
aus,2020,1341437.59
aus,2021,1635613.973
aus,2022,1670497.587
aus,2023,1664291.702
aus,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,383010.959
aut,2009,355411.168
aut,2010,346827.431
aut,2011,381680.091
aut,2012,361118.962
aut,2013,378947.936
aut,2014,389888.81
aut,2015,337120.559
aut,2016,349697.143
aut,2017,368695.802
aut,2018,403120.658
aut,2019,394886.335
aut,2020,388951.923
aut,2021,428787.534
aut,2022,422664.499
aut,2023,459517.132
aut,2024,467433.504
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,461793.685
bel,2009,433880.129
bel,2010,430628.568
bel,2011,472294.872
bel,2012,446151.731
bel,2013,468967.776
bel,2014,482166.075
bel,2015,413347.807
bel,2016,423805.197
bel,2017,447322.115
bel,2018,484606.1
bel,2019,480347.705
bel,2020,477432.148
bel,2021,535079.877
bel,2022,535359.713
bel,2023,582759.999
bel,2024,601317.011
bra,2000,
bra,2001,
bra,2002,
bra,2003,
bra,2004,
bra,2005,
bra,2006,
bra,2007,
bra,2008,1432285.661
bra,2009,1425288.93
bra,2010,1877438.525
bra,2011,2224053.71
bra,2012,2096321.131
bra,2013,2112046.247
bra,2014,2113402.262
bra,2015,1549669.124
bra,2016,1552373.375
bra,2017,1776582.299
bra,2018,1645166.204
bra,2019,1611542.801
bra,2020,1279283.856
bra,2021,1430001.088
bra,2022,1691813.761
bra,2023,
bra,2024,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,1457280.539
can,2009,1286966.652
can,2010,1513474.154
can,2011,1680404.64
can,2012,1711520.254
can,2013,1729798.435
can,2014,1690660.193
can,2015,1452012.85
can,2016,1422813.386
can,2017,1534385.544
can,2018,1607771.397
can,2019,1629435.345
can,2020,1553879.766
can,2021,1887244.271
can,2022,2045430.628
can,2023,2025917.842
can,2024,2091190.402
chl,2000,
chl,2001,
chl,2002,
chl,2003,
chl,2004,
chl,2005,
chl,2006,
chl,2007,
chl,2008,161440.052
chl,2009,156152.767
chl,2010,197040.482
chl,2011,227201.986
chl,2012,240809.479
chl,2013,249861.515
chl,2014,233470.806
chl,2015,218088.771
chl,2016,224272.334
chl,2017,248559.68
chl,2018,265242.707
chl,2019,250332.234
chl,2020,229049.728
chl,2021,281905.523
chl,2022,270018.946
chl,2023,301617.302
chl,2024,297490.353
chn,2000,
chn,2001,
chn,2002,
chn,2003,
chn,2004,
chn,2005,
chn,2006,
chn,2007,
chn,2008,4667346.415
chn,2009,5189577.056
chn,2010,6192564.848
chn,2011,7671756.82
chn,2012,8673664.951
chn,2013,9743123.703
chn,2014,10674533.004
chn,2015,11280815.38
chn,2016,11456024.379
chn,2017,12537558.902
chn,2018,14147765.394
chn,2019,14560167.08
chn,2020,14996413.581
chn,2021,18201698.211
chn,2022,18316764.716
chn,2023,18270355.562
chn,2024,18743802.247
col,2000,
col,2001,
col,2002,
col,2003,
col,2004,
col,2005,
col,2006,
col,2007,
col,2008,220266.521
col,2009,212515.459
col,2010,260986.652
col,2011,304262.949
col,2012,337238.079
col,2013,349583.042
col,2014,347184.181
col,2015,266448.277
col,2016,257824.306
col,2017,283215.215
col,2018,303364.616
col,2019,292474.863
col,2020,246205.006
col,2021,288328.953
col,2022,310596.732
col,2023,330544.354
col,2024,
cri,2000,
cri,2001,
cri,2002,
cri,2003,
cri,2004,
cri,2005,
cri,2006,
cri,2007,
cri,2008,27708.014
cri,2009,28172.953
cri,2010,34538.96
cri,2011,39072.982
cri,2012,43274.499
cri,2013,46720.215
cri,2014,47804.49
cri,2015,51935.004
cri,2016,54150.777
cri,2017,55890.996
cri,2018,57871.347
cri,2019,59676.982
cri,2020,57993.278
cri,2021,59797.596
cri,2022,63752.331
cri,2023,79796.781
cri,2024,87772.634
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,214546.598
cze,2009,187234.118
cze,2010,191306.01
cze,2011,209197.131
cze,2012,189349.304
cze,2013,191063.033
cze,2014,190909.358
cze,2015,170399.268
cze,2016,178432.523
cze,2017,199399.15
cze,2018,227388.217
cze,2019,232435.108
cze,2020,229009.425
cze,2021,265197.841
cze,2022,274783.705
cze,2023,315142.208
cze,2024,314779.535
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,304897.39
dnk,2009,278426.965
dnk,2010,278296.642
dnk,2011,297073.776
dnk,2012,282138.775
dnk,2013,298312.66
dnk,2014,306072.279
dnk,2015,261748.358
dnk,2016,270794.085
dnk,2017,288330.815
dnk,2018,308144.485
dnk,2019,300629.834
dnk,2020,308968.722
dnk,2021,356046.868
dnk,2022,354393.878
dnk,2023,360968.662
dnk,2024,381249.891
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,21660.949
est,2009,17010.08
est,2010,17021.58
est,2011,20382.465
est,2012,20241.223
est,2013,22253.656
est,2014,23571.165
est,2015,20197.194
est,2016,21155.459
est,2017,23808.714
est,2018,27152.282
est,2019,27698.522
est,2020,27892.278
est,2021,32551.124
est,2022,33869.476
est,2023,36422.727
est,2024,37408.913
eu,2000,
eu,2001,
eu,2002,
eu,2003,
eu,2004,
eu,2005,
eu,2006,
eu,2007,
eu,2008,14663565.647
eu,2009,13342923.973
eu,2010,13109173.757
eu,2011,14188774.732
eu,2012,13158718.262
eu,2013,13738756.299
eu,2014,14054485.717
eu,2015,12172158.786
eu,2016,12460246.849
eu,2017,13243906.797
eu,2018,14323004.331
eu,2019,14077892.345
eu,2020,13876077.436
eu,2021,15585928.011
eu,2022,15266339.771
eu,2023,16807750.507
eu,2024,17459258.332
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,251393.291
fin,2009,221845.723
fin,2010,218300.461
fin,2011,238357.026
fin,2012,222273.579
fin,2013,232633.156
fin,2014,235633.527
fin,2015,201272.295
fin,2016,205433.469
fin,2017,219285.802
fin,2018,235896.844
fin,2019,230555.775
fin,2020,233587.1
fin,2021,254652.268
fin,2022,243400.609
fin,2023,258312.913
fin,2024,262428.557
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
