country,year,foradl_lop_tra
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,36933.7
eu_three,2009,31541.8
eu_three,2010,33724.8
eu_three,2011,33900.5
eu_three,2012,31629.4
eu_three,2013,31036
eu_three,2014,31837.8
eu_three,2015,33958.4
eu_three,2016,34125.1
eu_three,2017,35833.8
eu_three,2018,36908.2
eu_three,2019,38522.3
eu_three,2020,38741.5
eu_three,2021,48240.1
eu_three,2022,54013.6
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,904.2
bel,2009,827.5
bel,2010,807.3
bel,2011,827.6
bel,2012,802.3
bel,2013,730
bel,2014,745
bel,2015,818.3
bel,2016,847.2
bel,2017,893.5
bel,2018,953.7
bel,2019,1031.5
bel,2020,973
bel,2021,1133.7
bel,2022,1383.6
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,89.9
bgr,2009,90.5
bgr,2010,94.6
bgr,2011,110.6
bgr,2012,108.1
bgr,2013,89.2
bgr,2014,106.4
bgr,2015,134.3
bgr,2016,134.6
bgr,2017,149.4
bgr,2018,127.1
bgr,2019,129.5
bgr,2020,126.5
bgr,2021,144.4
bgr,2022,190.8
bgr,2023,165.2
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1064.9
cze,2009,843
cze,2010,834.8
cze,2011,856
cze,2012,844.8
cze,2013,792.5
cze,2014,832.1
cze,2015,899.8
cze,2016,971.3
cze,2017,1063.7
cze,2018,1203.6
cze,2019,1274.7
cze,2020,1250.9
cze,2021,1467.6
cze,2022,1602.7
cze,2023,1667.9
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,715.3
dnk,2009,520.8
dnk,2010,526.9
dnk,2011,537.8
dnk,2012,540.1
dnk,2013,521.5
dnk,2014,557.9
dnk,2015,579.1
dnk,2016,563.6
dnk,2017,588.2
dnk,2018,580.2
dnk,2019,614.8
dnk,2020,621
dnk,2021,751.1
dnk,2022,776.9
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,6009
deu,2009,5220
deu,2010,6114
deu,2011,6356
deu,2012,6072
deu,2013,6197
deu,2014,6293
deu,2015,7074
deu,2016,6943
deu,2017,6919
deu,2018,6950
deu,2019,7888
deu,2020,9128
deu,2021,9383
deu,2022,10614
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,270.5
est,2009,226.3
est,2010,286.5
est,2011,332.3
est,2012,350.6
est,2013,378.7
est,2014,442.6
est,2015,481.2
est,2016,493.5
est,2017,542.3
est,2018,566.6
est,2019,575.7
est,2020,612.7
est,2021,903.9
est,2022,958
est,2023,858.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,315.7
irl,2009,202.1
irl,2010,164.4
irl,2011,134.4
irl,2012,138.5
irl,2013,171.4
irl,2014,189.5
irl,2015,214.7
irl,2016,229.9
irl,2017,277.3
irl,2018,321
irl,2019,354.4
irl,2020,333.7
irl,2021,485.9
irl,2022,551
irl,2023,622.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,644.6
grc,2009,608
grc,2010,329.9
grc,2011,240.7
grc,2012,155
grc,2013,107.3
grc,2014,94.1
grc,2015,86.2
grc,2016,92.3
grc,2017,97
grc,2018,103.6
grc,2019,110.6
grc,2020,133
grc,2021,132
grc,2022,159.4
grc,2023,192.8
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,2974
esp,2009,2184
esp,2010,2009
esp,2011,1803
esp,2012,1602
esp,2013,1494
esp,2014,1474
esp,2015,1607
esp,2016,1668
esp,2017,1931
esp,2018,2017
esp,2019,2091
esp,2020,1955
esp,2021,2508
esp,2022,2887
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,3797.5
fra,2009,3426.5
fra,2010,3098
fra,2011,3561.7
fra,2012,3434.8
fra,2013,3446.9
fra,2014,3137.5
fra,2015,3150
fra,2016,3191.8
fra,2017,3340.7
fra,2018,3287.7
fra,2019,3546.5
fra,2020,3299.6
fra,2021,3790.3
fra,2022,5259.3
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,222.4
hrv,2009,195.1
hrv,2010,159.1
hrv,2011,164.7
hrv,2012,160.5
hrv,2013,170.3
hrv,2014,194.8
hrv,2015,225.1
hrv,2016,252.2
hrv,2017,277.1
hrv,2018,287.3
hrv,2019,317.2
hrv,2020,172
hrv,2021,252.7
hrv,2022,481.9
hrv,2023,519.7
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,6744.1
ita,2009,5933.4
ita,2010,5861
ita,2011,5846.9
ita,2012,5131.7
ita,2013,4812.1
ita,2014,4697.7
ita,2015,4651.1
ita,2016,4749.3
ita,2017,4740.5
ita,2018,4813.8
ita,2019,4563.8
ita,2020,3987.8
ita,2021,4943.2
ita,2022,5709.3
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,79
cyp,2009,71.8
cyp,2010,66.7
cyp,2011,59.4
cyp,2012,51.3
cyp,2013,31.4
cyp,2014,28
cyp,2015,33.3
cyp,2016,36.9
cyp,2017,45.5
cyp,2018,54.9
cyp,2019,62.2
cyp,2020,56.1
cyp,2021,58.3
cyp,2022,61.5
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,382.3
lva,2009,302.1
lva,2010,462.2
lva,2011,504
lva,2012,533.8
lva,2013,521.4
lva,2014,565.7
lva,2015,570.1
lva,2016,573.5
lva,2017,640
lva,2018,754.9
lva,2019,774.8
lva,2020,778.2
lva,2021,1257.9
lva,2022,1138.7
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,348.5
ltu,2009,274.7
ltu,2010,325.3
ltu,2011,387.8
ltu,2012,391
ltu,2013,434.9
ltu,2014,467.7
ltu,2015,470
ltu,2016,496
ltu,2017,494.2
ltu,2018,530.3
ltu,2019,533.5
ltu,2020,536.3
ltu,2021,695.3
ltu,2022,900.9
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,300.7
hun,2009,215.8
hun,2010,223.6
hun,2011,220.7
hun,2012,212.1
hun,2013,217.3
hun,2014,231.4
hun,2015,249.6
hun,2016,258.5
hun,2017,282.5
hun,2018,299
hun,2019,326.1
hun,2020,327.2
hun,2021,421.8
hun,2022,525.1
hun,2023,477.1
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,5.2
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,2.7
mlt,2019,3.8
mlt,2020,4.1
mlt,2021,3.2
mlt,2022,4.1
mlt,2023,4.6
mlt,2024,5
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1098
nld,2009,967
nld,2010,793
nld,2011,836
nld,2012,746
nld,2013,650
nld,2014,679
nld,2015,776
nld,2016,877
nld,2017,967
nld,2018,1064
nld,2019,1180
nld,2020,1228
nld,2021,1370
nld,2022,1494
nld,2023,1806
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2164.7
aut,2009,1924.9
aut,2010,2095
aut,2011,2145.9
aut,2012,2093.3
aut,2013,2118.1
aut,2014,2153.1
aut,2015,2355.4
aut,2016,2499.7
aut,2017,2515.8
aut,2018,2758.5
aut,2019,2940
aut,2020,2923.3
aut,2021,3568.9
aut,2022,3632.5
aut,2023,2899.9
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
