country,year,foradl_lop_utb
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,487170.7
eu_three,2009,498306.8
eu_three,2010,509718.4
eu_three,2011,515582.5
eu_three,2012,520046.8
eu_three,2013,527536.8
eu_three,2014,536997.6
eu_three,2015,548073.1
eu_three,2016,562751.8
eu_three,2017,582378.8
eu_three,2018,599867.7
eu_three,2019,622619
eu_three,2020,629988.2
eu_three,2021,659615.6
eu_three,2022,697737.2
eu_three,2023,739589.4
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,20478.2
bel,2009,21053.6
bel,2010,21821.2
bel,2011,22996.2
bel,2012,24113.2
bel,2013,24832.4
bel,2014,25215.7
bel,2015,25798.7
bel,2016,26484.6
bel,2017,27677.6
bel,2018,28601.5
bel,2019,29538.5
bel,2020,30358.2
bel,2021,31799.7
bel,2022,34567.4
bel,2023,37372.2
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,1114.1
bgr,2009,1240.9
bgr,2010,1287.1
bgr,2011,1257.7
bgr,2012,1340.6
bgr,2013,1206.5
bgr,2014,1572.5
bgr,2015,1606.5
bgr,2016,1480.1
bgr,2017,1733.6
bgr,2018,1928
bgr,2019,2190.6
bgr,2020,2403.7
bgr,2021,2698
bgr,2022,3095.4
bgr,2023,3652.9
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,5904.8
cze,2009,5828.2
cze,2010,6083.6
cze,2011,6392.4
cze,2012,6343.4
cze,2013,6297.2
cze,2014,6146.4
cze,2015,6397.4
cze,2016,6658.7
cze,2017,7387.4
cze,2018,8438
cze,2019,9557.7
cze,2020,10045.9
cze,2021,11228.6
cze,2022,12606.7
cze,2023,13672.5
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,12319.9
dnk,2009,13062.7
dnk,2010,13644.4
dnk,2011,13724.1
dnk,2012,14189.7
dnk,2013,14251.5
dnk,2014,15072.7
dnk,2015,15427.1
dnk,2016,15701.3
dnk,2017,15781.2
dnk,2018,16060.1
dnk,2019,16288.9
dnk,2020,16360.7
dnk,2021,16821.7
dnk,2022,17164.8
dnk,2023,17691.6
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,101700
deu,2009,104509
deu,2010,107470
deu,2011,111359
deu,2012,115513
deu,2013,118859
deu,2014,123699
deu,2015,127081
deu,2016,132577
deu,2017,137214
deu,2018,142766
deu,2019,150026
deu,2020,152691
deu,2021,159089
deu,2022,171096
deu,2023,178855
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,708.8
est,2009,682.2
est,2010,649.8
est,2011,666.9
est,2012,691.6
est,2013,752.6
est,2014,793.6
est,2015,845.4
est,2016,893.9
est,2017,957.4
est,2018,1086
est,2019,1200.1
est,2020,1254.7
est,2021,1322.7
est,2022,1472.3
est,2023,1756.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,9210.6
irl,2009,9667.2
irl,2010,9229.9
irl,2011,7742.7
irl,2012,7846.3
irl,2013,7834.6
irl,2014,8132.1
irl,2015,8349.2
irl,2016,8491.6
irl,2017,9067.5
irl,2018,9560
irl,2019,10068.7
irl,2020,10174
irl,2021,10839.4
irl,2022,11643.9
irl,2023,12549.7
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,11320.4
grc,2009,11752.3
grc,2010,11392.5
grc,2011,10945.7
grc,2012,10075.7
grc,2013,9450.7
grc,2014,8995.6
grc,2015,8645.1
grc,2016,8562.2
grc,2017,8485.7
grc,2018,8477.5
grc,2019,8471.7
grc,2020,8384.1
grc,2021,8259.3
grc,2022,9015.3
grc,2023,9244.1
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,51632
esp,2009,54538
esp,2010,54366
esp,2011,54348
esp,2012,52395
esp,2013,52274
esp,2014,52424
esp,2015,54258
esp,2016,55805
esp,2017,57376
esp,2018,58701
esp,2019,60183
esp,2020,59696
esp,2021,60402
esp,2022,63814
esp,2023,69349
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,92827.4
fra,2009,95071.6
fra,2010,97346
fra,2011,99177.5
fra,2012,100588.3
fra,2013,102184.2
fra,2014,103715.3
fra,2015,105534.7
fra,2016,107079.1
fra,2017,110446.7
fra,2018,111604.4
fra,2019,113743.7
fra,2020,114325.9
fra,2021,120223
fra,2022,124383.4
fra,2023,129596.6
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1807.7
hrv,2009,1857.5
hrv,2010,1967
hrv,2011,1965.5
hrv,2012,1935.9
hrv,2013,1913.2
hrv,2014,1880.2
hrv,2015,1845.6
hrv,2016,2000.8
hrv,2017,2095.9
hrv,2018,2213.2
hrv,2019,2344.6
hrv,2020,2336.5
hrv,2021,2575
hrv,2022,2789.5
hrv,2023,3170.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,66621.8
ita,2009,68194.7
ita,2010,66873.9
ita,2011,65148.7
ita,2012,64134
ita,2013,64208.3
ita,2014,64416.5
ita,2015,63958.7
ita,2016,65169.7
ita,2017,66587.9
ita,2018,67562.9
ita,2019,68513.3
ita,2020,67850
ita,2021,73408.1
ita,2022,75158.5
ita,2023,76148.7
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,972
cyp,2009,1052.6
cyp,2010,1127.4
cyp,2011,1074.9
cyp,2012,1045.6
cyp,2013,1035.9
cyp,2014,1014.4
cyp,2015,995.4
cyp,2016,1029.5
cyp,2017,1078.4
cyp,2018,1188.5
cyp,2019,1244.4
cyp,2020,1310.9
cyp,2021,1379.7
cyp,2022,1491.3
cyp,2023,1530.8
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1095.6
lva,2009,933.8
lva,2010,768.8
lva,2011,814.9
lva,2012,855.9
lva,2013,900.6
lva,2014,923.1
lva,2015,984.4
lva,2016,1015.6
lva,2017,1107.4
lva,2018,1179
lva,2019,1244.4
lva,2020,1293
lva,2021,1389.7
lva,2022,1461
lva,2023,1756.3
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1382.4
ltu,2009,1499.3
ltu,2010,1364.6
ltu,2011,1383.8
ltu,2012,1403.2
ltu,2013,1442.3
ltu,2014,1459.1
ltu,2015,1518.8
ltu,2016,1592.2
ltu,2017,1666.5
ltu,2018,1831.8
ltu,2019,2026.2
ltu,2020,2236.4
ltu,2021,2458.9
ltu,2022,2847.7
ltu,2023,3272.3
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1293.3
lux,2009,1388.1
lux,2010,1518.5
lux,2011,1601.7
lux,2012,1715
lux,2013,1779.8
lux,2014,1872.5
lux,2015,1951.2
lux,2016,2003.8
lux,2017,2115.5
lux,2018,2279.5
lux,2019,2424.3
lux,2020,2640.9
lux,2021,2798.7
lux,2022,3018
lux,2023,3329
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,4518.6
hun,2009,3885.1
hun,2010,3943.8
hun,2011,3813.8
hun,2012,3745.1
hun,2013,3505.3
hun,2014,3983.7
hun,2015,4318.3
hun,2016,4680.7
hun,2017,4935.2
hun,2018,5139.1
hun,2019,5460.7
hun,2020,5266.9
hun,2021,5579
hun,2022,6111.8
hun,2023,7281.9
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,328.4
mlt,2009,345.9
mlt,2010,369.4
mlt,2011,391.8
mlt,2012,418.2
mlt,2013,448.5
mlt,2014,473.1
mlt,2015,511.7
mlt,2016,534
mlt,2017,570.3
mlt,2018,631
mlt,2019,684.1
mlt,2020,644.1
mlt,2021,725.8
mlt,2022,745.3
mlt,2023,820.8
mlt,2024,1020.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,27430
nld,2009,28740
nld,2010,29308
nld,2011,29647
nld,2012,29876
nld,2013,30178
nld,2014,30720
nld,2015,31545
nld,2016,32616
nld,2017,33531
nld,2018,34965
nld,2019,36363
nld,2020,37458
nld,2021,39389
nld,2022,43421
nld,2023,47104
