country,year,foradl_lop_uthyr
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,113268.7
eu_three,2009,113019.2
eu_three,2010,112317.4
eu_three,2011,106718.9
eu_three,2012,108364.8
eu_three,2013,113069.1
eu_three,2014,119407.5
eu_three,2015,127482.3
eu_three,2016,136893.8
eu_three,2017,139084.6
eu_three,2018,146024.3
eu_three,2019,153588.3
eu_three,2020,146227.5
eu_three,2021,156971.6
eu_three,2022,177398.3
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2739.7
bel,2009,2464.1
bel,2010,2518.4
bel,2011,2683.3
bel,2012,2815.8
bel,2013,3092.1
bel,2014,3868.9
bel,2015,4517.7
bel,2016,4930.9
bel,2017,5177.7
bel,2018,5513.8
bel,2019,6359
bel,2020,6692.5
bel,2021,6811.6
bel,2022,6457.2
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,54.2
bgr,2009,64.2
bgr,2010,85.2
bgr,2011,114.3
bgr,2012,119
bgr,2013,108.1
bgr,2014,116.3
bgr,2015,125.6
bgr,2016,145.9
bgr,2017,170.4
bgr,2018,213.6
bgr,2019,256
bgr,2020,256.2
bgr,2021,297
bgr,2022,324.1
bgr,2023,362.2
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,632.1
cze,2009,603
cze,2010,636.2
cze,2011,618.1
cze,2012,599.3
cze,2013,679.5
cze,2014,661.5
cze,2015,609.7
cze,2016,675.4
cze,2017,793.9
cze,2018,926.7
cze,2019,988.7
cze,2020,941.1
cze,2021,1053.9
cze,2022,1236.9
cze,2023,1465.7
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,956
dnk,2009,885.9
dnk,2010,841.7
dnk,2011,992.7
dnk,2012,1132.1
dnk,2013,1144.9
dnk,2014,1308.8
dnk,2015,1515
dnk,2016,1573.6
dnk,2017,1526.4
dnk,2018,1745.2
dnk,2019,1431.3
dnk,2020,1361.3
dnk,2021,1806.9
dnk,2022,1714.4
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,40952
deu,2009,42996
deu,2010,41808
deu,2011,34793
deu,2012,35150
deu,2013,37504
deu,2014,39272
deu,2015,40532
deu,2016,43020
deu,2017,39938
deu,2018,41031
deu,2019,39663
deu,2020,41446
deu,2021,46144
deu,2022,56510
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,131.9
est,2009,121.5
est,2010,134.5
est,2011,158.5
est,2012,201.5
est,2013,202.2
est,2014,194.3
est,2015,188.5
est,2016,193
est,2017,231.2
est,2018,264.3
est,2019,275.3
est,2020,240.4
est,2021,234.8
est,2022,286.2
est,2023,299.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,4134.6
irl,2009,4296
irl,2010,4784.5
irl,2011,4946.8
irl,2012,5608.2
irl,2013,8358.4
irl,2014,10817.1
irl,2015,13929.7
irl,2016,15701
irl,2017,16585.9
irl,2018,16699.3
irl,2019,18102.7
irl,2020,15385.1
irl,2021,14055.6
irl,2022,15270.3
irl,2023,16702.8
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,644.1
grc,2009,540.2
grc,2010,628.8
grc,2011,621.8
grc,2012,555.3
grc,2013,400.5
grc,2014,496.3
grc,2015,406.1
grc,2016,400.4
grc,2017,485.5
grc,2018,533.9
grc,2019,723.6
grc,2020,516.6
grc,2021,778
grc,2022,863.3
grc,2023,868.9
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,7404
esp,2009,6988
esp,2010,7212
esp,2011,7211
esp,2012,6658
esp,2013,6296
esp,2014,6431
esp,2015,7051
esp,2016,7700
esp,2017,7409
esp,2018,8035
esp,2019,8770
esp,2020,6383
esp,2021,7390
esp,2022,8646
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,28918.2
fra,2009,27386.4
fra,2010,26958.1
fra,2011,27934.9
fra,2012,28287.3
fra,2013,27694.1
fra,2014,28353.4
fra,2015,29289.9
fra,2016,30050
fra,2017,31666.2
fra,2018,33229.2
fra,2019,34706.8
fra,2020,34203.7
fra,2021,36578.3
fra,2022,39840.6
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,248.7
hrv,2009,238.2
hrv,2010,223.8
hrv,2011,187.1
hrv,2012,206.1
hrv,2013,208.9
hrv,2014,220.7
hrv,2015,230.1
hrv,2016,246.9
hrv,2017,307.7
hrv,2018,351.9
hrv,2019,316
hrv,2020,234.3
hrv,2021,269.5
hrv,2022,352.6
hrv,2023,349.5
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,7681.5
ita,2009,7814.4
ita,2010,7358.5
ita,2011,7233.4
ita,2012,7174
ita,2013,6805
ita,2014,7136.2
ita,2015,7142.1
ita,2016,7657.4
ita,2017,8219
ita,2018,9137.3
ita,2019,9468.9
ita,2020,8958.9
ita,2021,9636.4
ita,2022,11651.6
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,101.1
cyp,2009,94.7
cyp,2010,91.2
cyp,2011,82
cyp,2012,76.7
cyp,2013,71.6
cyp,2014,73.6
cyp,2015,74.7
cyp,2016,81
cyp,2017,104.5
cyp,2018,127.7
cyp,2019,143.4
cyp,2020,112.3
cyp,2021,134.9
cyp,2022,160.7
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,163.2
lva,2009,95.1
lva,2010,107.6
lva,2011,114
lva,2012,121.7
lva,2013,134.9
lva,2014,135.9
lva,2015,142.2
lva,2016,148.4
lva,2017,173.7
lva,2018,222.9
lva,2019,231.4
lva,2020,214.3
lva,2021,217.4
lva,2022,237.6
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,148.8
ltu,2009,136.5
ltu,2010,120.8
ltu,2011,132.7
ltu,2012,162
ltu,2013,175.7
ltu,2014,192
ltu,2015,228.4
ltu,2016,244.6
ltu,2017,322
ltu,2018,395.2
ltu,2019,434.3
ltu,2020,415.4
ltu,2021,527.9
ltu,2022,675.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,479.9
lux,2009,486.5
lux,2010,482
lux,2011,440.6
lux,2012,482.2
lux,2013,525.7
lux,2014,622.1
lux,2015,706.2
lux,2016,775.5
lux,2017,839.5
lux,2018,910.7
lux,2019,914.8
lux,2020,1161.6
lux,2021,1057.7
lux,2022,1058.9
lux,2023,1137.2
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,556.1
hun,2009,603.8
hun,2010,647.9
hun,2011,642.1
hun,2012,665.3
hun,2013,641.6
hun,2014,623.4
hun,2015,657.7
hun,2016,689.2
hun,2017,971.6
hun,2018,894.5
hun,2019,837.7
hun,2020,699.4
hun,2021,807.7
hun,2022,872.8
hun,2023,1119
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,49.7
mlt,2009,47.7
mlt,2010,49.6
mlt,2011,60.1
mlt,2012,72.4
mlt,2013,102
mlt,2014,123.4
mlt,2015,153
mlt,2016,183.9
mlt,2017,287.4
mlt,2018,310.2
mlt,2019,362.1
mlt,2020,346.6
mlt,2021,446.3
mlt,2022,538.8
mlt,2023,697.5
mlt,2024,742.2
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,8036
nld,2009,8263
nld,2010,7967
nld,2011,7841
nld,2012,8250
nld,2013,8607
nld,2014,8860
nld,2015,9511
nld,2016,11415
nld,2017,11759
nld,2018,12348
nld,2019,15631
nld,2020,13477
nld,2021,14676
nld,2022,14653
nld,2023,15709
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,3988.2
aut,2009,3722.1
aut,2010,3673.2
aut,2011,3705.6
aut,2012,3660
aut,2013,3660.6
aut,2014,3772.6
aut,2015,3820.6
aut,2016,3942.5
aut,2017,4241.9
