country,year,foradl_lop_vard
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,197375.6
eu_three,2009,207032.8
eu_three,2010,216623.5
eu_three,2011,225341.1
eu_three,2012,234565.2
eu_three,2013,242475.1
eu_three,2014,251224
eu_three,2015,257915.8
eu_three,2016,269024.3
eu_three,2017,281085.2
eu_three,2018,289149.8
eu_three,2019,303031.8
eu_three,2020,307609.5
eu_three,2021,325827.7
eu_three,2022,344496.8
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,7161.6
bel,2009,6799.1
bel,2010,7162.6
bel,2011,7522.2
bel,2012,7966.2
bel,2013,8180.8
bel,2014,8620
bel,2015,8765.9
bel,2016,9195.9
bel,2017,9684.2
bel,2018,10091
bel,2019,10446.8
bel,2020,10600.3
bel,2021,11092.7
bel,2022,11979.7
bel,2023,13069.1
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,99.2
bgr,2009,116.1
bgr,2010,126.4
bgr,2011,182.2
bgr,2012,191.4
bgr,2013,402
bgr,2014,309.1
bgr,2015,316.7
bgr,2016,267.7
bgr,2017,263.1
bgr,2018,272
bgr,2019,305.8
bgr,2020,423.7
bgr,2021,533.6
bgr,2022,725.2
bgr,2023,919.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,977.7
cze,2009,970.2
cze,2010,1072.9
cze,2011,1127.6
cze,2012,1154.3
cze,2013,1161.8
cze,2014,1137.2
cze,2015,1171.5
cze,2016,1265.1
cze,2017,1467.8
cze,2018,1741.7
cze,2019,1971.5
cze,2020,2159.9
cze,2021,2486.9
cze,2022,2671.9
cze,2023,2938
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,11804.6
dnk,2009,12592.1
dnk,2010,12967
dnk,2011,12627.9
dnk,2012,12732.7
dnk,2013,12913.7
dnk,2014,12851.7
dnk,2015,12905.2
dnk,2016,13011.4
dnk,2017,13282.8
dnk,2018,13578.6
dnk,2019,13883.3
dnk,2020,14189.1
dnk,2021,14707.4
dnk,2022,15308
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,50902
deu,2009,54130
deu,2010,56806
deu,2011,59486
deu,2012,62580
deu,2013,65082
deu,2014,69306
deu,2015,73107
deu,2016,77346
deu,2017,83662
deu,2018,87214
deu,2019,93182
deu,2020,96481
deu,2021,102141
deu,2022,109594
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,62.6
est,2009,62
est,2010,66.1
est,2011,70.5
est,2012,74.2
est,2013,81.9
est,2014,89.9
est,2015,98.7
est,2016,113.4
est,2017,126.7
est,2018,136.5
est,2019,149.3
est,2020,164.7
est,2021,183.6
est,2022,212.9
est,2023,241
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,2923.3
irl,2009,2940.6
irl,2010,2898.4
irl,2011,3336.2
irl,2012,3491.9
irl,2013,3565.6
irl,2014,3711.7
irl,2015,3887.8
irl,2016,3995.2
irl,2017,4243.1
irl,2018,4466.5
irl,2019,4635.9
irl,2020,4464.4
irl,2021,4776.4
irl,2022,5378.4
irl,2023,5958
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,951.2
grc,2009,1063.4
grc,2010,947.2
grc,2011,621.7
grc,2012,561.3
grc,2013,538.4
grc,2014,642.8
grc,2015,620.1
grc,2016,644.9
grc,2017,630.5
grc,2018,649.2
grc,2019,655.7
grc,2020,657.5
grc,2021,644.9
grc,2022,673.4
grc,2023,710.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,11413
esp,2009,12324
esp,2010,12023
esp,2011,11642
esp,2012,11470
esp,2013,11399
esp,2014,11162
esp,2015,11989
esp,2016,12482
esp,2017,13099
esp,2018,13614
esp,2019,14807
esp,2020,14740
esp,2021,16181
esp,2022,17230
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,46471.1
fra,2009,49856.5
fra,2010,51911.2
fra,2011,54345.1
fra,2012,56348.2
fra,2013,58170.3
fra,2014,59342.2
fra,2015,59827.5
fra,2016,60628.3
fra,2017,61887.4
fra,2018,62492.1
fra,2019,63955.6
fra,2020,64002.8
fra,2021,67883.8
fra,2022,70547
fra,2023,74892.5
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,194.3
hrv,2009,205.1
hrv,2010,226.4
hrv,2011,234.2
hrv,2012,235.5
hrv,2013,233.6
hrv,2014,231.6
hrv,2015,250.2
hrv,2016,272.2
hrv,2017,274
hrv,2018,310
hrv,2019,369.1
hrv,2020,368.1
hrv,2021,393.3
hrv,2022,425.2
hrv,2023,501.5
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,10936.4
ita,2009,11604.5
ita,2010,11926.7
ita,2011,12061.7
ita,2012,11751.5
ita,2013,12323
ita,2014,12812
ita,2015,13012.1
ita,2016,13774.2
ita,2017,14486.8
ita,2018,14760.8
ita,2019,15120.7
ita,2020,14625.4
ita,2021,15077.7
ita,2022,15870.5
ita,2023,16439.1
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,185.4
cyp,2009,195.9
cyp,2010,74.5
cyp,2011,70.5
cyp,2012,73.7
cyp,2013,70.1
cyp,2014,70
cyp,2015,68.5
cyp,2016,70.4
cyp,2017,73.6
cyp,2018,77.4
cyp,2019,84.9
cyp,2020,88
cyp,2021,95.7
cyp,2022,104.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,94.2
lva,2009,81.6
lva,2010,75
lva,2011,82.4
lva,2012,102.9
lva,2013,110.9
lva,2014,119.7
lva,2015,128.6
lva,2016,130.5
lva,2017,131.7
lva,2018,150.8
lva,2019,162.5
lva,2020,170.6
lva,2021,193.6
lva,2022,235.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,135.1
ltu,2009,136.4
ltu,2010,119
ltu,2011,131.5
ltu,2012,143
ltu,2013,156.4
ltu,2014,183.6
ltu,2015,201.2
ltu,2016,221.7
ltu,2017,244.7
ltu,2018,285.8
ltu,2019,318.7
ltu,2020,356.5
ltu,2021,383.3
ltu,2022,462.9
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,709.1
lux,2009,790
lux,2010,846
lux,2011,911.4
lux,2012,988.6
lux,2013,1073.6
lux,2014,1165.5
lux,2015,1201.1
lux,2016,1256.7
lux,2017,1368.9
lux,2018,1515.8
lux,2019,1658.7
lux,2020,1712.5
lux,2021,1893.5
lux,2022,2073.4
lux,2023,2323.5
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,923.6
hun,2009,835.3
hun,2010,818.9
hun,2011,792.4
hun,2012,790.1
hun,2013,826.8
hun,2014,876.3
hun,2015,924.5
hun,2016,955.1
hun,2017,1112.8
hun,2018,1196.8
hun,2019,1292.7
hun,2020,1323.2
hun,2021,1366
hun,2022,1453.3
hun,2023,1734.7
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,81.6
mlt,2009,87.4
mlt,2010,96.7
mlt,2011,104.7
mlt,2012,109
mlt,2013,119.8
mlt,2014,128.4
mlt,2015,143.3
mlt,2016,148.2
mlt,2017,166.1
mlt,2018,182.4
mlt,2019,218.1
mlt,2020,228.2
mlt,2021,288.7
mlt,2022,294
mlt,2023,312.7
mlt,2024,361.5
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,20758
nld,2009,22057
nld,2010,23084
nld,2011,23902
nld,2012,25350
nld,2013,25789
nld,2014,26424
nld,2015,25862
nld,2016,27071
nld,2017,27801
nld,2018,29317
nld,2019,31872
nld,2020,31576
nld,2021,33809
nld,2022,36258
nld,2023,40591
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,3623
aut,2009,4143.8
aut,2010,4387.4
aut,2011,4534.3
aut,2012,4748.3
aut,2013,5043.8
aut,2014,5220
