country,year,foradl_lop_veg
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,156927.8
eu_three,2009,136592.4
eu_three,2010,152056.6
eu_three,2011,163869.8
eu_three,2012,164148.2
eu_three,2013,168435.3
eu_three,2014,167833.7
eu_three,2015,166641.5
eu_three,2016,166429.5
eu_three,2017,187758.8
eu_three,2018,183371.8
eu_three,2019,190830.9
eu_three,2020,187414.7
eu_three,2021,200283.7
eu_three,2022,234552.1
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2367.2
bel,2009,2386.1
bel,2010,2955.5
bel,2011,2606
bel,2012,3144.4
bel,2013,2886.7
bel,2014,2764.6
bel,2015,2979.1
bel,2016,2729.8
bel,2017,3102.1
bel,2018,2930
bel,2019,3314.8
bel,2020,3169.4
bel,2021,3179.1
bel,2022,3771.9
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,2019.4
bgr,2009,1408.3
bgr,2010,1338.7
bgr,2011,1739.6
bgr,2012,1680.7
bgr,2013,1695.6
bgr,2014,1741.8
bgr,2015,1624.4
bgr,2016,1767.9
bgr,2017,1907.4
bgr,2018,1639.2
bgr,2019,1698.6
bgr,2020,1874.9
bgr,2021,2797.7
bgr,2022,2808.3
bgr,2023,2001.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2334.6
cze,2009,1916.9
cze,2010,1631.5
cze,2011,2209.8
cze,2012,2584.2
cze,2013,2700.9
cze,2014,2808.5
cze,2015,2824
cze,2016,2879.6
cze,2017,3123.5
cze,2018,3438.8
cze,2019,3649.9
cze,2020,3552.9
cze,2021,3617.8
cze,2022,4661.8
cze,2023,4320.7
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1672.9
dnk,2009,1603.9
dnk,2010,2492.7
dnk,2011,2797
dnk,2012,3730.8
dnk,2013,2818.1
dnk,2014,3139.5
dnk,2015,2018.7
dnk,2016,2132.2
dnk,2017,3255.1
dnk,2018,2487.6
dnk,2019,3375.6
dnk,2020,3635.5
dnk,2021,2987
dnk,2022,2672.2
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,18958
deu,2009,14543
deu,2010,18401
deu,2011,22473
deu,2012,22077
deu,2013,23221
deu,2014,23589
deu,2015,17985
deu,2016,19302
deu,2017,24717
deu,2018,21105
deu,2019,26592
deu,2020,23671
deu,2021,25122
deu,2022,35641
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,223.6
est,2009,178.1
est,2010,233.7
est,2011,310.2
est,2012,358.2
est,2013,331.7
est,2014,346.5
est,2015,279.3
est,2016,154
est,2017,280.1
est,2018,210.9
est,2019,286.1
est,2020,252.5
est,2021,269.6
est,2022,469.1
est,2023,310.1
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1461.4
irl,2009,776.6
irl,2010,1356.4
irl,2011,1924.2
irl,2012,1574.7
irl,2013,1793.3
irl,2014,2268.5
irl,2015,2187.8
irl,2016,2386.3
irl,2017,3234.8
irl,2018,2570.1
irl,2019,2974.9
irl,2020,3409.3
irl,2021,4119.6
irl,2022,5430
irl,2023,4145.1
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,6179.1
grc,2009,6128.9
grc,2010,5738.2
grc,2011,5465.2
grc,2012,5654.3
grc,2013,5274.1
grc,2014,5526.9
grc,2015,6065.2
grc,2016,5396.8
grc,2017,6010.6
grc,2018,5724.7
grc,2019,6132.3
grc,2020,5927.1
grc,2021,5806.7
grc,2022,6913.3
grc,2023,6574.5
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,23650
esp,2009,21926
esp,2010,23821
esp,2011,22796
esp,2012,22478
esp,2013,24324
esp,2014,23673
esp,2015,27062
esp,2016,28830
esp,2017,29951
esp,2018,30135
esp,2019,29036
esp,2020,29127
esp,2021,31547
esp,2022,29341
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,24711.8
fra,2009,21053.7
fra,2010,26693
fra,2011,28264
fra,2012,28682.1
fra,2013,25486.8
fra,2014,27177.9
fra,2015,28573.7
fra,2016,25645.3
fra,2017,28734.9
fra,2018,31882.6
fra,2019,30280.5
fra,2020,30311
fra,2021,32646.9
fra,2022,41984.9
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1571.7
hrv,2009,1534.6
hrv,2010,1371.7
hrv,2011,1330.3
hrv,2012,1144.6
hrv,2013,1200.9
hrv,2014,960.5
hrv,2015,1013.8
hrv,2016,1118.2
hrv,2017,1102.1
hrv,2018,1196.9
hrv,2019,1259
hrv,2020,1245.8
hrv,2021,1606
hrv,2022,1948.5
hrv,2023,2206.2
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,27909.3
ita,2009,25560.2
ita,2010,25632.5
ita,2011,27615.5
ita,2012,28318.7
ita,2013,30480.9
ita,2014,28377.7
ita,2015,30191.2
ita,2016,28520.6
ita,2017,30070.8
ita,2018,29988.9
ita,2019,29840.3
ita,2020,29090.8
ita,2021,30491.7
ita,2022,34531.6
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,368.3
cyp,2009,343.2
cyp,2010,368.1
cyp,2011,380.6
cyp,2012,351.5
cyp,2013,325.1
cyp,2014,282.7
cyp,2015,293.1
cyp,2016,362.5
cyp,2017,326.1
cyp,2018,322.4
cyp,2019,346.9
cyp,2020,356.3
cyp,2021,329.3
cyp,2022,275.9
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,370
lva,2009,295
lva,2010,343.4
lva,2011,348.5
lva,2012,386.7
lva,2013,303.6
lva,2014,379.5
lva,2015,426.9
lva,2016,389
lva,2017,489.1
lva,2018,444.2
lva,2019,547.7
lva,2020,643.5
lva,2021,720.6
lva,2022,901.6
lva,2023,563.3
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,908.1
ltu,2009,563.3
ltu,2010,692.7
ltu,2011,911.7
ltu,2012,1172.6
ltu,2013,1042.6
ltu,2014,1018.9
ltu,2015,1108.2
ltu,2016,994.5
ltu,2017,1260.5
ltu,2018,1030.1
ltu,2019,1251.1
ltu,2020,1513.5
ltu,2021,1568.4
ltu,2022,2066.7
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,114.1
lux,2009,86.9
lux,2010,102.8
lux,2011,96.4
lux,2012,119
lux,2013,114.7
lux,2014,136.6
lux,2015,108.9
lux,2016,108.6
lux,2017,124.6
lux,2018,128.4
lux,2019,127.3
lux,2020,129.6
lux,2021,142.2
lux,2022,181.2
lux,2023,168.3
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,3556.9
hun,2009,2650.2
hun,2010,2797.3
hun,2011,3829
hun,2012,3651.4
hun,2013,3782.4
hun,2014,3974.8
hun,2015,4005.5
hun,2016,4258.9
hun,2017,4505.7
hun,2018,4459.1
hun,2019,4602.7
hun,2020,4415.8
hun,2021,5059
hun,2022,4950.9
hun,2023,5363
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,59.1
mlt,2009,63.9
mlt,2010,63
mlt,2011,61.7
mlt,2012,58.3
mlt,2013,58.7
mlt,2014,60.4
mlt,2015,64.4
mlt,2016,67.7
mlt,2017,66
mlt,2018,58.9
mlt,2019,64.5
mlt,2020,54.8
mlt,2021,50.9
mlt,2022,53
mlt,2023,56
mlt,2024,56.9
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,10324
nld,2009,9502
nld,2010,11094
nld,2011,10092
nld,2012,10764
nld,2013,11923
nld,2014,11855
nld,2015,12190
nld,2016,12914
nld,2017,14245
nld,2018,13316
nld,2019,14081
nld,2020,13690
nld,2021,14229
nld,2022,15770
nld,2023,17966
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2875.1
aut,2009,2345.1
