country,year,foradl_lop_vetenskap
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,84053.1
eu_three,2009,85100.4
eu_three,2010,88355.4
eu_three,2011,90441.8
eu_three,2012,91960.1
eu_three,2013,96562.1
eu_three,2014,99054.7
eu_three,2015,102979.8
eu_three,2016,106063.8
eu_three,2017,110035.6
eu_three,2018,113214
eu_three,2019,117730.8
eu_three,2020,120354.4
eu_three,2021,138120.4
eu_three,2022,145346
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,813.6
bel,2009,728.2
bel,2010,741.6
bel,2011,803.5
bel,2012,853.1
bel,2013,914.3
bel,2014,908.8
bel,2015,987.8
bel,2016,1193.5
bel,2017,1360.5
bel,2018,1551.3
bel,2019,904.1
bel,2020,1087.2
bel,2021,1539.5
bel,2022,1466.1
bel,2023,1587.3
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,175.5
bgr,2009,227.7
bgr,2010,210
bgr,2011,213.9
bgr,2012,287.4
bgr,2013,289.8
bgr,2014,291.4
bgr,2015,315.9
bgr,2016,253.5
bgr,2017,197.7
bgr,2018,223.8
bgr,2019,223.3
bgr,2020,254.5
bgr,2021,302.9
bgr,2022,447.7
bgr,2023,459.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,668.3
cze,2009,660.1
cze,2010,664.5
cze,2011,790.8
cze,2012,864.7
cze,2013,897.5
cze,2014,971.1
cze,2015,1139.3
cze,2016,1257.8
cze,2017,1273.5
cze,2018,1265.3
cze,2019,1319.1
cze,2020,1370.9
cze,2021,1503.9
cze,2022,1913.1
cze,2023,2095.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1581
dnk,2009,1782.6
dnk,2010,1737.1
dnk,2011,1281
dnk,2012,1092.8
dnk,2013,1324.5
dnk,2014,1587.6
dnk,2015,1709.4
dnk,2016,3365.9
dnk,2017,3102.3
dnk,2018,3274.1
dnk,2019,3374.3
dnk,2020,3494.4
dnk,2021,3841.2
dnk,2022,4447.4
dnk,2023,5187.7
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,16077
deu,2009,16860
deu,2010,16989
deu,2011,17204
deu,2012,17563
deu,2013,18693
deu,2014,19749
deu,2015,22041
deu,2016,21979
deu,2017,23087
deu,2018,23698
deu,2019,25324
deu,2020,24708
deu,2021,37456
deu,2022,37513
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,112.3
est,2009,107.9
est,2010,123.2
est,2011,136.2
est,2012,154.5
est,2013,171.8
est,2014,180.7
est,2015,186.8
est,2016,194.8
est,2017,208.8
est,2018,216.3
est,2019,230.6
est,2020,244.1
est,2021,285.2
est,2022,312.9
est,2023,337.9
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,521.5
irl,2009,403.1
irl,2010,601.1
irl,2011,309.6
irl,2012,345.1
irl,2013,436
irl,2014,778.4
irl,2015,894.8
irl,2016,575.1
irl,2017,1054.2
irl,2018,1073.7
irl,2019,1245.9
irl,2020,1078.3
irl,2021,1275
irl,2022,1984.6
irl,2023,2091.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,602.2
grc,2009,589.9
grc,2010,619.8
grc,2011,571.5
grc,2012,648.7
grc,2013,693.4
grc,2014,573.6
grc,2015,550.4
grc,2016,523
grc,2017,586.4
grc,2018,605.7
grc,2019,659.6
grc,2020,743.9
grc,2021,812.7
grc,2022,907
grc,2023,991.5
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,3681
esp,2009,3903
esp,2010,4156
esp,2011,4473
esp,2012,4709
esp,2013,4882
esp,2014,4970
esp,2015,5188
esp,2016,4965
esp,2017,5187
esp,2018,5334
esp,2019,5800
esp,2020,6218
esp,2021,7128
esp,2022,7719
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,33673.1
fra,2009,34516.5
fra,2010,35664.5
fra,2011,37585.7
fra,2012,37582.1
fra,2013,39143.5
fra,2014,39936.2
fra,2015,40084.4
fra,2016,40892
fra,2017,41654.4
fra,2018,42539.1
fra,2019,43721
fra,2020,44939.3
fra,2021,45207.4
fra,2022,47360
fra,2023,49500.3
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,294.1
hrv,2009,287.5
hrv,2010,279.9
hrv,2011,279.4
hrv,2012,291.3
hrv,2013,275.9
hrv,2014,252.2
hrv,2015,240.3
hrv,2016,274
hrv,2017,266.9
hrv,2018,317.8
hrv,2019,359.3
hrv,2020,325.4
hrv,2021,314.4
hrv,2022,449.6
hrv,2023,507.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,14267.6
ita,2009,14089.3
ita,2010,14429.2
ita,2011,14139.5
ita,2012,14195.7
ita,2013,14350.7
ita,2014,14022.9
ita,2015,14056.7
ita,2016,14228.9
ita,2017,14666.1
ita,2018,15117.3
ita,2019,15537.5
ita,2020,15713.4
ita,2021,16487.3
ita,2022,17071.5
ita,2023,19023.8
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,13.2
cyp,2009,12.7
cyp,2010,22.1
cyp,2011,21.9
cyp,2012,20.6
cyp,2013,19.4
cyp,2014,19.5
cyp,2015,19.6
cyp,2016,19.4
cyp,2017,19.4
cyp,2018,21.8
cyp,2019,26.5
cyp,2020,30.5
cyp,2021,32.2
cyp,2022,36.8
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,70.4
lva,2009,58
lva,2010,78.4
lva,2011,87.2
lva,2012,98.3
lva,2013,100.8
lva,2014,86.4
lva,2015,102.8
lva,2016,106.9
lva,2017,130.9
lva,2018,139.5
lva,2019,143.3
lva,2020,170.3
lva,2021,166.7
lva,2022,163.8
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,69.9
ltu,2009,65.2
ltu,2010,44.1
ltu,2011,42.2
ltu,2012,43.9
ltu,2013,49.1
ltu,2014,55.8
ltu,2015,62.2
ltu,2016,75.1
ltu,2017,82.5
ltu,2018,93
ltu,2019,103.6
ltu,2020,124.3
ltu,2021,161.8
ltu,2022,208.9
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,688.6
hun,2009,631.4
hun,2010,754.3
hun,2011,791.6
hun,2012,781.7
hun,2013,817.5
hun,2014,924.5
hun,2015,1054.2
hun,2016,1175.4
hun,2017,1286.5
hun,2018,1415.6
hun,2019,1551
hun,2020,1423
hun,2021,1561.3
hun,2022,1463.2
hun,2023,1657.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,1.2
mlt,2009,0.9
mlt,2010,2.4
mlt,2011,3.7
mlt,2012,3.3
mlt,2013,
mlt,2014,
mlt,2015,11.8
mlt,2016,4.5
mlt,2017,4.9
mlt,2018,4.6
mlt,2019,5.1
mlt,2020,5.1
mlt,2021,8
mlt,2022,10
mlt,2023,13.6
mlt,2024,17.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1961
nld,2009,2083
nld,2010,2096
nld,2011,1945
nld,2012,1886
nld,2013,2125
nld,2014,2113
nld,2015,2127
nld,2016,2378
nld,2017,2541
nld,2018,2711
nld,2019,3060
nld,2020,3444
nld,2021,3972
nld,2022,4671
nld,2023,5326
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,646
aut,2009,642.3
aut,2010,637.6
aut,2011,778.2
aut,2012,801.6
aut,2013,1035.6
aut,2014,959
aut,2015,1131
aut,2016,1279.2
aut,2017,1521.4
aut,2018,1556.8
aut,2019,1689.5
aut,2020,1617.3
aut,2021,1851.5
