country,year,loner_lop_annan_pers
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,27251.6
eu_three,2009,27523.7
eu_three,2010,28018.2
eu_three,2011,28567.6
eu_three,2012,29853.2
eu_three,2013,29901.8
eu_three,2014,30829.9
eu_three,2015,31379.6
eu_three,2016,32413.2
eu_three,2017,33550.8
eu_three,2018,34404.7
eu_three,2019,35860.9
eu_three,2020,32108
eu_three,2021,34069
eu_three,2022,38439
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,581.5
bel,2009,602.8
bel,2010,625.8
bel,2011,654.4
bel,2012,685.7
bel,2013,717.8
bel,2014,718.3
bel,2015,714.9
bel,2016,675.4
bel,2017,687.7
bel,2018,700.4
bel,2019,714.8
bel,2020,548
bel,2021,597.6
bel,2022,738.9
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,46.4
bgr,2009,55.7
bgr,2010,66
bgr,2011,65.7
bgr,2012,56.5
bgr,2013,61.4
bgr,2014,234.7
bgr,2015,119.2
bgr,2016,92.7
bgr,2017,105.9
bgr,2018,116.6
bgr,2019,130.8
bgr,2020,113.2
bgr,2021,108.9
bgr,2022,155
bgr,2023,168.1
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,115
cze,2009,100.3
cze,2010,110
cze,2011,131.3
cze,2012,122.7
cze,2013,117.8
cze,2014,115.6
cze,2015,129.4
cze,2016,139.8
cze,2017,156.3
cze,2018,177.8
cze,2019,200.4
cze,2020,194.7
cze,2021,194.2
cze,2022,209.1
cze,2023,221.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,439.7
dnk,2009,437.4
dnk,2010,437.4
dnk,2011,435.5
dnk,2012,430.5
dnk,2013,425.4
dnk,2014,442.4
dnk,2015,453.2
dnk,2016,453.8
dnk,2017,473.9
dnk,2018,491.9
dnk,2019,519.1
dnk,2020,527.4
dnk,2021,545.5
dnk,2022,597.2
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,8563
deu,2009,8752
deu,2010,8979
deu,2011,9101
deu,2012,9166
deu,2013,9234
deu,2014,9580
deu,2015,9956
deu,2016,10292
deu,2017,10726
deu,2018,10697
deu,2019,11184
deu,2020,10784
deu,2021,10824
deu,2022,12059
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,28.3
est,2009,26.3
est,2010,25.9
est,2011,28.7
est,2012,28.9
est,2013,31.1
est,2014,35.5
est,2015,38.2
est,2016,40
est,2017,45.1
est,2018,55.1
est,2019,62.3
est,2020,64.8
est,2021,72.1
est,2022,89.4
est,2023,104.1
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,467.4
irl,2009,504
irl,2010,411.9
irl,2011,371.5
irl,2012,372
irl,2013,380.4
irl,2014,406.6
irl,2015,438.2
irl,2016,482.7
irl,2017,515.9
irl,2018,561.3
irl,2019,612.3
irl,2020,448.3
irl,2021,536.3
irl,2022,710.3
irl,2023,775.7
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,745.4
grc,2009,778.7
grc,2010,690.4
grc,2011,710.1
grc,2012,627
grc,2013,540.7
grc,2014,562
grc,2015,549.8
grc,2016,537
grc,2017,582.6
grc,2018,619.9
grc,2019,650.6
grc,2020,559.7
grc,2021,678.2
grc,2022,757.6
grc,2023,810.9
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,3105
esp,2009,3132
esp,2010,2769
esp,2011,2717
esp,2012,2915
esp,2013,2605
esp,2014,2625
esp,2015,2643
esp,2016,2635
esp,2017,2880
esp,2018,2920
esp,2019,3278
esp,2020,2495
esp,2021,2942
esp,2022,3417
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,4748.6
fra,2009,4896.7
fra,2010,5152.6
fra,2011,5170.5
fra,2012,5431
fra,2013,5643.1
fra,2014,5677.2
fra,2015,5784.7
fra,2016,5712.1
fra,2017,5865.2
fra,2018,6059.6
fra,2019,6029.2
fra,2020,5177.7
fra,2021,5748.1
fra,2022,6513.7
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,162.1
hrv,2009,153.7
hrv,2010,158.3
hrv,2011,157.5
hrv,2012,157.3
hrv,2013,168.6
hrv,2014,171.1
hrv,2015,176.4
hrv,2016,201.3
hrv,2017,200.9
hrv,2018,210.3
hrv,2019,219.9
hrv,2020,194.1
hrv,2021,206.5
hrv,2022,259
hrv,2023,309.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,3543
ita,2009,3908.4
ita,2010,4022
ita,2011,4152.6
ita,2012,4641
ita,2013,4447.1
ita,2014,4613
ita,2015,4759
ita,2016,4934.2
ita,2017,5138.5
ita,2018,5265.3
ita,2019,5358.2
ita,2020,4453.8
ita,2021,4710.6
ita,2022,5308.8
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,35.4
cyp,2009,40.5
cyp,2010,43.6
cyp,2011,40.8
cyp,2012,45.7
cyp,2013,34
cyp,2014,35.8
cyp,2015,38.1
cyp,2016,42.7
cyp,2017,46.8
cyp,2018,50.3
cyp,2019,53.5
cyp,2020,48.3
cyp,2021,56
cyp,2022,65
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,54.7
lva,2009,33.5
lva,2010,33.5
lva,2011,36.9
lva,2012,40.3
lva,2013,46.3
lva,2014,48.9
lva,2015,54.4
lva,2016,56.9
lva,2017,52.2
lva,2018,53.8
lva,2019,60.1
lva,2020,62.9
lva,2021,62
lva,2022,68.9
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,78.6
ltu,2009,57.4
ltu,2010,51.2
ltu,2011,53.3
ltu,2012,57.1
ltu,2013,62.8
ltu,2014,65.7
ltu,2015,72.5
ltu,2016,81.1
ltu,2017,82.9
ltu,2018,85.5
ltu,2019,97.6
ltu,2020,97.3
ltu,2021,102.4
ltu,2022,119.9
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,96
lux,2009,99.3
lux,2010,103.5
lux,2011,119.5
lux,2012,125.2
lux,2013,131.5
lux,2014,134.7
lux,2015,141.1
lux,2016,143.9
lux,2017,153.1
lux,2018,160.8
lux,2019,168.3
lux,2020,159.5
lux,2021,223.2
lux,2022,239.9
lux,2023,234.9
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,202.4
hun,2009,186.6
hun,2010,183.4
hun,2011,180
hun,2012,182.5
hun,2013,198.9
hun,2014,179.9
hun,2015,182.3
hun,2016,192.7
hun,2017,210.8
hun,2018,201
hun,2019,207.7
hun,2020,166.5
hun,2021,167.3
hun,2022,209.5
hun,2023,245.9
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,12.5
mlt,2009,12
mlt,2010,12.9
mlt,2011,14.4
mlt,2012,15.8
mlt,2013,17.4
mlt,2014,19
mlt,2015,19.8
mlt,2016,21.6
mlt,2017,21.1
mlt,2018,24.8
mlt,2019,26.9
mlt,2020,18.1
mlt,2021,16.3
mlt,2022,17.4
mlt,2023,20.3
mlt,2024,23.4
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1161
nld,2009,1199
nld,2010,1247
nld,2011,1282
nld,2012,1270
nld,2013,1286
nld,2014,1287
nld,2015,1285
nld,2016,1332
nld,2017,1372
nld,2018,1438
nld,2019,1505
nld,2020,1497
nld,2021,1513
nld,2022,1603
nld,2023,1715
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,714.4
aut,2009,743.9
aut,2010,771.9
aut,2011,809
aut,2012,848.7
aut,2013,882.8
aut,2014,902.8
aut,2015,911.9
aut,2016,956.1
aut,2017,985.1
aut,2018,1026.5
aut,2019,1058.8
aut,2020,977.7
aut,2021,978.1
aut,2022,1108
aut,2023,1204.4
aut,2024,
pol,2000,
