country,year,loner_lop_bygg
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,338951.2
eu_three,2009,322283
eu_three,2010,315929
eu_three,2011,315050.9
eu_three,2012,306811.9
eu_three,2013,299059.5
eu_three,2014,298704.3
eu_three,2015,305404.2
eu_three,2016,313169.1
eu_three,2017,326862.5
eu_three,2018,344339.9
eu_three,2019,364499.9
eu_three,2020,365007.4
eu_three,2021,396657.9
eu_three,2022,429234
eu_three,2023,459922.6
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,9353.1
bel,2009,9481.6
bel,2010,9510.7
bel,2011,10220.2
bel,2012,10435.7
bel,2013,10343.2
bel,2014,10434.8
bel,2015,10344
bel,2016,10478.2
bel,2017,10678.2
bel,2018,11454.5
bel,2019,11778.6
bel,2020,11375.2
bel,2021,12497
bel,2022,13430.7
bel,2023,14693.5
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,899.7
bgr,2009,946.5
bgr,2010,807.5
bgr,2011,764.2
bgr,2012,742.9
bgr,2013,768.7
bgr,2014,842.4
bgr,2015,906
bgr,2016,866.7
bgr,2017,981.3
bgr,2018,1082.8
bgr,2019,1227.7
bgr,2020,1299.8
bgr,2021,1406.5
bgr,2022,1433.5
bgr,2023,1756.3
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,4356.1
cze,2009,4026.6
cze,2010,4270.8
cze,2011,4246.8
cze,2012,4064.9
cze,2013,3726.5
cze,2014,3464.2
cze,2015,3618.3
cze,2016,3712.4
cze,2017,4029.3
cze,2018,4477.5
cze,2019,4833.3
cze,2020,4837.7
cze,2021,5371
cze,2022,6107.5
cze,2023,6770.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,8738.8
dnk,2009,7821.3
dnk,2010,7297.7
dnk,2011,7497.2
dnk,2012,7565.3
dnk,2013,7470.4
dnk,2014,7784.3
dnk,2015,8254.3
dnk,2016,8834.2
dnk,2017,9350.4
dnk,2018,9827.1
dnk,2019,10261.5
dnk,2020,10715.1
dnk,2021,11475.1
dnk,2022,12414.2
dnk,2023,12835.5
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,59575
deu,2009,62091
deu,2010,63115
deu,2011,65619
deu,2012,67727
deu,2013,67719
deu,2014,69929
deu,2015,71872
deu,2016,74141
deu,2017,77585
deu,2018,82069
deu,2019,86811
deu,2020,90760
deu,2021,94712
deu,2022,100824
deu,2023,106509
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,875.5
est,2009,597.4
est,2010,536.2
est,2011,612.8
est,2012,683.5
est,2013,701.3
est,2014,696.8
est,2015,742.7
est,2016,791.8
est,2017,883.9
est,2018,1003.7
est,2019,1083.4
est,2020,1089.5
est,2021,1179.1
est,2022,1325.2
est,2023,1390
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,8856
irl,2009,5567
irl,2010,3791.3
irl,2011,2717.6
irl,2012,2413.2
irl,2013,2399.8
irl,2014,2608.8
irl,2015,2858.5
irl,2016,3389.1
irl,2017,4023.2
irl,2018,4461.3
irl,2019,4785.4
irl,2020,4651.5
irl,2021,5419.8
irl,2022,6104.1
irl,2023,6811.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,3846.3
grc,2009,3441.7
grc,2010,2746.5
grc,2011,2356.3
grc,2012,1705.7
grc,2013,1522.1
grc,2014,1610.6
grc,2015,1535.4
grc,2016,1604.5
grc,2017,1677.3
grc,2018,1551.3
grc,2019,1541.2
grc,2020,1444.4
grc,2021,1585.5
grc,2022,1673
grc,2023,1844.6
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,59240
esp,2009,49868
esp,2010,43505
esp,2011,36046
esp,2012,28991
esp,2013,24815
esp,2014,24129
esp,2015,26401
esp,2016,26947
esp,2017,28389
esp,2018,31410
esp,2019,35858
esp,2020,35661
esp,2021,38363
esp,2022,42569
esp,2023,47948
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,66290.1
fra,2009,66811.9
fra,2010,66883.5
fra,2011,68504.9
fra,2012,69133.2
fra,2013,70764.1
fra,2014,70419.2
fra,2015,69725.3
fra,2016,69885.9
fra,2017,72069
fra,2018,73938.1
fra,2019,75583.8
fra,2020,71966.8
fra,2021,80292.1
fra,2022,84612.7
fra,2023,88068.1
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1832.2
hrv,2009,1695.5
hrv,2010,1370
hrv,2011,1257.1
hrv,2012,1143.3
hrv,2013,1090.7
hrv,2014,1078.6
hrv,2015,1131.6
hrv,2016,1185.7
hrv,2017,1270.8
hrv,2018,1421.6
hrv,2019,1514.7
hrv,2020,1605.8
hrv,2021,1730.9
hrv,2022,2268
hrv,2023,2693.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,37060.7
ita,2009,37350.6
ita,2010,36792.9
ita,2011,36556.6
ita,2012,33855.8
ita,2013,30723.4
ita,2014,29168.9
ita,2015,29746.9
ita,2016,30247.3
ita,2017,30615.7
ita,2018,31588.5
ita,2019,33015.8
ita,2020,31094.2
ita,2021,37901.2
ita,2022,43758.4
ita,2023,47093.2
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,835.9
cyp,2009,809
cyp,2010,756.6
cyp,2011,713.4
cyp,2012,587.6
cyp,2013,433.1
cyp,2014,368.5
cyp,2015,365.7
cyp,2016,397.4
cyp,2017,473
cyp,2018,543.9
cyp,2019,710.4
cyp,2020,758.9
cyp,2021,827.7
cyp,2022,909.8
cyp,2023,951.3
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1383.7
lva,2009,740.5
lva,2010,571.7
lva,2011,583.1
lva,2012,647.9
lva,2013,750.3
lva,2014,816.5
lva,2015,854.9
lva,2016,836.8
lva,2017,935
lva,2018,1098.4
lva,2019,1217.6
lva,2020,1198.6
lva,2021,1100.1
lva,2022,1221.8
lva,2023,1558.7
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1620.7
ltu,2009,868.7
ltu,2010,807.7
ltu,2011,961
ltu,2012,1024.1
ltu,2013,1109.8
ltu,2014,1204.5
ltu,2015,1270.2
ltu,2016,1379.4
ltu,2017,1528.2
ltu,2018,1728.6
ltu,2019,1885.1
ltu,2020,1931.6
ltu,2021,2086.1
ltu,2022,2420.3
ltu,2023,2811
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1530.2
lux,2009,1585.7
lux,2010,1565.6
lux,2011,1687.2
lux,2012,1718.7
lux,2013,1762.8
lux,2014,1846.1
lux,2015,1884.8
lux,2016,1953.8
lux,2017,2062.9
lux,2018,2178.7
lux,2019,2327.3
lux,2020,2350.4
lux,2021,2618.2
lux,2022,2796.8
lux,2023,2767.5
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2384.9
hun,2009,2073.3
hun,2010,1976.1
hun,2011,2020.9
hun,2012,2008.9
hun,2013,1972.8
hun,2014,1851.4
hun,2015,1875.6
hun,2016,1829.6
hun,2017,2110.4
hun,2018,2295.1
hun,2019,2736.3
hun,2020,2697.4
hun,2021,2934.1
hun,2022,3403.3
hun,2023,3998
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,125.3
mlt,2009,121
mlt,2010,123.6
mlt,2011,136.8
mlt,2012,130.3
mlt,2013,133.8
mlt,2014,128.4
mlt,2015,145.9
mlt,2016,153.2
mlt,2017,153.9
mlt,2018,177
mlt,2019,201.9
mlt,2020,222
mlt,2021,228.7
mlt,2022,241.8
mlt,2023,270.9
mlt,2024,299.7
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,18996
nld,2009,18875
nld,2010,18577
nld,2011,18631
nld,2012,18485
nld,2013,17065
nld,2014,16475
nld,2015,16044
nld,2016,16367
nld,2017,16973
nld,2018,18008
nld,2019,19052
nld,2020,19923
nld,2021,20757
nld,2022,21716
nld,2023,23136
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
