country,year,loner_lop_fastighet
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,53092
eu_three,2009,49828.2
eu_three,2010,51290.3
eu_three,2011,53696.7
eu_three,2012,54602.7
eu_three,2013,54890
eu_three,2014,55638
eu_three,2015,57302.1
eu_three,2016,60459.7
eu_three,2017,63754.5
eu_three,2018,66825.5
eu_three,2019,70053.2
eu_three,2020,68839.7
eu_three,2021,73668.9
eu_three,2022,80097.2
eu_three,2023,84346.9
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,788
bel,2009,801.4
bel,2010,813.3
bel,2011,850.9
bel,2012,886
bel,2013,934.8
bel,2014,941.9
bel,2015,994
bel,2016,1056
bel,2017,1142.5
bel,2018,1169.5
bel,2019,1237.2
bel,2020,1185.4
bel,2021,1257.5
bel,2022,1394.8
bel,2023,1531.3
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,154
bgr,2009,176.8
bgr,2010,184.1
bgr,2011,193.5
bgr,2012,199
bgr,2013,202.5
bgr,2014,205.6
bgr,2015,224
bgr,2016,243.4
bgr,2017,291
bgr,2018,298
bgr,2019,329
bgr,2020,280.2
bgr,2021,288.8
bgr,2022,352.8
bgr,2023,407.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,818.8
cze,2009,767.4
cze,2010,828.3
cze,2011,782.2
cze,2012,839.6
cze,2013,859
cze,2014,819.4
cze,2015,845.4
cze,2016,881.7
cze,2017,964.7
cze,2018,1073.7
cze,2019,1159.1
cze,2020,1163.3
cze,2021,1322.5
cze,2022,1523.4
cze,2023,1768.9
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1698.2
dnk,2009,1619.3
dnk,2010,1685.2
dnk,2011,1722.1
dnk,2012,1754.2
dnk,2013,1784.4
dnk,2014,1820.2
dnk,2015,1906.9
dnk,2016,2019.9
dnk,2017,2109.4
dnk,2018,2187
dnk,2019,2282.8
dnk,2020,2389.5
dnk,2021,2573.1
dnk,2022,2680.5
dnk,2023,2730.7
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,12179
deu,2009,12099
deu,2010,12339
deu,2011,12854
deu,2012,13431
deu,2013,13454
deu,2014,14205
deu,2015,14892
deu,2016,15905
deu,2017,16746
deu,2018,17734
deu,2019,18789
deu,2020,19138
deu,2021,20373
deu,2022,21998
deu,2023,23242
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,128.6
est,2009,121.9
est,2010,108.1
est,2011,111.5
est,2012,118.8
est,2013,126.2
est,2014,138.4
est,2015,150.3
est,2016,166.1
est,2017,177.6
est,2018,187.4
est,2019,199.5
est,2020,211.1
est,2021,218.2
est,2022,238.9
est,2023,265.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,349.8
irl,2009,265.4
irl,2010,313.1
irl,2011,503.1
irl,2012,506.2
irl,2013,534.2
irl,2014,614.8
irl,2015,686.7
irl,2016,766.7
irl,2017,836.2
irl,2018,909.6
irl,2019,1006.2
irl,2020,963.3
irl,2021,1058.2
irl,2022,1094.3
irl,2023,1286
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,147.1
grc,2009,150.4
grc,2010,120.6
grc,2011,137.7
grc,2012,130
grc,2013,139
grc,2014,169.8
grc,2015,160.9
grc,2016,179.5
grc,2017,185.9
grc,2018,210.7
grc,2019,266.4
grc,2020,228.7
grc,2021,235.5
grc,2022,265.5
grc,2023,282.4
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,4523
esp,2009,3699
esp,2010,3858
esp,2011,3749
esp,2012,3666
esp,2013,3349
esp,2014,3457
esp,2015,3724
esp,2016,3890
esp,2017,4305
esp,2018,4669
esp,2019,5656
esp,2020,4968
esp,2021,5167
esp,2022,5880
esp,2023,6278
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,17049.4
fra,2009,15645.8
fra,2010,16000.3
fra,2011,16739.8
fra,2012,16844
fra,2013,17206.2
fra,2014,16907.8
fra,2015,16875.9
fra,2016,17566.8
fra,2017,18459.7
fra,2018,18936.1
fra,2019,18925.4
fra,2020,18205.4
fra,2021,19892.5
fra,2022,21114.2
fra,2023,21407.4
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,120.5
hrv,2009,131.5
hrv,2010,105.3
hrv,2011,100.1
hrv,2012,104.7
hrv,2013,125.9
hrv,2014,145.1
hrv,2015,151.1
hrv,2016,154.2
hrv,2017,169.7
hrv,2018,219.4
hrv,2019,140.5
hrv,2020,146.9
hrv,2021,177
hrv,2022,185.5
hrv,2023,212.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,2052.5
ita,2009,2163.9
ita,2010,2210.1
ita,2011,2307.3
ita,2012,2217.8
ita,2013,2078.5
ita,2014,2036.7
ita,2015,2132.6
ita,2016,2364.4
ita,2017,2441.7
ita,2018,2510.3
ita,2019,2564
ita,2020,2231.6
ita,2021,2635
ita,2022,2888
ita,2023,3184.1
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,23.5
cyp,2009,23
cyp,2010,23.8
cyp,2011,20.9
cyp,2012,24.8
cyp,2013,19.9
cyp,2014,18.4
cyp,2015,22.5
cyp,2016,25.7
cyp,2017,29.9
cyp,2018,36.2
cyp,2019,42.5
cyp,2020,43.2
cyp,2021,48
cyp,2022,51.5
cyp,2023,53.8
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,336.7
lva,2009,267.9
lva,2010,230.4
lva,2011,242.4
lva,2012,265.6
lva,2013,275.6
lva,2014,312.9
lva,2015,317.2
lva,2016,305
lva,2017,304.3
lva,2018,352.7
lva,2019,358.1
lva,2020,383.9
lva,2021,350.5
lva,2022,401.9
lva,2023,521.3
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,151.3
ltu,2009,128.3
ltu,2010,119.1
ltu,2011,123.5
ltu,2012,138.2
ltu,2013,151.4
ltu,2014,164.1
ltu,2015,178.6
ltu,2016,188.8
ltu,2017,198.3
ltu,2018,197
ltu,2019,222.4
ltu,2020,216.5
ltu,2021,239.4
ltu,2022,261.4
ltu,2023,284
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,81.5
lux,2009,96.3
lux,2010,91
lux,2011,114.1
lux,2012,123.4
lux,2013,137.6
lux,2014,147.8
lux,2015,155.1
lux,2016,165.6
lux,2017,183.4
lux,2018,200.5
lux,2019,218.2
lux,2020,222.9
lux,2021,254
lux,2022,273.4
lux,2023,240.9
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,734.7
hun,2009,617.7
hun,2010,636.9
hun,2011,697
hun,2012,622.2
hun,2013,663.5
hun,2014,628.4
hun,2015,586.1
hun,2016,605.3
hun,2017,615.3
hun,2018,637
hun,2019,698.9
hun,2020,634.8
hun,2021,662.1
hun,2022,771
hun,2023,944.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,16.5
mlt,2009,17.6
mlt,2010,19.3
mlt,2011,20.6
mlt,2012,19.2
mlt,2013,21.7
mlt,2014,24.1
mlt,2015,27.1
mlt,2016,32.8
mlt,2017,29.8
mlt,2018,45.6
mlt,2019,38.6
mlt,2020,46.9
mlt,2021,47.6
mlt,2022,52.5
mlt,2023,66.3
mlt,2024,72.1
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,3715
nld,2009,3744
nld,2010,3641
nld,2011,3673
nld,2012,3654
nld,2013,3587
nld,2014,3537
nld,2015,3471
nld,2016,3505
nld,2017,3587
nld,2018,3761
nld,2019,3942
nld,2020,4115
nld,2021,4199
nld,2022,4451
nld,2023,4728
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1523
aut,2009,1541.4
aut,2010,1569.2
aut,2011,1642.6
aut,2012,1714.9
aut,2013,1785.6
aut,2014,1759.1
aut,2015,1885.6
aut,2016,2092.2
aut,2017,1977.3
