country,year,loner_lop_finans
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,257499.5
eu_three,2009,255708.9
eu_three,2010,257574.3
eu_three,2011,262217.4
eu_three,2012,264308.8
eu_three,2013,265510.9
eu_three,2014,267637.6
eu_three,2015,270708.7
eu_three,2016,274605
eu_three,2017,274872.1
eu_three,2018,280148.4
eu_three,2019,285846.4
eu_three,2020,286980.5
eu_three,2021,300644.9
eu_three,2022,310191.5
eu_three,2023,330692.2
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,9513.2
bel,2009,9504.4
bel,2010,9314.9
bel,2011,9711.3
bel,2012,9888.9
bel,2013,9926.5
bel,2014,9967.7
bel,2015,9920.6
bel,2016,9819.7
bel,2017,9837
bel,2018,10054.9
bel,2019,10055.3
bel,2020,9878.2
bel,2021,10046.9
bel,2022,10686.9
bel,2023,11507
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,755.2
bgr,2009,795.7
bgr,2010,769.6
bgr,2011,809
bgr,2012,994.7
bgr,2013,843.5
bgr,2014,864.1
bgr,2015,887.5
bgr,2016,890.1
bgr,2017,946.7
bgr,2018,1025.8
bgr,2019,1029.7
bgr,2020,1088.3
bgr,2021,1131.7
bgr,2022,1207.6
bgr,2023,1283.3
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2185
cze,2009,1987.3
cze,2010,2120.4
cze,2011,2301.7
cze,2012,2447.1
cze,2013,2300.7
cze,2014,2276.4
cze,2015,2247.4
cze,2016,2375.2
cze,2017,2575.1
cze,2018,2789.1
cze,2019,2982
cze,2020,2907.3
cze,2021,3158.8
cze,2022,3449.9
cze,2023,3545.7
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,6320
dnk,2009,6818.8
dnk,2010,6738.5
dnk,2011,6866.5
dnk,2012,6684.4
dnk,2013,6734.1
dnk,2014,6415
dnk,2015,6675.4
dnk,2016,6689.3
dnk,2017,7035.3
dnk,2018,7251.1
dnk,2019,7603.7
dnk,2020,7531.5
dnk,2021,7559.9
dnk,2022,7658.2
dnk,2023,8260.9
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,66234
deu,2009,65878
deu,2010,65442
deu,2011,67831
deu,2012,69679
deu,2013,71710
deu,2014,74109
deu,2015,75058
deu,2016,76749
deu,2017,74571
deu,2018,75637
deu,2019,76914
deu,2020,78179
deu,2021,79124
deu,2022,81603
deu,2023,86851
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,249.3
est,2009,244.1
est,2010,216.4
est,2011,240.3
est,2012,236.1
est,2013,242.5
est,2014,258.9
est,2015,279.3
est,2016,307.9
est,2017,339
est,2018,398.2
est,2019,426.5
est,2020,449
est,2021,472.9
est,2022,552.7
est,2023,650.1
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,6600.7
irl,2009,6394.3
irl,2010,6740.3
irl,2011,6953.8
irl,2012,7192.7
irl,2013,7046
irl,2014,6994.3
irl,2015,7361.5
irl,2016,7488
irl,2017,7777.4
irl,2018,8025.6
irl,2019,8553
irl,2020,8804.8
irl,2021,9467.5
irl,2022,9624.4
irl,2023,10831.6
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,5704.4
grc,2009,5874
grc,2010,5094.6
grc,2011,4863
grc,2012,4212.7
grc,2013,3906.7
grc,2014,3625.7
grc,2015,3382
grc,2016,3128.9
grc,2017,3047.3
grc,2018,3267.7
grc,2019,3047.1
grc,2020,3060.3
grc,2021,2917.3
grc,2022,3054
grc,2023,3378.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,23429
esp,2009,23446
esp,2010,23344
esp,2011,22703
esp,2012,21370
esp,2013,21084
esp,2014,20533
esp,2015,20340
esp,2016,20127
esp,2017,19539
esp,2018,19823
esp,2019,20344
esp,2020,19837
esp,2021,19870
esp,2022,19879
esp,2023,20937
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,42724.2
fra,2009,45046.5
fra,2010,46068.2
fra,2011,46511.4
fra,2012,48304.1
fra,2013,48004.6
fra,2014,48951.1
fra,2015,49914.2
fra,2016,50734.7
fra,2017,52585.4
fra,2018,53840.2
fra,2019,53835.3
fra,2020,53327.9
fra,2021,58756.9
fra,2022,61241.4
fra,2023,64411.8
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1021.8
hrv,2009,991.5
hrv,2010,999.6
hrv,2011,998.3
hrv,2012,940.3
hrv,2013,929.1
hrv,2014,937.2
hrv,2015,946.4
hrv,2016,930.4
hrv,2017,962.6
hrv,2018,958.4
hrv,2019,991.3
hrv,2020,972.1
hrv,2021,1022.3
hrv,2022,1082.2
hrv,2023,1011.5
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,37218.2
ita,2009,35715.3
ita,2010,36069.8
ita,2011,36839.3
ita,2012,35381.9
ita,2013,34278.5
ita,2014,34569.4
ita,2015,35011
ita,2016,35859.8
ita,2017,35061.7
ita,2018,35254.3
ita,2019,36880.4
ita,2020,36351.5
ita,2021,37435.1
ita,2022,38215.3
ita,2023,39989.5
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,815.3
cyp,2009,938.6
cyp,2010,996.6
cyp,2011,1063.9
cyp,2012,1062.3
cyp,2013,971.3
cyp,2014,861.8
cyp,2015,893
cyp,2016,936.7
cyp,2017,1002.2
cyp,2018,1086.3
cyp,2019,1154.3
cyp,2020,1258.1
cyp,2021,1327.7
cyp,2022,1335.3
cyp,2023,1300.7
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,502.8
lva,2009,412.8
lva,2010,347.7
lva,2011,362.7
lva,2012,376.6
lva,2013,389.6
lva,2014,400.6
lva,2015,419.4
lva,2016,466.6
lva,2017,500.4
lva,2018,506.7
lva,2019,519.8
lva,2020,522
lva,2021,530.2
lva,2022,577.4
lva,2023,638
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,332.6
ltu,2009,293.3
ltu,2010,279.3
ltu,2011,312.7
ltu,2012,316.6
ltu,2013,318.4
ltu,2014,317.9
ltu,2015,337.5
ltu,2016,349.6
ltu,2017,374.4
ltu,2018,396.5
ltu,2019,447.9
ltu,2020,466.4
ltu,2021,672.6
ltu,2022,783.7
ltu,2023,749.7
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,3803.5
lux,2009,3759.8
lux,2010,3910.9
lux,2011,3969.5
lux,2012,4150.9
lux,2013,4425.4
lux,2014,4523.6
lux,2015,4704.6
lux,2016,4888.3
lux,2017,5116.2
lux,2018,5485.2
lux,2019,5769.2
lux,2020,5811.6
lux,2021,6239.8
lux,2022,6726.1
lux,2023,7355.6
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2202.4
hun,2009,1956.3
hun,2010,2029.4
hun,2011,1868.3
hun,2012,1882.8
hun,2013,1819.7
hun,2014,1778.5
hun,2015,1808.5
hun,2016,1865.1
hun,2017,1913.3
hun,2018,2029.9
hun,2019,2130.9
hun,2020,1912.6
hun,2021,2133.9
hun,2022,2104.9
hun,2023,2542.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,211.7
mlt,2009,230.5
mlt,2010,246.4
mlt,2011,259.1
mlt,2012,290.2
mlt,2013,315.9
mlt,2014,346.5
mlt,2015,378.1
mlt,2016,420.9
mlt,2017,464.2
mlt,2018,515
mlt,2019,576.7
mlt,2020,598.8
mlt,2021,632.2
mlt,2022,700.5
mlt,2023,789.1
mlt,2024,861.7
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,18606
nld,2009,17921
nld,2010,17733
nld,2011,17982
nld,2012,17871
nld,2013,18817
nld,2014,18798
nld,2015,18254
nld,2016,18403
nld,2017,18162
nld,2018,17861
nld,2019,18192
nld,2020,19051
nld,2021,20369
nld,2022,21189
nld,2023,22664
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
