country,year,loner_lop_finans_stod
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,36714
eu_three,2009,37096.1
eu_three,2010,39560.1
eu_three,2011,40622.4
eu_three,2012,41966.3
eu_three,2013,43498.4
eu_three,2014,45502.4
eu_three,2015,48061.7
eu_three,2016,50611.2
eu_three,2017,52313
eu_three,2018,56630.6
eu_three,2019,59053
eu_three,2020,61589.8
eu_three,2021,67356.1
eu_three,2022,71126.5
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1406.7
bel,2009,1473.7
bel,2010,1478.6
bel,2011,1571.1
bel,2012,1639.2
bel,2013,1686.4
bel,2014,1880.6
bel,2015,1889.5
bel,2016,1922.6
bel,2017,1964.7
bel,2018,2043.5
bel,2019,2197.1
bel,2020,2212.9
bel,2021,2282.3
bel,2022,2436
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,53
bgr,2009,55.7
bgr,2010,54.5
bgr,2011,46.8
bgr,2012,58.4
bgr,2013,63.5
bgr,2014,69.7
bgr,2015,69.6
bgr,2016,82.1
bgr,2017,92.5
bgr,2018,108.1
bgr,2019,107.8
bgr,2020,124
bgr,2021,192.9
bgr,2022,164.2
bgr,2023,172
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,180.3
cze,2009,185.9
cze,2010,206.7
cze,2011,213.9
cze,2012,275.7
cze,2013,243.8
cze,2014,304.6
cze,2015,264.7
cze,2016,296.6
cze,2017,353.5
cze,2018,343.1
cze,2019,429.9
cze,2020,465.1
cze,2021,525.5
cze,2022,569.4
cze,2023,510
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,614.1
dnk,2009,637.2
dnk,2010,645
dnk,2011,666.9
dnk,2012,643.8
dnk,2013,726.5
dnk,2014,765.4
dnk,2015,848.9
dnk,2016,883.6
dnk,2017,873.4
dnk,2018,904
dnk,2019,948.9
dnk,2020,880.8
dnk,2021,942.1
dnk,2022,940.7
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,9580
deu,2009,10171
deu,2010,11018
deu,2011,11276
deu,2012,11602
deu,2013,12234
deu,2014,12810
deu,2015,13162
deu,2016,14277
deu,2017,14297
deu,2018,15713
deu,2019,16114
deu,2020,17353
deu,2021,17711
deu,2022,18406
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,26.7
est,2009,27.1
est,2010,27.9
est,2011,24.4
est,2012,21
est,2013,26.7
est,2014,28.1
est,2015,30.3
est,2016,34.9
est,2017,38.1
est,2018,42.3
est,2019,38.4
est,2020,47.2
est,2021,47
est,2022,61.5
est,2023,72.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,502.3
irl,2009,558.2
irl,2010,1473.6
irl,2011,1694.9
irl,2012,1767.4
irl,2013,1843.4
irl,2014,1910.2
irl,2015,2086.6
irl,2016,2171.8
irl,2017,2313.9
irl,2018,2552.4
irl,2019,2841.9
irl,2020,3021.9
irl,2021,3295.2
irl,2022,3381.8
irl,2023,3621.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,354.7
grc,2009,384.2
grc,2010,346.9
grc,2011,380.8
grc,2012,353.5
grc,2013,315.3
grc,2014,297.6
grc,2015,263
grc,2016,268.6
grc,2017,208.6
grc,2018,256.5
grc,2019,294.9
grc,2020,274.3
grc,2021,338.6
grc,2022,354
grc,2023,402.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,1379
esp,2009,1341
esp,2010,1314
esp,2011,1345
esp,2012,1314
esp,2013,1319
esp,2014,1386
esp,2015,1393
esp,2016,1474
esp,2017,1675
esp,2018,1746
esp,2019,1933
esp,2020,1936
esp,2021,2189
esp,2022,2282
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,8262.7
fra,2009,8240.9
fra,2010,9076.3
fra,2011,9095.3
fra,2012,10053.2
fra,2013,10285.3
fra,2014,10884.3
fra,2015,11583.3
fra,2016,12106.2
fra,2017,12743.5
fra,2018,14183.4
fra,2019,14512.2
fra,2020,15138
fra,2021,17659.2
fra,2022,18948.7
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,125.2
hrv,2009,119.3
hrv,2010,103.5
hrv,2011,109.9
hrv,2012,106.5
hrv,2013,117.4
hrv,2014,122
hrv,2015,133.6
hrv,2016,139.9
hrv,2017,155.3
hrv,2018,152.7
hrv,2019,160.9
hrv,2020,150.5
hrv,2021,155.6
hrv,2022,166.7
hrv,2023,177.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,4880.6
ita,2009,5111.8
ita,2010,5203.4
ita,2011,5274.2
ita,2012,4979.4
ita,2013,5267.7
ita,2014,5353.1
ita,2015,5594.1
ita,2016,5768.4
ita,2017,5754
ita,2018,5855.8
ita,2019,6039.2
ita,2020,5882.4
ita,2021,6296.1
ita,2022,6790.7
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,64.7
cyp,2009,66
cyp,2010,85.8
cyp,2011,99
cyp,2012,105.5
cyp,2013,122.1
cyp,2014,138.5
cyp,2015,159.9
cyp,2016,198.7
cyp,2017,247.4
cyp,2018,279.6
cyp,2019,295.8
cyp,2020,347.7
cyp,2021,399.2
cyp,2022,416.6
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,21.5
lva,2009,24.6
lva,2010,19.3
lva,2011,26.9
lva,2012,26
lva,2013,28.9
lva,2014,34.3
lva,2015,34.1
lva,2016,59.6
lva,2017,70.2
lva,2018,81.8
lva,2019,94.2
lva,2020,86.9
lva,2021,78.1
lva,2022,108.6
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,25.3
ltu,2009,20.1
ltu,2010,17.9
ltu,2011,18.4
ltu,2012,21.3
ltu,2013,24.9
ltu,2014,27.6
ltu,2015,32.3
ltu,2016,49.5
ltu,2017,62.8
ltu,2018,67.4
ltu,2019,90.5
ltu,2020,99
ltu,2021,136.6
ltu,2022,155.5
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,800.8
lux,2009,771.7
lux,2010,807
lux,2011,813.7
lux,2012,857.7
lux,2013,941.9
lux,2014,1013.1
lux,2015,1149.8
lux,2016,1196.7
lux,2017,1304.7
lux,2018,1471
lux,2019,1598
lux,2020,1654
lux,2021,1808.7
lux,2022,2034.5
lux,2023,2242
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,209.7
hun,2009,183.7
hun,2010,193.2
hun,2011,200.2
hun,2012,199.2
hun,2013,195.9
hun,2014,182
hun,2015,182.2
hun,2016,195.9
hun,2017,208.5
hun,2018,206.5
hun,2019,232.9
hun,2020,227
hun,2021,246.3
hun,2022,243.9
hun,2023,293.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,33
mlt,2009,36.7
mlt,2010,43.4
mlt,2011,51
mlt,2012,58.6
mlt,2013,65
mlt,2014,69.7
mlt,2015,81.1
mlt,2016,95.4
mlt,2017,124.1
mlt,2018,141.7
mlt,2019,159
mlt,2020,170.8
mlt,2021,169.2
mlt,2022,199.4
mlt,2023,236.2
mlt,2024,265
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4631
nld,2009,4570
nld,2010,4506
nld,2011,4653
nld,2012,4718
nld,2013,4769
nld,2014,4945
nld,2015,5313
nld,2016,5330
nld,2017,5587
nld,2018,5786
nld,2019,6093
nld,2020,6357
nld,2021,6958
nld,2022,7357
nld,2023,7814
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,543.5
aut,2009,545
aut,2010,552
aut,2011,541.9
aut,2012,562.4
aut,2013,556.6
aut,2014,588.3
aut,2015,610.6
aut,2016,628.2
aut,2017,673.2
aut,2018,689.7
aut,2019,761.4
aut,2020,835.9
aut,2021,909.7
