country,year,loner_lop_gruv
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,18687.6
eu_three,2009,17820.7
eu_three,2010,17766.5
eu_three,2011,18911.9
eu_three,2012,18157.1
eu_three,2013,17925.9
eu_three,2014,18016.1
eu_three,2015,17193.3
eu_three,2016,16187.5
eu_three,2017,16695.5
eu_three,2018,16759.3
eu_three,2019,16856.7
eu_three,2020,16494.3
eu_three,2021,16412.3
eu_three,2022,18040
eu_three,2023,19383.3
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,161.1
bel,2009,151.6
bel,2010,148.4
bel,2011,160.3
bel,2012,157.6
bel,2013,155.9
bel,2014,166.8
bel,2015,144.9
bel,2016,146.6
bel,2017,162.6
bel,2018,169.7
bel,2019,184.9
bel,2020,170.8
bel,2021,196.2
bel,2022,172.5
bel,2023,182.1
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,309.6
bgr,2009,314
bgr,2010,328.2
bgr,2011,263
bgr,2012,272.7
bgr,2013,370.9
bgr,2014,393.6
bgr,2015,292.2
bgr,2016,410.4
bgr,2017,429.9
bgr,2018,457.6
bgr,2019,312.1
bgr,2020,347.3
bgr,2021,381.1
bgr,2022,470.8
bgr,2023,497.1
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,886.6
cze,2009,727.5
cze,2010,750.9
cze,2011,798.5
cze,2012,803.8
cze,2013,731.9
cze,2014,724.4
cze,2015,722.7
cze,2016,667.6
cze,2017,657.8
cze,2018,650.2
cze,2019,668.9
cze,2020,610.8
cze,2021,547.3
cze,2022,595.8
cze,2023,662.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,347.6
dnk,2009,403.8
dnk,2010,425.7
dnk,2011,483.1
dnk,2012,549.3
dnk,2013,481.1
dnk,2014,457.3
dnk,2015,464.2
dnk,2016,542.2
dnk,2017,566
dnk,2018,623.2
dnk,2019,570.9
dnk,2020,557.8
dnk,2021,484.2
dnk,2022,531.8
dnk,2023,536.7
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,3693
deu,2009,4105
deu,2010,3914
deu,2011,4813
deu,2012,3844
deu,2013,3921
deu,2014,3759
deu,2015,3795
deu,2016,3361
deu,2017,3682
deu,2018,3102
deu,2019,3044
deu,2020,3095
deu,2021,2927
deu,2022,3209
deu,2023,3292
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,79.2
est,2009,75.2
est,2010,83
est,2011,95.3
est,2012,102
est,2013,106.5
est,2014,104.8
est,2015,103.6
est,2016,94.5
est,2017,107.2
est,2018,105.9
est,2019,104.1
est,2020,74.2
est,2021,60.4
est,2022,68.8
est,2023,72.5
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,408.5
irl,2009,378.6
irl,2010,302.2
irl,2011,279.8
irl,2012,276
irl,2013,291.9
irl,2014,288.2
irl,2015,305.9
irl,2016,272.7
irl,2017,264.3
irl,2018,272.1
irl,2019,259.8
irl,2020,227.9
irl,2021,242.7
irl,2022,257.7
irl,2023,242.4
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,569.8
grc,2009,572.5
grc,2010,526.7
grc,2011,469
grc,2012,381.1
grc,2013,383.4
grc,2014,308.3
grc,2015,317.9
grc,2016,293.3
grc,2017,337
grc,2018,338.4
grc,2019,306.7
grc,2020,264.5
grc,2021,277.5
grc,2022,271.3
grc,2023,264.8
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,1576
esp,2009,1376
esp,2010,1318
esp,2011,1180
esp,2012,996
esp,2013,890
esp,2014,862
esp,2015,824
esp,2016,816
esp,2017,809
esp,2018,825
esp,2019,841
esp,2020,849
esp,2021,913
esp,2022,927
esp,2023,990
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,991.1
fra,2009,959.9
fra,2010,950.4
fra,2011,975
fra,2012,991.8
fra,2013,997.9
fra,2014,1199.9
fra,2015,1091.5
fra,2016,1050.7
fra,2017,1069.6
fra,2018,1084.1
fra,2019,1092.9
fra,2020,1060.8
fra,2021,1115.3
fra,2022,1163.9
fra,2023,651.7
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,167.7
hrv,2009,156.7
hrv,2010,186.4
hrv,2011,179.9
hrv,2012,148.7
hrv,2013,127.6
hrv,2014,134.7
hrv,2015,111.4
hrv,2016,111.4
hrv,2017,100
hrv,2018,103.2
hrv,2019,90.6
hrv,2020,60.4
hrv,2021,62
hrv,2022,61.7
hrv,2023,68.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,1132
ita,2009,1117
ita,2010,1088.9
ita,2011,1118.2
ita,2012,1090.7
ita,2013,1126.8
ita,2014,1130.1
ita,2015,1179.2
ita,2016,1165.3
ita,2017,1134.8
ita,2018,1206.4
ita,2019,1243.3
ita,2020,1142.7
ita,2021,1204.6
ita,2022,1210.1
ita,2023,1252.2
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,20.5
cyp,2009,20.6
cyp,2010,18.8
cyp,2011,18.5
cyp,2012,19
cyp,2013,16.8
cyp,2014,12.9
cyp,2015,16.9
cyp,2016,13.4
cyp,2017,19.5
cyp,2018,18.7
cyp,2019,19.9
cyp,2020,18.9
cyp,2021,19.5
cyp,2022,21.6
cyp,2023,22.8
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,32.9
lva,2009,31.5
lva,2010,30.2
lva,2011,32.5
lva,2012,33.4
lva,2013,37.3
lva,2014,38.2
lva,2015,41
lva,2016,43
lva,2017,48.3
lva,2018,54.5
lva,2019,54.9
lva,2020,60
lva,2021,66.3
lva,2022,76.9
lva,2023,82.8
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,45
ltu,2009,38.3
ltu,2010,34.4
ltu,2011,36.6
ltu,2012,37.5
ltu,2013,41.4
ltu,2014,43.6
ltu,2015,45.4
ltu,2016,46.3
ltu,2017,48.7
ltu,2018,50.9
ltu,2019,56.2
ltu,2020,58.3
ltu,2021,62.7
ltu,2022,65.5
ltu,2023,68.4
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,16
lux,2009,17.8
lux,2010,17.2
lux,2011,15.1
lux,2012,15.9
lux,2013,14.5
lux,2014,15.2
lux,2015,15
lux,2016,14.9
lux,2017,16.2
lux,2018,16.8
lux,2019,16.8
lux,2020,16.5
lux,2021,16.9
lux,2022,17.7
lux,2023,17
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,105.4
hun,2009,92.1
hun,2010,85.3
hun,2011,75.6
hun,2012,77.2
hun,2013,77.7
hun,2014,77.5
hun,2015,73.7
hun,2016,64.3
hun,2017,69.4
hun,2018,79.3
hun,2019,96.1
hun,2020,88.2
hun,2021,88.6
hun,2022,90.9
hun,2023,111
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,
mlt,2021,
mlt,2022,
mlt,2023,
mlt,2024,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,850
nld,2009,858
nld,2010,905
nld,2011,1007
nld,2012,1072
nld,2013,1158
nld,2014,1284
nld,2015,1327
nld,2016,1260
nld,2017,977
nld,2018,977
nld,2019,935
nld,2020,999
nld,2021,907
nld,2022,974
nld,2023,1060
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,320.3
aut,2009,308.7
aut,2010,313.3
aut,2011,324.3
aut,2012,322
aut,2013,329.5
aut,2014,347.9
aut,2015,351.4
aut,2016,355.7
aut,2017,363.1
aut,2018,382.5
aut,2019,394
aut,2020,391.7
aut,2021,364.7
aut,2022,380.8
aut,2023,407.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
