country,year,loner_lop_hotell
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,138837.3
eu_three,2009,140185.8
eu_three,2010,144376.3
eu_three,2011,149317.6
eu_three,2012,151647.3
eu_three,2013,152639.8
eu_three,2014,158007.7
eu_three,2015,166566.8
eu_three,2016,176428.1
eu_three,2017,188170.4
eu_three,2018,199829.3
eu_three,2019,206509.4
eu_three,2020,149331
eu_three,2021,164702.8
eu_three,2022,211535.5
eu_three,2023,237543.2
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3109.6
bel,2009,3206.2
bel,2010,3326.5
bel,2011,3533.6
bel,2012,3710.6
bel,2013,3826.4
bel,2014,4012.5
bel,2015,4155.2
bel,2016,4344.7
bel,2017,4618.6
bel,2018,4825
bel,2019,5101.6
bel,2020,3325.8
bel,2021,4015.2
bel,2022,5707.8
bel,2023,6625.2
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,398.4
bgr,2009,458.2
bgr,2010,501.5
bgr,2011,534.6
bgr,2012,577.5
bgr,2013,617.5
bgr,2014,634.4
bgr,2015,661.5
bgr,2016,743
bgr,2017,816.3
bgr,2018,897.9
bgr,2019,977.6
bgr,2020,701.6
bgr,2021,895.6
bgr,2022,1154.6
bgr,2023,1407.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1305.5
cze,2009,1197.9
cze,2010,1264.3
cze,2011,1374.1
cze,2012,1393.7
cze,2013,1342.6
cze,2014,1319
cze,2015,1424
cze,2016,1556.6
cze,2017,1788.1
cze,2018,2045.5
cze,2019,2258.7
cze,2020,1782
cze,2021,1916.1
cze,2022,2354.1
cze,2023,2666.1
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2233.2
dnk,2009,2165.1
dnk,2010,2145
dnk,2011,2294.4
dnk,2012,2361.9
dnk,2013,2440.4
dnk,2014,2556.2
dnk,2015,2700.9
dnk,2016,2907.7
dnk,2017,3096.4
dnk,2018,3237.9
dnk,2019,3397.6
dnk,2020,3150.3
dnk,2021,3358.6
dnk,2022,3990.7
dnk,2023,4261.7
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,21644
deu,2009,22492
deu,2010,23163
deu,2011,24023
deu,2012,25436
deu,2013,26512
deu,2014,27769
deu,2015,29803
deu,2016,31729
deu,2017,33349
deu,2018,34864
deu,2019,36700
deu,2020,29610
deu,2021,29515
deu,2022,38048
deu,2023,43375
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,198.9
est,2009,158.9
est,2010,157.3
est,2011,171.4
est,2012,187.5
est,2013,207.4
est,2014,232.6
est,2015,256.4
est,2016,282.5
est,2017,314.7
est,2018,335.3
est,2019,365.9
est,2020,296.5
est,2021,316.5
est,2022,418.9
est,2023,482.4
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,3018.2
irl,2009,2942.4
irl,2010,2672.9
irl,2011,2697.9
irl,2012,2772.3
irl,2013,2869.8
irl,2014,3070.4
irl,2015,3311.4
irl,2016,3644.8
irl,2017,3927.4
irl,2018,4169
irl,2019,4368.5
irl,2020,2729.3
irl,2021,3428.4
irl,2022,5051.9
irl,2023,5765.1
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,3453.3
grc,2009,3604.7
grc,2010,3529.5
grc,2011,3097.5
grc,2012,2901.6
grc,2013,2542.6
grc,2014,3042.7
grc,2015,3017.7
grc,2016,3230
grc,2017,3537.2
grc,2018,4056
grc,2019,4453.7
grc,2020,2713.2
grc,2021,3561.4
grc,2022,4251.4
grc,2023,4976
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,29471
esp,2009,29590
esp,2010,29765
esp,2011,30389
esp,2012,28804
esp,2013,27713
esp,2014,28721
esp,2015,31428
esp,2016,32522
esp,2017,35492
esp,2018,37825
esp,2019,37231
esp,2020,20219
esp,2021,25244
esp,2022,31293
esp,2023,36386
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,25368.5
fra,2009,25961.2
fra,2010,27715.2
fra,2011,29023.6
fra,2012,29909.4
fra,2013,30503.4
fra,2014,30971.4
fra,2015,31296.4
fra,2016,32838.9
fra,2017,33797.1
fra,2018,36159.5
fra,2019,36596.9
fra,2020,26737.7
fra,2021,29269.7
fra,2022,36948.1
fra,2023,40188.3
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,979.5
hrv,2009,922.6
hrv,2010,974.5
hrv,2011,968.9
hrv,2012,952.2
hrv,2013,1026.2
hrv,2014,1083.6
hrv,2015,1126.7
hrv,2016,1230.9
hrv,2017,1367.1
hrv,2018,1502.5
hrv,2019,1421.1
hrv,2020,1028.7
hrv,2021,1333.3
hrv,2022,1752.6
hrv,2023,2171.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,22246.6
ita,2009,22645.3
ita,2010,23143
ita,2011,23933.1
ita,2012,24476.8
ita,2013,24094.3
ita,2014,24590
ita,2015,25918.3
ita,2016,27653.6
ita,2017,29659.3
ita,2018,31170.1
ita,2019,32120.7
ita,2020,21771.6
ita,2021,25419.7
ita,2022,34798.1
ita,2023,38444.7
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,516.8
cyp,2009,551.9
cyp,2010,567.5
cyp,2011,580.5
cyp,2012,589.4
cyp,2013,550.1
cyp,2014,537.1
cyp,2015,543.8
cyp,2016,596.7
cyp,2017,657.7
cyp,2018,664.9
cyp,2019,703.2
cyp,2020,417
cyp,2021,562.3
cyp,2022,759.2
cyp,2023,834.2
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,255.4
lva,2009,160.9
lva,2010,149.4
lva,2011,156.4
lva,2012,185
lva,2013,203.8
lva,2014,234.1
lva,2015,278.1
lva,2016,311.3
lva,2017,330.7
lva,2018,389.3
lva,2019,427.4
lva,2020,314.3
lva,2021,296.1
lva,2022,442.5
lva,2023,532.7
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,263.4
ltu,2009,202.7
ltu,2010,178.5
ltu,2011,190.1
ltu,2012,221.3
ltu,2013,255.6
ltu,2014,279.1
ltu,2015,319.1
ltu,2016,371.4
ltu,2017,416
ltu,2018,471.5
ltu,2019,568.3
ltu,2020,523.1
ltu,2021,608.7
ltu,2022,776
ltu,2023,901.8
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,421.9
lux,2009,452.4
lux,2010,487.5
lux,2011,551.7
lux,2012,584.1
lux,2013,615.8
lux,2014,655
lux,2015,676.8
lux,2016,709.1
lux,2017,761.5
lux,2018,797.2
lux,2019,843.4
lux,2020,700.6
lux,2021,762.6
lux,2022,944.2
lux,2023,1013.8
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1237.6
hun,2009,1101.3
hun,2010,1060.3
hun,2011,998.9
hun,2012,984.2
hun,2013,885.3
hun,2014,959
hun,2015,987.8
hun,2016,1005
hun,2017,1200.4
hun,2018,1252.7
hun,2019,1415.9
hun,2020,1114.4
hun,2021,1244.4
hun,2022,1645.7
hun,2023,2061.1
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,155.3
mlt,2009,148.1
mlt,2010,158.8
mlt,2011,172.5
mlt,2012,175.8
mlt,2013,188.2
mlt,2014,199.6
mlt,2015,214.5
mlt,2016,225.7
mlt,2017,232
mlt,2018,258.4
mlt,2019,274.7
mlt,2020,227.1
mlt,2021,233.3
mlt,2022,303
mlt,2023,378.2
mlt,2024,437.5
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,5090
nld,2009,5120
nld,2010,5275
nld,2011,5504
nld,2012,5635
nld,2013,5754
nld,2014,6044
nld,2015,6320
nld,2016,6768
nld,2017,7193
nld,2018,7804
nld,2019,8353
nld,2020,7843
nld,2021,7735
nld,2022,9302
nld,2023,10462
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,5344.3
aut,2009,5436.3
