country,year,loner_lop_icke_met
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,44645.9
eu_three,2009,39390.5
eu_three,2010,38803.1
eu_three,2011,39322.2
eu_three,2012,38591.8
eu_three,2013,37382
eu_three,2014,37121.1
eu_three,2015,37430.9
eu_three,2016,38339.6
eu_three,2017,39601.1
eu_three,2018,41061.7
eu_three,2019,42163.5
eu_three,2020,40891.5
eu_three,2021,43631.6
eu_three,2022,45899
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1639.9
bel,2009,1612.3
bel,2010,1600.1
bel,2011,1710.5
bel,2012,1738.9
bel,2013,1730.4
bel,2014,1705.8
bel,2015,1645.5
bel,2016,1662.2
bel,2017,1693.7
bel,2018,1717.1
bel,2019,1770.2
bel,2020,1772.7
bel,2021,1861.8
bel,2022,2032.3
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,128.2
bgr,2009,137.2
bgr,2010,128
bgr,2011,121.1
bgr,2012,122.6
bgr,2013,128.8
bgr,2014,141.8
bgr,2015,159.7
bgr,2016,162.3
bgr,2017,173.8
bgr,2018,183.2
bgr,2019,196.5
bgr,2020,201.6
bgr,2021,221.6
bgr,2022,245.5
bgr,2023,288.2
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1025.1
cze,2009,825.5
cze,2010,818.6
cze,2011,903.8
cze,2012,890.8
cze,2013,871.7
cze,2014,856.4
cze,2015,937.8
cze,2016,980.5
cze,2017,1112.9
cze,2018,1169.3
cze,2019,1227.3
cze,2020,1153.1
cze,2021,1301.3
cze,2022,1475.7
cze,2023,1558.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,859.7
dnk,2009,708.1
dnk,2010,636.9
dnk,2011,685.8
dnk,2012,702.6
dnk,2013,684.6
dnk,2014,702.8
dnk,2015,732.7
dnk,2016,767.5
dnk,2017,830.6
dnk,2018,858.4
dnk,2019,899.2
dnk,2020,899.6
dnk,2021,976.3
dnk,2022,1014.5
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,9864
deu,2009,9332
deu,2010,9411
deu,2011,9879
deu,2012,10155
deu,2013,10345
deu,2014,10635
deu,2015,10865
deu,2016,11009
deu,2017,11291
deu,2018,11884
deu,2019,12252
deu,2020,12034
deu,2021,12497
deu,2022,12867
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,81.5
est,2009,59.5
est,2010,57
est,2011,66.6
est,2012,71
est,2013,80.1
est,2014,87
est,2015,93.1
est,2016,100.4
est,2017,114.6
est,2018,118.9
est,2019,127
est,2020,117
est,2021,128.3
est,2022,141.2
est,2023,138.9
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,530.8
irl,2009,354.8
irl,2010,309.2
irl,2011,296
irl,2012,288.4
irl,2013,347.5
irl,2014,337.5
irl,2015,318.7
irl,2016,408.3
irl,2017,452
irl,2018,425.2
irl,2019,444.6
irl,2020,422.1
irl,2021,469.1
irl,2022,498.7
irl,2023,539.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,799.1
grc,2009,747.2
grc,2010,663.4
grc,2011,555
grc,2012,453.6
grc,2013,369.3
grc,2014,354.2
grc,2015,318.2
grc,2016,349.8
grc,2017,386.6
grc,2018,389.7
grc,2019,393.8
grc,2020,369.6
grc,2021,390.3
grc,2022,415.7
grc,2023,434.9
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,6585
esp,2009,5243
esp,2010,4762
esp,2011,4416
esp,2012,3984
esp,2013,3358
esp,2014,3193
esp,2015,3142
esp,2016,3216
esp,2017,3302
esp,2018,3401
esp,2019,3388
esp,2020,3612
esp,2021,3941
esp,2022,4100
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,5597.3
fra,2009,5023.6
fra,2010,5098.1
fra,2011,5289
fra,2012,5189.8
fra,2013,5130.3
fra,2014,5043.7
fra,2015,5120.1
fra,2016,5123.7
fra,2017,5187.9
fra,2018,5213.1
fra,2019,5161.9
fra,2020,4712
fra,2021,5024.4
fra,2022,5345.5
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,269.3
hrv,2009,246
hrv,2010,208.7
hrv,2011,189.4
hrv,2012,187.9
hrv,2013,169.7
hrv,2014,167
hrv,2015,174
hrv,2016,183.8
hrv,2017,194.2
hrv,2018,205
hrv,2019,223.5
hrv,2020,232.4
hrv,2021,237.9
hrv,2022,273.5
hrv,2023,294
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,7873.3
ita,2009,7282.3
ita,2010,7027.4
ita,2011,6860.3
ita,2012,6405.6
ita,2013,5991.9
ita,2014,5767.9
ita,2015,5713.5
ita,2016,5824.3
ita,2017,5765.3
ita,2018,5843.3
ita,2019,5857.7
ita,2020,5345.3
ita,2021,6019.2
ita,2022,6232.8
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,98.5
cyp,2009,99.6
cyp,2010,100.3
cyp,2011,88.9
cyp,2012,83.8
cyp,2013,51.2
cyp,2014,48.2
cyp,2015,44.7
cyp,2016,46.6
cyp,2017,51.5
cyp,2018,55
cyp,2019,61.6
cyp,2020,63.2
cyp,2021,69.5
cyp,2022,73.9
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,85.3
lva,2009,56.6
lva,2010,54.1
lva,2011,55.8
lva,2012,67.3
lva,2013,74.4
lva,2014,80.7
lva,2015,84.7
lva,2016,100.3
lva,2017,106.5
lva,2018,122.4
lva,2019,133.3
lva,2020,131
lva,2021,130.1
lva,2022,166.4
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,144.3
ltu,2009,86.8
ltu,2010,78.3
ltu,2011,87.2
ltu,2012,98.6
ltu,2013,106.3
ltu,2014,111.5
ltu,2015,116.7
ltu,2016,128.7
ltu,2017,137.3
ltu,2018,144.1
ltu,2019,166.4
ltu,2020,164
ltu,2021,184.5
ltu,2022,215.7
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,445.1
hun,2009,327.9
hun,2010,324.5
hun,2011,326.6
hun,2012,312.2
hun,2013,312.3
hun,2014,311.3
hun,2015,340.8
hun,2016,366
hun,2017,406.7
hun,2018,439.5
hun,2019,460.1
hun,2020,425.2
hun,2021,473.3
hun,2022,498.3
hun,2023,552.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,27.3
mlt,2021,29.3
mlt,2022,30
mlt,2023,32.8
mlt,2024,35.9
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1330
nld,2009,1297
nld,2010,1236
nld,2011,1246
nld,2012,1269
nld,2013,1258
nld,2014,1149
nld,2015,1113
nld,2016,1130
nld,2017,1170
nld,2018,1256
nld,2019,1303
nld,2020,1339
nld,2021,1401
nld,2022,1463
nld,2023,1509
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1614.5
aut,2009,1529.9
aut,2010,1499.6
aut,2011,1547.9
aut,2012,1585.1
aut,2013,1571.5
aut,2014,1629.3
aut,2015,1602.7
aut,2016,1635.8
aut,2017,1675.4
aut,2018,1719.3
aut,2019,1812
aut,2020,1734.8
aut,2021,1733.5
aut,2022,1832.4
aut,2023,1894.2
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
