country,year,loner_lop_industri
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,1091055.7
eu_three,2009,1016333.9
eu_three,2010,1035897.8
eu_three,2011,1069798.1
eu_three,2012,1085064.1
eu_three,2013,1098652.5
eu_three,2014,1120283.5
eu_three,2015,1146401.5
eu_three,2016,1176486.6
eu_three,2017,1221662
eu_three,2018,1272405.7
eu_three,2019,1312323.9
eu_three,2020,1264738.8
eu_three,2021,1329613.9
eu_three,2022,1403726.6
eu_three,2023,1499972.7
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,34794.4
bel,2009,32634.1
bel,2010,32742
bel,2011,34186.4
bel,2012,34904.1
bel,2013,35184.9
bel,2014,35311.5
bel,2015,34561
bel,2016,34942.9
bel,2017,36089.8
bel,2018,36722.3
bel,2019,37914.9
bel,2020,36706.5
bel,2021,38692.9
bel,2022,41639
bel,2023,44893.4
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,3196.4
bgr,2009,3087.4
bgr,2010,3277.3
bgr,2011,3414.9
bgr,2012,3549.5
bgr,2013,3681.6
bgr,2014,3957.4
bgr,2015,4160
bgr,2016,4597.8
bgr,2017,5111.5
bgr,2018,5551.9
bgr,2019,5801
bgr,2020,5932.1
bgr,2021,6514.5
bgr,2022,7321.9
bgr,2023,8302.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,20787.3
cze,2009,17836.4
cze,2010,18788.8
cze,2011,20712.9
cze,2012,20781.8
cze,2013,20204
cze,2014,19915.7
cze,2015,21411.9
cze,2016,22955.5
cze,2017,25708
cze,2018,28549.1
cze,2019,30198.2
cze,2020,28444.6
cze,2021,31233.3
cze,2022,35185.4
cze,2023,38802.2
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,20407.4
dnk,2009,18688.3
dnk,2010,18000.5
dnk,2011,18473.8
dnk,2012,18591.1
dnk,2013,18391.6
dnk,2014,18727.1
dnk,2015,19269.4
dnk,2016,20170.5
dnk,2017,20818.7
dnk,2018,21209.9
dnk,2019,21693.1
dnk,2020,21954.9
dnk,2021,23073.4
dnk,2022,25260.4
dnk,2023,26908.5
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,361213
deu,2009,346287
deu,2010,356671
deu,2011,374927
deu,2012,388271
deu,2013,403136
deu,2014,416784
deu,2015,429712
deu,2016,440907
deu,2017,455696
deu,2018,477683
deu,2019,493856
deu,2020,474347
deu,2021,484492
deu,2022,504832
deu,2023,536104
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,1710.2
est,2009,1412.1
est,2010,1440.6
est,2011,1614.4
est,2012,1737.3
est,2013,1854.8
est,2014,1999.4
est,2015,2099.4
est,2016,2180.9
est,2017,2376.6
est,2018,2546.8
est,2019,2728.9
est,2020,2667.1
est,2021,2905.9
est,2022,3225.9
est,2023,3523.5
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,12039
irl,2009,10780.5
irl,2010,9808.9
irl,2011,9146.3
irl,2012,9128.3
irl,2013,9546
irl,2014,10167.4
irl,2015,11174.6
irl,2016,11693.2
irl,2017,12429.7
irl,2018,13519.3
irl,2019,14547.5
irl,2020,14696.7
irl,2021,15896.1
irl,2022,17209.8
irl,2023,18662.7
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,12102.7
grc,2009,11696.7
grc,2010,11519.7
grc,2011,10382.9
grc,2012,9217.8
grc,2013,8376.5
grc,2014,8483.3
grc,2015,8272.4
grc,2016,8618.8
grc,2017,8643.6
grc,2018,8915.1
grc,2019,9181.9
grc,2020,8927.3
grc,2021,9689.8
grc,2022,10263.8
grc,2023,10753.6
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,93070
esp,2009,83767
esp,2010,83689
esp,2011,81089
esp,2012,76548
esp,2013,73660
esp,2014,72923
esp,2015,74243
esp,2016,76637
esp,2017,80181
esp,2018,82747
esp,2019,85665
esp,2020,83271
esp,2021,86950
esp,2022,92327
esp,2023,98090
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,149320.8
fra,2009,144818.9
fra,2010,146165.1
fra,2011,149051.2
fra,2012,152121.4
fra,2013,153774.8
fra,2014,155761.4
fra,2015,157755.2
fra,2016,158545.6
fra,2017,161445.9
fra,2018,164122.9
fra,2019,162719.1
fra,2020,152799.7
fra,2021,162440.6
fra,2022,170583.9
fra,2023,180274.3
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,4915.8
hrv,2009,4773.3
hrv,2010,4644.3
hrv,2011,4443.5
hrv,2012,4383.5
hrv,2013,4313.4
hrv,2014,4295.6
hrv,2015,4361
hrv,2016,4468.9
hrv,2017,4696.8
hrv,2018,4944.3
hrv,2019,5079.4
hrv,2020,4950.1
hrv,2021,5238.6
hrv,2022,5856.8
hrv,2023,6646.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,153705.7
ita,2009,143382.7
ita,2010,144248.4
ita,2011,148054.1
ita,2012,146232
ita,2013,145481.3
ita,2014,146143.6
ita,2015,149416.8
ita,2016,152450
ita,2017,156863.6
ita,2018,161587.3
ita,2019,165259
ita,2020,154271.3
ita,2021,170292.4
ita,2022,178320.3
ita,2023,187342.4
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,834.5
cyp,2009,866.9
cyp,2010,936.9
cyp,2011,923.4
cyp,2012,919
cyp,2013,717.1
cyp,2014,695.3
cyp,2015,716.3
cyp,2016,755.7
cyp,2017,821.5
cyp,2018,883.5
cyp,2019,928.7
cyp,2020,893.6
cyp,2021,961.8
cyp,2022,1048.3
cyp,2023,1102.1
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1760.9
lva,2009,1297.1
lva,2010,1237.3
lva,2011,1288.5
lva,2012,1454.3
lva,2013,1536.8
lva,2014,1568.3
lva,2015,1669.4
lva,2016,1794.3
lva,2017,1925.1
lva,2018,2127.9
lva,2019,2289.8
lva,2020,2305.9
lva,2021,2534.5
lva,2022,2872.8
lva,2023,3190.1
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,2916
ltu,2009,2346.1
ltu,2010,2325.8
ltu,2011,2435.1
ltu,2012,2592.4
ltu,2013,2700.8
ltu,2014,2900
ltu,2015,3135
ltu,2016,3396.9
ltu,2017,3675.4
ltu,2018,4008.3
ltu,2019,4457.1
ltu,2020,4560.2
ltu,2021,5139.2
ltu,2022,5872.3
ltu,2023,6331.9
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,2001.6
lux,2009,1959.1
lux,2010,1947.5
lux,2011,1999.3
lux,2012,1986.8
lux,2013,2012.2
lux,2014,1966.6
lux,2015,2119.6
lux,2016,2160.2
lux,2017,2233.9
lux,2018,2294.6
lux,2019,2344.6
lux,2020,2297.5
lux,2021,2406.2
lux,2022,2527.1
lux,2023,2613.5
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,11351.5
hun,2009,9400.2
hun,2010,9876.1
hun,2011,10438.4
hun,2012,10571.6
hun,2013,10372
hun,2014,10521.7
hun,2015,11124.1
hun,2016,11891.8
hun,2017,13072.9
hun,2018,14022.6
hun,2019,15066.4
hun,2020,14024.3
hun,2021,15095.2
hun,2022,15708.1
hun,2023,18993.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,511.4
mlt,2009,442
mlt,2010,432.7
mlt,2011,452
mlt,2012,455.9
mlt,2013,477.3
mlt,2014,477.7
mlt,2015,472.5
mlt,2016,478.9
mlt,2017,506.4
mlt,2018,563.4
mlt,2019,585.5
mlt,2020,587.8
mlt,2021,613.5
mlt,2022,643.2
mlt,2023,709
mlt,2024,767.1
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,39426
nld,2009,39995
nld,2010,38085
nld,2011,39141
nld,2012,39734
nld,2013,40240
nld,2014,41534
nld,2015,41442
nld,2016,42919
nld,2017,43987
nld,2018,46117
nld,2019,48467
nld,2020,50132
nld,2021,51527
