country,year,loner_lop_info_komm
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,221072.9
eu_three,2009,220229.2
eu_three,2010,225099.7
eu_three,2011,232467.6
eu_three,2012,240268.4
eu_three,2013,244949.1
eu_three,2014,252259.7
eu_three,2015,264420
eu_three,2016,276415.2
eu_three,2017,292647.1
eu_three,2018,311991.8
eu_three,2019,332568.5
eu_three,2020,339370.2
eu_three,2021,375899.1
eu_three,2022,414279.1
eu_three,2023,451074.4
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,6598.4
bel,2009,7182.1
bel,2010,7151
bel,2011,7425.4
bel,2012,7639.7
bel,2013,7798.3
bel,2014,7814.8
bel,2015,7967.8
bel,2016,8092.7
bel,2017,8691.2
bel,2018,9089
bel,2019,9673.3
bel,2020,9654.4
bel,2021,10486.1
bel,2022,11338.4
bel,2023,12634.9
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,548.8
bgr,2009,630.8
bgr,2010,709.5
bgr,2011,820.4
bgr,2012,910.3
bgr,2013,1133
bgr,2014,1126.4
bgr,2015,1416.1
bgr,2016,1652.1
bgr,2017,1882.5
bgr,2018,2177.7
bgr,2019,2553.7
bgr,2020,2817.4
bgr,2021,3192.9
bgr,2022,4012.1
bgr,2023,4662.5
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2962.6
cze,2009,2858.4
cze,2010,2985.2
cze,2011,3082.3
cze,2012,3135.2
cze,2013,3126.8
cze,2014,3119.1
cze,2015,3306.2
cze,2016,3625.3
cze,2017,4157.4
cze,2018,4746.8
cze,2019,5217.4
cze,2020,5290.2
cze,2021,5924.8
cze,2022,7161.2
cze,2023,8051.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,6080.5
dnk,2009,6178.6
dnk,2010,6297.6
dnk,2011,6205
dnk,2012,6182.6
dnk,2013,6176.5
dnk,2014,6291.6
dnk,2015,6563
dnk,2016,6821.9
dnk,2017,6955.9
dnk,2018,7316.1
dnk,2019,7657.8
dnk,2020,7987.1
dnk,2021,8447.7
dnk,2022,9504.7
dnk,2023,9958.9
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,55573
deu,2009,55378
deu,2010,55654
deu,2011,57669
deu,2012,61986
deu,2013,63191
deu,2014,67223
deu,2015,70159
deu,2016,73631
deu,2017,77367
deu,2018,82630
deu,2019,89619
deu,2020,90862
deu,2021,100170
deu,2022,109654
deu,2023,120517
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,330.6
est,2009,337.3
est,2010,326.9
est,2011,353.2
est,2012,400.4
est,2013,433.6
est,2014,478.3
est,2015,534.7
est,2016,596.2
est,2017,690
est,2018,821.4
est,2019,960.9
est,2020,1113.3
est,2021,1294.5
est,2022,1637.5
est,2023,1801.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,3802.8
irl,2009,3824.7
irl,2010,4071.1
irl,2011,4009.6
irl,2012,4272.4
irl,2013,4802.4
irl,2014,5112.3
irl,2015,5824.3
irl,2016,6513.2
irl,2017,7251.6
irl,2018,8040.2
irl,2019,8951.2
irl,2020,9672
irl,2021,11330.9
irl,2022,12797.6
irl,2023,14266
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,2725.8
grc,2009,2663.2
grc,2010,3062.7
grc,2011,2655
grc,2012,2340.8
grc,2013,2420.3
grc,2014,2188.5
grc,2015,2240
grc,2016,2199.8
grc,2017,2313.9
grc,2018,2581.8
grc,2019,2726
grc,2020,2759.4
grc,2021,2981.3
grc,2022,3167.1
grc,2023,3378.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,18674
esp,2009,18944
esp,2010,19779
esp,2011,20153
esp,2012,19136
esp,2013,18785
esp,2014,18865
esp,2015,19691
esp,2016,19981
esp,2017,21075
esp,2018,22044
esp,2019,23938
esp,2020,24078
esp,2021,27297
esp,2022,29211
esp,2023,32061
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,52917.4
fra,2009,52172.9
fra,2010,53779.8
fra,2011,55498.2
fra,2012,57429.7
fra,2013,58421.3
fra,2014,60209.6
fra,2015,62426.7
fra,2016,65125.1
fra,2017,68810.1
fra,2018,73363.8
fra,2019,75878
fra,2020,75734
fra,2021,83378.6
fra,2022,90447.1
fra,2023,95690.7
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,813.7
hrv,2009,832
hrv,2010,775.1
hrv,2011,819.6
hrv,2012,778.3
hrv,2013,774.9
hrv,2014,816.8
hrv,2015,812.2
hrv,2016,851.8
hrv,2017,927.1
hrv,2018,1008.3
hrv,2019,1105.7
hrv,2020,1278.6
hrv,2021,1393.2
hrv,2022,1749.4
hrv,2023,2007.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,22069
ita,2009,23121.2
ita,2010,23072
ita,2011,23081.3
ita,2012,23113.1
ita,2013,23201.2
ita,2014,23008.2
ita,2015,24434.3
ita,2016,25219.4
ita,2017,25751.7
ita,2018,26616.5
ita,2019,27384.1
ita,2020,27096.6
ita,2021,29357.8
ita,2022,31199.3
ita,2023,33326.8
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,278.9
cyp,2009,292.2
cyp,2010,321.8
cyp,2011,350.8
cyp,2012,363.3
cyp,2013,364.5
cyp,2014,373.9
cyp,2015,364.6
cyp,2016,381.1
cyp,2017,411.3
cyp,2018,438.2
cyp,2019,539.5
cyp,2020,634.6
cyp,2021,728.1
cyp,2022,1129.8
cyp,2023,1195.8
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,413.7
lva,2009,363.1
lva,2010,307.1
lva,2011,330.8
lva,2012,402.2
lva,2013,464.1
lva,2014,510.2
lva,2015,586
lva,2016,679.3
lva,2017,772.5
lva,2018,949.4
lva,2019,1031.3
lva,2020,1080.6
lva,2021,1156.7
lva,2022,1346.5
lva,2023,1711.8
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,358.5
ltu,2009,363.3
ltu,2010,379
ltu,2011,427.2
ltu,2012,466.6
ltu,2013,523
ltu,2014,560.9
ltu,2015,641.4
ltu,2016,708.9
ltu,2017,773.1
ltu,2018,849.8
ltu,2019,963.4
ltu,2020,1101.6
ltu,2021,1399.8
ltu,2022,1808.2
ltu,2023,2167.8
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,906
lux,2009,949.1
lux,2010,982.3
lux,2011,1096.5
lux,2012,1128.6
lux,2013,1174.2
lux,2014,1246.9
lux,2015,1289.3
lux,2016,1340
lux,2017,1444.2
lux,2018,1496.9
lux,2019,1604.7
lux,2020,1703.4
lux,2021,1808.9
lux,2022,1932.9
lux,2023,2009
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2228.1
hun,2009,2047
hun,2010,2065.9
hun,2011,2205.3
hun,2012,2315.1
hun,2013,2318.4
hun,2014,2403.1
hun,2015,2421.7
hun,2016,2583.9
hun,2017,2727.3
hun,2018,2848.8
hun,2019,3113
hun,2020,3057.6
hun,2021,3510
hun,2022,3819.1
hun,2023,4689.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,106.3
mlt,2009,131.3
mlt,2010,124.7
mlt,2011,142.2
mlt,2012,158.6
mlt,2013,180.1
mlt,2014,194.4
mlt,2015,220.9
mlt,2016,246.2
mlt,2017,280.1
mlt,2018,334.6
mlt,2019,372.4
mlt,2020,408.2
mlt,2021,443.5
mlt,2022,493.2
mlt,2023,575.5
mlt,2024,656.7
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,14193
nld,2009,14590
nld,2010,13914
nld,2011,14291
nld,2012,14658
nld,2013,14545
nld,2014,14700
nld,2015,15427
nld,2016,16278
nld,2017,17290
nld,2018,18551
nld,2019,20065
nld,2020,21038
nld,2021,23328
nld,2022,25448
nld,2023,27501
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
