country,year,loner_lop_insp
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,22587.5
eu_three,2009,20920.9
eu_three,2010,20277.6
eu_three,2011,19395.7
eu_three,2012,18693
eu_three,2013,17885.4
eu_three,2014,17504.3
eu_three,2015,17122.2
eu_three,2016,17061.7
eu_three,2017,16931.1
eu_three,2018,16839.6
eu_three,2019,16694.7
eu_three,2020,14938.6
eu_three,2021,15425.9
eu_three,2022,15922.4
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,841
bel,2009,802.3
bel,2010,778.2
bel,2011,785.9
bel,2012,789.8
bel,2013,758.6
bel,2014,726.3
bel,2015,664.5
bel,2016,642.9
bel,2017,618.5
bel,2018,621.7
bel,2019,615.5
bel,2020,489.1
bel,2021,483.8
bel,2022,518
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,44.8
bgr,2009,41.1
bgr,2010,41
bgr,2011,42.6
bgr,2012,42.6
bgr,2013,45.6
bgr,2014,50.8
bgr,2015,50.8
bgr,2016,57.7
bgr,2017,68.7
bgr,2018,75
bgr,2019,82
bgr,2020,79.8
bgr,2021,89
bgr,2022,96.7
bgr,2023,113
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,344.3
cze,2009,294.5
cze,2010,307.4
cze,2011,309.5
cze,2012,288.1
cze,2013,270.4
cze,2014,249.8
cze,2015,259.4
cze,2016,285.5
cze,2017,298.7
cze,2018,323.9
cze,2019,333.5
cze,2020,307.2
cze,2021,331.7
cze,2022,376.4
cze,2023,399.8
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,580.3
dnk,2009,509.7
dnk,2010,438.7
dnk,2011,417.5
dnk,2012,386.3
dnk,2013,361.7
dnk,2014,369.1
dnk,2015,346.7
dnk,2016,340.1
dnk,2017,337.5
dnk,2018,330.8
dnk,2019,313.6
dnk,2020,276.9
dnk,2021,238.7
dnk,2022,242.7
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,6036
deu,2009,5736
deu,2010,5535
deu,2011,5393
deu,2012,5290
deu,2013,5107
deu,2014,5112
deu,2015,4994
deu,2016,4873
deu,2017,4738
deu,2018,4637
deu,2019,4532
deu,2020,4257
deu,2021,4252
deu,2022,4241
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,41.1
est,2009,35.7
est,2010,36.9
est,2011,40.2
est,2012,42.8
est,2013,44.3
est,2014,48.6
est,2015,49.3
est,2016,52.6
est,2017,56.9
est,2018,57.2
est,2019,59
est,2020,55.2
est,2021,56.1
est,2022,59
est,2023,62
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,317.6
irl,2009,321.2
irl,2010,243.6
irl,2011,219.6
irl,2012,212.4
irl,2013,205.5
irl,2014,208.8
irl,2015,216.8
irl,2016,216
irl,2017,212
irl,2018,215.9
irl,2019,224.2
irl,2020,185.2
irl,2021,191.4
irl,2022,198.5
irl,2023,209.1
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,321.4
grc,2009,309.3
grc,2010,311.6
grc,2011,252
grc,2012,209.8
grc,2013,178
grc,2014,153.8
grc,2015,132.2
grc,2016,149
grc,2017,144.5
grc,2018,129.5
grc,2019,143.3
grc,2020,124.1
grc,2021,135.6
grc,2022,138.1
grc,2023,138.6
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,2750
esp,2009,2429
esp,2010,2460
esp,2011,2038
esp,2012,1835
esp,2013,1663
esp,2014,1588
esp,2015,1584
esp,2016,1586
esp,2017,1571
esp,2018,1648
esp,2019,1656
esp,2020,1357
esp,2021,1561
esp,2022,1665
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,3227.7
fra,2009,3056.5
fra,2010,2953.2
fra,2011,2835.5
fra,2012,2723.8
fra,2013,2700.2
fra,2014,2654.8
fra,2015,2558
fra,2016,2432.1
fra,2017,2453.1
fra,2018,2409.8
fra,2019,2280.3
fra,2020,1961.5
fra,2021,2015.9
fra,2022,2127.4
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,116.6
hrv,2009,109.1
hrv,2010,106.9
hrv,2011,112.9
hrv,2012,101.5
hrv,2013,106.1
hrv,2014,106.1
hrv,2015,105
hrv,2016,110.7
hrv,2017,116.8
hrv,2018,126
hrv,2019,133
hrv,2020,129.9
hrv,2021,135.1
hrv,2022,131.9
hrv,2023,146.2
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,2967
ita,2009,2818.1
ita,2010,2670.9
ita,2011,2584.5
ita,2012,2463
ita,2013,2348.1
ita,2014,2263.7
ita,2015,2207.7
ita,2016,2414.2
ita,2017,2385.7
ita,2018,2368
ita,2019,2360.2
ita,2020,2037.1
ita,2021,2170.5
ita,2022,2220.3
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,31
cyp,2009,31.1
cyp,2010,29.9
cyp,2011,29.8
cyp,2012,29.5
cyp,2013,19.4
cyp,2014,18.7
cyp,2015,16.9
cyp,2016,17.3
cyp,2017,18.2
cyp,2018,15.7
cyp,2019,16
cyp,2020,12.5
cyp,2021,13
cyp,2022,14.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,45.9
lva,2009,26.8
lva,2010,22.3
lva,2011,27.2
lva,2012,31.9
lva,2013,36.9
lva,2014,40.2
lva,2015,44.2
lva,2016,48.9
lva,2017,53
lva,2018,61.2
lva,2019,67.8
lva,2020,66.4
lva,2021,80.9
lva,2022,86.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,46.5
ltu,2009,38.5
ltu,2010,35.7
ltu,2011,40.8
ltu,2012,47
ltu,2013,51.6
ltu,2014,54.3
ltu,2015,59
ltu,2016,62.9
ltu,2017,62.3
ltu,2018,68.2
ltu,2019,77.1
ltu,2020,74.4
ltu,2021,84.2
ltu,2022,84.7
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,222.3
hun,2009,181.3
hun,2010,182
hun,2011,197.6
hun,2012,185.9
hun,2013,166.8
hun,2014,170.5
hun,2015,157.4
hun,2016,156.8
hun,2017,173.6
hun,2018,177.3
hun,2019,191.2
hun,2020,167.6
hun,2021,187.6
hun,2022,197.4
hun,2023,225.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,32.7
mlt,2013,33.5
mlt,2014,32.9
mlt,2015,35.1
mlt,2016,30.4
mlt,2017,31.2
mlt,2018,48.2
mlt,2019,56.1
mlt,2020,
mlt,2021,55.4
mlt,2022,56.6
mlt,2023,60
mlt,2024,62.9
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1431
nld,2009,1339
nld,2010,1228
nld,2011,1124
nld,2012,1097
nld,2013,1024
nld,2014,932
nld,2015,866
nld,2016,871
nld,2017,827
nld,2018,755
nld,2019,724
nld,2020,710
nld,2021,697
nld,2022,714
nld,2023,718
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,720.8
aut,2009,653.8
aut,2010,646.7
aut,2011,641
aut,2012,629
aut,2013,604.1
aut,2014,592.8
aut,2015,599.3
aut,2016,579.1
aut,2017,546.4
aut,2018,544.3
aut,2019,541.1
aut,2020,485.9
aut,2021,465.1
aut,2022,484.4
aut,2023,494.9
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,472.1
pol,2009,376.4
pol,2010,454.4
