country,year,loner_lop_jur_konsult_arki
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,227828.2
eu_three,2009,230418.5
eu_three,2010,240553.1
eu_three,2011,255007
eu_three,2012,266930.8
eu_three,2013,272933
eu_three,2014,286174.4
eu_three,2015,301034.4
eu_three,2016,310183.4
eu_three,2017,331717.4
eu_three,2018,351434
eu_three,2019,369601
eu_three,2020,373344.1
eu_three,2021,404080.4
eu_three,2022,444394
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,7581
bel,2009,7628.7
bel,2010,7699
bel,2011,8140.2
bel,2012,8545.9
bel,2013,8841.6
bel,2014,8975.1
bel,2015,9223.1
bel,2016,9448.2
bel,2017,10020.1
bel,2018,10439.8
bel,2019,11024
bel,2020,11212.5
bel,2021,12247.2
bel,2022,13644.8
bel,2023,15302.9
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,284.8
bgr,2009,338.8
bgr,2010,363.2
bgr,2011,374.2
bgr,2012,414.1
bgr,2013,432.5
bgr,2014,451.6
bgr,2015,492.1
bgr,2016,541.7
bgr,2017,574.8
bgr,2018,649.7
bgr,2019,706.2
bgr,2020,712.7
bgr,2021,794
bgr,2022,904.8
bgr,2023,1088.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2300.8
cze,2009,2209.5
cze,2010,2449.7
cze,2011,2473.2
cze,2012,2514.9
cze,2013,2458.2
cze,2014,2410.4
cze,2015,2539.6
cze,2016,2731.6
cze,2017,3045
cze,2018,3458.5
cze,2019,3660.7
cze,2020,3572.5
cze,2021,3978.7
cze,2022,4679.4
cze,2023,5229.9
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,5579.4
dnk,2009,5523.2
dnk,2010,5718.8
dnk,2011,5890.9
dnk,2012,6149.3
dnk,2013,6514.8
dnk,2014,6661.9
dnk,2015,6969.5
dnk,2016,7545.7
dnk,2017,7939.4
dnk,2018,8319.7
dnk,2019,8537.6
dnk,2020,8812.8
dnk,2021,9754.8
dnk,2022,10827.8
dnk,2023,11817.8
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,61139
deu,2009,61336
deu,2010,66355
deu,2011,71937
deu,2012,78135
deu,2013,78781
deu,2014,84318
deu,2015,91946
deu,2016,92288
deu,2017,103620
deu,2018,110141
deu,2019,114806
deu,2020,117244
deu,2021,123251
deu,2022,136844
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,277
est,2009,234.7
est,2010,237.5
est,2011,254
est,2012,278.3
est,2013,294.3
est,2014,316.7
est,2015,318.4
est,2016,340
est,2017,367.6
est,2018,414
est,2019,461.5
est,2020,504.9
est,2021,564.8
est,2022,644.4
est,2023,682.5
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,3159.7
irl,2009,2827.1
irl,2010,2519.1
irl,2011,3350.6
irl,2012,3467.5
irl,2013,3689.3
irl,2014,4024.9
irl,2015,4453.2
irl,2016,4988.9
irl,2017,5540.9
irl,2018,6108.4
irl,2019,7395.1
irl,2020,7796.8
irl,2021,8811.5
irl,2022,9774.5
irl,2023,11113.7
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1570
grc,2009,1406.6
grc,2010,2136.8
grc,2011,1898.1
grc,2012,1890
grc,2013,1771
grc,2014,1805.5
grc,2015,1641.4
grc,2016,1668.7
grc,2017,1709.2
grc,2018,1833.5
grc,2019,1941.8
grc,2020,1953.1
grc,2021,2343.7
grc,2022,2556
grc,2023,2755
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,17628
esp,2009,18014
esp,2010,18195
esp,2011,18019
esp,2012,17315
esp,2013,17076
esp,2014,19593
esp,2015,20760
esp,2016,21662
esp,2017,21425
esp,2018,23158
esp,2019,25648
esp,2020,27095
esp,2021,30134
esp,2022,31910
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,58435.6
fra,2009,59775.6
fra,2010,61888
fra,2011,66189.2
fra,2012,69570.6
fra,2013,71491.2
fra,2014,74390.1
fra,2015,76742.7
fra,2016,79479.9
fra,2017,83295.8
fra,2018,87112
fra,2019,89973.4
fra,2020,86755.7
fra,2021,96576.9
fra,2022,104589.1
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1060.4
hrv,2009,1076.6
hrv,2010,1076.3
hrv,2011,1037
hrv,2012,997.1
hrv,2013,982.8
hrv,2014,974.5
hrv,2015,971.2
hrv,2016,1039.4
hrv,2017,1068.7
hrv,2018,1027.1
hrv,2019,1104.2
hrv,2020,966.7
hrv,2021,1065
hrv,2022,1267.1
hrv,2023,1507.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,13066.9
ita,2009,14307.8
ita,2010,14644.5
ita,2011,15142
ita,2012,14550.4
ita,2013,14594.8
ita,2014,15153.1
ita,2015,16367.2
ita,2016,16629.2
ita,2017,17189.4
ita,2018,18095.9
ita,2019,18666.6
ita,2020,18503.8
ita,2021,20838.3
ita,2022,22626.6
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,296.9
cyp,2009,341.7
cyp,2010,400.2
cyp,2011,455.1
cyp,2012,487.3
cyp,2013,469.5
cyp,2014,476.3
cyp,2015,504.9
cyp,2016,544.4
cyp,2017,581
cyp,2018,633.9
cyp,2019,682.9
cyp,2020,698.9
cyp,2021,745.3
cyp,2022,818.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,299.7
lva,2009,241.2
lva,2010,191.2
lva,2011,212.8
lva,2012,263.5
lva,2013,284.1
lva,2014,315.2
lva,2015,352.3
lva,2016,380.9
lva,2017,415.6
lva,2018,470.2
lva,2019,514.1
lva,2020,543.1
lva,2021,516
lva,2022,597.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,382.7
ltu,2009,318.9
ltu,2010,291.8
ltu,2011,326.7
ltu,2012,351.2
ltu,2013,363.2
ltu,2014,380.8
ltu,2015,420.2
ltu,2016,470.1
ltu,2017,529.9
ltu,2018,582.8
ltu,2019,639.6
ltu,2020,690.5
ltu,2021,815.6
ltu,2022,1057.6
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1445.7
lux,2009,1514.3
lux,2010,1586.6
lux,2011,1803.5
lux,2012,1870.4
lux,2013,2019.8
lux,2014,2234.6
lux,2015,2395.7
lux,2016,2701
lux,2017,3037.5
lux,2018,3425.9
lux,2019,3625.8
lux,2020,3955.9
lux,2021,4375.3
lux,2022,4795.9
lux,2023,4633.6
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2053.6
hun,2009,1883.5
hun,2010,2104.4
hun,2011,2019.8
hun,2012,2043.4
hun,2013,2016.4
hun,2014,1901.7
hun,2015,2030.8
hun,2016,2193
hun,2017,2368.6
hun,2018,2385.7
hun,2019,2709.3
hun,2020,2598.3
hun,2021,2874.7
hun,2022,3379.4
hun,2023,4102.6
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,74.8
mlt,2009,85.6
mlt,2010,109.4
mlt,2011,123.7
mlt,2012,127.5
mlt,2013,146.4
mlt,2014,162.5
mlt,2015,184.5
mlt,2016,224.1
mlt,2017,255.2
mlt,2018,317.8
mlt,2019,373.1
mlt,2020,410.4
mlt,2021,459
mlt,2022,500.9
mlt,2023,559.7
mlt,2024,602
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,26902
nld,2009,27200
nld,2010,26105
nld,2011,26759
nld,2012,27324
nld,2013,27314
nld,2014,27747
nld,2015,27342
nld,2016,28312
nld,2017,29222
nld,2018,30600
nld,2019,32265
nld,2020,33476
nld,2021,34642
nld,2022,37550
nld,2023,41147
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,5473.4
aut,2009,5602.6
aut,2010,5710
