country,year,loner_lop_jur_veten
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,311043.5
eu_three,2009,313977.5
eu_three,2010,326501.1
eu_three,2011,344090.8
eu_three,2012,357794.1
eu_three,2013,366324.6
eu_three,2014,382223.2
eu_three,2015,400484.4
eu_three,2016,413521
eu_three,2017,441739.3
eu_three,2018,466865.6
eu_three,2019,491145
eu_three,2020,494910.8
eu_three,2021,535261.9
eu_three,2022,587750.5
eu_three,2023,636716.8
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,9493.8
bel,2009,9365.3
bel,2010,9446.2
bel,2011,9943.2
bel,2012,10366.8
bel,2013,10741.3
bel,2014,10910.1
bel,2015,11223.2
bel,2016,11603.1
bel,2017,12269.5
bel,2018,12830.6
bel,2019,13605.9
bel,2020,13770.9
bel,2021,15077.8
bel,2022,16851.7
bel,2023,18803.3
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,485.3
bgr,2009,572.1
bgr,2010,611.5
bgr,2011,640.1
bgr,2012,696
bgr,2013,756.4
bgr,2014,811.1
bgr,2015,923
bgr,2016,1003.7
bgr,2017,1093.5
bgr,2018,1221.4
bgr,2019,1338.1
bgr,2020,1387
bgr,2021,1532.5
bgr,2022,1791.2
bgr,2023,2140
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,3503.5
cze,2009,3292.1
cze,2010,3649.3
cze,2011,3671.1
cze,2012,3757.2
cze,2013,3654
cze,2014,3603.8
cze,2015,3863.3
cze,2016,4184.5
cze,2017,4719.1
cze,2018,5344.1
cze,2019,5634.3
cze,2020,5484.3
cze,2021,6032.1
cze,2022,7057.3
cze,2023,7897.8
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,7750.4
dnk,2009,7751.2
dnk,2010,7988.9
dnk,2011,8167.5
dnk,2012,8412.5
dnk,2013,8850.7
dnk,2014,9118.9
dnk,2015,9543.9
dnk,2016,10146.9
dnk,2017,10645.3
dnk,2018,11152.7
dnk,2019,11442.1
dnk,2020,11824.2
dnk,2021,13075.8
dnk,2022,14496.6
dnk,2023,15733.2
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,76684
deu,2009,77528
deu,2010,83036
deu,2011,89668
deu,2012,97154
deu,2013,99068
deu,2014,105898
deu,2015,114897
deu,2016,116732
deu,2017,130399
deu,2018,138773
deu,2019,145151
deu,2020,148220
deu,2021,156666
deu,2022,173249
deu,2023,188221
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,413.8
est,2009,364.3
est,2010,380
est,2011,408.2
est,2012,443.9
est,2013,474.3
est,2014,507.6
est,2015,511.4
est,2016,537.7
est,2017,587.7
est,2018,647.8
est,2019,712.1
est,2020,783.7
est,2021,910.1
est,2022,1054.6
est,2023,1169.7
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,4664.5
irl,2009,4310.7
irl,2010,3382.4
irl,2011,4147.2
irl,2012,4243.3
irl,2013,4580
irl,2014,4993.6
irl,2015,5549.2
irl,2016,6288.8
irl,2017,6942.7
irl,2018,7642.3
irl,2019,9143.1
irl,2020,9616.6
irl,2021,10978.5
irl,2022,11842.7
irl,2023,13576.9
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,2562.7
grc,2009,2485.6
grc,2010,3162.1
grc,2011,2760.9
grc,2012,2647.9
grc,2013,2437.9
grc,2014,2439
grc,2015,2306.4
grc,2016,2338.1
grc,2017,2401.6
grc,2018,2553.1
grc,2019,2686.9
grc,2020,2651.8
grc,2021,3201.3
grc,2022,3487.7
grc,2023,3757.1
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,25043
esp,2009,25187
esp,2010,25553
esp,2011,25017
esp,2012,24209
esp,2013,23741
esp,2014,26366
esp,2015,27947
esp,2016,28757
esp,2017,29001
esp,2018,31162
esp,2019,34438
esp,2020,35875
esp,2021,39540
esp,2022,42948
esp,2023,49082
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,82223.5
fra,2009,84494.5
fra,2010,87379.4
fra,2011,93036.1
fra,2012,96699
fra,2013,99554.3
fra,2014,103035.7
fra,2015,105823.5
fra,2016,109015.2
fra,2017,114082.1
fra,2018,118523.3
fra,2019,122140.1
fra,2020,117929.9
fra,2021,129534.7
fra,2022,139924.3
fra,2023,144351
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1421.8
hrv,2009,1405.6
hrv,2010,1416.7
hrv,2011,1363.7
hrv,2012,1328.3
hrv,2013,1317.2
hrv,2014,1309.5
hrv,2015,1325.3
hrv,2016,1414.7
hrv,2017,1457.1
hrv,2018,1440.6
hrv,2019,1566.7
hrv,2020,1421.3
hrv,2021,1518
hrv,2022,1802.1
hrv,2023,2131.8
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,22581.6
ita,2009,24031.2
ita,2010,24551.6
ita,2011,25055
ita,2012,24291.1
ita,2013,24569.2
ita,2014,25147
ita,2015,26498.3
ita,2016,27320.7
ita,2017,28318.2
ita,2018,29673.9
ita,2019,30814
ita,2020,30160.2
ita,2021,33402.3
ita,2022,36232.6
ita,2023,39917.4
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,377.6
cyp,2009,420.7
cyp,2010,486.3
cyp,2011,537.1
cyp,2012,565.5
cyp,2013,542.6
cyp,2014,549.9
cyp,2015,584.8
cyp,2016,630.5
cyp,2017,673.7
cyp,2018,736.9
cyp,2019,805.1
cyp,2020,831.4
cyp,2021,893.5
cyp,2022,983.4
cyp,2023,996
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,443.5
lva,2009,370.8
lva,2010,325
lva,2011,360.8
lva,2012,429.6
lva,2013,459.2
lva,2014,500.9
lva,2015,560.1
lva,2016,586
lva,2017,636.7
lva,2018,709.3
lva,2019,762.7
lva,2020,815.1
lva,2021,792.1
lva,2022,904.5
lva,2023,1094.6
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,556.4
ltu,2009,474
ltu,2010,429.9
ltu,2011,480.8
ltu,2012,516.5
ltu,2013,533.3
ltu,2014,564.6
ltu,2015,617.7
ltu,2016,686.6
ltu,2017,766.8
ltu,2018,838.7
ltu,2019,920.7
ltu,2020,990.1
ltu,2021,1177.1
ltu,2022,1492.6
ltu,2023,1731.9
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1733.3
lux,2009,1812.1
lux,2010,1908.2
lux,2011,2163.5
lux,2012,2263.4
lux,2013,2425.8
lux,2014,2650.3
lux,2015,2835.7
lux,2016,3139.1
lux,2017,3501.9
lux,2018,3902
lux,2019,4115.9
lux,2020,4448.1
lux,2021,4892.1
lux,2022,5358
lux,2023,5179
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2993.3
hun,2009,2709.4
hun,2010,3029.4
hun,2011,2971.7
hun,2012,2977.5
hun,2013,2974.6
hun,2014,2881.3
hun,2015,3033.9
hun,2016,3240.7
hun,2017,3546.8
hun,2018,3660.1
hun,2019,4080.6
hun,2020,3882.8
hun,2021,4245.7
hun,2022,4844.4
hun,2023,5789.9
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,92.4
mlt,2009,109.2
mlt,2010,133.1
mlt,2011,154.2
mlt,2012,162.3
mlt,2013,188
mlt,2014,217.9
mlt,2015,253.1
mlt,2016,303.6
mlt,2017,357.1
mlt,2018,441.7
mlt,2019,507.6
mlt,2020,555
mlt,2021,598.8
mlt,2022,646.5
mlt,2023,723.3
mlt,2024,780.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,31668
nld,2009,32076
nld,2010,30930
nld,2011,31677
nld,2012,32265
nld,2013,32258
nld,2014,32947
nld,2015,32640
nld,2016,33943
nld,2017,35171
nld,2018,36899
nld,2019,39029
nld,2020,40592
nld,2021,42317
nld,2022,46147
nld,2023,50234
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
