country,year,loner_lop_klader
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,42350.9
eu_three,2009,36312.4
eu_three,2010,36016.7
eu_three,2011,36956.7
eu_three,2012,36172.8
eu_three,2013,35659.3
eu_three,2014,36051.1
eu_three,2015,36749.6
eu_three,2016,37388.5
eu_three,2017,38777.3
eu_three,2018,39946.7
eu_three,2019,40391.8
eu_three,2020,35800.1
eu_three,2021,38115.3
eu_three,2022,41356.9
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1380.6
bel,2009,1134.7
bel,2010,1090.8
bel,2011,1030.2
bel,2012,995.2
bel,2013,966
bel,2014,936.6
bel,2015,946.9
bel,2016,889.9
bel,2017,885.6
bel,2018,900.1
bel,2019,861.3
bel,2020,779.5
bel,2021,859.5
bel,2022,914.9
bel,2023,980.5
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,414.8
bgr,2009,367.9
bgr,2010,395
bgr,2011,441.8
bgr,2012,456.9
bgr,2013,447.6
bgr,2014,470.3
bgr,2015,496.9
bgr,2016,528.2
bgr,2017,557.4
bgr,2018,571.2
bgr,2019,600.9
bgr,2020,549.6
bgr,2021,531.6
bgr,2022,584.1
bgr,2023,632.8
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,652.5
cze,2009,518
cze,2010,518.7
cze,2011,545
cze,2012,519.5
cze,2013,507.8
cze,2014,489.4
cze,2015,526
cze,2016,559.9
cze,2017,608
cze,2018,654.4
cze,2019,673.8
cze,2020,625.8
cze,2021,671.3
cze,2022,749.5
cze,2023,816.9
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,322.5
dnk,2009,271.4
dnk,2010,248.9
dnk,2011,250
dnk,2012,221.3
dnk,2013,241.1
dnk,2014,244.7
dnk,2015,240.7
dnk,2016,251.6
dnk,2017,272.3
dnk,2018,279.9
dnk,2019,275.3
dnk,2020,274
dnk,2021,281.7
dnk,2022,290.9
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,5405
deu,2009,4938
deu,2010,4991
deu,2011,5296
deu,2012,5333
deu,2013,5321
deu,2014,5414
deu,2015,5477
deu,2016,5485
deu,2017,5507
deu,2018,5643
deu,2019,5589
deu,2020,5217
deu,2021,5332
deu,2022,5610
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,138.6
est,2009,107.1
est,2010,103.2
est,2011,110.4
est,2012,111.2
est,2013,113.9
est,2014,125.7
est,2015,128.6
est,2016,136.5
est,2017,144.7
est,2018,145
est,2019,146.1
est,2020,135.6
est,2021,131.2
est,2022,141.1
est,2023,152.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,138.7
irl,2009,121.3
irl,2010,88.8
irl,2011,71.1
irl,2012,68.9
irl,2013,68.2
irl,2014,69.1
irl,2015,75.7
irl,2016,81.4
irl,2017,85.5
irl,2018,86.9
irl,2019,87
irl,2020,75.8
irl,2021,88
irl,2022,96.8
irl,2023,105.7
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,865.6
grc,2009,780.2
grc,2010,677.3
grc,2011,560.2
grc,2012,477.1
grc,2013,366.2
grc,2014,350.2
grc,2015,364.7
grc,2016,349.4
grc,2017,332.5
grc,2018,344.6
grc,2019,334.2
grc,2020,264.6
grc,2021,315.1
grc,2022,309.9
grc,2023,306.2
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,4050
esp,2009,3469
esp,2010,3338
esp,2011,3375
esp,2012,3035
esp,2013,2878
esp,2014,2812
esp,2015,2897
esp,2016,3038
esp,2017,3174
esp,2018,3312
esp,2019,3439
esp,2020,2935
esp,2021,2989
esp,2022,3200
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,4592.6
fra,2009,3962.7
fra,2010,3843.6
fra,2011,3893.9
fra,2012,3900.2
fra,2013,3862.5
fra,2014,3845.1
fra,2015,3822.6
fra,2016,3887.1
fra,2017,3991.1
fra,2018,4112
fra,2019,4115.3
fra,2020,3726
fra,2021,4151.5
fra,2022,4459
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,314.3
hrv,2009,291.7
hrv,2010,271.9
hrv,2011,272.5
hrv,2012,243.1
hrv,2013,237.1
hrv,2014,257.4
hrv,2015,263.8
hrv,2016,264.8
hrv,2017,279.2
hrv,2018,288.8
hrv,2019,303.4
hrv,2020,278.8
hrv,2021,274.9
hrv,2022,302.6
hrv,2023,321.1
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,14200.1
ita,2009,12785.5
ita,2010,12499
ita,2011,12888.8
ita,2012,12641
ita,2013,12403.5
ita,2014,12540.2
ita,2015,12775.6
ita,2016,12825.7
ita,2017,13213.4
ita,2018,13714.6
ita,2019,13901.2
ita,2020,11577.7
ita,2021,12866.6
ita,2022,14357.4
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,23.9
cyp,2009,21.8
cyp,2010,19.6
cyp,2011,16.3
cyp,2012,16.8
cyp,2013,10.3
cyp,2014,10.3
cyp,2015,10.2
cyp,2016,10.7
cyp,2017,11.3
cyp,2018,12.9
cyp,2019,13.8
cyp,2020,12
cyp,2021,13.8
cyp,2022,15.4
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,124.4
lva,2009,79.2
lva,2010,79
lva,2011,82.9
lva,2012,80.7
lva,2013,83
lva,2014,80.8
lva,2015,79.8
lva,2016,82.7
lva,2017,89.4
lva,2018,100.2
lva,2019,98.8
lva,2020,93.2
lva,2021,110.4
lva,2022,120.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,280.2
ltu,2009,206.1
ltu,2010,206.9
ltu,2011,228.4
ltu,2012,236.8
ltu,2013,248
ltu,2014,257.3
ltu,2015,272.9
ltu,2016,294.1
ltu,2017,311
ltu,2018,325.3
ltu,2019,340.6
ltu,2020,331.6
ltu,2021,356.6
ltu,2022,404
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,85.4
lux,2009,80.3
lux,2010,84.7
lux,2011,90.4
lux,2012,92.3
lux,2013,89.6
lux,2014,83.2
lux,2015,81.8
lux,2016,78.5
lux,2017,76.7
lux,2018,76.1
lux,2019,81.6
lux,2020,80.9
lux,2021,84.1
lux,2022,82.9
lux,2023,96
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,434
hun,2009,347.7
hun,2010,341.5
hun,2011,375.6
hun,2012,375.2
hun,2013,353.9
hun,2014,340.7
hun,2015,329.9
hun,2016,345.5
hun,2017,377.5
hun,2018,375.5
hun,2019,376.8
hun,2020,342.4
hun,2021,341.3
hun,2022,349.1
hun,2023,405.6
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,14.4
mlt,2009,11.6
mlt,2010,11.6
mlt,2011,12.3
mlt,2012,13.1
mlt,2013,11.9
mlt,2014,10.7
mlt,2015,11.1
mlt,2016,11
mlt,2017,10.3
mlt,2018,11.2
mlt,2019,10.3
mlt,2020,10.3
mlt,2021,10.5
mlt,2022,10.3
mlt,2023,10.5
mlt,2024,10.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,682
nld,2009,640
nld,2010,639
nld,2011,653
nld,2012,663
nld,2013,671
nld,2014,673
nld,2015,661
nld,2016,672
nld,2017,680
nld,2018,743
nld,2019,756
nld,2020,759
nld,2021,785
nld,2022,800
nld,2023,820
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,715.6
aut,2009,655.4
aut,2010,663.5
aut,2011,672.2
aut,2012,676
aut,2013,693.7
aut,2014,694.4
aut,2015,685.5
aut,2016,666.5
aut,2017,646.9
aut,2018,647.7
aut,2019,632.2
aut,2020,582.4
aut,2021,590.6
aut,2022,619.3
aut,2023,637.3
aut,2024,
pol,2000,
