country,year,loner_lop_kreativ
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,36345.7
eu_three,2009,36156.1
eu_three,2010,37698.3
eu_three,2011,37613.8
eu_three,2012,37273.3
eu_three,2013,37992.8
eu_three,2014,38424
eu_three,2015,39679.1
eu_three,2016,40602.1
eu_three,2017,42247.8
eu_three,2018,43900.2
eu_three,2019,45867.7
eu_three,2020,41838.3
eu_three,2021,42979.9
eu_three,2022,49457.8
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,708.6
bel,2009,564.3
bel,2010,585.5
bel,2011,625.6
bel,2012,670.7
bel,2013,697.4
bel,2014,705.7
bel,2015,757.8
bel,2016,782.8
bel,2017,815.4
bel,2018,853.2
bel,2019,902.8
bel,2020,745.4
bel,2021,841.7
bel,2022,1037.5
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,82.2
bgr,2009,125
bgr,2010,101.9
bgr,2011,103.8
bgr,2012,113.7
bgr,2013,132.1
bgr,2014,115.4
bgr,2015,144.2
bgr,2016,159.9
bgr,2017,178.9
bgr,2018,200.1
bgr,2019,219.4
bgr,2020,191.5
bgr,2021,242.3
bgr,2022,291.3
bgr,2023,385
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,473.6
cze,2009,454.9
cze,2010,480.5
cze,2011,498.2
cze,2012,501.2
cze,2013,494.2
cze,2014,480
cze,2015,503
cze,2016,535
cze,2017,600.6
cze,2018,684.4
cze,2019,729.3
cze,2020,732.1
cze,2021,769
cze,2022,850.7
cze,2023,944
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,996.3
dnk,2009,1031.1
dnk,2010,1054.6
dnk,2011,1056.8
dnk,2012,1107.6
dnk,2013,1098.2
dnk,2014,1107.9
dnk,2015,1122.7
dnk,2016,1159.6
dnk,2017,1188.6
dnk,2018,1237.4
dnk,2019,1270.7
dnk,2020,1257
dnk,2021,1300.2
dnk,2022,1404
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,7252
deu,2009,7279
deu,2010,7370
deu,2011,7388
deu,2012,7593
deu,2013,7870
deu,2014,8106
deu,2015,8589
deu,2016,8883
deu,2017,9171
deu,2018,9428
deu,2019,9865
deu,2020,9374
deu,2021,9086
deu,2022,9811
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,107.4
est,2009,88.3
est,2010,82.1
est,2011,86
est,2012,90.2
est,2013,95.3
est,2014,102.4
est,2015,110.3
est,2016,115.4
est,2017,127.2
est,2018,143.4
est,2019,155.5
est,2020,155.7
est,2021,161.1
est,2022,183
est,2023,206.9
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,623.5
irl,2009,591
irl,2010,463.1
irl,2011,372
irl,2012,383.1
irl,2013,401.7
irl,2014,422.9
irl,2015,453.3
irl,2016,479.8
irl,2017,468.2
irl,2018,477.2
irl,2019,507.6
irl,2020,467.5
irl,2021,511.5
irl,2022,571.5
irl,2023,697.4
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,429.9
grc,2009,391.6
grc,2010,385.1
grc,2011,486.8
grc,2012,461.4
grc,2013,464.8
grc,2014,439.3
grc,2015,441.7
grc,2016,410.7
grc,2017,394.8
grc,2018,441.6
grc,2019,472.5
grc,2020,442.5
grc,2021,464.8
grc,2022,451
grc,2023,430.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,4645
esp,2009,4650
esp,2010,4929
esp,2011,4660
esp,2012,3938
esp,2013,3824
esp,2014,3596
esp,2015,3824
esp,2016,3942
esp,2017,4203
esp,2018,4351
esp,2019,4607
esp,2020,3819
esp,2021,3860
esp,2022,5259
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,9003.2
fra,2009,9078.2
fra,2010,9626
fra,2011,9577.2
fra,2012,9687.7
fra,2013,9882.1
fra,2014,10056.4
fra,2015,10084.8
fra,2016,10090.6
fra,2017,10307
fra,2018,10644.5
fra,2019,10937.2
fra,2020,9719
fra,2021,10239.8
fra,2022,12022.7
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,260.6
hrv,2009,251
hrv,2010,268.7
hrv,2011,269.1
hrv,2012,256.5
hrv,2013,273.6
hrv,2014,273.5
hrv,2015,257.3
hrv,2016,279.4
hrv,2017,298.4
hrv,2018,325.9
hrv,2019,336.9
hrv,2020,317.6
hrv,2021,320.6
hrv,2022,364.3
hrv,2023,458.2
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,3606.1
ita,2009,3755.2
ita,2010,3840.9
ita,2011,3925.8
ita,2012,3830.7
ita,2013,3960.7
ita,2014,3993.1
ita,2015,4084.5
ita,2016,4122.5
ita,2017,4235.2
ita,2018,4269.1
ita,2019,4320.6
ita,2020,3406.3
ita,2021,3536.7
ita,2022,4233.4
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,32.8
cyp,2009,33.4
cyp,2010,33.9
cyp,2011,38.4
cyp,2012,38.6
cyp,2013,32.9
cyp,2014,31.7
cyp,2015,32.6
cyp,2016,35.4
cyp,2017,38.1
cyp,2018,48.9
cyp,2019,69
cyp,2020,63.5
cyp,2021,69.8
cyp,2022,80
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,254
lva,2009,151.4
lva,2010,120.4
lva,2011,123.5
lva,2012,139
lva,2013,149
lva,2014,163.5
lva,2015,182.1
lva,2016,193.5
lva,2017,207.1
lva,2018,228
lva,2019,232.3
lva,2020,202
lva,2021,189.8
lva,2022,236.8
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,161.3
ltu,2009,137.3
ltu,2010,124.1
ltu,2011,129.6
ltu,2012,132.9
ltu,2013,141.7
ltu,2014,154.6
ltu,2015,174.6
ltu,2016,188.6
ltu,2017,200.3
ltu,2018,213.7
ltu,2019,232.7
ltu,2020,262
ltu,2021,268.1
ltu,2022,318.5
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,83.1
lux,2009,91.7
lux,2010,93.3
lux,2011,96.8
lux,2012,101.4
lux,2013,112.3
lux,2014,116.1
lux,2015,120.9
lux,2016,117.8
lux,2017,121.6
lux,2018,126.1
lux,2019,140.3
lux,2020,146.4
lux,2021,152.1
lux,2022,168.9
lux,2023,185
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,505.1
hun,2009,438
hun,2010,513.2
hun,2011,492.1
hun,2012,480.4
hun,2013,470.8
hun,2014,470.7
hun,2015,500.9
hun,2016,531.8
hun,2017,619.6
hun,2018,633
hun,2019,677
hun,2020,600.9
hun,2021,675.6
hun,2022,762.1
hun,2023,896.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,73.3
mlt,2009,84.9
mlt,2010,92.4
mlt,2011,96.3
mlt,2012,101.8
mlt,2013,112.5
mlt,2014,150.5
mlt,2015,194.4
mlt,2016,224.1
mlt,2017,255
mlt,2018,310.5
mlt,2019,343.2
mlt,2020,414.1
mlt,2021,447.2
mlt,2022,476.5
mlt,2023,476.4
mlt,2024,494.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1980
nld,2009,2033
nld,2010,2033
nld,2011,2045
nld,2012,2053
nld,2013,1976
nld,2014,2006
nld,2015,1979
nld,2016,2058
nld,2017,2140
nld,2018,2243
nld,2019,2390
nld,2020,2383
nld,2021,2418
nld,2022,2631
nld,2023,2889
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1005.8
aut,2009,1066.1
aut,2010,1097.1
aut,2011,1101.4
aut,2012,1143.4
aut,2013,1159.4
aut,2014,1172.5
aut,2015,1195.5
aut,2016,1214.5
aut,2017,1256.7
aut,2018,1290.9
aut,2019,1331.7
aut,2020,1256.4
aut,2021,1287.3
aut,2022,1466.2
