country,year,loner_lop_maskin_rep
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,45382.3
eu_three,2009,47544.2
eu_three,2010,49250
eu_three,2011,50887
eu_three,2012,52015.5
eu_three,2013,52305
eu_three,2014,52698.7
eu_three,2015,54361.5
eu_three,2016,55222.8
eu_three,2017,57019
eu_three,2018,59277.2
eu_three,2019,61937.8
eu_three,2020,58702.4
eu_three,2021,61907.8
eu_three,2022,65647.2
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,493.8
bel,2009,1092
bel,2010,1056.5
bel,2011,1113
bel,2012,1142.3
bel,2013,1207.2
bel,2014,1249.9
bel,2015,1289.6
bel,2016,1307.5
bel,2017,1449
bel,2018,1474.3
bel,2019,1652.9
bel,2020,1437.7
bel,2021,1488
bel,2022,1733.8
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,112.2
bgr,2009,98.1
bgr,2010,97.6
bgr,2011,112.4
bgr,2012,115.2
bgr,2013,119.9
bgr,2014,127.4
bgr,2015,140.2
bgr,2016,159
bgr,2017,171.3
bgr,2018,191.5
bgr,2019,224.4
bgr,2020,215.6
bgr,2021,225
bgr,2022,286.3
bgr,2023,304.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,902.2
cze,2009,836.7
cze,2010,856.7
cze,2011,915.7
cze,2012,890.9
cze,2013,838.3
cze,2014,801.9
cze,2015,782.6
cze,2016,823.8
cze,2017,907.7
cze,2018,964.2
cze,2019,1091.5
cze,2020,1065.3
cze,2021,1185.8
cze,2022,1353.6
cze,2023,1521.6
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,497.9
dnk,2009,465
dnk,2010,431.9
dnk,2011,534.5
dnk,2012,589.7
dnk,2013,595.5
dnk,2014,578
dnk,2015,614.7
dnk,2016,608.9
dnk,2017,646.7
dnk,2018,677.3
dnk,2019,702
dnk,2020,706.7
dnk,2021,746.8
dnk,2022,869.6
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,10960
deu,2009,12029
deu,2010,12337
deu,2011,12854
deu,2012,12946
deu,2013,13334
deu,2014,13289
deu,2015,13497
deu,2016,13839
deu,2017,13780
deu,2018,14063
deu,2019,14922
deu,2020,14736
deu,2021,15331
deu,2022,15758
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,62.6
est,2009,57.6
est,2010,59.3
est,2011,67.9
est,2012,76.9
est,2013,88
est,2014,94.7
est,2015,101
est,2016,103.6
est,2017,103.6
est,2018,125.6
est,2019,160.7
est,2020,146.8
est,2021,160.7
est,2022,175.8
est,2023,229.6
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,134.3
irl,2009,129.8
irl,2010,180.7
irl,2011,204.2
irl,2012,214.2
irl,2013,222.7
irl,2014,249.3
irl,2015,255
irl,2016,259.6
irl,2017,281.1
irl,2018,302.8
irl,2019,331.9
irl,2020,331.2
irl,2021,373.1
irl,2022,400.7
irl,2023,476.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,235.5
grc,2009,176.4
grc,2010,171.8
grc,2011,185.2
grc,2012,176.1
grc,2013,182.3
grc,2014,231
grc,2015,205.8
grc,2016,209.3
grc,2017,185.6
grc,2018,198.9
grc,2019,215.5
grc,2020,205.9
grc,2021,248.7
grc,2022,239.5
grc,2023,278.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,3210
esp,2009,3480
esp,2010,3518
esp,2011,3547
esp,2012,3359
esp,2013,3236
esp,2014,3484
esp,2015,3826
esp,2016,4070
esp,2017,4247
esp,2018,4447
esp,2019,4504
esp,2020,3885
esp,2021,3801
esp,2022,4004
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,16415.9
fra,2009,17517.1
fra,2010,17994.6
fra,2011,18440.2
fra,2012,18981.3
fra,2013,18884.2
fra,2014,19094.1
fra,2015,19508.5
fra,2016,19554.5
fra,2017,20069.7
fra,2018,20970.1
fra,2019,21135.4
fra,2020,19903
fra,2021,21283.9
fra,2022,22333.3
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,109.6
hrv,2009,115.4
hrv,2010,117.9
hrv,2011,105.1
hrv,2012,106.7
hrv,2013,158.1
hrv,2014,155
hrv,2015,166.5
hrv,2016,175.8
hrv,2017,202.7
hrv,2018,211.5
hrv,2019,331.9
hrv,2020,271.4
hrv,2021,299.6
hrv,2022,358.2
hrv,2023,425.7
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,4545.9
ita,2009,4235.4
ita,2010,4307.6
ita,2011,4348.1
ita,2012,4505.9
ita,2013,4453
ita,2014,4296.3
ita,2015,4477
ita,2016,4417.5
ita,2017,4631.4
ita,2018,4682.8
ita,2019,5110.5
ita,2020,4422.9
ita,2021,5015.5
ita,2022,5398.9
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,9.5
cyp,2009,11.8
cyp,2010,16.5
cyp,2011,18
cyp,2012,13.5
cyp,2013,17.9
cyp,2014,22.5
cyp,2015,36.7
cyp,2016,55.4
cyp,2017,72.2
cyp,2018,83.6
cyp,2019,82.3
cyp,2020,71.8
cyp,2021,76.9
cyp,2022,84.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,75.8
lva,2009,64.7
lva,2010,59.7
lva,2011,58.6
lva,2012,72.2
lva,2013,76.9
lva,2014,67.4
lva,2015,67.2
lva,2016,70.3
lva,2017,77
lva,2018,58.7
lva,2019,69.9
lva,2020,69.2
lva,2021,77.3
lva,2022,102.2
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,117.8
ltu,2009,108.3
ltu,2010,98.3
ltu,2011,114.5
ltu,2012,122.4
ltu,2013,133.9
ltu,2014,147
ltu,2015,151.1
ltu,2016,155.7
ltu,2017,177.3
ltu,2018,219.5
ltu,2019,278.1
ltu,2020,267.4
ltu,2021,267.9
ltu,2022,317.5
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,236.7
hun,2009,284.7
hun,2010,297.6
hun,2011,298.9
hun,2012,301.8
hun,2013,291.8
hun,2014,251.8
hun,2015,261.3
hun,2016,294.7
hun,2017,331.3
hun,2018,359.3
hun,2019,413.9
hun,2020,395.3
hun,2021,422
hun,2022,459.9
hun,2023,546
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,97.9
mlt,2009,50.1
mlt,2010,30.1
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,37.2
mlt,2016,37.3
mlt,2017,41.1
mlt,2018,
mlt,2019,50.9
mlt,2020,49.5
mlt,2021,53.8
mlt,2022,52.3
mlt,2023,59.9
mlt,2024,75.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1814
nld,2009,1840
nld,2010,1811
nld,2011,1904
nld,2012,1978
nld,2013,1972
nld,2014,2021
nld,2015,2118
nld,2016,2214
nld,2017,2365
nld,2018,2508
nld,2019,2603
nld,2020,2579
nld,2021,2571
nld,2022,2677
nld,2023,2920
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,859.5
aut,2009,873.7
aut,2010,1167
aut,2011,1211.7
aut,2012,1282.8
aut,2013,1302.7
aut,2014,1310.4
aut,2015,1303.2
aut,2016,1353.3
aut,2017,1399.5
aut,2018,1482.1
aut,2019,1572.4
aut,2020,1575.8
aut,2021,1645.6
aut,2022,1742.7
aut,2023,1911.4
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
