country,year,loner_lop_med_verk
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,56912.2
eu_three,2009,59349.8
eu_three,2010,62040.2
eu_three,2011,63855
eu_three,2012,65459.6
eu_three,2013,66081.1
eu_three,2014,67603.2
eu_three,2015,68797.3
eu_three,2016,70445.2
eu_three,2017,72893.6
eu_three,2018,75003.1
eu_three,2019,77305.4
eu_three,2020,77268.1
eu_three,2021,79895.2
eu_three,2022,84115.4
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1871.1
bel,2009,2124.7
bel,2010,2187.8
bel,2011,2259.8
bel,2012,2329.4
bel,2013,2402.6
bel,2014,2500.6
bel,2015,2464.7
bel,2016,2510.2
bel,2017,2558.5
bel,2018,2604.2
bel,2019,2709.5
bel,2020,2712.3
bel,2021,2927.1
bel,2022,3224.3
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,43.4
bgr,2009,51.9
bgr,2010,61.8
bgr,2011,72.4
bgr,2012,96.8
bgr,2013,147.5
bgr,2014,10.2
bgr,2015,58.5
bgr,2016,111.3
bgr,2017,134.5
bgr,2018,135.5
bgr,2019,147.4
bgr,2020,183.5
bgr,2021,198.9
bgr,2022,192.6
bgr,2023,225.8
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,319.5
cze,2009,310.3
cze,2010,323.1
cze,2011,314.2
cze,2012,316.5
cze,2013,317
cze,2014,299.1
cze,2015,273.8
cze,2016,278.9
cze,2017,296.7
cze,2018,356
cze,2019,340.6
cze,2020,330.5
cze,2021,368.4
cze,2022,429.9
cze,2023,467
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1701
dnk,2009,1756.6
dnk,2010,1870.3
dnk,2011,1933.9
dnk,2012,1952.2
dnk,2013,1940.6
dnk,2014,1901.1
dnk,2015,1889.7
dnk,2016,1982.5
dnk,2017,2043.1
dnk,2018,2088.4
dnk,2019,2168
dnk,2020,2209.4
dnk,2021,2301.1
dnk,2022,2421.8
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,22542
deu,2009,23554
deu,2010,24290
deu,2011,24871
deu,2012,25513
deu,2013,25704
deu,2014,26227
deu,2015,26674
deu,2016,27633
deu,2017,28582
deu,2018,29369
deu,2019,30337
deu,2020,30868
deu,2021,30888
deu,2022,31531
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,50
est,2009,51.2
est,2010,51.4
est,2011,55.1
est,2012,59.6
est,2013,63.1
est,2014,65.9
est,2015,68.5
est,2016,71.2
est,2017,78
est,2018,84
est,2019,84.6
est,2020,86.9
est,2021,91.9
est,2022,99.7
est,2023,109.9
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,235
irl,2009,263.5
irl,2010,461.7
irl,2011,514.3
irl,2012,530.7
irl,2013,565.3
irl,2014,534.6
irl,2015,546.8
irl,2016,555.1
irl,2017,572.6
irl,2018,605.1
irl,2019,600.5
irl,2020,580.7
irl,2021,611.4
irl,2022,841.9
irl,2023,692.8
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,657
grc,2009,784.3
grc,2010,766.8
grc,2011,571.4
grc,2012,723.7
grc,2013,825.8
grc,2014,822.1
grc,2015,777.6
grc,2016,782.8
grc,2017,782
grc,2018,793
grc,2019,847.7
grc,2020,917.2
grc,2021,935.9
grc,2022,924
grc,2023,956
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,3891
esp,2009,4064
esp,2010,4389
esp,2011,4500
esp,2012,4441
esp,2013,4494
esp,2014,4568
esp,2015,4773
esp,2016,4949
esp,2017,5280
esp,2018,5472
esp,2019,5790
esp,2020,5602
esp,2021,5686
esp,2022,6350
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,11687.7
fra,2009,12125.1
fra,2010,12558.2
fra,2011,12981.5
fra,2012,13282.3
fra,2013,13647
fra,2014,14095.8
fra,2015,14405.3
fra,2016,14730
fra,2017,15073.3
fra,2018,15221.9
fra,2019,15506
fra,2020,14875.4
fra,2021,16168.5
fra,2022,17738.4
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,127.5
hrv,2009,142.7
hrv,2010,143.8
hrv,2011,152.5
hrv,2012,152.6
hrv,2013,156.7
hrv,2014,163.4
hrv,2015,176.2
hrv,2016,183.8
hrv,2017,190.8
hrv,2018,212.2
hrv,2019,222.7
hrv,2020,212.7
hrv,2021,234.1
hrv,2022,242
hrv,2023,582.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,3230.2
ita,2009,3504.2
ita,2010,3532.4
ita,2011,3636
ita,2012,3596.8
ita,2013,3691.4
ita,2014,4050.5
ita,2015,4107.2
ita,2016,4073.6
ita,2017,4107
ita,2018,4287.7
ita,2019,4217.2
ita,2020,4045
ita,2021,4318.5
ita,2022,4349
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,58.8
cyp,2009,65
cyp,2010,71.4
cyp,2011,70.3
cyp,2012,76
cyp,2013,68.7
cyp,2014,68.6
cyp,2015,67.9
cyp,2016,67.2
cyp,2017,70.5
cyp,2018,76.5
cyp,2019,83.3
cyp,2020,86.1
cyp,2021,91.3
cyp,2022,97.7
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,44
lva,2009,40.8
lva,2010,29.3
lva,2011,34.6
lva,2012,37.6
lva,2013,43.7
lva,2014,42.7
lva,2015,43.9
lva,2016,47.1
lva,2017,52.9
lva,2018,60
lva,2019,60.9
lva,2020,61.9
lva,2021,67.1
lva,2022,73.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,28.8
ltu,2009,25.5
ltu,2010,26.2
ltu,2011,32.4
ltu,2012,35.4
ltu,2013,39.2
ltu,2014,46.1
ltu,2015,40.9
ltu,2016,44.6
ltu,2017,45.9
ltu,2018,52.6
ltu,2019,59.7
ltu,2020,66.2
ltu,2021,59.3
ltu,2022,61.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,118.7
lux,2009,132.1
lux,2010,142.1
lux,2011,152
lux,2012,155.9
lux,2013,164.5
lux,2014,168.5
lux,2015,171.6
lux,2016,168
lux,2017,175.2
lux,2018,190.3
lux,2019,196.8
lux,2020,205.1
lux,2021,220.6
lux,2022,238.7
lux,2023,263.8
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,354
hun,2009,314.9
hun,2010,345.1
hun,2011,346.4
hun,2012,348.6
hun,2013,361
hun,2014,324.6
hun,2015,373.2
hun,2016,377.2
hun,2017,421
hun,2018,457.6
hun,2019,562.1
hun,2020,499.8
hun,2021,542.2
hun,2022,554.6
hun,2023,791.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,17
mlt,2010,
mlt,2011,18.5
mlt,2012,18.7
mlt,2013,19.2
mlt,2014,19.8
mlt,2015,20.2
mlt,2016,
mlt,2017,20.6
mlt,2018,22.2
mlt,2019,25.3
mlt,2020,27.6
mlt,2021,29.9
mlt,2022,31.8
mlt,2023,33.4
mlt,2024,32.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2670
nld,2009,2857
nld,2010,2956
nld,2011,3083
nld,2012,2979
nld,2013,2897
nld,2014,2949
nld,2015,2866
nld,2016,2978
nld,2017,3102
nld,2018,3247
nld,2019,3380
nld,2020,3528
nld,2021,3634
nld,2022,3792
nld,2023,4059
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1566.9
aut,2009,1575
aut,2010,1618.2
aut,2011,1653
aut,2012,1739.1
aut,2013,1819.7
aut,2014,1811.6
aut,2015,1876.8
aut,2016,1962.2
aut,2017,2146
aut,2018,2258.7
aut,2019,2365.5
aut,2020,2397.2
aut,2021,2469.1
aut,2022,2624.5
