country,year,loner_lop_met
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,148891.2
eu_three,2009,131277.9
eu_three,2010,135194.6
eu_three,2011,141616
eu_three,2012,142869.7
eu_three,2013,142803.6
eu_three,2014,144785.1
eu_three,2015,147570.6
eu_three,2016,150659.2
eu_three,2017,157570.8
eu_three,2018,164397.8
eu_three,2019,167586
eu_three,2020,157512.8
eu_three,2021,169028
eu_three,2022,177104.6
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,5620.8
bel,2009,4759
bel,2010,4804.9
bel,2011,4989.7
bel,2012,5088.9
bel,2013,4954.1
bel,2014,4778.9
bel,2015,4608.5
bel,2016,4715.1
bel,2017,4809.2
bel,2018,4746.3
bel,2019,4857.4
bel,2020,4575
bel,2021,4909.5
bel,2022,4990.3
bel,2023,5336
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,368
bgr,2009,308.8
bgr,2010,306.7
bgr,2011,327.4
bgr,2012,339.9
bgr,2013,353
bgr,2014,396.3
bgr,2015,443
bgr,2016,522.2
bgr,2017,609.1
bgr,2018,631.7
bgr,2019,702.7
bgr,2020,633.4
bgr,2021,708.6
bgr,2022,839.4
bgr,2023,1056.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,3006.9
cze,2009,2502
cze,2010,2680.8
cze,2011,3057.9
cze,2012,3062
cze,2013,3025.3
cze,2014,3028.8
cze,2015,3272.2
cze,2016,3413.9
cze,2017,3826.4
cze,2018,4210
cze,2019,4378.6
cze,2020,4091.2
cze,2021,4586.3
cze,2022,5140.3
cze,2023,5528.2
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2366.1
dnk,2009,2022.7
dnk,2010,1899.6
dnk,2011,1948.4
dnk,2012,1987.7
dnk,2013,2015.1
dnk,2014,2094.6
dnk,2015,2134.6
dnk,2016,2229.9
dnk,2017,2335.9
dnk,2018,2387.1
dnk,2019,2363.4
dnk,2020,2318.1
dnk,2021,2390.2
dnk,2022,2541.7
dnk,2023,2669.5
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,48368
deu,2009,43068
deu,2010,45322
deu,2011,48869
deu,2012,50863
deu,2013,52042
deu,2014,53625
deu,2015,54809
deu,2016,55864
deu,2017,58016
deu,2018,60618
deu,2019,61543
deu,2020,57065
deu,2021,59162
deu,2022,60532
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,208
est,2009,165.9
est,2010,157.8
est,2011,187.5
est,2012,211.2
est,2013,220.5
est,2014,238.1
est,2015,248.2
est,2016,260.3
est,2017,297.9
est,2018,308.7
est,2019,343.2
est,2020,318.2
est,2021,369.4
est,2022,410.8
est,2023,471.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,765
irl,2009,599.3
irl,2010,537.8
irl,2011,532
irl,2012,530.5
irl,2013,561
irl,2014,625.2
irl,2015,651.6
irl,2016,710
irl,2017,754.3
irl,2018,817.1
irl,2019,852.8
irl,2020,826
irl,2021,916.7
irl,2022,983.4
irl,2023,1072.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1270.6
grc,2009,1282.8
grc,2010,1378.1
grc,2011,1177.8
grc,2012,1027.8
grc,2013,842.4
grc,2014,873.9
grc,2015,815.8
grc,2016,823.7
grc,2017,854.3
grc,2018,916.3
grc,2019,976.4
grc,2020,978.3
grc,2021,1058
grc,2022,1118.6
grc,2023,1201.8
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,14074
esp,2009,11466
esp,2010,11294
esp,2011,10876
esp,2012,9632
esp,2013,8897
esp,2014,8526
esp,2015,8638
esp,2016,8997
esp,2017,9685
esp,2018,10064
esp,2019,10240
esp,2020,10237
esp,2021,10874
esp,2022,11473
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,18615.9
fra,2009,18070.1
fra,2010,18205
fra,2011,18411.8
fra,2012,18380.3
fra,2013,18629.8
fra,2014,18652.7
fra,2015,18608
fra,2016,18527.1
fra,2017,19040
fra,2018,19010.2
fra,2019,18560.8
fra,2020,16818.7
fra,2021,18145.1
fra,2022,19058
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,505
hrv,2009,477.1
hrv,2010,430.3
hrv,2011,435.7
hrv,2012,431.3
hrv,2013,407
hrv,2014,429.2
hrv,2015,446.1
hrv,2016,493
hrv,2017,547.8
hrv,2018,602.4
hrv,2019,616.1
hrv,2020,606.6
hrv,2021,666
hrv,2022,755.8
hrv,2023,868.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,24087.2
ita,2009,21445.9
ita,2010,21697.6
ita,2011,22393.7
ita,2012,21984.1
ita,2013,21541.9
ita,2014,21657.5
ita,2015,22109.2
ita,2016,22376.8
ita,2017,23067.3
ita,2018,24763
ita,2019,25254.5
ita,2020,23205.6
ita,2021,26618.1
ita,2022,27875.1
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,83.7
cyp,2009,86.8
cyp,2010,89
cyp,2011,86.2
cyp,2012,87.6
cyp,2013,56.5
cyp,2014,54.1
cyp,2015,53.4
cyp,2016,55.1
cyp,2017,62.7
cyp,2018,67.2
cyp,2019,74.1
cyp,2020,70.4
cyp,2021,78.2
cyp,2022,83.7
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,173.4
lva,2009,107.2
lva,2010,103.3
lva,2011,115.5
lva,2012,148.5
lva,2013,152.6
lva,2014,143.3
lva,2015,151.3
lva,2016,158.7
lva,2017,170.3
lva,2018,193.1
lva,2019,215.1
lva,2020,223.7
lva,2021,239.8
lva,2022,272
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,205
ltu,2009,123.1
ltu,2010,122.9
ltu,2011,148.6
ltu,2012,164.4
ltu,2013,164.2
ltu,2014,177.7
ltu,2015,213.2
ltu,2016,242.2
ltu,2017,282
ltu,2018,302.8
ltu,2019,346
ltu,2020,344.1
ltu,2021,407.5
ltu,2022,466.8
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1317.2
hun,2009,1014.2
hun,2010,1019.2
hun,2011,1105.6
hun,2012,1141.8
hun,2013,1134.2
hun,2014,1140.8
hun,2015,1239.4
hun,2016,1300.3
hun,2017,1435.9
hun,2018,1562.6
hun,2019,1668
hun,2020,1548.7
hun,2021,1681.1
hun,2022,1670.8
hun,2023,1979.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,19.6
mlt,2009,18.8
mlt,2010,18.9
mlt,2011,22.9
mlt,2012,16.7
mlt,2013,18.8
mlt,2014,20
mlt,2015,23.6
mlt,2016,26.1
mlt,2017,22.4
mlt,2018,29.8
mlt,2019,29.3
mlt,2020,31.6
mlt,2021,33.9
mlt,2022,35.1
mlt,2023,36.9
mlt,2024,41.4
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,5422
nld,2009,5102
nld,2010,5014
nld,2011,5167
nld,2012,5214
nld,2013,5160
nld,2014,5284
nld,2015,5384
nld,2016,5545
nld,2017,5683
nld,2018,5971
nld,2019,6252
nld,2020,6392
nld,2021,6521
nld,2022,6842
nld,2023,7141
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4757.3
aut,2009,4705.5
aut,2010,4687.3
aut,2011,5076
aut,2012,5348.5
aut,2013,5572.5
aut,2014,5668.8
aut,2015,5945.8
aut,2016,6029.5
aut,2017,6245.1
aut,2018,6618.3
aut,2019,6857.1
aut,2020,6588.3
aut,2021,6997.6
