country,year,loner_lop_met_ej_maskin
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,107768.7
eu_three,2009,95585.5
eu_three,2010,98085.6
eu_three,2011,102660.9
eu_three,2012,104008.9
eu_three,2013,104349.9
eu_three,2014,106013.2
eu_three,2015,108445.3
eu_three,2016,111129.3
eu_three,2017,116542
eu_three,2018,121879.9
eu_three,2019,124283.3
eu_three,2020,117667.9
eu_three,2021,126526.6
eu_three,2022,132837
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3141.6
bel,2009,2619.4
bel,2010,2642.4
bel,2011,2781.7
bel,2012,2831.3
bel,2013,2748.9
bel,2014,2634.2
bel,2015,2553
bel,2016,2676.7
bel,2017,2738.9
bel,2018,2601.6
bel,2019,2637.7
bel,2020,2494.3
bel,2021,2682.8
bel,2022,2667.3
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,249.1
bgr,2009,209.4
bgr,2010,208.2
bgr,2011,228.9
bgr,2012,241.7
bgr,2013,250.9
bgr,2014,286.1
bgr,2015,327.9
bgr,2016,389
bgr,2017,461.7
bgr,2018,472.1
bgr,2019,501.8
bgr,2020,459.4
bgr,2021,511.9
bgr,2022,612.6
bgr,2023,796
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2123.3
cze,2009,1752.8
cze,2010,1933.6
cze,2011,2197.2
cze,2012,2250.1
cze,2013,2222
cze,2014,2237.5
cze,2015,2452.3
cze,2016,2560.6
cze,2017,2915
cze,2018,3205.8
cze,2019,3371.4
cze,2020,3140.4
cze,2021,3541.7
cze,2022,3966.1
cze,2023,4288.7
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2080.7
dnk,2009,1799.7
dnk,2010,1685.7
dnk,2011,1711.7
dnk,2012,1740
dnk,2013,1771.4
dnk,2014,1831.7
dnk,2015,1860.6
dnk,2016,1959.7
dnk,2017,2044.2
dnk,2018,2079.1
dnk,2019,2055.3
dnk,2020,2022.9
dnk,2021,2069.3
dnk,2022,2187.8
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,34925
deu,2009,31127
deu,2010,32936
deu,2011,35665
deu,2012,37214
deu,2013,38067
deu,2014,39286
deu,2015,40187
deu,2016,40970
deu,2017,42642
deu,2018,44717
deu,2019,45390
deu,2020,42266
deu,2021,44037
deu,2022,44998
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,199.4
est,2009,159.6
est,2010,151.7
est,2011,181.5
est,2012,205.8
est,2013,214.8
est,2014,230.7
est,2015,239.2
est,2016,246.9
est,2017,282.8
est,2018,292.9
est,2019,325.9
est,2020,298.6
est,2021,345.2
est,2022,383.8
est,2023,442.6
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,610.7
irl,2009,490.2
irl,2010,423.9
irl,2011,412.5
irl,2012,414.9
irl,2013,434.3
irl,2014,481.1
irl,2015,511.2
irl,2016,558.4
irl,2017,591.6
irl,2018,641.9
irl,2019,674.8
irl,2020,646.7
irl,2021,720.1
irl,2022,773
irl,2023,849.4
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,815.3
grc,2009,841.3
grc,2010,943.6
grc,2011,753.7
grc,2012,664.7
grc,2013,539.1
grc,2014,571.7
grc,2015,534.3
grc,2016,540.1
grc,2017,555.7
grc,2018,569.1
grc,2019,584.2
grc,2020,584.9
grc,2021,627.3
grc,2022,652.7
grc,2023,696.8
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,10111
esp,2009,8043
esp,2010,7831
esp,2011,7429
esp,2012,6553
esp,2013,6114
esp,2014,5909
esp,2015,6102
esp,2016,6386
esp,2017,6984
esp,2018,7234
esp,2019,7336
esp,2020,7481
esp,2021,7788
esp,2022,8371
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,14366.6
fra,2009,14154
fra,2010,14296.9
fra,2011,14346.1
fra,2012,14357.4
fra,2013,14604
fra,2014,14614.4
fra,2015,14559.1
fra,2016,14557.3
fra,2017,14993.3
fra,2018,14943.7
fra,2019,14668.3
fra,2020,13356.3
fra,2021,14262.4
fra,2022,14971
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,411.8
hrv,2009,388.7
hrv,2010,349.9
hrv,2011,350.6
hrv,2012,365.8
hrv,2013,353.3
hrv,2014,373.3
hrv,2015,394.6
hrv,2016,446
hrv,2017,490.8
hrv,2018,539
hrv,2019,548.4
hrv,2020,542.9
hrv,2021,595
hrv,2022,668.5
hrv,2023,779.7
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,18021.9
ita,2009,16214.1
ita,2010,16257
ita,2011,16794.7
ita,2012,16500.6
ita,2013,16217.6
ita,2014,16265.7
ita,2015,16678.1
ita,2016,16955.1
ita,2017,17469.4
ita,2018,19018.7
ita,2019,19368.9
ita,2020,18145.3
ita,2021,20894
ita,2022,22091.3
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,74.8
cyp,2009,78.1
cyp,2010,77.3
cyp,2011,77.7
cyp,2012,79.1
cyp,2013,48.8
cyp,2014,47.1
cyp,2015,45.7
cyp,2016,47.9
cyp,2017,54.1
cyp,2018,55.3
cyp,2019,62.1
cyp,2020,58.7
cyp,2021,65.6
cyp,2022,71
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,119.8
lva,2009,66.1
lva,2010,64.7
lva,2011,81.9
lva,2012,102.9
lva,2013,118.1
lva,2014,129.4
lva,2015,132.5
lva,2016,146.1
lva,2017,159.1
lva,2018,181.7
lva,2019,196.1
lva,2020,204.3
lva,2021,225
lva,2022,256.2
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,187.8
ltu,2009,111
ltu,2010,110.7
ltu,2011,134.6
ltu,2012,147.8
ltu,2013,148.2
ltu,2014,167.7
ltu,2015,203.2
ltu,2016,231.7
ltu,2017,270.8
ltu,2018,290.9
ltu,2019,337.6
ltu,2020,335.7
ltu,2021,397.8
ltu,2022,454.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,919
hun,2009,728.9
hun,2010,718.6
hun,2011,805.5
hun,2012,843.5
hun,2013,844
hun,2014,836.5
hun,2015,920.3
hun,2016,956.5
hun,2017,1050.1
hun,2018,1165.9
hun,2019,1247.3
hun,2020,1181.2
hun,2021,1292.6
hun,2022,1308
hun,2023,1608
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,18.5
mlt,2011,22.7
mlt,2012,16.5
mlt,2013,18.6
mlt,2014,19.9
mlt,2015,23.5
mlt,2016,26
mlt,2017,22.2
mlt,2018,29.5
mlt,2019,28.8
mlt,2020,28.9
mlt,2021,31.5
mlt,2022,33.2
mlt,2023,34.5
mlt,2024,38.6
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4079
nld,2009,3899
nld,2010,3842
nld,2011,3939
nld,2012,4008
nld,2013,3961
nld,2014,4061
nld,2015,4119
nld,2016,4274
nld,2017,4308
nld,2018,4504
nld,2019,4689
nld,2020,4865
nld,2021,5002
nld,2022,5194
nld,2023,5439
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,3006.3
aut,2009,2914.7
aut,2010,2923.5
aut,2011,3133.9
aut,2012,3309.4
aut,2013,3435.4
aut,2014,3496.6
aut,2015,3606.7
aut,2016,3742
aut,2017,3888.3
aut,2018,4119
aut,2019,4277.7
aut,2020,4122
aut,2021,4421.1
aut,2022,4628.6
