country,year,loner_lop_mobel_smyck
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,92430.7
eu_three,2009,90774.1
eu_three,2010,92346.4
eu_three,2011,94684.6
eu_three,2012,95614.1
eu_three,2013,96168.2
eu_three,2014,97888
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1351.7
bel,2009,1922.5
bel,2010,1885.4
bel,2011,1969.9
bel,2012,2008.8
bel,2013,2043.9
bel,2014,2111.5
bel,2015,2163.4
bel,2016,2158.4
bel,2017,2305.6
bel,2018,2345.8
bel,2019,2601
bel,2020,2317.2
bel,2021,2436.4
bel,2022,2742.4
bel,2023,2911.2
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,207.4
bgr,2009,181.4
bgr,2010,180.6
bgr,2011,208.8
bgr,2012,222
bgr,2013,232.2
bgr,2014,251.5
bgr,2015,293.4
bgr,2016,327.4
bgr,2017,362.7
bgr,2018,419.7
bgr,2019,466.8
bgr,2020,442.7
bgr,2021,510.9
bgr,2022,604.3
bgr,2023,672
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1661.6
cze,2009,1517.6
cze,2010,1584.1
cze,2011,1654.4
cze,2012,1629.9
cze,2013,1566.3
cze,2014,1513.1
cze,2015,1547.5
cze,2016,1655.8
cze,2017,1835.8
cze,2018,1994.1
cze,2019,2170.6
cze,2020,2110.5
cze,2021,2358.3
cze,2022,2674.6
cze,2023,2891.8
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1621.9
dnk,2009,1463.5
dnk,2010,1298
dnk,2011,1454.5
dnk,2012,1527.1
dnk,2013,1544.5
dnk,2014,1640.3
dnk,2015,1722.8
dnk,2016,1851.3
dnk,2017,1794.4
dnk,2018,1778.6
dnk,2019,1814.5
dnk,2020,1809.6
dnk,2021,1991.6
dnk,2022,2269.1
dnk,2023,2409.9
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,25848
deu,2009,26421
deu,2010,27177
deu,2011,28226
deu,2012,29003
deu,2013,29799
deu,2014,30264
deu,2015,31017
deu,2016,31933
deu,2017,32457
deu,2018,33357
deu,2019,34882
deu,2020,34305
deu,2021,35374
deu,2022,36491
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,186.4
est,2009,152.1
est,2010,158.4
est,2011,181.3
est,2012,196.9
est,2013,213.5
est,2014,229
est,2015,247.1
est,2016,259.6
est,2017,270.8
est,2018,302.2
est,2019,347.9
est,2020,333.1
est,2021,372.9
est,2022,404.2
est,2023,457.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1538.5
irl,2009,1377
irl,2010,1444.4
irl,2011,1513.7
irl,2012,1502.3
irl,2013,1643.8
irl,2014,1804.1
irl,2015,1893.1
irl,2016,2030.3
irl,2017,2258
irl,2018,2421.3
irl,2019,2671.1
irl,2020,2734.3
irl,2021,2996.5
irl,2022,3307.1
irl,2023,3623.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,693.5
grc,2009,661.1
grc,2010,570.2
grc,2011,535.6
grc,2012,416.1
grc,2013,370.3
grc,2014,431.1
grc,2015,379.9
grc,2016,398.8
grc,2017,358.7
grc,2018,388.6
grc,2019,407.1
grc,2020,388
grc,2021,435
grc,2022,437
grc,2023,481.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,8256
esp,2009,7762
esp,2010,7342
esp,2011,7076
esp,2012,6403
esp,2013,6015
esp,2014,6150
esp,2015,6551
esp,2016,6978
esp,2017,7373
esp,2018,7615
esp,2019,7915
esp,2020,6739
esp,2021,6743
esp,2022,7324
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,21490.2
fra,2009,22398.4
fra,2010,22806.6
fra,2011,23261.3
fra,2012,23818.7
fra,2013,23736.5
fra,2014,24157.3
fra,2015,24514.1
fra,2016,24455.9
fra,2017,24972.8
fra,2018,25876.2
fra,2019,25959.4
fra,2020,24381.6
fra,2021,26357.6
fra,2022,27616.1
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,270.7
hrv,2009,266.4
hrv,2010,258.2
hrv,2011,240.2
hrv,2012,236.8
hrv,2013,290.1
hrv,2014,285.9
hrv,2015,297.6
hrv,2016,325.4
hrv,2017,366.2
hrv,2018,389.2
hrv,2019,525.8
hrv,2020,454.4
hrv,2021,496.6
hrv,2022,592.2
hrv,2023,686.1
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,12120.5
ita,2009,11241.4
ita,2010,11092.4
ita,2011,11142.8
ita,2012,10989.1
ita,2013,10916.3
ita,2014,10829.9
ita,2015,11263
ita,2016,11439.9
ita,2017,11831
ita,2018,12125.4
ita,2019,12871.5
ita,2020,11248.9
ita,2021,12888.7
ita,2022,13952.1
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,47.1
cyp,2009,49.4
cyp,2010,54.3
cyp,2011,58.2
cyp,2012,55.3
cyp,2013,38.3
cyp,2014,43.3
cyp,2015,58.2
cyp,2016,79
cyp,2017,96.6
cyp,2018,106.3
cyp,2019,105.8
cyp,2020,92.7
cyp,2021,100.9
cyp,2022,109.6
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,155.9
lva,2009,124.5
lva,2010,112.2
lva,2011,112.4
lva,2012,130
lva,2013,143.1
lva,2014,139.7
lva,2015,146.5
lva,2016,159
lva,2017,171.8
lva,2018,163
lva,2019,181.5
lva,2020,186.1
lva,2021,224.6
lva,2022,260.5
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,410.7
ltu,2009,325.2
ltu,2010,333.2
ltu,2011,405.6
ltu,2012,455.2
ltu,2013,486.1
ltu,2014,539
ltu,2015,577.1
ltu,2016,625.7
ltu,2017,696.5
ltu,2018,806.2
ltu,2019,928
ltu,2020,945.6
ltu,2021,1058.5
ltu,2022,1183.7
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,588.3
hun,2009,597.6
hun,2010,643.7
hun,2011,673.5
hun,2012,685.9
hun,2013,658.7
hun,2014,624.3
hun,2015,680.2
hun,2016,750.9
hun,2017,838.1
hun,2018,828.8
hun,2019,941.5
hun,2020,912.2
hun,2021,998.3
hun,2022,1066.9
hun,2023,1258.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,156.9
mlt,2009,100.9
mlt,2010,81.3
mlt,2011,83.7
mlt,2012,85
mlt,2013,90.6
mlt,2014,95
mlt,2015,97.2
mlt,2016,101
mlt,2017,110.8
mlt,2018,116.9
mlt,2019,125.8
mlt,2020,118.5
mlt,2021,124.3
mlt,2022,125.8
mlt,2023,138.8
mlt,2024,165.4
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,3288
nld,2009,3249
nld,2010,3211
nld,2011,3268
nld,2012,3351
nld,2013,3293
nld,2014,3344
nld,2015,3437
nld,2016,3609
nld,2017,3844
nld,2018,4069
nld,2019,4252
nld,2020,4273
nld,2021,4374
nld,2022,4659
nld,2023,4966
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2397.7
aut,2009,2384.1
aut,2010,2674.4
aut,2011,2755.8
aut,2012,2843.3
aut,2013,2879.6
aut,2014,2898.5
aut,2015,2908.6
aut,2016,2980.5
aut,2017,3102.5
aut,2018,3224.5
aut,2019,3362.3
aut,2020,3341.9
aut,2021,3453.6
