country,year,loner_lop_motor
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,89253.1
eu_three,2009,79849.5
eu_three,2010,83378.2
eu_three,2011,88594.3
eu_three,2012,91284.4
eu_three,2013,95683.2
eu_three,2014,100745.7
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2544.2
bel,2009,1905
bel,2010,2015.7
bel,2011,2114.1
bel,2012,2155.6
bel,2013,2285.6
bel,2014,2457.8
bel,2015,1841.1
bel,2016,1830.6
bel,2017,1888.5
bel,2018,2008.4
bel,2019,1984
bel,2020,1815.9
bel,2021,1847.5
bel,2022,2047.7
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,54.1
bgr,2009,50.3
bgr,2010,51.1
bgr,2011,64
bgr,2012,69.1
bgr,2013,75.4
bgr,2014,96.8
bgr,2015,124.8
bgr,2016,143.2
bgr,2017,163.7
bgr,2018,186.1
bgr,2019,195.9
bgr,2020,234.5
bgr,2021,281.8
bgr,2022,301.5
bgr,2023,358.1
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2637.5
cze,2009,2181.5
cze,2010,2429.3
cze,2011,2837.9
cze,2012,2772.7
cze,2013,2708.4
cze,2014,2809.1
cze,2015,3206
cze,2016,3622.1
cze,2017,4200.1
cze,2018,4756.2
cze,2019,5052.2
cze,2020,4615.3
cze,2021,5162.1
cze,2022,5680.9
cze,2023,6442.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,316.9
dnk,2009,232
dnk,2010,226.4
dnk,2011,244
dnk,2012,223.7
dnk,2013,197.4
dnk,2014,199.7
dnk,2015,212.9
dnk,2016,227.1
dnk,2017,235.6
dnk,2018,255.2
dnk,2019,233.1
dnk,2020,218.2
dnk,2021,221.2
dnk,2022,235.2
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,47984
deu,2009,44788
deu,2010,46743
deu,2011,49776
deu,2012,52740
deu,2013,56376
deu,2014,59814
deu,2015,63158
deu,2016,64839
deu,2017,66959
deu,2018,71124
deu,2019,73726
deu,2020,67479
deu,2021,68172
deu,2022,71690
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,53.2
est,2009,35.7
est,2010,42.8
est,2011,50.4
est,2012,53
est,2013,55.8
est,2014,57.1
est,2015,58.3
est,2016,59.7
est,2017,57.7
est,2018,64.3
est,2019,70.9
est,2020,74.8
est,2021,84.4
est,2022,100.7
est,2023,114.1
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,117.5
irl,2009,101.8
irl,2010,102.2
irl,2011,106.1
irl,2012,108
irl,2013,112.3
irl,2014,123.6
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,92.7
grc,2009,82.8
grc,2010,80.8
grc,2011,63.4
grc,2012,58.1
grc,2013,39.9
grc,2014,30.5
grc,2015,27.8
grc,2016,29.4
grc,2017,30.6
grc,2018,32
grc,2019,31.4
grc,2020,29.9
grc,2021,29.4
grc,2022,31
grc,2023,32.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,6737
esp,2009,6033
esp,2010,6042
esp,2011,6169
esp,2012,5809
esp,2013,5910
esp,2014,6211
esp,2015,6559
esp,2016,6760
esp,2017,6905
esp,2018,6974
esp,2019,7170
esp,2020,6980
esp,2021,7281
esp,2022,7429
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,8193.9
fra,2009,7433
fra,2010,7527.6
fra,2011,7388.5
fra,2012,7240
fra,2013,7285.1
fra,2014,7115.9
fra,2015,7039.6
fra,2016,7104.6
fra,2017,7274.6
fra,2018,7425
fra,2019,7154
fra,2020,6137.8
fra,2021,6423.2
fra,2022,6600.3
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,56.5
hrv,2009,49.2
hrv,2010,45
hrv,2011,31.3
hrv,2012,32.1
hrv,2013,26.2
hrv,2014,33.3
hrv,2015,35.8
hrv,2016,38.4
hrv,2017,38.8
hrv,2018,45
hrv,2019,63.9
hrv,2020,40.3
hrv,2021,35.9
hrv,2022,52.2
hrv,2023,67.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,7643
ita,2009,6369.3
ita,2010,6551.9
ita,2011,6886.7
ita,2012,6538.1
ita,2013,6629.9
ita,2014,7033.2
ita,2015,7661
ita,2016,7870.9
ita,2017,8169.2
ita,2018,8272.6
ita,2019,8129.6
ita,2020,7493.6
ita,2021,8555.1
ita,2022,8720.9
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,5.5
cyp,2009,5.9
cyp,2010,4.4
cyp,2011,4.3
cyp,2012,5
cyp,2013,1.7
cyp,2014,1.7
cyp,2015,2.1
cyp,2016,2.1
cyp,2017,2.3
cyp,2018,2.5
cyp,2019,2.5
cyp,2020,2.3
cyp,2021,2.7
cyp,2022,2.8
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,18.8
lva,2009,12.1
lva,2010,15.3
lva,2011,19.1
lva,2012,22.8
lva,2013,25.1
lva,2014,27.4
lva,2015,31
lva,2016,32.9
lva,2017,38.5
lva,2018,46.1
lva,2019,49.2
lva,2020,40.7
lva,2021,44.9
lva,2022,57.2
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,38.2
ltu,2009,20.6
ltu,2010,18.1
ltu,2011,21.5
ltu,2012,22.8
ltu,2013,24.6
ltu,2014,38.7
ltu,2015,53.4
ltu,2016,62.8
ltu,2017,75.9
ltu,2018,97.1
ltu,2019,106.9
ltu,2020,97.2
ltu,2021,108.7
ltu,2022,142.1
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1205.7
hun,2009,876
hun,2010,972.9
hun,2011,1115.4
hun,2012,1189.6
hun,2013,1290.3
hun,2014,1403.7
hun,2015,1589.3
hun,2016,1745.7
hun,2017,1936.7
hun,2018,2181
hun,2019,2390.5
hun,2020,2136.5
hun,2021,2240.4
hun,2022,2363
hun,2023,2936.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,30
mlt,2021,
mlt,2022,
mlt,2023,
mlt,2024,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,968
nld,2009,897
nld,2010,826
nld,2011,862
nld,2012,887
nld,2013,857
nld,2014,901
nld,2015,985
nld,2016,1080
nld,2017,1170
nld,2018,1339
nld,2019,1439
nld,2020,1499
nld,2021,1507
nld,2022,1576
nld,2023,1677
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1690.6
aut,2009,1479.1
aut,2010,1522.5
aut,2011,1672
aut,2012,1833.6
aut,2013,1722.3
aut,2014,1770.2
aut,2015,1853.9
aut,2016,1954.7
aut,2017,2063
aut,2018,2425.3
aut,2019,2559.3
aut,2020,2386.9
aut,2021,2359.1
aut,2022,2360
aut,2023,2508.4
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,2189.3
pol,2009,1621
pol,2010,2003.7
pol,2011,2215.7
