country,year,loner_lop_motor_transp
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,115943.1
eu_three,2009,105670.5
eu_three,2010,109384.4
eu_three,2011,114884.7
eu_three,2012,118654.4
eu_three,2013,124224
eu_three,2014,130196.3
eu_three,2015,136346.8
eu_three,2016,141185.8
eu_three,2017,148033.4
eu_three,2018,156412.2
eu_three,2019,162699.6
eu_three,2020,150631.8
eu_three,2021,156174.7
eu_three,2022,164232.2
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2970
bel,2009,2305
bel,2010,2399.9
bel,2011,2517.5
bel,2012,2593.8
bel,2013,2744.3
bel,2014,2934.4
bel,2015,2340.1
bel,2016,2344.5
bel,2017,2395.6
bel,2018,2515.1
bel,2019,2495.8
bel,2020,2218.9
bel,2021,2323.3
bel,2022,2534.2
bel,2023,2639.4
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,84.2
bgr,2009,78.2
bgr,2010,79.5
bgr,2011,91.3
bgr,2012,96.6
bgr,2013,103.1
bgr,2014,129.6
bgr,2015,160.5
bgr,2016,181.2
bgr,2017,209.1
bgr,2018,248.9
bgr,2019,262.3
bgr,2020,309
bgr,2021,371.9
bgr,2022,408.9
bgr,2023,491.9
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2955.8
cze,2009,2498.7
cze,2010,2751.1
cze,2011,3207.2
cze,2012,3164.3
cze,2013,3094.2
cze,2014,3215.6
cze,2015,3633.9
cze,2016,4089.3
cze,2017,4676.4
cze,2018,5318.1
cze,2019,5660.5
cze,2020,5189.8
cze,2021,5789.4
cze,2022,6422
cze,2023,7304.8
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,511.3
dnk,2009,424.6
dnk,2010,388.5
dnk,2011,426.5
dnk,2012,353.6
dnk,2013,316.2
dnk,2014,329.7
dnk,2015,356.8
dnk,2016,370.4
dnk,2017,391.1
dnk,2018,421.5
dnk,2019,407.7
dnk,2020,399.4
dnk,2021,410.9
dnk,2022,442.4
dnk,2023,467.5
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,54988
deu,2009,51963
deu,2010,54095
deu,2011,57370
deu,2012,60710
deu,2013,65115
deu,2014,68956
deu,2015,72789
deu,2016,74773
deu,2017,77123
deu,2018,81990
deu,2019,85606
deu,2020,78897
deu,2021,79758
deu,2022,83628
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,63.4
est,2009,43.3
est,2010,53.1
est,2011,63.3
est,2012,64.2
est,2013,67.1
est,2014,69.8
est,2015,71.4
est,2016,73.2
est,2017,72.6
est,2018,83.7
est,2019,95.9
est,2020,101.7
est,2021,112.5
est,2022,135.7
est,2023,149.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,319.5
irl,2009,234.5
irl,2010,155.7
irl,2011,139.6
irl,2012,139.2
irl,2013,141.8
irl,2014,185.3
irl,2015,196.5
irl,2016,213.1
irl,2017,219.3
irl,2018,245.1
irl,2019,174.2
irl,2020,169.9
irl,2021,167.8
irl,2022,175.2
irl,2023,188.4
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,291.3
grc,2009,287.9
grc,2010,250.8
grc,2011,196.5
grc,2012,150.5
grc,2013,120.4
grc,2014,137.7
grc,2015,124.6
grc,2016,115.9
grc,2017,130.4
grc,2018,156
grc,2019,157.8
grc,2020,167
grc,2021,194.6
grc,2022,209.8
grc,2023,214.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,9141
esp,2009,8403
esp,2010,8517
esp,2011,8552
esp,2012,8158
esp,2013,8362
esp,2014,8663
esp,2015,8888
esp,2016,9232
esp,2017,9483
esp,2018,9664
esp,2019,9934
esp,2020,9895
esp,2021,9925
esp,2022,10344
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,14891.7
fra,2009,14201.6
fra,2010,14488
fra,2011,14415.1
fra,2012,14932.3
fra,2013,15160.2
fra,2014,15156.8
fra,2015,15591.8
fra,2016,15686.8
fra,2017,16243.6
fra,2018,16802.6
fra,2019,16974.8
fra,2020,14590.9
fra,2021,15556.5
fra,2022,16239.5
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,308.6
hrv,2009,294.5
hrv,2010,279.2
hrv,2011,217.1
hrv,2012,254.5
hrv,2013,200.3
hrv,2014,165
hrv,2015,163.4
hrv,2016,169.2
hrv,2017,200.7
hrv,2018,191.5
hrv,2019,170
hrv,2020,129.1
hrv,2021,129.4
hrv,2022,242
hrv,2023,287.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,12186
ita,2009,10616
ita,2010,10626.2
ita,2011,10905.5
ita,2012,10438.7
ita,2013,10559.6
ita,2014,11047.8
ita,2015,11769.4
ita,2016,12226.7
ita,2017,12645.9
ita,2018,12866
ita,2019,13015.6
ita,2020,11951.3
ita,2021,13380.1
ita,2022,13979.6
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,6.2
cyp,2009,6.6
cyp,2010,5.2
cyp,2011,5.4
cyp,2012,6.4
cyp,2013,3.1
cyp,2014,2.9
cyp,2015,3.1
cyp,2016,3
cyp,2017,3.4
cyp,2018,3.8
cyp,2019,3.7
cyp,2020,3.4
cyp,2021,4.2
cyp,2022,4.7
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,55.7
lva,2009,34.4
lva,2010,38
lva,2011,39.3
lva,2012,45.1
lva,2013,48.3
lva,2014,50.1
lva,2015,56.5
lva,2016,58.7
lva,2017,61.8
lva,2018,69.4
lva,2019,72.3
lva,2020,64.5
lva,2021,74.3
lva,2022,99
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,102.2
ltu,2009,74.8
ltu,2010,60.3
ltu,2011,35.7
ltu,2012,46.1
ltu,2013,48.3
ltu,2014,63.1
ltu,2015,80.9
ltu,2016,95.2
ltu,2017,112.4
ltu,2018,141
ltu,2019,184.4
ltu,2020,179.6
ltu,2021,214.6
ltu,2022,287.5
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1344.8
hun,2009,939
hun,2010,1052.8
hun,2011,1200.8
hun,2012,1269.5
hun,2013,1365
hun,2014,1483.5
hun,2015,1675.1
hun,2016,1836.6
hun,2017,2039.9
hun,2018,2302.7
hun,2019,2553.6
hun,2020,2291.3
hun,2021,2419.9
hun,2022,2566.2
hun,2023,3196.1
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,14.6
mlt,2009,14.6
mlt,2010,18.6
mlt,2011,21.1
mlt,2012,22.2
mlt,2013,25.6
mlt,2014,26.9
mlt,2015,29.7
mlt,2016,29.6
mlt,2017,33.3
mlt,2018,33.3
mlt,2019,24.3
mlt,2020,30.2
mlt,2021,33.6
mlt,2022,34.7
mlt,2023,39.2
mlt,2024,37.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1739
nld,2009,1759
nld,2010,1730
nld,2011,1810
nld,2012,1827
nld,2013,1830
nld,2014,1923
nld,2015,2018
nld,2016,2139
nld,2017,2220
nld,2018,2438
nld,2019,2642
nld,2020,2719
nld,2021,2712
nld,2022,2821
nld,2023,3037
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2192.3
aut,2009,1921.7
aut,2010,1878.5
aut,2011,2052.1
aut,2012,2236.4
aut,2013,2152.8
aut,2014,2222.3
aut,2015,2327.5
aut,2016,2474.4
aut,2017,2615.3
aut,2018,3065.8
aut,2019,3443.7
aut,2020,3295
