country,year,loner_lop_offent_forsvar
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,493922.6
eu_three,2009,509497
eu_three,2010,517813.7
eu_three,2011,521643
eu_three,2012,521809
eu_three,2013,529934.9
eu_three,2014,533710
eu_three,2015,537646.6
eu_three,2016,549434.4
eu_three,2017,566210.2
eu_three,2018,582984.2
eu_three,2019,604119
eu_three,2020,620421.4
eu_three,2021,640873.7
eu_three,2022,670255.3
eu_three,2023,713223.8
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,21538.2
bel,2009,22451.6
bel,2010,23100.5
bel,2011,23891.2
bel,2012,24810.1
bel,2013,25707.3
bel,2014,26119.7
bel,2015,25723.3
bel,2016,26462.6
bel,2017,26968.3
bel,2018,27701.9
bel,2019,28632.2
bel,2020,29586.2
bel,2021,30698
bel,2022,33295
bel,2023,36141.7
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,1694.6
bgr,2009,1749.5
bgr,2010,1661.2
bgr,2011,1686.3
bgr,2012,1710.9
bgr,2013,1972.4
bgr,2014,1922.7
bgr,2015,2006.4
bgr,2016,1999.4
bgr,2017,2220.9
bgr,2018,2505.4
bgr,2019,2779.6
bgr,2020,3073.6
bgr,2021,3536.8
bgr,2022,3819.4
bgr,2023,4389.3
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,5921.2
cze,2009,5759.5
cze,2010,5952.8
cze,2011,5647
cze,2012,5541.5
cze,2013,5486.1
cze,2014,5399.6
cze,2015,5785.4
cze,2016,6208.3
cze,2017,6949.3
cze,2018,7964.2
cze,2019,8531.1
cze,2020,8696.8
cze,2021,9148.4
cze,2022,9874.1
cze,2023,10823.6
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,8791.6
dnk,2009,9352.1
dnk,2010,9746.3
dnk,2011,9560.2
dnk,2012,9674.8
dnk,2013,9554.7
dnk,2014,9527.1
dnk,2015,9643.7
dnk,2016,9773.2
dnk,2017,9885.8
dnk,2018,10140.6
dnk,2019,10629.1
dnk,2020,10984
dnk,2021,11435.9
dnk,2022,11764.5
dnk,2023,12205.7
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,111666
deu,2009,116455
deu,2010,119244
deu,2011,120707
deu,2012,122922
deu,2013,126075
deu,2014,129256
deu,2015,132090
deu,2016,136845
deu,2017,142903
deu,2018,148365
deu,2019,155719
deu,2020,162033
deu,2021,168650
deu,2022,175964
deu,2023,186854
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,734
est,2009,679.8
est,2010,646.2
est,2011,678
est,2012,706.6
est,2013,756.7
est,2014,814.5
est,2015,868.9
est,2016,902.5
est,2017,961.3
est,2018,995.7
est,2019,1086.7
est,2020,1147.6
est,2021,1206.1
est,2022,1324.3
est,2023,1534
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,5910.2
irl,2009,5519.5
irl,2010,5507.8
irl,2011,6685.7
irl,2012,6528.5
irl,2013,6396.6
irl,2014,6483.1
irl,2015,6554.3
irl,2016,6715.3
irl,2017,6983.9
irl,2018,7286.9
irl,2019,7761.4
irl,2020,8222.7
irl,2021,8637.2
irl,2022,9266.9
irl,2023,9994.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,14082.2
grc,2009,16341.7
grc,2010,14432.3
grc,2011,13152.5
grc,2012,12702.1
grc,2013,11265
grc,2014,11673.9
grc,2015,11716.1
grc,2016,11509
grc,2017,11501.8
grc,2018,11475.1
grc,2019,11468.1
grc,2020,11565.2
grc,2021,11710.3
grc,2022,11709.3
grc,2023,12019.6
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,47038
esp,2009,49777
esp,2010,50518
esp,2011,49691
esp,2012,46255
esp,2013,47364
esp,2014,47358
esp,2015,48141
esp,2016,48377
esp,2017,48421
esp,2018,49701
esp,2019,52261
esp,2020,53659
esp,2021,55884
esp,2022,58516
esp,2023,61949
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,99616.1
fra,2009,104472
fra,2010,105431.9
fra,2011,108567.1
fra,2012,110829.6
fra,2013,113166.8
fra,2014,114440.7
fra,2015,114108.2
fra,2016,115038.9
fra,2017,117985.6
fra,2018,118836.7
fra,2019,119878.1
fra,2020,121510
fra,2021,123561.1
fra,2022,128709.3
fra,2023,132909.8
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,2056.1
hrv,2009,2177.3
hrv,2010,2109.8
hrv,2011,2017.6
hrv,2012,1923.8
hrv,2013,1838.7
hrv,2014,1818.3
hrv,2015,1871.5
hrv,2016,1876.8
hrv,2017,1963.5
hrv,2018,2120.8
hrv,2019,2228.4
hrv,2020,2304.8
hrv,2021,2366.6
hrv,2022,2411.2
hrv,2023,3155.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,69966
ita,2009,70718
ita,2010,71757
ita,2011,72191
ita,2012,70533
ita,2013,69587
ita,2014,68246
ita,2015,67845
ita,2016,68449
ita,2017,68745
ita,2018,69858
ita,2019,70093
ita,2020,69238
ita,2021,70137
ita,2022,70608
ita,2023,72559
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1381.1
cyp,2009,1531.6
cyp,2010,1536.7
cyp,2011,1612.4
cyp,2012,1599.3
cyp,2013,1398.7
cyp,2014,1176.4
cyp,2015,1134.3
cyp,2016,1110.3
cyp,2017,1189.3
cyp,2018,1228.2
cyp,2019,1399.1
cyp,2020,1492.7
cyp,2021,1521.6
cyp,2022,1608.1
cyp,2023,2094.7
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1142.8
lva,2009,887.7
lva,2010,718.5
lva,2011,751.8
lva,2012,788.4
lva,2013,849.6
lva,2014,912.8
lva,2015,958.2
lva,2016,1034.6
lva,2017,1129.6
lva,2018,1207.3
lva,2019,1294.3
lva,2020,1324
lva,2021,1448.6
lva,2022,1543.9
lva,2023,1748.5
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1213.2
ltu,2009,1091.7
ltu,2010,1022.4
ltu,2011,1060.5
ltu,2012,1057.4
ltu,2013,1109.2
ltu,2014,1183.2
ltu,2015,1231.6
ltu,2016,1294
ltu,2017,1370.6
ltu,2018,1475.5
ltu,2019,1659.8
ltu,2020,1854
ltu,2021,1896.7
ltu,2022,2175
ltu,2023,2493.3
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1410
lux,2009,1508.5
lux,2010,1563.1
lux,2011,1664.1
lux,2012,1731.4
lux,2013,1814
lux,2014,1912.1
lux,2015,2020
lux,2016,2055.9
lux,2017,2201.4
lux,2018,2370.1
lux,2019,2534.8
lux,2020,2777.7
lux,2021,2947.5
lux,2022,3233.8
lux,2023,3665.8
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,5667.7
hun,2009,4928
hun,2010,5018.1
hun,2011,4812.7
hun,2012,4499.9
hun,2013,5002.9
hun,2014,5017.2
hun,2015,5288.7
hun,2016,5779.5
hun,2017,6176.8
hun,2018,6214.5
hun,2019,6557.1
hun,2020,6124.7
hun,2021,6268.5
hun,2022,6937.7
hun,2023,7164.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,291.3
mlt,2009,308
mlt,2010,325.7
mlt,2011,340.1
mlt,2012,357.3
mlt,2013,364.6
mlt,2014,391.1
mlt,2015,418.6
mlt,2016,446.5
mlt,2017,483.8
mlt,2018,517.3
mlt,2019,560.7
mlt,2020,589
mlt,2021,654.6
mlt,2022,714.2
mlt,2023,755
mlt,2024,823
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,30499
nld,2009,32218
nld,2010,33075
nld,2011,32837
nld,2012,33204
nld,2013,33190
nld,2014,33066
nld,2015,32859
nld,2016,33458
nld,2017,34353
nld,2018,35821
nld,2019,37842
nld,2020,39533
nld,2021,40957
nld,2022,44196
nld,2023,47824
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
