country,year,loner_lop_ovr_mobel
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,47048.4
eu_three,2009,43230
eu_three,2010,43096.5
eu_three,2011,43797.6
eu_three,2012,43598.6
eu_three,2013,43863.2
eu_three,2014,45189.4
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,857.9
bel,2009,830.5
bel,2010,828.9
bel,2011,856.9
bel,2012,866.5
bel,2013,836.7
bel,2014,861.6
bel,2015,873.8
bel,2016,850.9
bel,2017,856.6
bel,2018,871.5
bel,2019,948.1
bel,2020,879.5
bel,2021,948.4
bel,2022,1008.6
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,95.1
bgr,2009,83.3
bgr,2010,83
bgr,2011,96.4
bgr,2012,106.8
bgr,2013,112.3
bgr,2014,124.1
bgr,2015,153.2
bgr,2016,168.4
bgr,2017,191.3
bgr,2018,228.2
bgr,2019,242.4
bgr,2020,227.2
bgr,2021,285.9
bgr,2022,318
bgr,2023,367.2
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,759.4
cze,2009,681
cze,2010,727.5
cze,2011,738.7
cze,2012,739
cze,2013,728
cze,2014,711.2
cze,2015,764.9
cze,2016,832
cze,2017,928.1
cze,2018,1029.8
cze,2019,1079.1
cze,2020,1045.2
cze,2021,1172.5
cze,2022,1321.1
cze,2023,1370.2
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1124.1
dnk,2009,998.5
dnk,2010,866.1
dnk,2011,920
dnk,2012,937.4
dnk,2013,949
dnk,2014,1062.3
dnk,2015,1108.1
dnk,2016,1242.4
dnk,2017,1147.7
dnk,2018,1101.3
dnk,2019,1112.5
dnk,2020,1102.9
dnk,2021,1244.8
dnk,2022,1399.5
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,14888
deu,2009,14392
deu,2010,14840
deu,2011,15372
deu,2012,16057
deu,2013,16465
deu,2014,16975
deu,2015,17520
deu,2016,18094
deu,2017,18677
deu,2018,19294
deu,2019,19960
deu,2020,19569
deu,2021,20043
deu,2022,20733
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,123.8
est,2009,94.4
est,2010,99.2
est,2011,113.4
est,2012,120
est,2013,125.5
est,2014,134.3
est,2015,146.1
est,2016,156
est,2017,167.2
est,2018,176.6
est,2019,187.2
est,2020,186.4
est,2021,212.2
est,2022,228.5
est,2023,228.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1404.2
irl,2009,1247.2
irl,2010,1263.7
irl,2011,1309.4
irl,2012,1288.1
irl,2013,1421.1
irl,2014,1554.8
irl,2015,1638
irl,2016,1770.7
irl,2017,1976.9
irl,2018,2118.5
irl,2019,2339.2
irl,2020,2403.1
irl,2021,2623.4
irl,2022,2906.4
irl,2023,3147
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,458
grc,2009,484.6
grc,2010,398.4
grc,2011,350.5
grc,2012,240
grc,2013,188
grc,2014,200.1
grc,2015,174.1
grc,2016,189.5
grc,2017,173.1
grc,2018,189.6
grc,2019,191.6
grc,2020,182.2
grc,2021,186.3
grc,2022,197.5
grc,2023,203
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,5046
esp,2009,4282
esp,2010,3824
esp,2011,3529
esp,2012,3044
esp,2013,2779
esp,2014,2666
esp,2015,2725
esp,2016,2908
esp,2017,3126
esp,2018,3168
esp,2019,3411
esp,2020,2854
esp,2021,2942
esp,2022,3320
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,5074.3
fra,2009,4881.3
fra,2010,4812
fra,2011,4821.1
fra,2012,4837.4
fra,2013,4852.3
fra,2014,5063.2
fra,2015,5005.6
fra,2016,4901.4
fra,2017,4903.1
fra,2018,4906.1
fra,2019,4824
fra,2020,4478.6
fra,2021,5073.7
fra,2022,5282.8
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,161.2
hrv,2009,150.9
hrv,2010,140.3
hrv,2011,135
hrv,2012,130.1
hrv,2013,132
hrv,2014,131
hrv,2015,131.1
hrv,2016,149.7
hrv,2017,163.5
hrv,2018,177.7
hrv,2019,193.8
hrv,2020,183
hrv,2021,197
hrv,2022,234
hrv,2023,260.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,7574.6
ita,2009,7006
ita,2010,6784.8
ita,2011,6794.7
ita,2012,6483.2
ita,2013,6463.3
ita,2014,6533.6
ita,2015,6786
ita,2016,7022.4
ita,2017,7199.6
ita,2018,7442.6
ita,2019,7761
ita,2020,6826
ita,2021,7873.2
ita,2022,8553.2
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,37.6
cyp,2009,37.6
cyp,2010,37.9
cyp,2011,40.2
cyp,2012,41.7
cyp,2013,20.4
cyp,2014,20.9
cyp,2015,21.5
cyp,2016,23.6
cyp,2017,24.5
cyp,2018,22.7
cyp,2019,23.6
cyp,2020,20.9
cyp,2021,24
cyp,2022,25.5
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,80.1
lva,2009,59.8
lva,2010,52.6
lva,2011,53.8
lva,2012,57.8
lva,2013,66.2
lva,2014,72.3
lva,2015,79.3
lva,2016,88.7
lva,2017,94.8
lva,2018,104.3
lva,2019,111.6
lva,2020,116.9
lva,2021,147.3
lva,2022,158.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,292.9
ltu,2009,216.9
ltu,2010,235
ltu,2011,291.1
ltu,2012,332.8
ltu,2013,352.1
ltu,2014,392
ltu,2015,426
ltu,2016,470
ltu,2017,519.2
ltu,2018,586.7
ltu,2019,649.8
ltu,2020,678.2
ltu,2021,790.6
ltu,2022,866.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,351.5
hun,2009,312.9
hun,2010,346
hun,2011,374.6
hun,2012,384.1
hun,2013,366.8
hun,2014,372.5
hun,2015,419
hun,2016,456.2
hun,2017,506.8
hun,2018,469.5
hun,2019,527.6
hun,2020,516.9
hun,2021,576.2
hun,2022,607.1
hun,2023,712.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,59.1
mlt,2009,50.9
mlt,2010,51.2
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,60.1
mlt,2016,63.7
mlt,2017,69.8
mlt,2018,
mlt,2019,74.9
mlt,2020,69
mlt,2021,70.5
mlt,2022,73.5
mlt,2023,78.9
mlt,2024,89.5
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1474
nld,2009,1409
nld,2010,1400
nld,2011,1364
nld,2012,1373
nld,2013,1321
nld,2014,1323
nld,2015,1319
nld,2016,1395
nld,2017,1479
nld,2018,1561
nld,2019,1649
nld,2020,1694
nld,2021,1803
nld,2022,1982
nld,2023,2046
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1538.3
aut,2009,1510.5
aut,2010,1507.4
aut,2011,1544.2
aut,2012,1560.5
aut,2013,1576.9
aut,2014,1588.1
aut,2015,1605.5
aut,2016,1627.2
aut,2017,1703
aut,2018,1742.3
aut,2019,1789.9
aut,2020,1766.1
aut,2021,1807.9
aut,2022,1918.5
aut,2023,2015.7
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1872.1
