country,year,loner_lop_parti_ej_motor
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,285978.8
eu_three,2009,279351.4
eu_three,2010,284964.4
eu_three,2011,293596
eu_three,2012,299438.2
eu_three,2013,301852.5
eu_three,2014,305754.2
eu_three,2015,314270.5
eu_three,2016,323578.1
eu_three,2017,335536
eu_three,2018,349575.8
eu_three,2019,365424.8
eu_three,2020,358891.6
eu_three,2021,385227.7
eu_three,2022,411535.3
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,12346.6
bel,2009,12289.9
bel,2010,12367.3
bel,2011,12664.8
bel,2012,13146.1
bel,2013,13171.6
bel,2014,13134.9
bel,2015,13310.1
bel,2016,13468.8
bel,2017,13490.5
bel,2018,13669
bel,2019,14059
bel,2020,13631.8
bel,2021,14491
bel,2022,15545
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,619.9
bgr,2009,708.2
bgr,2010,833
bgr,2011,898.3
bgr,2012,948.4
bgr,2013,1014.4
bgr,2014,1049.8
bgr,2015,1148.1
bgr,2016,1255.2
bgr,2017,1396.9
bgr,2018,1543.4
bgr,2019,1671.1
bgr,2020,1712.5
bgr,2021,1930.2
bgr,2022,2246.9
bgr,2023,2552.5
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,4161.8
cze,2009,3571.6
cze,2010,4163.9
cze,2011,4363
cze,2012,4393.2
cze,2013,4317.8
cze,2014,4219.9
cze,2015,4463
cze,2016,4616.8
cze,2017,5040.4
cze,2018,5515.7
cze,2019,5842.4
cze,2020,5768.3
cze,2021,6611.8
cze,2022,7526.9
cze,2023,8316.7
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,10098.1
dnk,2009,9727.9
dnk,2010,9859.3
dnk,2011,10197.1
dnk,2012,10544.4
dnk,2013,10785.6
dnk,2014,11254.4
dnk,2015,11680.1
dnk,2016,11947.3
dnk,2017,12443.6
dnk,2018,13145.9
dnk,2019,13815.1
dnk,2020,13948.3
dnk,2021,14650.1
dnk,2022,15616.3
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,69598
deu,2009,69317
deu,2010,69805
deu,2011,72781
deu,2012,75288
deu,2013,77135
deu,2014,78610
deu,2015,80688
deu,2016,83659
deu,2017,86791
deu,2018,90801
deu,2019,95259
deu,2020,92807
deu,2021,96048
deu,2022,101129
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,473.1
est,2009,415.6
est,2010,377.4
est,2011,420.1
est,2012,452.7
est,2013,486.3
est,2014,521.2
est,2015,544
est,2016,589
est,2017,640.7
est,2018,750.4
est,2019,787.3
est,2020,727.2
est,2021,782.8
est,2022,866.1
est,2023,907.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,2827.5
irl,2009,2039.4
irl,2010,2762.7
irl,2011,4104.4
irl,2012,4401.7
irl,2013,4395.5
irl,2014,4538.9
irl,2015,4706.7
irl,2016,5226.6
irl,2017,5470.5
irl,2018,5513.1
irl,2019,5705.8
irl,2020,5652.6
irl,2021,6218.7
irl,2022,6481.4
irl,2023,7307.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,6274.3
grc,2009,6282.6
grc,2010,6695.1
grc,2011,5911.6
grc,2012,5315.7
grc,2013,4642.2
grc,2014,4173.4
grc,2015,3973.9
grc,2016,4183.8
grc,2017,4284.1
grc,2018,4408.4
grc,2019,4525.4
grc,2020,4280.1
grc,2021,4936.1
grc,2022,5118.7
grc,2023,5397.1
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,31896
esp,2009,31412
esp,2010,31286
esp,2011,31353
esp,2012,30606
esp,2013,29581
esp,2014,29865
esp,2015,31797
esp,2016,32121
esp,2017,32986
esp,2018,34244
esp,2019,37337
esp,2020,38055
esp,2021,43094
esp,2022,45847
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,49315.8
fra,2009,48743
fra,2010,48749.3
fra,2011,49355.8
fra,2012,50119.6
fra,2013,51988.1
fra,2014,52501.5
fra,2015,53089.2
fra,2016,53570.9
fra,2017,55475
fra,2018,55676.2
fra,2019,56269.4
fra,2020,54144.9
fra,2021,59198.6
fra,2022,63564.9
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1605.7
hrv,2009,1513.2
hrv,2010,1598.3
hrv,2011,1551.7
hrv,2012,1614
hrv,2013,1319.6
hrv,2014,1302.8
hrv,2015,1385.8
hrv,2016,1318.6
hrv,2017,1386.2
hrv,2018,1442.4
hrv,2019,1413.6
hrv,2020,1334.2
hrv,2021,1430.2
hrv,2022,1680.1
hrv,2023,1934.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,28472.9
ita,2009,28849.4
ita,2010,29289.9
ita,2011,30160.3
ita,2012,30081.2
ita,2013,29890.7
ita,2014,30126
ita,2015,30825.1
ita,2016,32099.7
ita,2017,33308.5
ita,2018,34839.9
ita,2019,35954.1
ita,2020,33460
ita,2021,36847.6
ita,2022,39642
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,512.2
cyp,2009,515.7
cyp,2010,506.5
cyp,2011,520.3
cyp,2012,497.6
cyp,2013,446.4
cyp,2014,439.1
cyp,2015,444.1
cyp,2016,456.4
cyp,2017,479.3
cyp,2018,525.3
cyp,2019,571.7
cyp,2020,560.6
cyp,2021,600
cyp,2022,650.8
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,764.3
lva,2009,550.5
lva,2010,463.8
lva,2011,479
lva,2012,533.7
lva,2013,579.7
lva,2014,615.4
lva,2015,675.5
lva,2016,730.4
lva,2017,802.4
lva,2018,872.6
lva,2019,904.6
lva,2020,896.5
lva,2021,942.9
lva,2022,1080.8
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1094.7
ltu,2009,927.3
ltu,2010,903
ltu,2011,928
ltu,2012,991.8
ltu,2013,1064
ltu,2014,1138
ltu,2015,1231.6
ltu,2016,1351.3
ltu,2017,1470.9
ltu,2018,1553.7
ltu,2019,1645.7
ltu,2020,1658.4
ltu,2021,1819.2
ltu,2022,2080.6
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2847
hun,2009,2416.6
hun,2010,2588.9
hun,2011,2527
hun,2012,2541.6
hun,2013,2454.6
hun,2014,2355
hun,2015,2412
hun,2016,2454.6
hun,2017,2620
hun,2018,2761
hun,2019,3043.9
hun,2020,2896.9
hun,2021,3116
hun,2022,3520.2
hun,2023,4000.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,141.7
mlt,2009,128.8
mlt,2010,144
mlt,2011,154.6
mlt,2012,164.5
mlt,2013,176.7
mlt,2014,178.2
mlt,2015,190.4
mlt,2016,206.7
mlt,2017,217
mlt,2018,229.8
mlt,2019,245.9
mlt,2020,273.1
mlt,2021,298.7
mlt,2022,355.6
mlt,2023,385.4
mlt,2024,448
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,21252
nld,2009,21520
nld,2010,21720
nld,2011,22571
nld,2012,23354
nld,2013,23416
nld,2014,23543
nld,2015,24268
nld,2016,25194
nld,2017,26018
nld,2018,27428
nld,2019,28933
nld,2020,29702
nld,2021,31274
nld,2022,33497
nld,2023,35424
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,8044.7
aut,2009,8084.4
aut,2010,8158.6
aut,2011,8548.6
aut,2012,8989.6
aut,2013,9040.9
aut,2014,9338.2
aut,2015,9498.2
