country,year,loner_lop_parti_rep
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,614334.2
eu_three,2009,605273.4
eu_three,2010,620994.6
eu_three,2011,638439.8
eu_three,2012,648840.1
eu_three,2013,651083.6
eu_three,2014,663527
eu_three,2015,681612.4
eu_three,2016,705037.2
eu_three,2017,734257.5
eu_three,2018,764648.3
eu_three,2019,794321.6
eu_three,2020,774549.1
eu_three,2021,823224.7
eu_three,2022,883600.8
eu_three,2023,944961.2
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,22942.3
bel,2009,23345.7
bel,2010,24022.8
bel,2011,24526.9
bel,2012,25390.7
bel,2013,25611.5
bel,2014,25692.5
bel,2015,26304.4
bel,2016,26431.7
bel,2017,26675.9
bel,2018,27134
bel,2019,27938.5
bel,2020,26698.5
bel,2021,28904.9
bel,2022,30927.7
bel,2023,33614.9
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,1363.4
bgr,2009,1557
bgr,2010,1829.8
bgr,2011,1959.3
bgr,2012,2062.8
bgr,2013,2183.2
bgr,2014,2249.8
bgr,2015,2511
bgr,2016,2741.7
bgr,2017,2987.8
bgr,2018,3349.6
bgr,2019,3556.5
bgr,2020,3541.4
bgr,2021,3997.8
bgr,2022,4590.7
bgr,2023,5353.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,8067.9
cze,2009,7138.5
cze,2010,8079.9
cze,2011,8489.8
cze,2012,8477.1
cze,2013,8308.4
cze,2014,8078.8
cze,2015,8558.7
cze,2016,9020.9
cze,2017,9984.6
cze,2018,11201.2
cze,2019,12006
cze,2020,11845.4
cze,2021,13281
cze,2022,15172.9
cze,2023,16653.2
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,18267.5
dnk,2009,17542.6
dnk,2010,17695.6
dnk,2011,18339.9
dnk,2012,18682.5
dnk,2013,18810.7
dnk,2014,19428.5
dnk,2015,20019.2
dnk,2016,20602.7
dnk,2017,21549.4
dnk,2018,22536.7
dnk,2019,23518.2
dnk,2020,23681.1
dnk,2021,25232.8
dnk,2022,26614.9
dnk,2023,27381
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,147837
deu,2009,148073
deu,2010,150657
deu,2011,155785
deu,2012,161584
deu,2013,165354
deu,2014,171018
deu,2015,175853
deu,2016,183237
deu,2017,190450
deu,2018,198998
deu,2019,207448
deu,2020,203429
deu,2021,208435
deu,2022,219725
deu,2023,232915
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,1128.8
est,2009,941.9
est,2010,893.5
est,2011,961
est,2012,1033.7
est,2013,1111.8
est,2014,1209.8
est,2015,1300
est,2016,1409.3
est,2017,1526.6
est,2018,1709.4
est,2019,1838.9
est,2020,1780.6
est,2021,1957.6
est,2022,2179.8
est,2023,2334.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,9176.1
irl,2009,7575.8
irl,2010,7839.5
irl,2011,9481.4
irl,2012,9757.2
irl,2013,9803.3
irl,2014,10181.6
irl,2015,10579.6
irl,2016,11440.1
irl,2017,12002.5
irl,2018,12172.4
irl,2019,12552.7
irl,2020,12198.1
irl,2021,13447.2
irl,2022,14161.6
irl,2023,15761.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,12760.1
grc,2009,12410.7
grc,2010,13092
grc,2011,11760.2
grc,2012,10225.1
grc,2013,8654.8
grc,2014,8212
grc,2015,8077.4
grc,2016,8681.8
grc,2017,8618.9
grc,2018,8864.1
grc,2019,9100.5
grc,2020,8452
grc,2021,9582
grc,2022,9926.5
grc,2023,10497.1
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,71955
esp,2009,69952
esp,2010,69882
esp,2011,69412
esp,2012,66577
esp,2013,64327
esp,2014,65066
esp,2015,67991
esp,2016,69045
esp,2017,71676
esp,2018,73973
esp,2019,80076
esp,2020,78457
esp,2021,84594
esp,2022,92571
esp,2023,102967
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,114461.7
fra,2009,114811.3
fra,2010,117910.2
fra,2011,120088.4
fra,2012,123236.3
fra,2013,124080.8
fra,2014,125920.7
fra,2015,127893.1
fra,2016,130515.5
fra,2017,135096.8
fra,2018,138019.3
fra,2019,138412.2
fra,2020,131906.2
fra,2021,142845.9
fra,2022,154764.8
fra,2023,161634.1
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,3370.1
hrv,2009,3170.4
hrv,2010,3266.2
hrv,2011,3196
hrv,2012,3235.9
hrv,2013,3000.1
hrv,2014,3029
hrv,2015,3105.1
hrv,2016,3110.2
hrv,2017,3289
hrv,2018,3498.2
hrv,2019,3634.6
hrv,2020,3537.9
hrv,2021,3609.8
hrv,2022,4084.9
hrv,2023,4775.1
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,63973.1
ita,2009,65369.8
ita,2010,66511.1
ita,2011,68006.3
ita,2012,67838.2
ita,2013,67270.5
ita,2014,67729.5
ita,2015,69649.9
ita,2016,72445.3
ita,2017,75602.7
ita,2018,78428.3
ita,2019,80246.8
ita,2020,73777.1
ita,2021,80837.2
ita,2022,86477.4
ita,2023,92564
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1204.5
cyp,2009,1220.8
cyp,2010,1249.4
cyp,2011,1291
cyp,2012,1220.9
cyp,2013,1067.2
cyp,2014,1057.9
cyp,2015,1072.9
cyp,2016,1079.6
cyp,2017,1136.2
cyp,2018,1269
cyp,2019,1372.6
cyp,2020,1291.6
cyp,2021,1372.7
cyp,2022,1524
cyp,2023,1597.5
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1874.3
lva,2009,1354.9
lva,2010,1160.1
lva,2011,1182.8
lva,2012,1309
lva,2013,1396
lva,2014,1508.7
lva,2015,1652.9
lva,2016,1754.5
lva,2017,1875.3
lva,2018,2022.6
lva,2019,2161.9
lva,2020,2146.9
lva,2021,2275.4
lva,2022,2629.8
lva,2023,3006
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,2528.2
ltu,2009,2086.6
ltu,2010,2033.6
ltu,2011,2141.4
ltu,2012,2269.9
ltu,2013,2457.1
ltu,2014,2595.1
ltu,2015,2789.9
ltu,2016,3027.4
ltu,2017,3261.4
ltu,2018,3510.5
ltu,2019,3840.6
ltu,2020,3866.6
ltu,2021,4367.7
ltu,2022,5007.3
ltu,2023,5409
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1655.4
lux,2009,1710.7
lux,2010,1782.4
lux,2011,1979.1
lux,2012,2053.1
lux,2013,2130.4
lux,2014,2262.4
lux,2015,2236.3
lux,2016,2229.7
lux,2017,2352.6
lux,2018,2420.4
lux,2019,2526.8
lux,2020,2459.6
lux,2021,2663
lux,2022,2829.5
lux,2023,2809.7
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,5945.7
hun,2009,5151.7
hun,2010,5225.2
hun,2011,5428.7
hun,2012,5486
hun,2013,5411.9
hun,2014,5355.6
hun,2015,5356.3
hun,2016,5574.6
hun,2017,6079.9
hun,2018,6392.1
hun,2019,7037.3
hun,2020,6515.2
hun,2021,6897.9
hun,2022,7821.7
hun,2023,9130.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,289.4
mlt,2009,274.9
mlt,2010,293
mlt,2011,323.6
mlt,2012,330.5
mlt,2013,354.4
mlt,2014,353.6
mlt,2015,398.8
mlt,2016,446
mlt,2017,479.6
mlt,2018,548.4
mlt,2019,582.3
mlt,2020,597.3
mlt,2021,632.7
mlt,2022,748.3
mlt,2023,816.2
mlt,2024,933
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,38522
nld,2009,38793
nld,2010,39069
nld,2011,40457
nld,2012,41498
nld,2013,41368
nld,2014,41653
nld,2015,42405
nld,2016,43798
nld,2017,45431
nld,2018,47807
nld,2019,50195
nld,2020,51581
nld,2021,53874
nld,2022,57725
nld,2023,61575
