country,year,loner_lop_parti_repara
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,82018
eu_three,2009,79600.9
eu_three,2010,81725.3
eu_three,2011,82370.7
eu_three,2012,83038.2
eu_three,2013,82214.8
eu_three,2014,83862.8
eu_three,2015,86593.9
eu_three,2016,90239.3
eu_three,2017,94853.9
eu_three,2018,98416.8
eu_three,2019,102882.2
eu_three,2020,97713.7
eu_three,2021,103827
eu_three,2022,109145.4
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3094.6
bel,2009,3278.3
bel,2010,3582.9
bel,2011,3398.8
bel,2012,3430.4
bel,2013,3449.4
bel,2014,3432.2
bel,2015,3694.4
bel,2016,3562.1
bel,2017,3712.1
bel,2018,3819
bel,2019,3944.3
bel,2020,3602.6
bel,2021,3901.3
bel,2022,4177.5
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,128.5
bgr,2009,146.7
bgr,2010,172.3
bgr,2011,186.9
bgr,2012,196.1
bgr,2013,209.6
bgr,2014,212.4
bgr,2015,237.1
bgr,2016,260.7
bgr,2017,289.3
bgr,2018,315
bgr,2019,335.3
bgr,2020,312.2
bgr,2021,344.2
bgr,2022,402.6
bgr,2023,472.3
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,938.7
cze,2009,798
cze,2010,874.8
cze,2011,964
cze,2012,961.8
cze,2013,925.7
cze,2014,869.5
cze,2015,952
cze,2016,1044.2
cze,2017,1186
cze,2018,1354
cze,2019,1430.3
cze,2020,1368.3
cze,2021,1540.1
cze,2022,1780.6
cze,2023,1988.1
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2134
dnk,2009,1955.2
dnk,2010,1944.2
dnk,2011,2028.5
dnk,2012,2037.6
dnk,2013,2033.4
dnk,2014,2131.8
dnk,2015,2175.8
dnk,2016,2232.4
dnk,2017,2341.7
dnk,2018,2446.7
dnk,2019,2532.4
dnk,2020,2503.2
dnk,2021,2581.8
dnk,2022,2781.2
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,21794
deu,2009,21416
deu,2010,21626
deu,2011,22351
deu,2012,23287
deu,2013,23692
deu,2014,24764
deu,2015,25584
deu,2016,26855
deu,2017,28215
deu,2018,29203
deu,2019,30430
deu,2020,29493
deu,2021,30114
deu,2022,30577
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,167.1
est,2009,123.7
est,2010,124.2
est,2011,140.6
est,2012,156.5
est,2013,170.3
est,2014,186.8
est,2015,195.4
est,2016,216.7
est,2017,234.7
est,2018,243.6
est,2019,274
est,2020,267.4
est,2021,298.2
est,2022,330
est,2023,372.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1314.8
irl,2009,993.8
irl,2010,802.1
irl,2011,775.3
irl,2012,752.5
irl,2013,764.6
irl,2014,817.5
irl,2015,902.8
irl,2016,1001.1
irl,2017,1048.8
irl,2018,1106.3
irl,2019,1137.8
irl,2020,1023.7
irl,2021,1218.9
irl,2022,1274.5
irl,2023,1466.6
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1611.8
grc,2009,1469.9
grc,2010,1330.4
grc,2011,1248.3
grc,2012,954.1
grc,2013,734.8
grc,2014,668.1
grc,2015,670.6
grc,2016,692.7
grc,2017,698.6
grc,2018,722.2
grc,2019,753.6
grc,2020,665.3
grc,2021,688.8
grc,2022,708.2
grc,2023,762.2
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,9406
esp,2009,8477
esp,2010,8513
esp,2011,8079
esp,2012,7414
esp,2013,6845
esp,2014,6897
esp,2015,7363
esp,2016,7684
esp,2017,8043
esp,2018,8155
esp,2019,9163
esp,2020,8229
esp,2021,8564
esp,2022,9090
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,16454
fra,2009,16824.6
fra,2010,17887.9
fra,2011,17120.3
fra,2012,17766.9
fra,2013,17887.7
fra,2014,18156.2
fra,2015,18331.5
fra,2016,18949.6
fra,2017,19726.3
fra,2018,19999.9
fra,2019,20077.4
fra,2020,18870.7
fra,2021,20662.8
fra,2022,21652.6
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,349.3
hrv,2009,320.9
hrv,2010,273.2
hrv,2011,266.5
hrv,2012,241.5
hrv,2013,244.6
hrv,2014,254.2
hrv,2015,261.5
hrv,2016,279.9
hrv,2017,311.4
hrv,2018,376.2
hrv,2019,342.3
hrv,2020,333.3
hrv,2021,359.3
hrv,2022,408.3
hrv,2023,480.8
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,7791.9
ita,2009,7874.2
ita,2010,7834.2
ita,2011,7833.8
ita,2012,7485.9
ita,2013,7135.5
ita,2014,7065.6
ita,2015,7277
ita,2016,7609.9
ita,2017,8001.5
ita,2018,8306.4
ita,2019,8886.8
ita,2020,7869
ita,2021,8777.1
ita,2022,9314.9
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,134.9
cyp,2009,134
cyp,2010,148.8
cyp,2011,150.4
cyp,2012,139.6
cyp,2013,114.4
cyp,2014,110.9
cyp,2015,115.5
cyp,2016,121.7
cyp,2017,129.5
cyp,2018,131.9
cyp,2019,143.6
cyp,2020,133.6
cyp,2021,141.5
cyp,2022,155.5
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,209.8
lva,2009,127.9
lva,2010,103.4
lva,2011,114.2
lva,2012,124
lva,2013,137.4
lva,2014,154.3
lva,2015,178.5
lva,2016,186
lva,2017,200.6
lva,2018,222.7
lva,2019,237.1
lva,2020,229.7
lva,2021,249.1
lva,2022,302.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,312.1
ltu,2009,233.5
ltu,2010,231
ltu,2011,249.9
ltu,2012,271.1
ltu,2013,303.2
ltu,2014,316.4
ltu,2015,338.8
ltu,2016,367.8
ltu,2017,407.5
ltu,2018,459.7
ltu,2019,535
ltu,2020,544.6
ltu,2021,625.8
ltu,2022,733.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,255.7
lux,2009,259.2
lux,2010,271.6
lux,2011,292.1
lux,2012,297.7
lux,2013,307
lux,2014,314.8
lux,2015,318.9
lux,2016,328.9
lux,2017,343.9
lux,2018,353.7
lux,2019,370.6
lux,2020,362.4
lux,2021,387.7
lux,2022,405.8
lux,2023,432.4
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,683.5
hun,2009,578
hun,2010,529.2
hun,2011,601
hun,2012,590.1
hun,2013,579.1
hun,2014,594.9
hun,2015,592.1
hun,2016,643
hun,2017,719.5
hun,2018,758.5
hun,2019,844.6
hun,2020,746.8
hun,2021,799.4
hun,2022,901.4
hun,2023,1083
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,30.2
mlt,2009,28.9
mlt,2010,24.2
mlt,2011,26
mlt,2012,24.8
mlt,2013,23.7
mlt,2014,24.2
mlt,2015,28.1
mlt,2016,34.5
mlt,2017,38.6
mlt,2018,36.9
mlt,2019,49
mlt,2020,44.6
mlt,2021,44.4
mlt,2022,47.3
mlt,2023,52.9
mlt,2024,58.2
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4591
nld,2009,4560
nld,2010,4550
nld,2011,4795
nld,2012,4883
nld,2013,4735
nld,2014,4669
nld,2015,4562
nld,2016,4726
nld,2017,4897
nld,2018,5143
nld,2019,5361
nld,2020,5456
nld,2021,5519
nld,2022,5754
nld,2023,6113
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2394.9
aut,2009,2415.8
aut,2010,2485.5
aut,2011,2613.3
aut,2012,2701.9
aut,2013,2778.1
aut,2014,2848.3
aut,2015,2855.2
aut,2016,2984.5
aut,2017,3083.2
