country,year,loner_lop_prod_film
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,23592.4
eu_three,2009,24124
eu_three,2010,24422.1
eu_three,2011,24621.7
eu_three,2012,25289.9
eu_three,2013,25360.1
eu_three,2014,25983.7
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,714.2
bel,2009,732.3
bel,2010,753.8
bel,2011,781.7
bel,2012,794.3
bel,2013,794.3
bel,2014,796.2
bel,2015,781.7
bel,2016,788.3
bel,2017,831.7
bel,2018,840.6
bel,2019,883.2
bel,2020,802.7
bel,2021,868.9
bel,2022,968.8
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,70
bgr,2009,83.2
bgr,2010,93.8
bgr,2011,94.9
bgr,2012,100.5
bgr,2013,115.4
bgr,2014,83.6
bgr,2015,111.6
bgr,2016,114.6
bgr,2017,125.6
bgr,2018,131.1
bgr,2019,136.5
bgr,2020,127
bgr,2021,150.3
bgr,2022,178.7
bgr,2023,194
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,208
cze,2009,204.3
cze,2010,200.9
cze,2011,190.6
cze,2012,188.8
cze,2013,194.3
cze,2014,185.9
cze,2015,193.6
cze,2016,202
cze,2017,214.7
cze,2018,235.7
cze,2019,240.2
cze,2020,236.5
cze,2021,261
cze,2022,291.8
cze,2023,322.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,595.1
dnk,2009,613.6
dnk,2010,629.1
dnk,2011,643.4
dnk,2012,685.3
dnk,2013,716.3
dnk,2014,723.1
dnk,2015,724.2
dnk,2016,777.1
dnk,2017,802.5
dnk,2018,811.7
dnk,2019,829.4
dnk,2020,858.5
dnk,2021,921.7
dnk,2022,996.2
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,6013
deu,2009,6762
deu,2010,6733
deu,2011,6402
deu,2012,7238
deu,2013,7465
deu,2014,7695
deu,2015,8001
deu,2016,7513
deu,2017,7239
deu,2018,7861
deu,2019,8518
deu,2020,8547
deu,2021,9142
deu,2022,9383
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,35.7
est,2009,33.5
est,2010,33
est,2011,34.7
est,2012,35.9
est,2013,37.5
est,2014,39.8
est,2015,43.8
est,2016,46.4
est,2017,47.4
est,2018,51
est,2019,56.4
est,2020,50
est,2021,53.3
est,2022,64.5
est,2023,77.6
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,266.7
irl,2009,263.3
irl,2010,293.6
irl,2011,360.7
irl,2012,388.4
irl,2013,363.1
irl,2014,369.5
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,444.1
grc,2009,420.3
grc,2010,406.4
grc,2011,331.9
grc,2012,285.6
grc,2013,261
grc,2014,234
grc,2015,252.2
grc,2016,263.3
grc,2017,277.2
grc,2018,302.9
grc,2019,342.7
grc,2020,314.5
grc,2021,394.3
grc,2022,432.2
grc,2023,467.4
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,2803
esp,2009,2818
esp,2010,2797
esp,2011,2946
esp,2012,2533
esp,2013,2426
esp,2014,2567
esp,2015,2572
esp,2016,2616
esp,2017,2759
esp,2018,2919
esp,2019,3183
esp,2020,3086
esp,2021,3315
esp,2022,3432
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,5206.1
fra,2009,5144
fra,2010,5398.3
fra,2011,5527.7
fra,2012,5657.1
fra,2013,5728.3
fra,2014,5852.7
fra,2015,6035.9
fra,2016,6376.6
fra,2017,6565.3
fra,2018,6692.6
fra,2019,6682.2
fra,2020,5973.7
fra,2021,7016
fra,2022,7549.6
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,162.6
hrv,2009,163.1
hrv,2010,142.8
hrv,2011,145.4
hrv,2012,137.6
hrv,2013,130
hrv,2014,127.4
hrv,2015,124.7
hrv,2016,134.6
hrv,2017,133.1
hrv,2018,133.2
hrv,2019,150.4
hrv,2020,137
hrv,2021,138.9
hrv,2022,178.1
hrv,2023,188.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,2519.5
ita,2009,2580
ita,2010,2634.6
ita,2011,2639.4
ita,2012,2596
ita,2013,2461.3
ita,2014,2454.9
ita,2015,2543.4
ita,2016,2601
ita,2017,2633.3
ita,2018,2757.6
ita,2019,2881.3
ita,2020,2582.9
ita,2021,3048.6
ita,2022,3242.7
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,44.1
cyp,2009,48.3
cyp,2010,52
cyp,2011,56.7
cyp,2012,46.5
cyp,2013,40.5
cyp,2014,40.7
cyp,2015,40.8
cyp,2016,46.5
cyp,2017,48.2
cyp,2018,47.7
cyp,2019,43.5
cyp,2020,44.5
cyp,2021,62.4
cyp,2022,88.4
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,39.4
lva,2009,31.4
lva,2010,22.8
lva,2011,24.5
lva,2012,29.4
lva,2013,31.7
lva,2014,35.8
lva,2015,37.8
lva,2016,37.5
lva,2017,40.3
lva,2018,52.4
lva,2019,52.6
lva,2020,49.5
lva,2021,44.8
lva,2022,58.7
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,36.1
ltu,2009,35.5
ltu,2010,21.2
ltu,2011,22
ltu,2012,24.4
ltu,2013,24.1
ltu,2014,24.4
ltu,2015,26.4
ltu,2016,29.3
ltu,2017,30.7
ltu,2018,33.4
ltu,2019,41.7
ltu,2020,42.6
ltu,2021,50.9
ltu,2022,59.9
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,252.6
hun,2009,225.3
hun,2010,233.8
hun,2011,248.1
hun,2012,275.1
hun,2013,254.9
hun,2014,255.9
hun,2015,229.8
hun,2016,227.2
hun,2017,231.7
hun,2018,238
hun,2019,243.8
hun,2020,200.2
hun,2021,244.5
hun,2022,299.1
hun,2023,343.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,10.8
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,18.1
mlt,2017,17.3
mlt,2018,21.3
mlt,2019,19.9
mlt,2020,17.8
mlt,2021,21.4
mlt,2022,23.4
mlt,2023,27.6
mlt,2024,35.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1005
nld,2009,1005
nld,2010,980
nld,2011,1009
nld,2012,1009
nld,2013,988
nld,2014,1031
nld,2015,1025
nld,2016,1017
nld,2017,1093
nld,2018,1175
nld,2019,1263
nld,2020,1299
nld,2021,1389
nld,2022,1480
nld,2023,1544
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,578.5
aut,2009,591
aut,2010,544.9
aut,2011,545.7
aut,2012,588
aut,2013,628.6
aut,2014,638.9
aut,2015,663.2
aut,2016,690.3
aut,2017,721.2
aut,2018,722.7
aut,2019,725.9
aut,2020,731.3
aut,2021,749.7
aut,2022,782
aut,2023,829.8
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,616.4
pol,2009,490.1
pol,2010,525.9
pol,2011,549.4
pol,2012,531.7
pol,2013,537.5
pol,2014,570
