country,year,loner_lop_rese
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,10848.6
eu_three,2009,10404.1
eu_three,2010,10258.4
eu_three,2011,10515
eu_three,2012,10482.7
eu_three,2013,10584.6
eu_three,2014,10928.1
eu_three,2015,11228.1
eu_three,2016,11423.2
eu_three,2017,12018.7
eu_three,2018,12813.4
eu_three,2019,13375.7
eu_three,2020,9779.6
eu_three,2021,9030.8
eu_three,2022,11425.2
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,357.9
bel,2009,355
bel,2010,368
bel,2011,379.6
bel,2012,381.5
bel,2013,386.7
bel,2014,385
bel,2015,364.3
bel,2016,361.9
bel,2017,362.3
bel,2018,365.1
bel,2019,364.3
bel,2020,229.6
bel,2021,224.8
bel,2022,305.3
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,22.1
bgr,2009,21.7
bgr,2010,23.7
bgr,2011,26.9
bgr,2012,42.9
bgr,2013,29.1
bgr,2014,31.3
bgr,2015,33
bgr,2016,36.2
bgr,2017,41.8
bgr,2018,46.2
bgr,2019,46.9
bgr,2020,37
bgr,2021,33.6
bgr,2022,50.1
bgr,2023,60.3
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,169.2
cze,2009,146.9
cze,2010,165.8
cze,2011,151.6
cze,2012,148.7
cze,2013,141.8
cze,2014,138.7
cze,2015,146.3
cze,2016,150.9
cze,2017,181.9
cze,2018,189.6
cze,2019,214.3
cze,2020,155.8
cze,2021,146.1
cze,2022,167.1
cze,2023,197.2
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,279.1
dnk,2009,259.7
dnk,2010,266.8
dnk,2011,269.8
dnk,2012,279.5
dnk,2013,281.1
dnk,2014,283.8
dnk,2015,292.7
dnk,2016,298.9
dnk,2017,314.9
dnk,2018,330.9
dnk,2019,339.9
dnk,2020,285.2
dnk,2021,211.8
dnk,2022,274.9
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,2347
deu,2009,2388
deu,2010,2392
deu,2011,2424
deu,2012,2512
deu,2013,2570
deu,2014,2727
deu,2015,2833
deu,2016,2895
deu,2017,3094
deu,2018,3320
deu,2019,3485
deu,2020,2658
deu,2021,2447
deu,2022,2841
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,24.2
est,2009,19.9
est,2010,19.4
est,2011,21.3
est,2012,21
est,2013,23.8
est,2014,25
est,2015,25.9
est,2016,27.6
est,2017,31.5
est,2018,26.1
est,2019,30.1
est,2020,28.8
est,2021,24.6
est,2022,34.7
est,2023,33.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,190.7
irl,2009,199.1
irl,2010,151.2
irl,2011,158.9
irl,2012,163.6
irl,2013,169.9
irl,2014,176.9
irl,2015,183.5
irl,2016,191.4
irl,2017,201.6
irl,2018,215.5
irl,2019,229.8
irl,2020,165.8
irl,2021,157.2
irl,2022,201.2
irl,2023,249.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,248.1
grc,2009,252.1
grc,2010,259.7
grc,2011,232.6
grc,2012,261
grc,2013,225.9
grc,2014,279
grc,2015,241.3
grc,2016,229.3
grc,2017,246.1
grc,2018,282
grc,2019,299.7
grc,2020,161.7
grc,2021,176.5
grc,2022,222.3
grc,2023,231.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,1519
esp,2009,1354
esp,2010,1274
esp,2011,1225
esp,2012,1266
esp,2013,1277
esp,2014,1277
esp,2015,1407
esp,2016,1356
esp,2017,1395
esp,2018,1516
esp,2019,1543
esp,2020,1029
esp,2021,972
esp,2022,1377
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,2043.8
fra,2009,1899.5
fra,2010,1876.4
fra,2011,1919.4
fra,2012,1791
fra,2013,1862.7
fra,2014,1934
fra,2015,1927.4
fra,2016,1921.6
fra,2017,1971.9
fra,2018,1985.2
fra,2019,2006.3
fra,2020,1260.4
fra,2021,1190.1
fra,2022,1634.9
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,87.7
hrv,2009,84.8
hrv,2010,83.6
hrv,2011,80.8
hrv,2012,84.4
hrv,2013,81.1
hrv,2014,83
hrv,2015,89.6
hrv,2016,89.5
hrv,2017,85
hrv,2018,102.7
hrv,2019,108.4
hrv,2020,66.2
hrv,2021,63.3
hrv,2022,90.7
hrv,2023,117.9
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,1105.4
ita,2009,1042.5
ita,2010,1046.4
ita,2011,1053.6
ita,2012,1007.6
ita,2013,991.1
ita,2014,992.4
ita,2015,1015.8
ita,2016,1039.9
ita,2017,1066.5
ita,2018,1123.6
ita,2019,1200.8
ita,2020,681.2
ita,2021,651
ita,2022,983.7
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,58.5
cyp,2009,55.6
cyp,2010,47.8
cyp,2011,45.5
cyp,2012,40.8
cyp,2013,35.3
cyp,2014,30.9
cyp,2015,33.8
cyp,2016,37.3
cyp,2017,39.7
cyp,2018,40.3
cyp,2019,39
cyp,2020,21.3
cyp,2021,25.8
cyp,2022,29.8
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,26.9
lva,2009,14.9
lva,2010,14.2
lva,2011,14.8
lva,2012,19.9
lva,2013,22.7
lva,2014,22.3
lva,2015,25.8
lva,2016,26.1
lva,2017,29.6
lva,2018,33.4
lva,2019,38.4
lva,2020,29.1
lva,2021,28.1
lva,2022,38.4
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,31
ltu,2009,23.9
ltu,2010,22.6
ltu,2011,22.7
ltu,2012,24.3
ltu,2013,26.2
ltu,2014,28.7
ltu,2015,29.9
ltu,2016,31
ltu,2017,37.2
ltu,2018,43
ltu,2019,48
ltu,2020,33.7
ltu,2021,34.2
ltu,2022,44.3
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,83.7
hun,2009,67
hun,2010,66.6
hun,2011,75.9
hun,2012,72.9
hun,2013,74.2
hun,2014,77.6
hun,2015,72
hun,2016,69.3
hun,2017,74
hun,2018,78.5
hun,2019,85.5
hun,2020,52.5
hun,2021,51.1
hun,2022,69.1
hun,2023,107
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,21.3
mlt,2009,
mlt,2010,19
mlt,2011,19.8
mlt,2012,27
mlt,2013,22.2
mlt,2014,19.8
mlt,2015,20.7
mlt,2016,
mlt,2017,26.5
mlt,2018,
mlt,2019,
mlt,2020,21.9
mlt,2021,19.6
mlt,2022,19.6
mlt,2023,21.9
mlt,2024,22.9
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,713
nld,2009,670
nld,2010,675
nld,2011,833
nld,2012,761
nld,2013,744
nld,2014,782
nld,2015,810
nld,2016,916
nld,2017,1012
nld,2018,1162
nld,2019,1282
nld,2020,1240
nld,2021,1103
nld,2022,1286
nld,2023,1620
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,409.3
aut,2009,402.8
aut,2010,401.6
aut,2011,422.5
aut,2012,431.3
aut,2013,440.6
aut,2014,447
aut,2015,462.4
aut,2016,475.1
aut,2017,476.7
aut,2018,500.5
aut,2019,511.2
aut,2020,445.6
aut,2021,389.1
aut,2022,445.1
aut,2023,506.1
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,171.1
pol,2009,180
pol,2010,163
