country,year,loner_lop_sakerhet
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,116750.4
eu_three,2009,118445.7
eu_three,2010,123534.6
eu_three,2011,129539.5
eu_three,2012,134473.3
eu_three,2013,138169.3
eu_three,2014,141995.3
eu_three,2015,148870.4
eu_three,2016,157030.2
eu_three,2017,165318.4
eu_three,2018,175001.6
eu_three,2019,184710.9
eu_three,2020,181823.2
eu_three,2021,194329.8
eu_three,2022,212266.7
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,4064.8
bel,2009,3996.7
bel,2010,4199
bel,2011,4766.7
bel,2012,5055.4
bel,2013,5211.3
bel,2014,5332.3
bel,2015,5525.3
bel,2016,5700.7
bel,2017,6019.1
bel,2018,6364.5
bel,2019,6839.7
bel,2020,6509.7
bel,2021,7202.1
bel,2022,7937.5
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,244.8
bgr,2009,241.6
bgr,2010,263.2
bgr,2011,300.5
bgr,2012,316
bgr,2013,371.1
bgr,2014,413.7
bgr,2015,439
bgr,2016,503.1
bgr,2017,567.9
bgr,2018,654
bgr,2019,727.8
bgr,2020,763.9
bgr,2021,899.6
bgr,2022,1093
bgr,2023,1166.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1047.9
cze,2009,1010.5
cze,2010,1105.4
cze,2011,1187.2
cze,2012,1187.9
cze,2013,1204.8
cze,2014,1138.1
cze,2015,1211
cze,2016,1300.9
cze,2017,1457.5
cze,2018,1612.5
cze,2019,1753.2
cze,2020,1682.9
cze,2021,1929.6
cze,2022,2184.1
cze,2023,2459
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2231.1
dnk,2009,2270.3
dnk,2010,2291.7
dnk,2011,2336.5
dnk,2012,2443.4
dnk,2013,2588.7
dnk,2014,2689.4
dnk,2015,2850.1
dnk,2016,3096.4
dnk,2017,3315.7
dnk,2018,3450.1
dnk,2019,3573.2
dnk,2020,3624.2
dnk,2021,3786.3
dnk,2022,4097.4
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,26422
deu,2009,27855
deu,2010,28721
deu,2011,30356
deu,2012,32542
deu,2013,34114
deu,2014,35718
deu,2015,38830
deu,2016,42496
deu,2017,45385
deu,2018,48586
deu,2019,52146
deu,2020,52716
deu,2021,55327
deu,2022,60366
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,167.9
est,2009,157.5
est,2010,151.1
est,2011,159.9
est,2012,169.7
est,2013,175.6
est,2014,195.3
est,2015,209.1
est,2016,225.3
est,2017,247.3
est,2018,259
est,2019,285.8
est,2020,298.9
est,2021,336.3
est,2022,405.9
est,2023,448.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1492.3
irl,2009,1227.3
irl,2010,1271.1
irl,2011,1418.6
irl,2012,1423.7
irl,2013,1464.5
irl,2014,1544.2
irl,2015,1714.4
irl,2016,1843.1
irl,2017,2021.3
irl,2018,2208.3
irl,2019,2408.2
irl,2020,2343.5
irl,2021,2519
irl,2022,2858.6
irl,2023,3248
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1021.6
grc,2009,1051.4
grc,2010,1142.5
grc,2011,1042.3
grc,2012,998.7
grc,2013,816.7
grc,2014,728.5
grc,2015,705.5
grc,2016,749.2
grc,2017,783.2
grc,2018,876.5
grc,2019,950.5
grc,2020,959.5
grc,2021,1109.5
grc,2022,1224.7
grc,2023,1271.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,16073
esp,2009,16657
esp,2010,16907
esp,2011,17176
esp,2012,16894
esp,2013,17021
esp,2014,17949
esp,2015,18916
esp,2016,18694
esp,2017,19676
esp,2018,20289
esp,2019,22137
esp,2020,21890
esp,2021,22972
esp,2022,25901
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,29006.2
fra,2009,28098.1
fra,2010,29412.4
fra,2011,30961.7
fra,2012,31997.6
fra,2013,32955.3
fra,2014,33423.5
fra,2015,34191.9
fra,2016,35749.3
fra,2017,36519.8
fra,2018,38408.8
fra,2019,38671.6
fra,2020,36973.7
fra,2021,39811.2
fra,2022,43411
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,234.5
hrv,2009,222.3
hrv,2010,246.1
hrv,2011,250.7
hrv,2012,234.5
hrv,2013,223
hrv,2014,226
hrv,2015,224.8
hrv,2016,253.8
hrv,2017,267.1
hrv,2018,298.7
hrv,2019,320.4
hrv,2020,326.3
hrv,2021,365.3
hrv,2022,446.4
hrv,2023,507.8
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,14048.8
ita,2009,14990.7
ita,2010,15636
ita,2011,16275.3
ita,2012,16749.3
ita,2013,16680.8
ita,2014,16729
ita,2015,17303.6
ita,2016,17962.5
ita,2017,18610.1
ita,2018,19625.6
ita,2019,20374.6
ita,2020,18857.8
ita,2021,20710.8
ita,2022,21950.5
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,29.4
cyp,2009,36.8
cyp,2010,48.3
cyp,2011,55.7
cyp,2012,58.8
cyp,2013,59.5
cyp,2014,60.4
cyp,2015,64
cyp,2016,72.8
cyp,2017,85.3
cyp,2018,117.9
cyp,2019,138.4
cyp,2020,147
cyp,2021,168.9
cyp,2022,188.3
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,218
lva,2009,177.8
lva,2010,175
lva,2011,181
lva,2012,199.5
lva,2013,213.5
lva,2014,224.8
lva,2015,242.8
lva,2016,260.7
lva,2017,278
lva,2018,299.3
lva,2019,326.3
lva,2020,341.2
lva,2021,339.7
lva,2022,381.5
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,331.1
ltu,2009,241.3
ltu,2010,226.9
ltu,2011,231.9
ltu,2012,242.9
ltu,2013,259.4
ltu,2014,293.8
ltu,2015,326
ltu,2016,373.6
ltu,2017,419.1
ltu,2018,470.7
ltu,2019,493
ltu,2020,521.5
ltu,2021,588.3
ltu,2022,700.1
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,341.4
lux,2009,362.7
lux,2010,378.7
lux,2011,425.6
lux,2012,459.6
lux,2013,488.3
lux,2014,522.4
lux,2015,572.9
lux,2016,606.9
lux,2017,665.2
lux,2018,756.3
lux,2019,821.2
lux,2020,823.8
lux,2021,917.5
lux,2022,1000.8
lux,2023,1033
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1057.7
hun,2009,967.5
hun,2010,1015.3
hun,2011,1159.7
hun,2012,1212.7
hun,2013,1157.9
hun,2014,1109.8
hun,2015,1168.3
hun,2016,1269.8
hun,2017,1464.4
hun,2018,1579.2
hun,2019,1733.9
hun,2020,1539.7
hun,2021,1774.4
hun,2022,2002.3
hun,2023,2535
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,50.8
mlt,2009,63.3
mlt,2010,64.9
mlt,2011,69.3
mlt,2012,78.1
mlt,2013,85
mlt,2014,97.1
mlt,2015,107.3
mlt,2016,130.6
mlt,2017,158.5
mlt,2018,185.9
mlt,2019,233.9
mlt,2020,256.4
mlt,2021,285.3
mlt,2022,290.7
mlt,2023,313.9
mlt,2024,350.1
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,5359
nld,2009,5434
nld,2010,5547
nld,2011,5657
nld,2012,5819
nld,2013,5922
nld,2014,5949
nld,2015,6127
nld,2016,6331
nld,2017,6577
nld,2018,6983
nld,2019,7362
nld,2020,7413
nld,2021,7745
nld,2022,8298
nld,2023,8805
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2230.9
aut,2009,2256
aut,2010,2390.1
aut,2011,2471.1
aut,2012,2631.4
aut,2013,2800.7
aut,2014,2997.7
