country,year,loner_lop_sjo_transp
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,9288.3
eu_three,2009,9297.8
eu_three,2010,9507.8
eu_three,2011,9973.7
eu_three,2012,9860.1
eu_three,2013,10216.8
eu_three,2014,10340.4
eu_three,2015,10996.6
eu_three,2016,11101.2
eu_three,2017,11209.5
eu_three,2018,11368.8
eu_three,2019,11698.3
eu_three,2020,11094.7
eu_three,2021,11757.7
eu_three,2022,13321.2
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,175.3
bel,2009,170.9
bel,2010,179.4
bel,2011,188.8
bel,2012,189.2
bel,2013,179.5
bel,2014,186.5
bel,2015,167.6
bel,2016,163.8
bel,2017,139.1
bel,2018,147.2
bel,2019,164.5
bel,2020,187
bel,2021,195.3
bel,2022,231.1
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,34.8
bgr,2009,37.2
bgr,2010,42.2
bgr,2011,46
bgr,2012,40.2
bgr,2013,32.3
bgr,2014,17.8
bgr,2015,18
bgr,2016,20.7
bgr,2017,20.8
bgr,2018,22.1
bgr,2019,23.3
bgr,2020,23.1
bgr,2021,23.9
bgr,2022,30.2
bgr,2023,33.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,8.7
cze,2009,8.5
cze,2010,8.5
cze,2011,9
cze,2012,8.2
cze,2013,7.7
cze,2014,7
cze,2015,7.5
cze,2016,7.5
cze,2017,8.9
cze,2018,10.4
cze,2019,11.1
cze,2020,10.1
cze,2021,10.8
cze,2022,13.5
cze,2023,15.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1036.5
dnk,2009,1079.8
dnk,2010,1055.9
dnk,2011,1133.5
dnk,2012,1119.7
dnk,2013,1153.4
dnk,2014,1192
dnk,2015,1348.1
dnk,2016,1316.2
dnk,2017,1267.3
dnk,2018,1219.7
dnk,2019,1259.3
dnk,2020,1304.8
dnk,2021,1347.1
dnk,2022,1577.7
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,1280
deu,2009,1355
deu,2010,1315
deu,2011,1335
deu,2012,1322
deu,2013,1299
deu,2014,1277
deu,2015,1252
deu,2016,1224
deu,2017,1202
deu,2018,1201
deu,2019,1208
deu,2020,1145
deu,2021,1125
deu,2022,1262
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,70.4
est,2009,66
est,2010,64.8
est,2011,69.2
est,2012,69.8
est,2013,69.8
est,2014,73.6
est,2015,80.1
est,2016,93.9
est,2017,98.1
est,2018,100.8
est,2019,106.4
est,2020,94.1
est,2021,78.2
est,2022,101.2
est,2023,115.7
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,98.2
irl,2009,132.8
irl,2010,64.2
irl,2011,39.1
irl,2012,43
irl,2013,36.2
irl,2014,37
irl,2015,39.3
irl,2016,40.1
irl,2017,38.3
irl,2018,41.7
irl,2019,42.4
irl,2020,40.3
irl,2021,45.7
irl,2022,50.2
irl,2023,57
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1420.9
grc,2009,1450.5
grc,2010,1588.6
grc,2011,1723.4
grc,2012,1741.3
grc,2013,1988.9
grc,2014,2044.6
grc,2015,2455.2
grc,2016,2613
grc,2017,2701.3
grc,2018,2854.2
grc,2019,2915.1
grc,2020,2872
grc,2021,3158.1
grc,2022,3478.7
grc,2023,3569.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,484
esp,2009,366
esp,2010,365
esp,2011,388
esp,2012,308
esp,2013,287
esp,2014,290
esp,2015,269
esp,2016,276
esp,2017,285
esp,2018,308
esp,2019,344
esp,2020,364
esp,2021,286
esp,2022,356
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,719.4
fra,2009,736.5
fra,2010,738.7
fra,2011,739.2
fra,2012,752
fra,2013,779.8
fra,2014,824.2
fra,2015,841.6
fra,2016,825.9
fra,2017,806.2
fra,2018,818.4
fra,2019,788.8
fra,2020,753.7
fra,2021,947.9
fra,2022,1121.4
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,98
hrv,2009,96.1
hrv,2010,90.8
hrv,2011,89.6
hrv,2012,84.1
hrv,2013,78.9
hrv,2014,74.5
hrv,2015,79.4
hrv,2016,82
hrv,2017,82.9
hrv,2018,90.3
hrv,2019,93.7
hrv,2020,78.5
hrv,2021,84
hrv,2022,106.2
hrv,2023,123.1
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,1467.5
ita,2009,1487
ita,2010,1565.6
ita,2011,1748.1
ita,2012,1650
ita,2013,1696.5
ita,2014,1708.7
ita,2015,1813.9
ita,2016,1802.7
ita,2017,1848.2
ita,2018,1835
ita,2019,1858.5
ita,2020,1473.7
ita,2021,1616.6
ita,2022,1837.6
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,54.9
cyp,2009,52.7
cyp,2010,55.8
cyp,2011,37.8
cyp,2012,30.6
cyp,2013,27.6
cyp,2014,23
cyp,2015,2.5
cyp,2016,3
cyp,2017,3.3
cyp,2018,4.9
cyp,2019,6.3
cyp,2020,5.1
cyp,2021,4.6
cyp,2022,5.5
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,56.3
lva,2009,55.7
lva,2010,39.5
lva,2011,30.4
lva,2012,29.1
lva,2013,30.5
lva,2014,30.1
lva,2015,34.2
lva,2016,34.3
lva,2017,40.4
lva,2018,29
lva,2019,24.7
lva,2020,20.3
lva,2021,15.2
lva,2022,16.7
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,35.4
ltu,2009,33.8
ltu,2010,30.8
ltu,2011,31.2
ltu,2012,32.5
ltu,2013,33.6
ltu,2014,31.6
ltu,2015,31.2
ltu,2016,32.6
ltu,2017,32.2
ltu,2018,30.8
ltu,2019,28.9
ltu,2020,30.7
ltu,2021,32
ltu,2022,41.6
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,15.9
hun,2009,13.1
hun,2010,13.1
hun,2011,10.5
hun,2012,9.7
hun,2013,10.8
hun,2014,9.3
hun,2015,9.8
hun,2016,9.5
hun,2017,11.3
hun,2018,11.4
hun,2019,13.5
hun,2020,11.7
hun,2021,11.6
hun,2022,13.9
hun,2023,18.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,11.3
mlt,2009,11.9
mlt,2010,
mlt,2011,13
mlt,2012,13.4
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,22.3
mlt,2021,22.1
mlt,2022,23.4
mlt,2023,24.1
mlt,2024,27.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,754
nld,2009,794
nld,2010,816
nld,2011,829
nld,2012,865
nld,2013,920
nld,2014,912
nld,2015,897
nld,2016,912
nld,2017,917
nld,2018,903
nld,2019,974
nld,2020,1016
nld,2021,1026
nld,2022,1105
nld,2023,1202
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,18.2
aut,2009,17.8
aut,2010,17.7
aut,2011,18.3
aut,2012,13.2
aut,2013,15
aut,2014,15.6
aut,2015,15.2
aut,2016,17.3
aut,2017,17.7
aut,2018,18.8
aut,2019,20.2
aut,2020,17.2
aut,2021,18.4
aut,2022,22.8
aut,2023,25.7
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,
pol,2009,
pol,2010,
