country,year,loner_lop_skog
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,5852.1
eu_three,2009,5311.8
eu_three,2010,5658.7
eu_three,2011,6222.9
eu_three,2012,6308.6
eu_three,2013,6477.3
eu_three,2014,6652.9
eu_three,2015,6738.6
eu_three,2016,6953.6
eu_three,2017,7226.5
eu_three,2018,7405.1
eu_three,2019,7603.2
eu_three,2020,7436.2
eu_three,2021,7826
eu_three,2022,8443
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,21.9
bel,2009,19.2
bel,2010,20.4
bel,2011,24.3
bel,2012,26
bel,2013,25.7
bel,2014,25.5
bel,2015,25.8
bel,2016,26.6
bel,2017,23.5
bel,2018,22
bel,2019,24.8
bel,2020,24.1
bel,2021,26.2
bel,2022,29.1
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,49.1
bgr,2009,59.3
bgr,2010,60.3
bgr,2011,72.4
bgr,2012,81.6
bgr,2013,89
bgr,2014,97.8
bgr,2015,105.8
bgr,2016,120.5
bgr,2017,128.6
bgr,2018,131.8
bgr,2019,133.3
bgr,2020,124.9
bgr,2021,135.3
bgr,2022,164
bgr,2023,186.5
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,260.6
cze,2009,239.5
cze,2010,224.4
cze,2011,232
cze,2012,218.4
cze,2013,219
cze,2014,209.4
cze,2015,210.6
cze,2016,225.6
cze,2017,247.1
cze,2018,280.9
cze,2019,307.5
cze,2020,324.6
cze,2021,355.7
cze,2022,433.9
cze,2023,464.2
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,123.9
dnk,2009,121.1
dnk,2010,127.4
dnk,2011,102.8
dnk,2012,115.2
dnk,2013,109.8
dnk,2014,108.1
dnk,2015,103.7
dnk,2016,114.9
dnk,2017,118.7
dnk,2018,118.6
dnk,2019,132.3
dnk,2020,138.2
dnk,2021,143.1
dnk,2022,160.6
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,955
deu,2009,887
deu,2010,831
deu,2011,1089
deu,2012,1093
deu,2013,1133
deu,2014,1181
deu,2015,1221
deu,2016,1268
deu,2017,1234
deu,2018,1208
deu,2019,1226
deu,2020,1225
deu,2021,1249
deu,2022,1306
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,63.3
est,2009,47.3
est,2010,49.9
est,2011,60.3
est,2012,63
est,2013,65
est,2014,71.2
est,2015,80
est,2016,86.3
est,2017,90.4
est,2018,107.3
est,2019,126.6
est,2020,112.1
est,2021,116
est,2022,131.2
est,2023,152.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,90
irl,2009,104.3
irl,2010,85
irl,2011,69.9
irl,2012,70.1
irl,2013,67.5
irl,2014,70.4
irl,2015,76.6
irl,2016,78.1
irl,2017,78.8
irl,2018,74.7
irl,2019,76.5
irl,2020,75.9
irl,2021,83.5
irl,2022,83.2
irl,2023,90
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,13.9
grc,2009,13.8
grc,2010,15.4
grc,2011,21
grc,2012,17.5
grc,2013,15.1
grc,2014,28.6
grc,2015,30.5
grc,2016,31.8
grc,2017,34
grc,2018,38.5
grc,2019,41
grc,2020,32.5
grc,2021,33.1
grc,2022,39.4
grc,2023,37.8
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,300
esp,2009,318
esp,2010,337
esp,2011,297
esp,2012,231
esp,2013,235
esp,2014,247
esp,2015,260
esp,2016,253
esp,2017,279
esp,2018,282
esp,2019,266
esp,2020,266
esp,2021,266
esp,2022,268
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,421.4
fra,2009,442.7
fra,2010,479.8
fra,2011,480.8
fra,2012,493.3
fra,2013,516.1
fra,2014,506.9
fra,2015,519.4
fra,2016,517.4
fra,2017,519
fra,2018,522.3
fra,2019,512.6
fra,2020,482.2
fra,2021,501.2
fra,2022,532.3
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,168.9
hrv,2009,160.4
hrv,2010,158.9
hrv,2011,165.9
hrv,2012,166
hrv,2013,157.7
hrv,2014,145.5
hrv,2015,148.2
hrv,2016,154.9
hrv,2017,159.4
hrv,2018,178.3
hrv,2019,172.3
hrv,2020,168.9
hrv,2021,168.9
hrv,2022,192.9
hrv,2023,226.9
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,350.8
ita,2009,389.9
ita,2010,394
ita,2011,582.7
ita,2012,518.2
ita,2013,527.5
ita,2014,596.6
ita,2015,583.8
ita,2016,589.4
ita,2017,613.9
ita,2018,629.6
ita,2019,653
ita,2020,610.2
ita,2021,647.3
ita,2022,682.1
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,8
cyp,2009,7.9
cyp,2010,7.9
cyp,2011,7.5
cyp,2012,6.7
cyp,2013,6.4
cyp,2014,5.2
cyp,2015,5.6
cyp,2016,6.1
cyp,2017,6
cyp,2018,8
cyp,2019,8.7
cyp,2020,10.2
cyp,2021,9.6
cyp,2022,11
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,111.7
lva,2009,93
lva,2010,96.4
lva,2011,104.9
lva,2012,115.8
lva,2013,128.3
lva,2014,142.6
lva,2015,148.1
lva,2016,163.3
lva,2017,182.4
lva,2018,212.4
lva,2019,224.1
lva,2020,220.1
lva,2021,229.5
lva,2022,256.6
lva,2023,353.6
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,86.9
ltu,2009,52.7
ltu,2010,56.6
ltu,2011,69.5
ltu,2012,73.6
ltu,2013,81.8
ltu,2014,90.9
ltu,2015,91.7
ltu,2016,99.7
ltu,2017,103.9
ltu,2018,106.6
ltu,2019,116.4
ltu,2020,135.6
ltu,2021,143
ltu,2022,163.7
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,9.7
lux,2009,9.9
lux,2010,11.2
lux,2011,12.1
lux,2012,13
lux,2013,11
lux,2014,11.8
lux,2015,12.1
lux,2016,12.4
lux,2017,13
lux,2018,13.4
lux,2019,13.5
lux,2020,13.8
lux,2021,15.6
lux,2022,16.2
lux,2023,17
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,127.2
hun,2009,112.3
hun,2010,117.9
hun,2011,137
hun,2012,167.7
hun,2013,157.3
hun,2014,156.9
hun,2015,160.7
hun,2016,162.2
hun,2017,165.6
hun,2018,158.5
hun,2019,165.8
hun,2020,139.4
hun,2021,147.7
hun,2022,162.9
hun,2023,192.6
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,0
mlt,2009,0
mlt,2010,0
mlt,2011,0
mlt,2012,0
mlt,2013,0
mlt,2014,0
mlt,2015,0
mlt,2016,0
mlt,2017,0
mlt,2018,0
mlt,2019,0
mlt,2020,0
mlt,2021,0
mlt,2022,0
mlt,2023,0
mlt,2024,0
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,72
nld,2009,77
nld,2010,87
nld,2011,84
nld,2012,84
nld,2013,84
nld,2014,83
nld,2015,83
nld,2016,90
nld,2017,99
nld,2018,106
nld,2019,112
nld,2020,119
nld,2021,121
nld,2022,130
nld,2023,140
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,203.1
aut,2009,201.3
aut,2010,203.5
aut,2011,215.8
aut,2012,226.9
aut,2013,231.2
aut,2014,239
aut,2015,243.9
aut,2016,244.7
aut,2017,257.1
aut,2018,270.1
aut,2019,279.4
aut,2020,265.1
aut,2021,277.8
aut,2022,302.3
aut,2023,335.1
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,655.4
pol,2009,550
pol,2010,657.6
pol,2011,685.8
pol,2012,770.9
pol,2013,778.1
