country,year,loner_lop_sport
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,28789.1
eu_three,2009,29232.9
eu_three,2010,30223.1
eu_three,2011,31912.9
eu_three,2012,32794.2
eu_three,2013,33412.8
eu_three,2014,34476.8
eu_three,2015,35940.6
eu_three,2016,37571.4
eu_three,2017,40077.7
eu_three,2018,42126.8
eu_three,2019,44707.3
eu_three,2020,41542.1
eu_three,2021,44113.7
eu_three,2022,50322.4
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,478
bel,2009,486.3
bel,2010,496.7
bel,2011,512
bel,2012,596.9
bel,2013,627.4
bel,2014,663.1
bel,2015,690.8
bel,2016,727.1
bel,2017,790.8
bel,2018,855.2
bel,2019,912.4
bel,2020,872.4
bel,2021,862.6
bel,2022,1331.4
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,39
bgr,2009,59.5
bgr,2010,48.9
bgr,2011,56.1
bgr,2012,70.4
bgr,2013,75.7
bgr,2014,76
bgr,2015,66.8
bgr,2016,91.3
bgr,2017,102.1
bgr,2018,116.2
bgr,2019,128.9
bgr,2020,102.2
bgr,2021,120.1
bgr,2022,138.3
bgr,2023,139.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,214.2
cze,2009,201.6
cze,2010,228.2
cze,2011,222.2
cze,2012,221.8
cze,2013,225.6
cze,2014,219.3
cze,2015,239.5
cze,2016,258.6
cze,2017,294.3
cze,2018,319.7
cze,2019,353.9
cze,2020,337.4
cze,2021,339.2
cze,2022,388.9
cze,2023,451
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,811.1
dnk,2009,839.1
dnk,2010,836.1
dnk,2011,850.2
dnk,2012,870.2
dnk,2013,843.6
dnk,2014,882.7
dnk,2015,907.5
dnk,2016,920.7
dnk,2017,955.7
dnk,2018,1006.5
dnk,2019,1060.8
dnk,2020,1050.5
dnk,2021,1101.5
dnk,2022,1222.4
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,4792
deu,2009,4998
deu,2010,5130
deu,2011,5944
deu,2012,6236
deu,2013,6463
deu,2014,6803
deu,2015,7399
deu,2016,7986
deu,2017,8457
deu,2018,9124
deu,2019,9886
deu,2020,9551
deu,2021,8966
deu,2022,10116
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,49.1
est,2009,49.6
est,2010,46.7
est,2011,48.1
est,2012,54.9
est,2013,57.1
est,2014,67.2
est,2015,78.5
est,2016,87.8
est,2017,100.5
est,2018,113.1
est,2019,128.2
est,2020,126
est,2021,131.9
est,2022,147.8
est,2023,163.6
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,527.5
irl,2009,479.6
irl,2010,457.4
irl,2011,392
irl,2012,393.1
irl,2013,397.9
irl,2014,400.2
irl,2015,423.3
irl,2016,453
irl,2017,487.5
irl,2018,524.1
irl,2019,556.3
irl,2020,437.8
irl,2021,500.5
irl,2022,616.8
irl,2023,694.8
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,259.1
grc,2009,245.6
grc,2010,277.8
grc,2011,311.9
grc,2012,369.3
grc,2013,387.8
grc,2014,277.3
grc,2015,288.7
grc,2016,275.7
grc,2017,285.5
grc,2018,344.7
grc,2019,380.3
grc,2020,374.6
grc,2021,376.3
grc,2022,349
grc,2023,312.5
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,5325
esp,2009,5360
esp,2010,5419
esp,2011,5470
esp,2012,5412
esp,2013,5213
esp,2014,5609
esp,2015,5724
esp,2016,5835
esp,2017,6503
esp,2018,6669
esp,2019,7240
esp,2020,6739
esp,2021,7819
esp,2022,8804
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,7350.9
fra,2009,7597.9
fra,2010,8088.3
fra,2011,8436.8
fra,2012,8573.8
fra,2013,9104.5
fra,2014,9503.1
fra,2015,9774.9
fra,2016,10009.5
fra,2017,10480.4
fra,2018,10697.9
fra,2019,10901.7
fra,2020,10003.1
fra,2021,10635.5
fra,2022,12474.3
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,115.2
hrv,2009,133.4
hrv,2010,135.1
hrv,2011,132.7
hrv,2012,129.8
hrv,2013,134.4
hrv,2014,141.9
hrv,2015,147.6
hrv,2016,166.8
hrv,2017,183.4
hrv,2018,203
hrv,2019,205
hrv,2020,178.9
hrv,2021,212.2
hrv,2022,253.3
hrv,2023,309.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,3095.7
ita,2009,3084.2
ita,2010,3140.5
ita,2011,3287.5
ita,2012,3292.3
ita,2013,3256.5
ita,2014,3067
ita,2015,3184.7
ita,2016,3440.7
ita,2017,3517.2
ita,2018,3710.1
ita,2019,3992.6
ita,2020,3307.6
ita,2021,3946.3
ita,2022,4306.2
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,64.8
cyp,2009,62.6
cyp,2010,60.7
cyp,2011,59.5
cyp,2012,66.9
cyp,2013,52.6
cyp,2014,54.9
cyp,2015,54.9
cyp,2016,58.9
cyp,2017,64
cyp,2018,75.4
cyp,2019,84.4
cyp,2020,73.4
cyp,2021,82.6
cyp,2022,94
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,52.2
lva,2009,40.2
lva,2010,34.7
lva,2011,38.8
lva,2012,39.1
lva,2013,42.2
lva,2014,43.9
lva,2015,66
lva,2016,55.1
lva,2017,62.2
lva,2018,69.8
lva,2019,75.6
lva,2020,73.5
lva,2021,79.8
lva,2022,93.8
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,32.6
ltu,2009,27.6
ltu,2010,23.2
ltu,2011,23.2
ltu,2012,25.9
ltu,2013,27.2
ltu,2014,31.7
ltu,2015,37.5
ltu,2016,43
ltu,2017,49.7
ltu,2018,57.8
ltu,2019,70
ltu,2020,68.7
ltu,2021,76.8
ltu,2022,93.1
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,59.7
lux,2009,65.9
lux,2010,70.5
lux,2011,78.3
lux,2012,85.9
lux,2013,84.5
lux,2014,88.1
lux,2015,92.9
lux,2016,95.8
lux,2017,103.4
lux,2018,111.1
lux,2019,117.2
lux,2020,111.2
lux,2021,125
lux,2022,140.1
lux,2023,147.9
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,261.6
hun,2009,222.9
hun,2010,195.1
hun,2011,210.5
hun,2012,227.2
hun,2013,234.8
hun,2014,250.5
hun,2015,285.6
hun,2016,335.7
hun,2017,471.1
hun,2018,517.3
hun,2019,536
hun,2020,501.5
hun,2021,592.7
hun,2022,660.7
hun,2023,782.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,9.2
mlt,2009,9
mlt,2010,10.7
mlt,2011,12.8
mlt,2012,13.6
mlt,2013,15.6
mlt,2014,16.7
mlt,2015,15.9
mlt,2016,19
mlt,2017,21
mlt,2018,26.9
mlt,2019,30.2
mlt,2020,28.8
mlt,2021,28.8
mlt,2022,39.2
mlt,2023,42.7
mlt,2024,45.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1538
nld,2009,1576
nld,2010,1630
nld,2011,1648
nld,2012,1642
nld,2013,1653
nld,2014,1692
nld,2015,1669
nld,2016,1724
nld,2017,1799
nld,2018,1940
nld,2019,2117
nld,2020,2052
nld,2021,2106
nld,2022,2390
nld,2023,2621
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,526.8
aut,2009,529.7
aut,2010,548.1
aut,2011,580.9
aut,2012,623.1
aut,2013,636.8
aut,2014,673
aut,2015,709
aut,2016,676.5
aut,2017,682.5
aut,2018,729.4
aut,2019,762
aut,2020,691.7
aut,2021,720.3
aut,2022,823.7
aut,2023,925.6
